Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,47.37,47.77,46.85,47.21,4241233.0,0.0,1.0,47.37,47.77,46.85,47.21,4241233.0
2015-01-14,47.66,48.09,46.85,47.45,4212076.0,0.0,1.0,47.66,48.09,46.85,47.45,4212076.0
2015-01-13,48.36,49.08,47.87,48.28,4429171.0,0.0,1.0,48.36,49.08,47.87,48.28,4429171.0
2015-01-12,48.86,49.0,47.98,48.21,3828783.0,0.0,1.0,48.86,49.0,47.98,48.21,3828783.0
2015-01-08,49.33,49.6,48.54,49.24,7440053.0,0.0,1.0,49.33,49.6,48.54,49.24,7440053.0
2015-01-06,50.43,50.49,48.94,49.23,4819523.0,0.0,1.0,50.43,50.49,48.94,49.23,4819523.0
2015-01-05,51.68,51.68,49.98,50.22,3779264.0,0.0,1.0,51.68,51.68,49.98,50.22,3779264.0
2015-01-02,52.36,52.6,51.59,52.02,2033689.0,0.0,1.0,52.36,52.6,51.59,52.02,2033689.0
2014-12-31,53.04,52.95,51.87,52.0,2590429.0,0.0,1.0,53.04,52.95,51.87,52.0,2590429.0
2014-12-30,53.18,53.39,52.68,52.89,2190784.0,0.0,1.0,53.18,53.39,52.68,52.89,2190784.0
2014-12-26,53.07,53.635,53.03,53.42,1322345.0,0.0,1.0,53.07,53.635,53.03,53.42,1322345.0
2014-12-24,53.28,53.55,53.09,53.11,1729903.0,0.0,1.0,53.28,53.55,53.09,53.11,1729903.0
2014-12-23,52.95,53.69,52.53,53.17,4081256.0,0.0,1.0,52.95,53.69,52.53,53.17,4081256.0
2014-12-22,52.39,52.8997,52.13,52.72,3168534.0,0.0,1.0,52.39,52.8997,52.13,52.72,3168534.0
2014-12-19,51.3,52.78,51.3,52.24,7117057.0,0.0,1.0,51.3,52.78,51.3,52.24,7117057.0
2014-12-18,50.34,51.21,50.215,51.16,4774586.0,0.0,1.0,50.34,51.21,50.215,51.16,4774586.0
2014-12-17,49.37,50.08,49.19,49.64,4822366.0,0.0,1.0,49.37,50.08,49.19,49.64,4822366.0
2014-12-16,50.05,50.76,49.28,49.32,3726175.0,0.0,1.0,50.05,50.76,49.28,49.32,3726175.0
2014-12-15,50.12,50.46,49.42,49.83,3464487.0,0.0,1.0,50.12,50.46,49.42,49.83,3464487.0
2014-12-12,50.41,51.09,49.81,49.85,3844892.0,0.0,1.0,50.41,51.09,49.81,49.85,3844892.0
2014-12-10,52.72,52.94,51.14,51.27,4319133.0,0.0,1.0,52.72,52.94,51.14,51.27,4319133.0
2014-12-09,52.29,53.38,51.89,53.04,4443541.0,0.0,1.0,52.29,53.38,51.89,53.04,4443541.0
2014-12-05,52.83,53.27,52.68,53.25,2993605.0,0.0,1.0,52.83,53.27,52.68,53.25,2993605.0
2014-12-04,53.27,53.91,52.55,52.78,3941752.0,0.0,1.0,53.27,53.91,52.55,52.78,3941752.0
2014-12-02,52.74,53.61,52.74,53.31,4818438.0,0.0,1.0,52.74,53.61,52.74,53.31,4818438.0
2014-12-01,52.6,52.932,51.87,52.46,4437374.0,0.0,1.0,52.6,52.932,51.87,52.46,4437374.0
2014-11-28,53.36,53.41,52.66,52.68,3007604.0,0.0,1.0,53.36,53.41,52.66,52.68,3007604.0
2014-11-26,52.95,53.37,52.93,53.18,1874462.0,0.0,1.0,52.95,53.37,52.93,53.18,1874462.0
2014-11-25,52.76,53.33,52.62,52.93,2929725.0,0.0,1.0,52.76,53.33,52.62,52.93,2929725.0
2014-11-24,52.74,53.33,52.61,52.95,2709507.0,0.0,1.0,52.74,53.33,52.61,52.95,2709507.0
2014-11-21,53.06,53.535,52.41,52.71,3664201.0,0.0,1.0,53.06,53.535,52.41,52.71,3664201.0
2014-11-20,51.99,52.63,51.82,52.57,2225892.0,0.0,1.0,51.99,52.63,51.82,52.57,2225892.0
2014-11-19,52.04,52.28,51.79,52.22,2028798.0,0.0,1.0,52.04,52.28,51.79,52.22,2028798.0
2014-11-18,51.89,52.25,51.78,52.01,2479400.0,0.24,1.0,50.93496076555,52.25,50.915052631579,52.01,2892485.0
2014-11-17,51.26,52.15,51.15,51.99,2877383.0,0.0,1.0,50.790086495964,51.671927638793,50.681094894042,51.513394399633,2877383.0
2014-11-14,50.92,51.36,50.78,51.35,2735786.0,0.0,1.0,50.453203362749,50.889169770439,50.314486778483,50.879261442992,2735786.0
2014-11-13,51.0,51.16,50.33,50.81,2555458.0,0.0,1.0,50.532469982329,50.691003221489,49.868612043345,50.344211760826,2555458.0
2014-11-12,50.98,51.0,50.46,50.71,2241879.0,0.0,1.0,50.512653327434,50.532469982329,49.997420300163,50.245128486351,2241879.0
