Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,13.13,13.375,13.08,13.1,7494045.0,0.0,1.0,13.13,13.375,13.08,13.1,7494045.0
2015-01-14,12.91,13.165,12.82,13.14,4647075.0,0.0,1.0,12.91,13.165,12.82,13.14,4647075.0
2015-01-13,12.98,13.18,12.895,13.02,6210303.0,0.0,1.0,12.98,13.18,12.895,13.02,6210303.0
2015-01-12,12.87,12.95,12.545,12.88,9175411.0,0.0,1.0,12.87,12.95,12.545,12.88,9175411.0
2015-01-08,13.17,13.37,13.09,13.23,6620418.0,0.0,1.0,13.17,13.37,13.09,13.23,6620418.0
2015-01-06,13.28,13.46,12.945,13.01,7168903.0,0.0,1.0,13.28,13.46,12.945,13.01,7168903.0
2015-01-05,13.65,13.7,13.24,13.31,5406639.0,0.0,1.0,13.65,13.7,13.24,13.31,5406639.0
2015-01-02,13.8,13.87,13.51,13.7,5227555.0,0.0,1.0,13.8,13.87,13.51,13.7,5227555.0
2014-12-31,13.985,14.03,13.75,13.77,3738103.0,0.0,1.0,13.985,14.03,13.75,13.77,3738103.0
2014-12-26,13.89,14.29,13.86,14.22,4212304.0,0.0,1.0,13.89,14.29,13.86,14.22,4212304.0
2014-12-24,13.73,13.85,13.62,13.81,2828422.0,0.0,1.0,13.73,13.85,13.62,13.81,2828422.0
2014-12-23,13.76,13.93,13.64,13.65,5017095.0,0.0,1.0,13.76,13.93,13.64,13.65,5017095.0
2014-12-22,13.48,13.68,13.38,13.66,4907440.0,0.0,1.0,13.48,13.68,13.38,13.66,4907440.0
2014-12-19,13.23,13.6,13.23,13.5,8421816.0,0.0,1.0,13.23,13.6,13.23,13.5,8421816.0
2014-12-18,13.27,13.31,13.03,13.21,7622283.0,0.0,1.0,13.27,13.31,13.03,13.21,7622283.0
2014-12-17,12.93,13.17,12.85,13.13,10046734.0,0.0,1.0,12.93,13.17,12.85,13.13,10046734.0
