Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,39.56,39.74,39.36,39.45,1655474.0,0.0,1.0,39.56,39.74,39.36,39.45,1655474.0
2015-01-14,38.43,39.49,38.4167,39.41,2322065.0,0.0,1.0,38.43,39.49,38.4167,39.41,2322065.0
2015-01-13,38.79,39.26,38.65,38.86,7878621.0,0.0,1.0,38.79,39.26,38.65,38.86,7878621.0
2015-01-12,39.96,40.38,39.87,40.31,892771.0,0.0,1.0,39.96,40.38,39.87,40.31,892771.0
2015-01-08,38.98,39.34,38.69,39.34,1364486.0,0.0,1.0,38.98,39.34,38.69,39.34,1364486.0
2015-01-06,38.41,38.85,38.25,38.53,2104373.0,0.0,1.0,38.41,38.85,38.25,38.53,2104373.0
2015-01-05,37.76,38.36,37.61,38.22,741158.0,0.0,1.0,37.76,38.36,37.61,38.22,741158.0
2015-01-02,37.37,37.95,37.24,37.89,603380.0,0.0,1.0,37.37,37.95,37.24,37.89,603380.0
2014-12-31,37.9,38.26,37.06,37.15,886497.0,0.0,1.0,37.9,38.26,37.06,37.15,886497.0
2014-12-30,38.08,38.27,37.875,37.95,427397.0,0.0,1.0,38.08,38.27,37.875,37.95,427397.0
2014-12-26,38.01,38.15,37.57,38.02,459063.0,0.0,1.0,38.01,38.15,37.57,38.02,459063.0
2014-12-24,38.13,38.32,37.76,37.8,348356.0,0.0,1.0,38.13,38.32,37.76,37.8,348356.0
2014-12-23,38.24,38.53,37.9901,38.13,781040.0,0.0,1.0,38.24,38.53,37.9901,38.13,781040.0
2014-12-22,37.68,38.33,37.47,38.32,1293143.0,0.0,1.0,37.68,38.33,37.47,38.32,1293143.0
2014-12-19,36.78,37.54,36.76,37.51,2900243.0,0.0,1.0,36.78,37.54,36.76,37.51,2900243.0
2014-12-18,36.37,36.8,36.14,36.8,963450.0,0.0,1.0,36.37,36.8,36.14,36.8,963450.0
2014-12-17,35.74,36.34,35.674,36.12,3986971.0,0.0,1.0,35.74,36.34,35.674,36.12,3986971.0
2014-12-16,36.0,36.05,35.57,35.66,2262737.0,0.0,1.0,36.0,36.05,35.57,35.66,2262737.0
2014-12-15,36.68,36.72,35.89,35.94,1212345.0,0.0,1.0,36.68,36.72,35.89,35.94,1212345.0
2014-12-12,36.91,37.11,36.47,36.51,1749352.0,0.0,1.0,36.91,37.11,36.47,36.51,1749352.0
2014-12-10,37.37,37.49,36.96,37.09,1675025.0,0.0,1.0,37.37,37.49,36.96,37.09,1675025.0
2014-12-09,37.37,37.86,37.29,37.55,1073943.0,0.0,1.0,37.37,37.86,37.29,37.55,1073943.0
2014-12-05,36.86,37.0,36.61,36.88,876468.0,0.0,1.0,36.86,37.0,36.61,36.88,876468.0
2014-12-04,36.87,37.165,36.74,37.1,828656.0,0.0,1.0,36.87,37.165,36.74,37.1,828656.0
2014-12-02,37.02,37.25,36.84,37.2,1076984.0,0.0,1.0,37.02,37.25,36.84,37.2,1076984.0
2014-12-01,37.28,37.695,37.07,37.08,1069491.0,0.0,1.0,37.28,37.695,37.07,37.08,1069491.0
2014-11-28,37.16,37.79,37.2,37.25,536558.0,0.0,1.0,37.16,37.79,37.2,37.25,536558.0
2014-11-26,37.03,37.48,36.95,37.36,1092797.0,0.0,1.0,37.03,37.48,36.95,37.36,1092797.0
2014-11-25,36.96,37.15,36.825,36.98,1107780.0,0.0,1.0,36.96,37.15,36.825,36.98,1107780.0
2014-11-24,37.08,37.34,36.825,36.95,1713683.0,0.0,1.0,37.08,37.34,36.825,36.95,1713683.0
2014-11-21,36.92,37.05,36.76,37.05,3814464.0,0.0,1.0,36.92,37.05,36.76,37.05,3814464.0
2014-11-20,36.52,36.71,36.41,36.67,666923.0,0.0,1.0,36.52,36.71,36.41,36.67,666923.0
2014-11-19,36.94,37.22,36.46,36.53,1338091.0,0.0,1.0,36.94,37.22,36.46,36.53,1338091.0
2014-11-18,36.795,37.105,36.57,36.97,1544411.0,0.0,1.0,36.795,37.105,36.57,36.97,1544411.0
2014-11-17,36.21,36.72,36.2,36.65,1449134.0,0.0,1.0,36.21,36.72,36.2,36.65,1449134.0
2014-11-14,36.7,36.82,36.13,36.21,1100535.0,0.0,1.0,36.7,36.82,36.13,36.21,1100535.0
2014-11-13,36.22,36.7997,36.14,36.72,1398669.0,0.0,1.0,36.22,36.7997,36.14,36.72,1398669.0
2014-11-12,36.19,36.37,35.89,36.11,988698.0,0.0,1.0,36.19,36.37,35.89,36.11,988698.0
