Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,65.37,65.61,64.26,64.66,725586.0,0.0,1.0,65.37,65.61,64.26,64.66,725586.0
2015-01-14,64.77,65.535,64.6,65.52,503470.0,0.0,1.0,64.77,65.535,64.6,65.52,503470.0
2015-01-13,66.78,67.53,65.51,66.02,555655.0,0.0,1.0,66.78,67.53,65.51,66.02,555655.0
2015-01-12,66.65,66.69,65.64,66.02,487555.0,0.0,1.0,66.65,66.69,65.64,66.02,487555.0
2015-01-08,66.19,66.85,66.09,66.57,759435.0,0.0,1.0,66.19,66.85,66.09,66.57,759435.0
2015-01-06,66.18,66.84,65.16,65.33,685733.0,0.0,1.0,66.18,66.84,65.16,65.33,685733.0
2015-01-05,67.38,67.76,65.99,66.25,654333.0,0.0,1.0,67.38,67.76,65.99,66.25,654333.0
2015-01-02,68.3,68.82,67.48,67.77,452197.0,0.0,1.0,68.3,68.82,67.48,67.77,452197.0
2014-12-31,69.6,69.94,68.39,68.43,304159.0,0.0,1.0,69.6,69.94,68.39,68.43,304159.0
2014-12-26,69.48,69.53,69.03,69.06,240707.0,0.0,1.0,69.48,69.53,69.03,69.06,240707.0
2014-12-24,69.44,69.63,68.83,69.17,214366.0,0.0,1.0,69.44,69.63,68.83,69.17,214366.0
2014-12-23,69.11,69.66,68.72,69.23,337199.0,0.0,1.0,69.11,69.66,68.72,69.23,337199.0
2014-12-22,68.69,69.0,68.47,68.71,363875.0,0.0,1.0,68.69,69.0,68.47,68.71,363875.0
2014-12-19,67.8,68.8,67.75,68.65,682810.0,0.0,1.0,67.8,68.8,67.75,68.65,682810.0
2014-12-18,67.19,67.71,66.53,67.71,483714.0,0.0,1.0,67.19,67.71,66.53,67.71,483714.0
2014-12-17,65.51,66.42,65.33,66.19,615252.0,0.0,1.0,65.51,66.42,65.33,66.19,615252.0
2014-12-16,64.99,66.5,64.88,65.07,545732.0,0.0,1.0,64.99,66.5,64.88,65.07,545732.0
2014-12-15,66.55,66.63,65.11,65.4,734114.0,0.0,1.0,66.55,66.63,65.11,65.4,734114.0
2014-12-12,67.35,67.88,66.17,66.19,391445.0,0.0,1.0,67.35,67.88,66.17,66.19,391445.0
2014-12-10,68.17,68.52,67.38,67.4,479469.0,0.0,1.0,68.17,68.52,67.38,67.4,479469.0
2014-12-09,68.33,68.68,67.94,68.4,415402.0,0.0,1.0,68.33,68.68,67.94,68.4,415402.0
2014-12-05,69.31,69.62,68.66,68.79,628510.0,0.0,1.0,69.31,69.62,68.66,68.79,628510.0
2014-12-04,68.6,69.25,68.45,69.0,705622.0,0.0,1.0,68.6,69.25,68.45,69.0,705622.0
2014-12-02,67.43,67.98,67.29,67.84,513532.0,0.0,1.0,67.43,67.98,67.29,67.84,513532.0
