Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,55.08,55.66,53.35,53.8,1114345.0,0.0,1.0,55.08,55.66,53.35,53.8,1114345.0
2015-01-14,54.67,55.39,54.18,55.33,543983.0,0.0,1.0,54.67,55.39,54.18,55.33,543983.0
2015-01-13,55.33,56.46,54.45,55.1,520156.0,0.0,1.0,55.33,56.46,54.45,55.1,520156.0
2015-01-12,55.66,55.99,54.85,54.99,334721.0,0.0,1.0,55.66,55.99,54.85,54.99,334721.0
2015-01-08,55.45,56.38,55.18,56.35,893756.0,0.0,1.0,55.45,56.38,55.18,56.35,893756.0
2015-01-06,54.95,55.16,54.08,54.85,1337312.0,0.0,1.0,54.95,55.16,54.08,54.85,1337312.0
2015-01-05,55.13,55.24,54.56,54.94,533930.0,0.0,1.0,55.13,55.24,54.56,54.94,533930.0
2015-01-02,55.56,55.6,53.97,55.05,670190.0,0.0,1.0,55.56,55.6,53.97,55.05,670190.0
2014-12-31,55.62,56.05,55.25,55.46,563858.0,0.0,1.0,55.62,56.05,55.25,55.46,563858.0
2014-12-26,55.99,56.0,55.58,55.65,192442.0,0.0,1.0,55.99,56.0,55.58,55.65,192442.0
2014-12-24,55.81,55.9,55.4,55.73,135271.0,0.0,1.0,55.81,55.9,55.4,55.73,135271.0
2014-12-23,55.44,55.86,55.4,55.68,362456.0,0.0,1.0,55.44,55.86,55.4,55.68,362456.0
2014-12-22,54.95,55.61,54.77,55.61,277800.0,0.0,1.0,54.95,55.61,54.77,55.61,277800.0
2014-12-19,54.94,55.39,54.65,54.99,685661.0,0.0,1.0,54.94,55.39,54.65,54.99,685661.0
2014-12-18,54.62,54.98,54.28,54.95,499254.0,0.0,1.0,54.62,54.98,54.28,54.95,499254.0
2014-12-17,53.39,54.21,53.0,54.11,418383.0,0.0,1.0,53.39,54.21,53.0,54.11,418383.0
2014-12-16,53.59,54.1,52.96,53.43,1016285.0,0.0,1.0,53.59,54.1,52.96,53.43,1016285.0
