Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,23.6,23.72,23.24,23.325,26527193.0,0.0,1.0,23.6,23.72,23.24,23.325,26527193.0
2015-01-14,23.01,23.32,22.85,23.02,21905860.0,0.0,1.0,23.01,23.32,22.85,23.02,21905860.0
2015-01-13,23.9,24.275,23.21,23.33,14385968.0,0.0,1.0,23.9,24.275,23.21,23.33,14385968.0
2015-01-12,24.27,24.28,23.52,23.66,10898489.0,0.0,1.0,24.27,24.28,23.52,23.66,10898489.0
2015-01-08,23.71,24.32,23.67,24.215,16688293.0,0.0,1.0,23.71,24.32,23.67,24.215,16688293.0
2015-01-06,24.13,24.3,23.23,23.25,19668422.0,0.0,1.0,24.13,24.3,23.23,23.25,19668422.0
2015-01-05,24.75,24.9,24.145,24.16,11360066.0,0.0,1.0,24.75,24.9,24.145,24.16,11360066.0
2015-01-02,25.0,25.16,24.6,24.96,6904936.0,0.0,1.0,25.0,25.16,24.6,24.96,6904936.0
2014-12-31,25.31,25.35,24.83,24.92,6973773.0,0.0,1.0,25.31,25.35,24.83,24.92,6973773.0
2014-12-30,25.02,25.31,25.02,25.22,6554216.0,0.0,1.0,25.02,25.31,25.02,25.22,6554216.0
2014-12-26,25.25,25.47,25.16,25.19,4057026.0,0.0,1.0,25.25,25.47,25.16,25.19,4057026.0
2014-12-24,25.4,25.48,25.25,25.25,2878423.0,0.0,1.0,25.4,25.48,25.25,25.25,2878423.0
2014-12-23,25.49,25.71,25.29,25.4,9838735.0,0.0,1.0,25.49,25.71,25.29,25.4,9838735.0
2014-12-22,24.99,25.47,24.92,25.4,17561145.0,0.0,1.0,24.99,25.47,24.92,25.4,17561145.0
2014-12-19,25.03,25.15,24.795,24.89,14710696.0,0.0,1.0,25.03,25.15,24.795,24.89,14710696.0
2014-12-18,24.85,25.02,24.58,25.01,18560258.0,0.0,1.0,24.85,25.02,24.58,25.01,18560258.0
2014-12-17,23.81,24.49,23.605,24.455,17415669.0,0.0,1.0,23.81,24.49,23.605,24.455,17415669.0
2014-12-16,23.23,24.27,23.12,23.85,25504586.0,0.0,1.0,23.23,24.27,23.12,23.85,25504586.0
2014-12-15,23.82,24.05,23.27,23.39,14904144.0,0.0,1.0,23.82,24.05,23.27,23.39,14904144.0
2014-12-12,23.56,24.23,23.5,23.66,14246173.0,0.0,1.0,23.56,24.23,23.5,23.66,14246173.0
2014-12-10,24.36,24.36,23.65,23.78,10654372.0,0.0,1.0,24.36,24.36,23.65,23.78,10654372.0
2014-12-09,24.13,24.56,23.94,24.415,13236614.0,0.0,1.0,24.13,24.56,23.94,24.415,13236614.0
2014-12-05,24.4,25.09,24.26,25.04,19263052.0,0.0,1.0,24.4,25.09,24.26,25.04,19263052.0
2014-12-04,24.62,24.85,24.29,24.4,10152094.0,0.0,1.0,24.62,24.85,24.29,24.4,10152094.0
2014-12-02,23.71,23.95,23.625,23.87,10581386.0,0.0,1.0,23.71,23.95,23.625,23.87,10581386.0
2014-12-01,23.93,24.05,23.7,23.74,10223243.0,0.0,1.0,23.93,24.05,23.7,23.74,10223243.0
2014-11-28,23.75,24.15,23.61,24.05,9712428.0,0.0,1.0,23.75,24.15,23.61,24.05,9712428.0
