Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,49.15,49.472,48.29,48.33,1151408.0,0.0,1.0,49.15,49.472,48.29,48.33,1151408.0
2015-01-14,48.98,49.43,48.5,49.1,1024499.0,0.0,1.0,48.98,49.43,48.5,49.1,1024499.0
2015-01-13,50.23,50.44,49.1,49.72,1141972.0,0.0,1.0,50.23,50.44,49.1,49.72,1141972.0
2015-01-12,50.88,50.93,49.6,49.72,1497850.0,0.0,1.0,50.88,50.93,49.6,49.72,1497850.0
2015-01-08,50.705,51.46,50.54,51.45,1589210.0,0.0,1.0,50.705,51.46,50.54,51.45,1589210.0
2015-01-06,50.94,51.12,49.66,50.06,1409708.0,0.0,1.0,50.94,51.12,49.66,50.06,1409708.0
2015-01-05,52.05,52.1597,50.86,51.04,866460.0,0.0,1.0,52.05,52.1597,50.86,51.04,866460.0
2015-01-02,52.77,52.87,51.93,52.62,650733.0,0.0,1.0,52.77,52.87,51.93,52.62,650733.0
2014-12-31,53.57,53.77,52.58,52.63,745101.0,0.0,1.0,53.57,53.77,52.58,52.63,745101.0
2014-12-30,53.6,53.72,53.26,53.28,575104.0,0.0,1.0,53.6,53.72,53.26,53.28,575104.0
2014-12-26,54.12,54.25,53.9,53.98,453316.0,0.0,1.0,54.12,54.25,53.9,53.98,453316.0
2014-12-24,53.63,54.16,53.52,53.98,606374.0,0.0,1.0,53.63,54.16,53.52,53.98,606374.0
2014-12-23,53.21,53.85,53.15,53.79,1237798.0,0.0,1.0,53.21,53.85,53.15,53.79,1237798.0
2014-12-22,52.36,53.26,52.25,53.14,1165792.0,0.0,1.0,52.36,53.26,52.25,53.14,1165792.0
2014-12-19,52.385,52.98,52.23,52.36,2911670.0,0.0,1.0,52.385,52.98,52.23,52.36,2911670.0
2014-12-18,50.81,52.32,50.48,52.29,2408313.0,0.0,1.0,50.81,52.32,50.48,52.29,2408313.0
2014-12-17,48.75,50.25,48.53,50.11,1540496.0,0.0,1.0,48.75,50.25,48.53,50.11,1540496.0
2014-12-16,48.49,49.65,48.49,48.73,1362903.0,0.0,1.0,48.49,49.65,48.49,48.73,1362903.0
2014-12-15,49.01,49.07,48.367,48.66,1187616.0,0.0,1.0,49.01,49.07,48.367,48.66,1187616.0
2014-12-12,49.3,49.76,48.51,48.59,1892700.0,0.0,1.0,49.3,49.76,48.51,48.59,1892700.0
2014-12-10,50.76,50.79,49.48,49.72,1204048.0,0.0,1.0,50.76,50.79,49.48,49.72,1204048.0
2014-12-09,50.46,51.11,50.39,51.07,654661.0,0.0,1.0,50.46,51.11,50.39,51.07,654661.0
2014-12-05,51.725,51.85,51.37,51.52,888007.0,0.0,1.0,51.725,51.85,51.37,51.52,888007.0
2014-12-04,51.67,51.96,51.5,51.74,681071.0,0.0,1.0,51.67,51.96,51.5,51.74,681071.0
2014-12-02,50.76,51.21,50.53,51.08,741185.0,0.0,1.0,50.76,51.21,50.53,51.08,741185.0
2014-12-01,50.69,51.09,50.39,50.65,1324362.0,0.0,1.0,50.69,51.09,50.39,50.65,1324362.0
2014-11-28,51.35,51.43,50.81,50.96,727858.0,0.0,1.0,51.35,51.43,50.81,50.96,727858.0
2014-11-26,51.92,52.0,51.5,51.7,1290433.0,0.0,1.0,51.92,52.0,51.5,51.7,1290433.0
2014-11-25,51.8,52.21,51.745,51.94,1011982.0,0.0,1.0,51.8,52.21,51.745,51.94,1011982.0
2014-11-24,51.68,51.95,51.45,51.68,950817.0,0.0,1.0,51.68,51.95,51.45,51.68,950817.0
2014-11-21,51.68,51.87,51.3,51.63,780999.0,0.0,1.0,51.68,51.87,51.3,51.63,780999.0
2014-11-20,50.64,51.22,50.63,50.92,694960.0,0.0,1.0,50.64,51.22,50.63,50.92,694960.0
2014-11-19,50.62,51.11,50.3,51.0,941438.0,0.0,1.0,50.62,51.11,50.3,51.0,941438.0
2014-11-18,50.93,51.61,50.59,50.71,2650388.0,0.0,1.0,50.93,51.61,50.59,50.71,2650388.0
2014-11-17,51.31,51.56,50.59,51.06,1771874.0,0.0,1.0,51.31,51.56,50.59,51.06,1771874.0
2014-11-14,50.02,51.86,49.99,51.7,2331111.0,0.0,1.0,50.02,51.86,49.99,51.7,2331111.0
2014-11-13,48.5,51.17,46.92,50.32,9870562.0,0.0,1.0,48.5,51.17,46.92,50.32,9870562.0
2014-11-12,51.95,52.34,51.84,52.22,1829025.0,0.0,1.0,51.95,52.34,51.84,52.22,1829025.0
2014-11-11,52.35,52.375,51.97,52.31,985203.0,0.0,1.0,52.35,52.375,51.97,52.31,985203.0
2014-11-10,52.0,52.36,51.82,52.22,1201388.0,0.0,1.0,52.0,52.36,51.82,52.22,1201388.0
2014-11-07,52.03,52.09,51.68,52.01,1458039.0,0.0,1.0,52.03,52.09,51.68,52.01,1458039.0
2014-11-06,51.5,52.18,51.2375,52.17,1326948.0,0.0,1.0,51.5,52.18,51.2375,52.17,1326948.0
2014-11-04,51.83,52.0,51.26,51.32,838461.0,0.0,1.0,51.83,52.0,51.26,51.32,838461.0
2014-11-03,52.25,52.4,51.46,51.99,1134323.0,0.0,1.0,52.25,52.4,51.46,51.99,1134323.0
2014-10-31,51.99,52.15,51.405,52.15,1592698.0,0.0,1.0,51.99,52.15,51.405,52.15,1592698.0
2014-10-30,50.6,51.52,50.6,51.23,877442.0,0.0,1.0,50.6,51.52,50.6,51.23,877442.0
2014-10-29,51.38,51.72,50.36,50.87,995761.0,0.0,1.0,51.38,51.72,50.36,50.87,995761.0
2014-10-28,50.2,51.61,50.07,51.58,1479819.0,0.0,1.0,50.2,51.61,50.07,51.58,1479819.0
2014-10-27,50.99,51.33,50.585,51.28,1200077.0,0.0,1.0,50.99,51.33,50.585,51.28,1200077.0
2014-10-24,50.58,51.39,50.45,51.33,984437.0,0.0,1.0,50.58,51.39,50.45,51.33,984437.0
2014-10-23,50.39,51.04,50.1,50.83,899155.0,0.0,1.0,50.39,51.04,50.1,50.83,899155.0
2014-10-22,50.57,50.61,49.62,49.65,1716020.0,0.0,1.0,50.57,50.61,49.62,49.65,1716020.0
2014-10-21,49.81,50.52,49.67,50.47,1355206.0,0.0,1.0,49.81,50.52,49.67,50.47,1355206.0
2014-10-20,48.58,49.3,48.32,49.27,1445950.0,0.0,1.0,48.58,49.3,48.32,49.27,1445950.0
