Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,7.78,7.83,7.59,7.61,13294308.0,0.0,1.0,7.78,7.83,7.59,7.61,13294308.0
2015-01-14,7.85,7.8554,7.62,7.73,13090107.0,0.0,1.0,7.85,7.8554,7.62,7.73,13090107.0
2015-01-13,7.93,8.22,7.865,7.96,13545414.0,0.0,1.0,7.93,8.22,7.865,7.96,13545414.0
2015-01-12,8.18,8.23,7.9,7.97,8025314.0,0.0,1.0,8.18,8.23,7.9,7.97,8025314.0
2015-01-08,8.56,8.89,8.5,8.83,11511654.0,0.0,1.0,8.56,8.89,8.5,8.83,11511654.0
2015-01-06,9.14,9.14,8.54,8.61,9805162.0,0.0,1.0,9.14,9.14,8.54,8.61,9805162.0
2015-01-05,9.24,9.28,9.11,9.16,7898693.0,0.0,1.0,9.24,9.28,9.11,9.16,7898693.0
2015-01-02,9.47,9.54,9.26,9.31,4414320.0,0.0,1.0,9.47,9.54,9.26,9.31,4414320.0
2014-12-31,9.53,9.55,9.38,9.39,6394056.0,0.0,1.0,9.53,9.55,9.38,9.39,6394056.0
2014-12-26,9.26,9.29,9.2,9.26,4348410.0,0.0,1.0,9.26,9.29,9.2,9.26,4348410.0
2014-12-24,9.3,9.35,9.17,9.22,2875048.0,0.0,1.0,9.3,9.35,9.17,9.22,2875048.0
2014-12-23,9.25,9.3301,9.22,9.29,8745558.0,0.0,1.0,9.25,9.3301,9.22,9.29,8745558.0
2014-12-22,9.54,9.56,9.32,9.4,8225227.0,0.0,1.0,9.54,9.56,9.32,9.4,8225227.0
2014-12-19,9.46,9.57,9.36,9.57,15161334.0,0.0,1.0,9.46,9.57,9.36,9.57,15161334.0
2014-12-18,9.45,9.6,9.38,9.46,9691999.0,0.0,1.0,9.45,9.6,9.38,9.46,9691999.0
2014-12-17,9.16,9.37,9.14,9.33,7867429.0,0.0,1.0,9.16,9.37,9.14,9.33,7867429.0
2014-12-16,9.1,9.31,8.95,9.11,9692503.0,0.0,1.0,9.1,9.31,8.95,9.11,9692503.0
2014-12-15,9.61,9.64,9.12,9.15,14028131.0,0.0,1.0,9.61,9.64,9.12,9.15,14028131.0
2014-12-12,9.83,9.95,9.56,9.59,8369029.0,0.0,1.0,9.83,9.95,9.56,9.59,8369029.0
2014-12-10,10.1,10.2,10.05,10.09,14932205.0,0.0,1.0,10.1,10.2,10.05,10.09,14932205.0
2014-12-09,9.73,10.14,9.71,10.13,15411965.0,0.0,1.0,9.73,10.14,9.71,10.13,15411965.0
2014-12-05,9.66,9.73,9.52,9.7,10873371.0,0.0,1.0,9.66,9.73,9.52,9.7,10873371.0
2014-12-04,9.8,9.85,9.595,9.67,11669024.0,0.0,1.0,9.8,9.85,9.595,9.67,11669024.0
2014-12-02,9.63,9.79,9.59,9.78,13172115.0,0.0,1.0,9.63,9.79,9.59,9.78,13172115.0
2014-12-01,9.77,9.8,9.5599,9.61,9654460.0,0.0,1.0,9.77,9.8,9.5599,9.61,9654460.0
2014-11-28,9.78,9.83,9.62,9.78,3612058.0,0.0,1.0,9.78,9.83,9.62,9.78,3612058.0
2014-11-26,9.84,9.85,9.7,9.71,4062673.0,0.0,1.0,9.84,9.85,9.7,9.71,4062673.0
2014-11-25,9.77,9.86,9.75,9.82,10146207.0,0.0,1.0,9.77,9.86,9.75,9.82,10146207.0
2014-11-24,9.91,10.035,9.72,9.77,7974620.0,0.0,1.0,9.91,10.035,9.72,9.77,7974620.0
2014-11-21,9.7,9.97,9.69,9.87,12249140.0,0.0,1.0,9.7,9.97,9.69,9.87,12249140.0
