Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,87.26,88.03,84.55,85.88,5813672.0,0.0,1.0,87.26,88.03,84.55,85.88,5813672.0
2015-01-14,87.44,88.42,86.25,87.07,6555126.0,0.0,1.0,87.44,88.42,86.25,87.07,6555126.0
2015-01-13,90.27,91.14,88.43,89.23,3526235.0,0.0,1.0,90.27,91.14,88.43,89.23,3526235.0
2015-01-12,90.5,90.94,89.08,89.5,3215660.0,0.0,1.0,90.5,90.94,89.08,89.5,3215660.0
2015-01-08,91.44,91.81,91.0,91.58,3771463.0,0.0,1.0,91.44,91.81,91.0,91.58,3771463.0
2015-01-06,90.7,90.9,87.94,88.63,4795456.0,0.0,1.0,90.7,90.9,87.94,88.63,4795456.0
2015-01-05,92.46,92.78,90.32,90.56,3464957.0,0.0,1.0,92.46,92.78,90.32,90.56,3464957.0
2015-01-02,93.28,93.94,92.14,93.02,2436291.0,0.0,1.0,93.28,93.94,92.14,93.02,2436291.0
2014-12-31,94.75,94.75,93.0,93.04,2296689.0,0.0,1.0,94.75,94.75,93.0,93.04,2296689.0
2014-12-30,94.21,94.46,94.03,94.27,1371552.0,0.0,1.0,94.21,94.46,94.03,94.27,1371552.0
2014-12-26,94.02,94.8,94.2,94.29,1439897.0,0.0,1.0,94.02,94.8,94.2,94.29,1439897.0
2014-12-24,94.16,94.79,93.96,94.08,1321515.0,0.0,1.0,94.16,94.79,93.96,94.08,1321515.0
2014-12-23,93.8,94.28,93.65,93.82,2853718.0,0.0,1.0,93.8,94.28,93.65,93.82,2853718.0
2014-12-22,93.0,93.66,92.825,93.62,2888500.0,0.0,1.0,93.0,93.66,92.825,93.62,2888500.0
2014-12-19,93.02,93.91,92.35,92.9,7280049.0,0.0,1.0,93.02,93.91,92.35,92.9,7280049.0
2014-12-18,91.69,93.21,91.49,93.17,4537890.0,0.0,1.0,91.69,93.21,91.49,93.17,4537890.0
2014-12-17,88.51,90.57,88.34,90.44,5189866.0,0.0,1.0,88.51,90.57,88.34,90.44,5189866.0
2014-12-16,89.37,90.79,88.19,88.24,4909010.0,0.0,1.0,89.37,90.79,88.19,88.24,4909010.0
2014-12-15,91.54,91.58,89.15,90.04,4718527.0,0.0,1.0,91.54,91.58,89.15,90.04,4718527.0
2014-12-12,92.4,93.02,90.94,91.0,4472964.0,0.0,1.0,92.4,93.02,90.94,91.0,4472964.0
2014-12-10,92.74,93.69,92.56,92.75,4634163.0,0.0,1.0,92.74,93.69,92.56,92.75,4634163.0
2014-12-09,92.16,93.4,91.98,93.36,4068654.0,0.0,1.0,92.16,93.4,91.98,93.36,4068654.0
2014-12-05,92.25,92.86,92.05,92.65,2870995.0,0.0,1.0,92.25,92.86,92.05,92.65,2870995.0
2014-12-04,91.39,91.85,91.19,91.83,3987873.0,0.0,1.0,91.39,91.85,91.19,91.83,3987873.0
2014-12-02,92.33,93.0,92.32,93.0,3107694.0,0.0,1.0,92.33,93.0,92.32,93.0,3107694.0
2014-12-01,92.14,92.63,91.66,92.14,3327876.0,0.0,1.0,92.14,92.63,91.66,92.14,3327876.0
2014-11-28,91.6,92.55,91.58,92.42,3070019.0,0.0,1.0,91.6,92.55,91.58,92.42,3070019.0
2014-11-26,91.24,91.71,90.93,91.45,2214237.0,0.0,1.0,91.24,91.71,90.93,91.45,2214237.0
2014-11-25,91.04,91.58,90.76,91.4,3309523.0,0.0,1.0,91.04,91.58,90.76,91.4,3309523.0
2014-11-24,90.8,91.17,90.21,91.04,3454795.0,0.0,1.0,90.8,91.17,90.21,91.04,3454795.0
2014-11-21,91.66,91.68,90.3,90.39,4027742.0,0.0,1.0,91.66,91.68,90.3,90.39,4027742.0
2014-11-20,89.93,90.91,89.82,90.62,2821413.0,0.0,1.0,89.93,90.91,89.82,90.62,2821413.0
2014-11-19,90.36,90.76,90.02,90.5,2659126.0,0.0,1.0,90.36,90.76,90.02,90.5,2659126.0
2014-11-18,90.13,90.93,90.03,90.58,2170645.0,0.0,1.0,90.13,90.93,90.03,90.58,2170645.0
2014-11-17,90.24,90.26,89.65,90.13,2613946.0,0.0,1.0,90.24,90.26,89.65,90.13,2613946.0
2014-11-14,91.07,91.24,90.3501,90.67,2358103.0,0.0,1.0,91.07,91.24,90.3501,90.67,2358103.0
2014-11-13,91.7,91.7,90.94,91.07,3632783.0,0.0,1.0,91.7,91.7,90.94,91.07,3632783.0
2014-11-12,91.16,91.665,91.1,91.55,3825143.0,0.0,1.0,91.16,91.665,91.1,91.55,3825143.0
2014-11-11,92.28,92.59,91.49,91.74,2719777.0,0.0,1.0,92.28,92.59,91.49,91.74,2719777.0
2014-11-10,92.21,92.43,91.85,92.4,2930483.0,0.0,1.0,92.21,92.43,91.85,92.4,2930483.0
2014-11-07,91.73,92.4801,91.23,92.26,3662191.0,0.0,1.0,91.73,92.4801,91.23,92.26,3662191.0
2014-11-06,92.03,92.2,91.11,91.58,5992588.0,0.0,1.0,92.03,92.2,91.11,91.58,5992588.0
2014-11-04,90.58,91.43,90.5,91.38,3161910.0,0.0,1.0,90.58,91.43,90.5,91.38,3161910.0
2014-11-03,90.39,91.21,90.22,90.85,3705475.0,0.0,1.0,90.39,91.21,90.22,90.85,3705475.0
2014-10-31,89.98,90.599,89.3675,89.95,6822889.0,0.0,1.0,89.98,90.599,89.3675,89.95,6822889.0
2014-10-30,88.64,89.49,88.2,88.74,5068006.0,0.0,1.0,88.64,89.49,88.2,88.74,5068006.0
2014-10-29,88.33,88.99,87.65,88.34,4567827.0,0.0,1.0,88.33,88.99,87.65,88.34,4567827.0
2014-10-28,87.05,88.01,86.96,88.01,3592560.0,0.0,1.0,87.05,88.01,86.96,88.01,3592560.0
2014-10-27,86.12,86.75,85.76,86.63,3608992.0,0.0,1.0,86.12,86.75,85.76,86.63,3608992.0
2014-10-24,85.39,86.43,85.59,86.4,3574216.0,0.0,1.0,85.39,86.43,85.59,86.4,3574216.0
2014-10-23,85.13,85.85,84.87,85.61,4991965.0,0.0,1.0,85.13,85.85,84.87,85.61,4991965.0
2014-10-22,85.62,85.87,83.93,83.96,5182245.0,0.0,1.0,85.62,85.87,83.93,83.96,5182245.0
2014-10-21,84.7,85.66,84.44,85.64,4846630.0,0.0,1.0,84.7,85.66,84.44,85.64,4846630.0
2014-10-20,82.87,84.1,82.6302,84.01,5219707.0,0.0,1.0,82.87,84.1,82.6302,84.01,5219707.0
