Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,174.26,174.5399,172.74,172.84,365902.0,0.0,1.0,174.26,174.5399,172.74,172.84,365902.0
2015-01-14,172.09,174.25,171.3,174.0,711308.0,0.0,1.0,172.09,174.25,171.3,174.0,711308.0
2015-01-13,175.71,177.2,171.93,173.5,520918.0,0.0,1.0,175.71,177.2,171.93,173.5,520918.0
2015-01-12,174.88,175.04,173.26,174.07,413749.0,0.0,1.0,174.88,175.04,173.26,174.07,413749.0
2015-01-08,171.87,175.0,171.38,174.87,666500.0,0.0,1.0,171.87,175.0,171.38,174.87,666500.0
2015-01-06,165.23,166.54,163.61,165.56,853297.0,0.0,1.0,165.23,166.54,163.61,165.56,853297.0
2015-01-05,163.96,166.72,163.08,164.99,839625.0,0.0,1.0,163.96,166.72,163.08,164.99,839625.0
2015-01-02,166.88,168.52,166.27,167.48,503753.0,0.0,1.0,166.88,168.52,166.27,167.48,503753.0
2014-12-31,169.05,170.23,166.52,166.62,379927.0,0.0,1.0,169.05,170.23,166.52,166.62,379927.0
2014-12-30,169.03,169.74,168.32,168.66,228777.0,0.0,1.0,169.03,169.74,168.32,168.66,228777.0
2014-12-26,168.94,169.89,168.1,168.4,151291.0,0.0,1.0,168.94,169.89,168.1,168.4,151291.0
2014-12-24,169.4,169.95,168.71,169.1,267284.0,0.0,1.0,169.4,169.95,168.71,169.1,267284.0
2014-12-23,169.67,170.3,168.23,169.54,315955.0,0.0,1.0,169.67,170.3,168.23,169.54,315955.0
2014-12-22,169.9,171.0,168.8971,169.51,465415.0,0.0,1.0,169.9,171.0,168.8971,169.51,465415.0
2014-12-19,171.82,172.755,169.44,169.5,989154.0,0.0,1.0,171.82,172.755,169.44,169.5,989154.0
2014-12-18,170.59,171.75,169.97,171.58,779464.0,0.0,1.0,170.59,171.75,169.97,171.58,779464.0
2014-12-17,166.52,169.73,166.1001,168.87,461787.0,0.0,1.0,166.52,169.73,166.1001,168.87,461787.0
2014-12-16,166.13,169.05,165.37,165.84,665830.0,0.0,1.0,166.13,169.05,165.37,165.84,665830.0
2014-12-15,167.59,168.83,164.43,166.21,687189.0,0.0,1.0,167.59,168.83,164.43,166.21,687189.0
2014-12-12,167.86,169.47,167.43,167.49,379232.0,0.0,1.0,167.86,169.47,167.43,167.49,379232.0
2014-12-10,169.47,170.39,167.34,167.47,624375.0,0.0,1.0,169.47,170.39,167.34,167.47,624375.0
2014-12-09,171.12,171.53,169.82,170.1,718913.0,0.0,1.0,171.12,171.53,169.82,170.1,718913.0
2014-12-05,172.53,174.455,172.02,172.37,649521.0,0.0,1.0,172.53,174.455,172.02,172.37,649521.0
2014-12-04,172.16,173.84,171.4418,172.47,516013.0,0.0,1.0,172.16,173.84,171.4418,172.47,516013.0
2014-12-02,170.71,171.65,170.25,170.99,527750.0,0.0,1.0,170.71,171.65,170.25,170.99,527750.0
2014-12-01,166.21,170.58,166.54,170.04,787874.0,0.0,1.0,166.21,170.58,166.54,170.04,787874.0
2014-11-28,166.71,169.19,167.19,167.35,223675.0,0.0,1.0,166.71,169.19,167.19,167.35,223675.0
2014-11-26,167.13,167.93,166.59,167.17,325672.0,0.0,1.0,167.13,167.93,166.59,167.17,325672.0
