Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,141.49,142.1,140.47,140.67,1192382.0,0.0,1.0,141.49,142.1,140.47,140.67,1192382.0
2015-01-14,140.37,141.64,138.98,140.81,1685782.0,0.0,1.0,140.37,141.64,138.98,140.81,1685782.0
2015-01-13,144.51,145.65,140.73,141.72,1688544.0,0.0,1.0,144.51,145.65,140.73,141.72,1688544.0
2015-01-12,144.7,145.02,142.975,143.56,884491.0,0.0,1.0,144.7,145.02,142.975,143.56,884491.0
2015-01-08,144.97,146.74,144.69,146.36,1340653.0,0.0,1.0,144.97,146.74,144.69,146.36,1340653.0
2015-01-06,141.48,141.83,139.25,140.45,2312209.0,0.0,1.0,141.48,141.83,139.25,140.45,2312209.0
2015-01-05,140.0,142.44,139.63,140.72,1388313.0,0.0,1.0,140.0,142.44,139.63,140.72,1388313.0
2015-01-02,140.27,140.88,139.375,139.86,1411772.0,0.0,1.0,140.27,140.88,139.375,139.86,1411772.0
2014-12-31,140.74,141.69,138.97,139.16,902306.0,0.0,1.0,140.74,141.69,138.97,139.16,902306.0
2014-12-30,139.62,141.16,139.54,139.93,692324.0,0.0,1.0,139.62,141.16,139.54,139.93,692324.0
2014-12-26,140.08,140.98,139.2,139.34,554064.0,0.0,1.0,140.08,140.98,139.2,139.34,554064.0
2014-12-24,138.55,141.08,138.55,139.9,351745.0,0.0,1.0,138.55,141.08,138.55,139.9,351745.0
2014-12-23,140.8,141.3,137.83,138.46,1175826.0,0.0,1.0,140.8,141.3,137.83,138.46,1175826.0
2014-12-22,139.21,140.38,138.99,140.0,814771.0,0.0,1.0,139.21,140.38,138.99,140.0,814771.0
2014-12-19,140.39,141.44,139.49,139.81,1550280.0,0.0,1.0,140.39,141.44,139.49,139.81,1550280.0
2014-12-18,137.8,140.44,137.56,140.43,1610036.0,0.0,1.0,137.8,140.44,137.56,140.43,1610036.0
2014-12-17,134.85,137.1,134.48,136.8,1614569.0,0.0,1.0,134.85,137.1,134.48,136.8,1614569.0
2014-12-16,134.97,136.11,134.0,134.04,1271876.0,0.0,1.0,134.97,136.11,134.0,134.04,1271876.0
2014-12-15,137.77,137.9,135.03,135.75,1319396.0,0.0,1.0,137.77,137.9,135.03,135.75,1319396.0
2014-12-12,136.71,138.59,136.65,136.99,1532504.0,0.0,1.0,136.71,138.59,136.65,136.99,1532504.0
2014-12-10,139.21,139.32,136.52,136.65,983677.0,0.0,1.0,139.21,139.32,136.52,136.65,983677.0
2014-12-09,138.41,139.54,137.45,139.45,1189338.0,0.0,1.0,138.41,139.54,137.45,139.45,1189338.0
2014-12-05,140.35,140.74,138.705,139.15,852446.0,0.0,1.0,140.35,140.74,138.705,139.15,852446.0
2014-12-04,139.88,142.56,139.88,140.68,1193458.0,0.0,1.0,139.88,142.56,139.88,140.68,1193458.0
2014-12-02,141.0,141.64,140.22,141.02,1307220.0,0.0,1.0,141.0,141.64,140.22,141.02,1307220.0
2014-12-01,140.04,141.56,138.81,141.15,1311834.0,0.0,1.0,140.04,141.56,138.81,141.15,1311834.0
2014-11-28,141.55,142.3299,139.97,140.33,868773.0,0.0,1.0,141.55,142.3299,139.97,140.33,868773.0
2014-11-26,136.85,141.68,136.79,141.26,2963594.0,0.0,1.0,136.85,141.68,136.79,141.26,2963594.0
2014-11-25,131.12,135.27,131.03,134.73,2154710.0,0.0,1.0,131.12,135.27,131.03,134.73,2154710.0
2014-11-24,130.83,131.14,129.96,131.11,697536.0,0.0,1.0,130.83,131.14,129.96,131.11,697536.0
2014-11-21,131.57,131.79,129.99,130.38,1280236.0,0.0,1.0,131.57,131.79,129.99,130.38,1280236.0
2014-11-20,129.57,130.42,129.04,130.4,970463.0,0.0,1.0,129.57,130.42,129.04,130.4,970463.0
2014-11-19,130.59,131.07,129.39,130.11,1093553.0,0.0,1.0,130.59,131.07,129.39,130.11,1093553.0
2014-11-18,129.2,131.145,129.25,130.94,1071393.0,0.0,1.0,129.2,131.145,129.25,130.94,1071393.0
2014-11-17,129.2,130.12,128.892,129.54,813515.0,0.0,1.0,129.2,130.12,128.892,129.54,813515.0
2014-11-14,129.08,129.69,128.71,129.2,795565.0,0.0,1.0,129.08,129.69,128.71,129.2,795565.0
2014-11-13,129.75,129.78,128.985,129.31,763886.0,0.0,1.0,129.75,129.78,128.985,129.31,763886.0
2014-11-12,128.22,129.43,128.22,129.35,1000951.0,0.0,1.0,128.22,129.43,128.22,129.35,1000951.0
2014-11-11,128.3,128.93,127.74,128.76,740725.0,0.0,1.0,128.3,128.93,127.74,128.76,740725.0
2014-11-10,125.8,128.33,125.58,128.3,986285.0,0.0,1.0,125.8,128.33,125.58,128.3,986285.0
2014-11-07,127.93,128.2,125.35,125.54,1293524.0,0.0,1.0,127.93,128.2,125.35,125.54,1293524.0
2014-11-06,127.42,127.98,126.49,127.93,941857.0,0.0,1.0,127.42,127.98,126.49,127.93,941857.0
2014-11-04,130.61,131.15,125.94,126.34,1559977.0,0.0,1.0,130.61,131.15,125.94,126.34,1559977.0
2014-11-03,128.52,128.68,126.87,127.42,1087270.0,0.0,1.0,128.52,128.68,126.87,127.42,1087270.0
2014-10-31,129.21,129.34,127.87,128.7,1319950.0,0.0,1.0,129.21,129.34,127.87,128.7,1319950.0
2014-10-30,126.065,127.56,125.565,127.52,1145925.0,0.0,1.0,126.065,127.56,125.565,127.52,1145925.0
2014-10-29,126.27,127.13,126.01,126.77,774320.0,0.0,1.0,126.27,127.13,126.01,126.77,774320.0
2014-10-28,126.54,126.71,125.77,126.52,936007.0,0.0,1.0,126.54,126.71,125.77,126.52,936007.0
2014-10-27,125.67,126.23,125.43,125.8,852558.0,0.0,1.0,125.67,126.23,125.43,125.8,852558.0
2014-10-24,125.05,125.87,124.98,125.73,899536.0,0.0,1.0,125.05,125.87,124.98,125.73,899536.0
2014-10-23,125.16,125.53,124.68,125.0,1127022.0,0.0,1.0,125.16,125.53,124.68,125.0,1127022.0
2014-10-22,123.75,124.86,123.26,123.72,1931334.0,0.0,1.0,123.75,124.86,123.26,123.72,1931334.0
2014-10-21,123.48,124.18,122.56,123.31,2124673.0,0.0,1.0,123.48,124.18,122.56,123.31,2124673.0
2014-10-20,121.73,123.02,121.65,122.66,1906018.0,0.0,1.0,121.73,123.02,121.65,122.66,1906018.0
2014-10-17,121.56,122.48,120.76,121.73,1933582.0,0.0,1.0,121.56,122.48,120.76,121.73,1933582.0
2014-10-16,122.91,123.635,120.29,120.78,2731322.0,0.0,1.0,122.91,123.635,120.29,120.78,2731322.0
2014-10-15,123.62,125.1,121.11,124.53,2980643.0,0.0,1.0,123.62,125.1,121.11,124.53,2980643.0
2014-10-14,126.5,127.59,125.02,125.07,1847791.0,0.0,1.0,126.5,127.59,125.02,125.07,1847791.0
2014-10-13,127.73,128.02,125.83,125.83,1755699.0,0.0,1.0,127.73,128.02,125.83,125.83,1755699.0
2014-10-10,127.76,128.86,127.11,127.87,2268903.0,0.0,1.0,127.76,128.86,127.11,127.87,2268903.0
2014-10-09,129.46,130.21,127.5901,127.94,2844700.0,0.0,1.0,129.46,130.21,127.5901,127.94,2844700.0
2014-10-08,127.23,129.92,127.2,129.9,2839637.0,0.0,1.0,127.23,129.92,127.2,129.9,2839637.0
2014-10-07,124.87,129.09,124.06,128.0,5753630.0,0.0,1.0,124.87,129.09,124.06,128.0,5753630.0
2014-10-06,124.65,125.56,122.05,124.98,12966348.0,0.0,1.0,124.65,125.56,122.05,124.98,12966348.0
2014-10-03,114.91,116.14,114.61,115.84,1019926.0,0.0,1.0,114.91,116.14,114.61,115.84,1019926.0
2014-10-01,113.84,114.07,112.98,113.6,1362947.0,0.0,1.0,113.84,114.07,112.98,113.6,1362947.0
