Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,55.53,55.91,53.48,53.53,5269694.0,0.0,1.0,55.53,55.91,53.48,53.53,5269694.0
2015-01-14,54.68,55.41,53.72,54.81,7377101.0,0.0,1.0,54.68,55.41,53.72,54.81,7377101.0
2015-01-13,55.47,56.22,55.13,55.24,5761906.0,0.0,1.0,55.47,56.22,55.13,55.24,5761906.0
2015-01-12,55.19,55.61,54.86,55.09,5782913.0,0.0,1.0,55.19,55.61,54.86,55.09,5782913.0
2015-01-08,57.05,57.2,56.32,57.03,4395278.0,0.0,1.0,57.05,57.2,56.32,57.03,4395278.0
2015-01-06,54.92,55.8,54.73,54.99,5930516.0,0.0,1.0,54.92,55.8,54.73,54.99,5930516.0
2015-01-05,55.33,55.66,54.96,55.16,5563785.0,0.0,1.0,55.33,55.66,54.96,55.16,5563785.0
2015-01-02,55.87,56.79,55.69,56.17,2786921.0,0.0,1.0,55.87,56.79,55.69,56.17,2786921.0
2014-12-31,55.7,56.63,55.15,56.07,3199061.0,0.0,1.0,55.7,56.63,55.15,56.07,3199061.0
2014-12-30,57.19,57.19,56.27,56.29,2922253.0,0.0,1.0,57.19,57.19,56.27,56.29,2922253.0
2014-12-26,56.84,57.01,56.12,56.33,2180926.0,0.0,1.0,56.84,57.01,56.12,56.33,2180926.0
2014-12-24,56.09,56.68,55.61,56.34,2094762.0,0.0,1.0,56.09,56.68,55.61,56.34,2094762.0
2014-12-23,56.15,56.59,55.77,56.44,4887213.0,0.0,1.0,56.15,56.59,55.77,56.44,4887213.0
2014-12-22,56.84,57.03,55.87,56.06,4421360.0,0.0,1.0,56.84,57.03,55.87,56.06,4421360.0
2014-12-19,56.22,57.57,56.0,57.15,8497099.0,0.0,1.0,56.22,57.57,56.0,57.15,8497099.0
2014-12-18,57.4,57.82,54.83,55.77,9217489.0,0.0,1.0,57.4,57.82,54.83,55.77,9217489.0
2014-12-17,55.15,57.5,54.52,56.35,8720305.0,0.0,1.0,55.15,57.5,54.52,56.35,8720305.0
2014-12-16,54.49,57.03,54.161,55.15,6054669.0,0.0,1.0,54.49,57.03,54.161,55.15,6054669.0
2014-12-15,55.58,56.09,54.81,54.93,5325606.0,0.0,1.0,55.58,56.09,54.81,54.93,5325606.0
2014-12-12,55.01,55.82,54.69,54.99,5843817.0,0.0,1.0,55.01,55.82,54.69,54.99,5843817.0
2014-12-10,55.5,56.15,55.15,55.34,9138198.0,0.0,1.0,55.5,56.15,55.15,55.34,9138198.0
2014-12-09,54.59,56.75,54.42,56.71,9056181.0,0.0,1.0,54.59,56.75,54.42,56.71,9056181.0
2014-12-05,57.77,57.92,56.43,57.02,4311564.0,0.0,1.0,57.77,57.92,56.43,57.02,4311564.0
2014-12-04,56.9,58.4,56.7315,57.61,5718884.0,0.0,1.0,56.9,58.4,56.7315,57.61,5718884.0
2014-12-02,56.73,57.29,56.0576,56.75,9829922.0,0.0,1.0,56.73,57.29,56.0576,56.75,9829922.0
2014-12-01,56.52,57.25,55.57,56.51,10792261.0,0.0,1.0,56.52,57.25,55.57,56.51,10792261.0
2014-11-28,59.38,59.37,56.04,57.0,8822441.0,0.0,1.0,59.38,59.37,56.04,57.0,8822441.0
2014-11-26,62.76,63.21,62.03,62.58,5259588.0,0.0,1.0,62.76,63.21,62.03,62.58,5259588.0
2014-11-25,65.16,65.38,63.05,63.2,6627229.0,0.0,1.0,65.16,65.38,63.05,63.2,6627229.0
2014-11-24,65.06,66.11,64.54,64.72,8919769.0,0.0,1.0,65.06,66.11,64.54,64.72,8919769.0
2014-11-21,65.56,66.28,64.89,65.83,13582050.0,0.0,1.0,65.56,66.28,64.89,65.83,13582050.0
2014-11-20,63.55,64.62,63.11,64.41,10128220.0,0.0,1.0,63.55,64.62,63.11,64.41,10128220.0
2014-11-19,63.51,63.84,62.3,63.51,18239793.0,0.0,1.0,63.51,63.84,62.3,63.51,18239793.0
2014-11-18,66.02,66.5,63.51,63.55,26308537.0,0.0,1.0,66.02,66.5,63.51,63.55,26308537.0
2014-11-17,66.54,67.81,64.92,65.23,69676460.0,0.0,1.0,66.54,67.81,64.92,65.23,69676460.0
2014-11-14,61.95,62.04,58.0,59.89,43808190.0,0.0,1.0,61.95,62.04,58.0,59.89,43808190.0
2014-11-13,50.68,61.76,48.65,58.75,19209320.0,0.0,1.0,50.68,61.76,48.65,58.75,19209320.0
2014-11-12,50.94,52.049,50.63,50.98,4183635.0,0.0,1.0,50.94,52.049,50.63,50.98,4183635.0
2014-11-11,51.92,52.0,50.735,51.48,3985018.0,0.0,1.0,51.92,52.0,50.735,51.48,3985018.0
2014-11-10,52.95,53.582,51.385,51.64,4827834.0,0.0,1.0,52.95,53.582,51.385,51.64,4827834.0
2014-11-07,51.63,53.3,51.59,52.3,5058617.0,0.0,1.0,51.63,53.3,51.59,52.3,5058617.0
2014-11-06,50.82,51.5399,50.12,51.49,5153757.0,0.0,1.0,50.82,51.5399,50.12,51.49,5153757.0
2014-11-04,51.1,51.35,49.45,50.02,9146076.0,0.0,1.0,51.1,51.35,49.45,50.02,9146076.0
2014-11-03,52.95,53.62,51.65,51.9,7466836.0,0.0,1.0,52.95,53.62,51.65,51.9,7466836.0
2014-10-31,51.41,53.02,51.39,52.96,5971440.0,0.0,1.0,51.41,53.02,51.39,52.96,5971440.0
2014-10-30,51.97,52.865,51.82,52.06,5598652.0,0.17,1.0,51.97,52.865,51.82,52.06,5598652.0
2014-10-29,52.71,53.3,52.01,52.67,5252918.0,0.0,1.0,52.538437679495,53.126517327207,51.840716063565,52.49856787287,5252918.0
