Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,65.76,65.78,64.92,64.96,407791.0,0.0,1.0,65.76,65.78,64.92,64.96,407791.0
2015-01-14,64.59,65.54,64.57,65.5,452653.0,0.0,1.0,64.59,65.54,64.57,65.5,452653.0
2015-01-13,66.41,67.29,64.9,65.47,900988.0,0.0,1.0,66.41,67.29,64.9,65.47,900988.0
2015-01-12,66.26,66.44,65.15,65.79,951118.0,0.0,1.0,66.26,66.44,65.15,65.79,951118.0
2015-01-08,66.77,67.95,66.77,67.41,993775.0,0.0,1.0,66.77,67.95,66.77,67.41,993775.0
2015-01-06,65.72,66.71,64.82,65.69,991022.0,0.0,1.0,65.72,66.71,64.82,65.69,991022.0
2015-01-05,67.73,68.0,66.51,66.82,895141.0,0.0,1.0,67.73,68.0,66.51,66.82,895141.0
2015-01-02,68.62,69.02,67.5,68.31,471299.0,0.0,1.0,68.62,69.02,67.5,68.31,471299.0
2014-12-31,69.48,69.6,68.14,68.17,479981.0,0.0,1.0,69.48,69.6,68.14,68.17,479981.0
2014-12-30,70.2,70.35,69.46,69.49,435248.0,0.0,1.0,70.2,70.35,69.46,69.49,435248.0
2014-12-26,69.97,70.12,69.49,69.5,289132.0,0.0,1.0,69.97,70.12,69.49,69.5,289132.0
2014-12-24,69.92,69.9404,69.44,69.7,182540.0,0.0,1.0,69.92,69.9404,69.44,69.7,182540.0
2014-12-23,69.45,70.23,69.33,69.84,605387.0,0.0,1.0,69.45,70.23,69.33,69.84,605387.0
2014-12-22,68.72,69.23,68.63,69.2,449265.0,0.0,1.0,68.72,69.23,68.63,69.2,449265.0
2014-12-19,68.26,68.78,68.08,68.61,1099244.0,0.0,1.0,68.26,68.78,68.08,68.61,1099244.0
2014-12-18,66.3,67.83,66.17,67.83,963920.0,0.0,1.0,66.3,67.83,66.17,67.83,963920.0
2014-12-17,65.18,65.72,64.54,65.51,1169657.0,0.0,1.0,65.18,65.72,64.54,65.51,1169657.0
2014-12-16,65.21,65.95,64.96,64.96,776114.0,0.0,1.0,65.21,65.95,64.96,64.96,776114.0
2014-12-15,66.77,66.86,65.29,65.47,1142715.0,0.0,1.0,66.77,66.86,65.29,65.47,1142715.0
2014-12-12,66.91,67.29,66.38,66.46,865863.0,0.0,1.0,66.91,67.29,66.38,66.46,865863.0
2014-12-10,68.27,68.94,67.6,67.67,819955.0,0.0,1.0,68.27,68.94,67.6,67.67,819955.0
2014-12-09,67.69,68.33,67.32,68.32,973957.0,0.0,1.0,67.69,68.33,67.32,68.32,973957.0
2014-12-05,69.61,69.95,69.14,69.44,884813.0,0.0,1.0,69.61,69.95,69.14,69.44,884813.0
2014-12-04,69.4,70.495,69.06,69.81,1974916.0,0.0,1.0,69.4,70.495,69.06,69.81,1974916.0
2014-12-02,67.27,67.9665,67.165,67.8,1280243.0,0.0,1.0,67.27,67.9665,67.165,67.8,1280243.0
2014-12-01,66.9,67.86,66.57,67.39,1484706.0,0.0,1.0,66.9,67.86,66.57,67.39,1484706.0
2014-11-28,66.68,67.6,66.6,67.07,643940.0,0.0,1.0,66.68,67.6,66.6,67.07,643940.0
2014-11-26,65.79,66.35,65.52,66.29,700490.0,0.13,1.0,65.79,66.35,65.52,66.29,700490.0
2014-11-25,65.06,65.94,64.81,65.61,876645.0,0.0,1.0,64.932661848841,65.810939476061,64.683151159289,65.481585365854,876645.0
2014-11-24,64.86,65.32,64.81,64.97,852269.0,0.0,1.0,64.7330532972,65.192152965974,64.683151159289,64.842838000602,852269.0
2014-11-21,65.71,65.89,64.54,64.71,1203193.0,0.0,1.0,65.581389641674,65.761037338151,64.413679614574,64.583346883469,1203193.0
2014-11-20,64.23,64.985,64.09,64.84,1124579.0,0.0,1.0,64.10428635953,64.857808641975,63.964560373382,64.713092442036,1124579.0
2014-11-19,64.68,65.0,64.36,64.5,989680.0,0.0,1.0,64.553405600723,64.872779283348,64.234031918097,64.373757904246,989680.0
2014-11-18,64.5,65.38,64.41,64.93,1018511.0,0.0,1.0,64.373757904246,65.252035531466,64.283934056007,64.802916290274,1018511.0
2014-11-17,64.0,64.63,64.0,64.41,771069.0,0.0,1.0,63.874736525143,64.503503462812,63.874736525143,64.283934056007,771069.0
2014-11-14,65.1,65.23,64.13,64.24,1117894.0,0.0,1.0,64.972583559169,65.102329117736,64.00448208371,64.114266787112,1117894.0
2014-11-13,65.45,66.01,64.92,65.16,1638400.0,0.0,1.0,65.321898524541,65.880802469136,64.792935862692,65.032466124661,1638400.0
2014-11-12,65.84,65.93,65.02,65.55,715005.0,0.0,1.0,65.711135200241,65.800959048479,64.892740138512,65.421702800361,715005.0
2014-11-11,65.89,66.28,65.56,65.89,671925.0,0.0,1.0,65.761037338151,66.150274013851,65.431683227943,65.761037338151,671925.0
2014-11-10,64.81,65.91,64.81,65.9,926306.0,0.0,1.0,64.683151159289,65.780998193315,64.683151159289,65.771017765733,926306.0
2014-11-07,64.88,65.36,64.795,64.97,819069.0,0.0,1.0,64.753014152364,65.232074676302,64.668180517916,64.842838000602,819069.0
2014-11-06,64.72,65.05,64.36,64.69,866118.0,0.0,1.0,64.593327311051,64.922681421259,64.234031918097,64.563386028305,866118.0
2014-11-04,63.44,64.39,63.39,63.93,1592524.0,0.0,1.0,63.315832580548,64.263973200843,63.265930442638,63.804873532069,1592524.0
2014-11-03,64.32,64.53,63.13,63.39,1998062.0,0.0,1.0,64.194110207769,64.403699186992,63.006439325504,63.265930442638,1998062.0
2014-10-31,63.94,64.53,63.4501,64.43,1865556.0,0.0,1.0,63.814853959651,64.403699186992,63.325912812406,64.303894911171,1865556.0
2014-10-30,64.22,64.92,62.9,63.3,2287166.0,0.0,1.0,64.094305931948,64.792935862692,62.776889491117,63.176106594399,2287166.0
2014-10-29,66.66,67.03,65.71,66.59,2518879.0,0.0,1.0,66.529530261969,66.898806082505,65.581389641674,66.459667268895,2518879.0
2014-10-28,65.94,66.58,65.83,66.58,1092691.0,0.0,1.0,65.810939476061,66.449686841313,65.701154772659,66.449686841313,1092691.0
2014-10-27,66.52,66.52,65.09,65.51,1375951.0,0.0,1.0,66.389804275821,66.389804275821,64.962603131587,65.381781090033,1375951.0
2014-10-24,66.58,67.06,66.14,66.75,769498.0,0.0,1.0,66.449686841313,66.928747365251,66.010548027703,66.619354110208,769498.0
2014-10-23,67.4,67.46,66.2315,66.58,1281201.0,0.0,1.0,67.268081903041,67.327964468534,66.101868940078,66.449686841313,1281201.0
2014-10-22,68.17,68.215,66.83,66.87,1354221.0,0.0,1.0,68.036574826859,68.081486750979,66.699197530864,66.739119241192,1354221.0
2014-10-21,66.11,67.91,65.94,67.89,1664138.0,0.0,1.0,65.980606744956,67.777083709726,65.810939476061,67.757122854562,1664138.0
2014-10-20,65.155,66.11,65.046,65.97,1228790.0,0.0,1.0,65.02747591087,65.980606744956,64.918689250226,65.840880758808,1228790.0
2014-10-17,64.465,65.28,64.24,65.03,1340879.0,0.0,1.0,64.338826407709,65.152231255646,64.114266787112,64.902720566095,1340879.0
2014-10-16,63.25,64.5699,63.22,63.97,1192700.0,0.0,1.0,63.126204456489,64.443521093044,63.096263173743,63.844795242397,1192700.0
2014-10-15,62.76,64.15,62.19,63.96,2195099.0,0.0,1.0,62.637163504968,64.024442938874,62.068279132791,63.834814814815,2195099.0
2014-10-14,62.08,63.26,61.89,63.07,1106453.0,0.0,1.0,61.958494429389,63.136184884071,61.76886630533,62.946556760012,1106453.0
2014-10-13,62.59,63.29,61.79,61.81,1373722.0,0.0,1.0,62.467496236073,63.166126166817,61.669062029509,61.689022884673,1373722.0
2014-10-10,62.95,63.82,62.59,62.62,1457097.0,0.0,1.0,62.826791629027,63.695088828666,62.467496236073,62.49743751882,1457097.0
2014-10-09,63.57,64.35,62.85,63.06,1111604.0,0.0,1.0,63.445578139115,64.224051490515,62.726987353207,62.93657633243,1111604.0
2014-10-08,62.42,63.9,62.13,63.84,814040.0,0.0,1.0,62.297828967179,63.774932249322,62.008396567299,63.71504968383,814040.0
2014-10-07,63.12,63.23,62.37,62.41,687001.0,0.0,1.0,62.996458897922,63.106243601325,62.247926829268,62.287848539597,687001.0
2014-10-06,63.5,63.65,62.85,63.1,536609.0,0.0,1.0,63.37571514604,63.525421559771,62.726987353207,62.976498042758,536609.0
2014-10-03,62.49,63.29,62.35,63.12,789216.0,0.0,1.0,62.367691960253,63.166126166817,62.227965974104,62.996458897922,789216.0
2014-10-01,63.1,63.26,61.951,62.11,1550331.0,0.0,1.0,62.976498042758,63.136184884071,61.82974691358,61.988435712135,1550331.0
2014-09-30,64.18,64.27,63.19,63.27,1160803.0,0.0,1.0,64.05438422162,64.144208069858,63.066321890997,63.146165311653,1160803.0
2014-09-29,63.11,64.45,62.85,64.19,936038.0,0.0,1.0,62.98647847034,64.323855766335,62.726987353207,64.064364649202,936038.0
2014-09-26,63.44,63.68,63.14,63.37,532357.0,0.0,1.0,63.315832580548,63.555362842517,63.016419753086,63.245969587474,532357.0
2014-09-25,63.53,63.9,63.213,63.51,749202.0,0.0,1.0,63.405656428787,63.774932249322,63.089276874435,63.385695573622,749202.0
2014-09-24,63.97,64.25,63.628,63.97,608786.0,0.0,1.0,63.844795242397,64.124247214694,63.503464619091,63.844795242397,608786.0
2014-09-23,64.4,64.73,63.88,63.92,1072505.0,0.0,1.0,64.273953628425,64.603307738633,63.754971394158,63.794893104487,1072505.0
2014-09-22,64.48,64.5827,64.24,64.44,884946.0,0.0,1.0,64.353797049082,64.456296040349,64.114266787112,64.313875338753,884946.0
2014-09-19,64.41,64.645,64.27,64.38,1397996.0,0.0,1.0,64.283934056007,64.518474104185,64.144208069858,64.253992773261,1397996.0
2014-09-18,64.65,64.66,64.0,64.2,885894.0,0.0,1.0,64.523464317977,64.533444745559,63.874736525143,64.074345076784,885894.0
