Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,35.67,36.65,35.555,36.34,6021673.0,0.0,1.0,35.67,36.65,35.555,36.34,6021673.0
2015-01-14,35.57,35.67,35.24,35.51,2480353.0,0.0,1.0,35.57,35.67,35.24,35.51,2480353.0
2015-01-13,35.87,36.18,35.54,35.82,2384509.0,0.0,1.0,35.87,36.18,35.54,35.82,2384509.0
2015-01-12,35.92,36.2,35.61,35.68,2039992.0,0.0,1.0,35.92,36.2,35.61,35.68,2039992.0
2015-01-08,36.1,36.7,36.05,36.69,3229706.0,0.0,1.0,36.1,36.7,36.05,36.69,3229706.0
2015-01-06,35.51,35.65,34.91,35.08,4065953.0,0.0,1.0,35.51,35.65,34.91,35.08,4065953.0
2015-01-05,35.74,36.01,35.42,35.43,4199482.0,0.0,1.0,35.74,36.01,35.42,35.43,4199482.0
2015-01-02,36.22,36.29,35.81,35.82,3985958.0,0.0,1.0,36.22,36.29,35.81,35.82,3985958.0
2014-12-31,36.96,36.99,36.24,36.28,1891327.0,0.0,1.0,36.96,36.99,36.24,36.28,1891327.0
2014-12-30,36.96,37.17,36.79,36.81,1410723.0,0.0,1.0,36.96,37.17,36.79,36.81,1410723.0
2014-12-26,36.87,37.09,36.8,36.86,830396.0,0.0,1.0,36.87,37.09,36.8,36.86,830396.0
2014-12-24,36.96,37.08,36.82,36.86,1195926.0,0.0,1.0,36.96,37.08,36.82,36.86,1195926.0
2014-12-23,36.95,37.12,36.84,36.93,2375845.0,0.0,1.0,36.95,37.12,36.84,36.93,2375845.0
2014-12-22,36.85,37.14,36.5,36.86,2508598.0,0.0,1.0,36.85,37.14,36.5,36.86,2508598.0
2014-12-19,36.64,37.15,36.51,36.86,6717331.0,0.0,1.0,36.64,37.15,36.51,36.86,6717331.0
2014-12-18,35.75,36.6,35.0701,36.58,6350798.0,0.0,1.0,35.75,36.6,35.0701,36.58,6350798.0
2014-12-17,36.64,37.1,36.46,37.1,3041092.0,0.0,1.0,36.64,37.1,36.46,37.1,3041092.0
2014-12-16,36.57,37.22,36.44,36.55,2477923.0,0.0,1.0,36.57,37.22,36.44,36.55,2477923.0
2014-12-15,36.93,37.05,36.42,36.66,2405040.0,0.0,1.0,36.93,37.05,36.42,36.66,2405040.0
2014-12-12,36.98,37.28,36.72,36.73,2584342.0,0.0,1.0,36.98,37.28,36.72,36.73,2584342.0
2014-12-10,36.98,37.041,36.48,36.8,3840794.0,0.0,1.0,36.98,37.041,36.48,36.8,3840794.0
2014-12-09,36.73,37.07,36.5069,36.98,1958768.0,0.0,1.0,36.73,37.07,36.5069,36.98,1958768.0
2014-12-05,36.4,36.99,36.4,36.99,2702087.0,0.0,1.0,36.4,36.99,36.4,36.99,2702087.0
2014-12-04,36.6,36.79,36.3821,36.51,1850608.0,0.0,1.0,36.6,36.79,36.3821,36.51,1850608.0
2014-12-02,36.53,36.93,36.41,36.82,2715882.0,0.0,1.0,36.53,36.93,36.41,36.82,2715882.0
2014-12-01,36.42,36.85,36.29,36.41,1822772.0,0.0,1.0,36.42,36.85,36.29,36.41,1822772.0
2014-11-28,35.96,36.58,35.92,36.52,1305465.0,0.0,1.0,35.96,36.58,35.92,36.52,1305465.0
2014-11-26,35.52,35.86,35.49,35.85,1527699.0,0.0,1.0,35.52,35.86,35.49,35.85,1527699.0
2014-11-25,35.51,35.71,35.45,35.51,3566137.0,0.0,1.0,35.51,35.71,35.45,35.51,3566137.0
2014-11-24,35.62,35.74,35.4201,35.45,1771345.0,0.0,1.0,35.62,35.74,35.4201,35.45,1771345.0
2014-11-21,35.75,35.84,35.43,35.51,2046814.0,0.0,1.0,35.75,35.84,35.43,35.51,2046814.0
2014-11-20,35.5,35.75,35.45,35.54,2108787.0,0.0,1.0,35.5,35.75,35.45,35.54,2108787.0
2014-11-19,35.59,35.91,35.4,35.57,3475204.0,0.0,1.0,35.59,35.91,35.4,35.57,3475204.0
2014-11-18,34.96,35.66,34.753,35.65,4313192.0,0.0,1.0,34.96,35.66,34.753,35.65,4313192.0
2014-11-17,34.71,34.95,34.7,34.95,1916405.0,0.0,1.0,34.71,34.95,34.7,34.95,1916405.0
2014-11-14,34.72,34.89,34.59,34.73,1608937.0,0.0,1.0,34.72,34.89,34.59,34.73,1608937.0
2014-11-13,34.67,34.94,34.58,34.73,1991414.0,0.0,1.0,34.67,34.94,34.58,34.73,1991414.0
2014-11-12,34.2,34.7,34.07,34.65,2955603.0,0.0,1.0,34.2,34.7,34.07,34.65,2955603.0
2014-11-11,34.43,34.43,34.11,34.2,1988443.0,0.0,1.0,34.43,34.43,34.11,34.2,1988443.0
2014-11-10,34.63,34.745,34.39,34.53,2323241.0,0.0,1.0,34.63,34.745,34.39,34.53,2323241.0
2014-11-07,34.5,34.92,34.23,34.62,4021333.0,0.0,1.0,34.5,34.92,34.23,34.62,4021333.0
2014-11-06,34.5,34.75,34.36,34.75,3812503.0,0.0,1.0,34.5,34.75,34.36,34.75,3812503.0
2014-11-04,34.45,34.52,34.31,34.35,2805114.0,0.0,1.0,34.45,34.52,34.31,34.35,2805114.0
2014-11-03,34.27,34.48,34.17,34.45,2526302.0,0.0,1.0,34.27,34.48,34.17,34.45,2526302.0
2014-10-31,34.27,34.3747,34.15,34.35,3063921.0,0.0,1.0,34.27,34.3747,34.15,34.35,3063921.0
2014-10-30,33.51,34.055,33.4,33.93,2548908.0,0.0,1.0,33.51,34.055,33.4,33.93,2548908.0
2014-10-29,34.01,34.06,33.2,33.57,4203367.0,0.25,1.0,34.01,34.06,33.2,33.57,4203367.0
2014-10-28,34.12,34.4,34.1,34.32,2503877.0,0.0,1.0,33.867782377292,34.145712596097,33.847930218805,34.066303962153,2503877.0
2014-10-27,34.19,34.24,33.97,34.06,1472857.0,0.0,1.0,33.937264931993,33.986895328208,33.718891188646,33.808225901833,1472857.0
2014-10-24,34.11,34.23,33.98,34.2,1707176.0,0.0,1.0,33.857856298048,33.976969248965,33.728817267889,33.947191011236,1707176.0
