Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,293.23,296.21,288.0,288.74,1235538.0,0.0,1.0,293.23,296.21,288.0,288.74,1235538.0
2015-01-14,298.27,298.41,286.0,289.34,1116448.0,0.0,1.0,298.27,298.41,286.0,289.34,1116448.0
2015-01-13,299.89,303.09,295.01,299.24,986763.0,0.0,1.0,299.89,303.09,295.01,299.24,986763.0
2015-01-12,297.09,300.8,291.01,297.62,1022600.0,0.0,1.0,297.09,300.8,291.01,297.62,1022600.0
2015-01-08,292.79,295.13,290.32,294.78,786052.0,0.0,1.0,292.79,295.13,290.32,294.78,786052.0
2015-01-06,280.02,286.52,279.65,282.68,1113547.0,0.0,1.0,280.02,286.52,279.65,282.68,1113547.0
2015-01-05,279.59,281.94,275.155,276.95,795290.0,0.0,1.0,279.59,281.94,275.155,276.95,795290.0
2015-01-02,274.41,278.72,272.99,277.9,738251.0,0.0,1.0,274.41,278.72,272.99,277.9,738251.0
2014-12-31,273.73,276.348,271.5,272.54,395338.0,0.0,1.0,273.73,276.348,271.5,272.54,395338.0
2014-12-30,272.16,275.88,271.09,273.52,360399.0,0.0,1.0,272.16,275.88,271.09,273.52,360399.0
2014-12-26,275.81,278.06,273.32,274.61,448190.0,0.0,1.0,275.81,278.06,273.32,274.61,448190.0
2014-12-24,277.71,278.67,274.52,275.49,469732.0,0.0,1.0,277.71,278.67,274.52,275.49,469732.0
2014-12-23,271.96,279.4,271.78,278.65,951315.0,0.0,1.0,271.96,279.4,271.78,278.65,951315.0
2014-12-22,267.18,270.97,264.89,270.47,555604.0,0.0,1.0,267.18,270.97,264.89,270.47,555604.0
2014-12-19,260.99,267.45,260.02,265.95,852200.0,0.0,1.0,260.99,267.45,260.02,265.95,852200.0
2014-12-18,260.3,260.95,255.18,259.36,590895.0,0.0,1.0,260.3,260.95,255.18,259.36,590895.0
2014-12-17,250.45,257.295,248.93,256.76,712549.0,0.0,1.0,250.45,257.295,248.93,256.76,712549.0
2014-12-16,245.37,252.06,244.81,248.87,963158.0,0.0,1.0,245.37,252.06,244.81,248.87,963158.0
2014-12-15,251.18,253.01,246.42,247.99,849111.0,0.0,1.0,251.18,253.01,246.42,247.99,849111.0
2014-12-12,251.24,252.44,247.9,248.8,632443.0,0.0,1.0,251.24,252.44,247.9,248.8,632443.0
2014-12-10,259.34,259.92,252.02,252.46,886537.0,0.0,1.0,259.34,259.92,252.02,252.46,886537.0
2014-12-09,259.05,261.44,255.36,260.71,947948.0,0.0,1.0,259.05,261.44,255.36,260.71,947948.0
2014-12-05,271.14,271.9699,267.53,268.33,488125.0,0.0,1.0,271.14,271.9699,267.53,268.33,488125.0
2014-12-04,269.02,271.83,267.13,269.96,548718.0,0.0,1.0,269.02,271.83,267.13,269.96,548718.0
2014-12-02,267.03,270.93,265.02,268.22,534232.0,0.0,1.0,267.03,270.93,265.02,268.22,534232.0
2014-12-01,268.2,270.99,264.68,267.11,653549.0,0.0,1.0,268.2,270.99,264.68,267.11,653549.0
2014-11-28,269.23,271.41,267.07,268.15,544736.0,0.0,1.0,269.23,271.41,267.07,268.15,544736.0
2014-11-26,273.2,273.3,266.501,271.64,583117.0,0.0,1.0,273.2,273.3,266.501,271.64,583117.0
2014-11-25,277.31,278.09,272.56,272.56,815156.0,0.0,1.0,277.31,278.09,272.56,272.56,815156.0
2014-11-24,278.2,278.84,275.425,277.13,655022.0,0.0,1.0,278.2,278.84,275.425,277.13,655022.0
2014-11-21,277.82,280.28,275.06,278.38,975050.0,0.0,1.0,277.82,280.28,275.06,278.38,975050.0
2014-11-20,271.6,274.7999,270.38,273.07,540200.0,0.0,1.0,271.6,274.7999,270.38,273.07,540200.0
2014-11-19,275.7,278.64,270.07,272.03,684167.0,0.0,1.0,275.7,278.64,270.07,272.03,684167.0
2014-11-18,270.81,273.36,267.885,269.69,625086.0,0.0,1.0,270.81,273.36,267.885,269.69,625086.0
2014-11-17,265.85,271.95,265.78,270.01,562510.0,0.0,1.0,265.85,271.95,265.78,270.01,562510.0
2014-11-14,266.99,268.95,263.87,266.11,620251.0,0.0,1.0,266.99,268.95,263.87,266.11,620251.0
2014-11-13,265.71,268.7,265.624,267.12,590097.0,0.0,1.0,265.71,268.7,265.624,267.12,590097.0
2014-11-12,265.2,267.66,263.44,266.38,670615.0,0.0,1.0,265.2,267.66,263.44,266.38,670615.0
2014-11-11,254.4,268.79,254.4,266.81,1251207.0,0.0,1.0,254.4,268.79,254.4,266.81,1251207.0
2014-11-10,251.98,256.23,248.09,254.4,1006975.0,0.0,1.0,251.98,256.23,248.09,254.4,1006975.0
2014-11-07,253.3,255.5,249.67,250.92,762379.0,0.0,1.0,253.3,255.5,249.67,250.92,762379.0
2014-11-06,238.68,256.16,241.03,251.52,1232851.0,0.0,1.0,238.68,256.16,241.03,251.52,1232851.0
2014-11-04,255.19,256.77,251.45,252.47,922784.0,0.0,1.0,255.19,256.77,251.45,252.47,922784.0
