Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,73.08,73.52,72.29,72.51,1141514.0,0.0,1.0,73.08,73.52,72.29,72.51,1141514.0
2015-01-14,73.02,73.47,72.38,72.97,1197715.0,0.0,1.0,73.02,73.47,72.38,72.97,1197715.0
2015-01-13,73.36,74.69,73.03,73.61,1763816.0,0.0,1.0,73.36,74.69,73.03,73.61,1763816.0
2015-01-12,72.46,73.555,71.98,72.9,1419775.0,0.0,1.0,72.46,73.555,71.98,72.9,1419775.0
2015-01-08,70.67,72.9,70.63,72.84,3019666.0,0.0,1.0,70.67,72.9,70.63,72.84,3019666.0
2015-01-06,71.55,71.95,69.23,69.68,3887476.0,0.0,1.0,71.55,71.95,69.23,69.68,3887476.0
2015-01-05,72.61,73.37,70.32,70.6,8416936.0,0.0,1.0,72.61,73.37,70.32,70.6,8416936.0
2015-01-02,74.85,75.24,73.021,73.85,1978028.0,0.0,1.0,74.85,75.24,73.021,73.85,1978028.0
2014-12-31,76.04,76.25,74.85,74.89,1060791.0,0.0,1.0,76.04,76.25,74.85,74.89,1060791.0
2014-12-30,76.0,76.43,75.62,75.69,1061749.0,0.0,1.0,76.0,76.43,75.62,75.69,1061749.0
2014-12-26,77.25,77.49,76.67,76.75,652981.0,0.0,1.0,77.25,77.49,76.67,76.75,652981.0
2014-12-24,77.13,77.38,76.69,77.16,426887.0,0.0,1.0,77.13,77.38,76.69,77.16,426887.0
2014-12-23,77.11,77.37,76.74,77.02,701678.0,0.0,1.0,77.11,77.37,76.74,77.02,701678.0
2014-12-22,76.28,76.83,75.73,76.81,1647284.0,0.0,1.0,76.28,76.83,75.73,76.81,1647284.0
2014-12-19,74.17,76.38,74.17,76.31,3351212.0,0.0,1.0,74.17,76.38,74.17,76.31,3351212.0
2014-12-18,72.64,74.15,72.21,74.07,1413659.0,0.0,1.0,72.64,74.15,72.21,74.07,1413659.0
2014-12-17,71.65,71.94,69.14,71.88,2192409.0,0.0,1.0,71.65,71.94,69.14,71.88,2192409.0
2014-12-16,72.26,73.15,71.9,71.92,831912.0,0.0,1.0,72.26,73.15,71.9,71.92,831912.0
2014-12-15,72.78,73.23,72.05,72.18,1167247.0,0.0,1.0,72.78,73.23,72.05,72.18,1167247.0
2014-12-12,71.93,72.84,71.8801,72.285,1366959.0,0.0,1.0,71.93,72.84,71.8801,72.285,1366959.0
2014-12-10,72.84,73.18,71.75,71.81,1777724.0,0.0,1.0,72.84,73.18,71.75,71.81,1777724.0
2014-12-09,73.57,73.76,72.55,73.25,1553055.0,0.0,1.0,73.57,73.76,72.55,73.25,1553055.0
2014-12-05,74.65,75.2,74.3701,74.63,1448677.0,0.0,1.0,74.65,75.2,74.3701,74.63,1448677.0
2014-12-04,74.57,74.9,73.99,74.45,1144441.0,0.0,1.0,74.57,74.9,73.99,74.45,1144441.0
2014-12-02,73.1,73.94,72.71,73.61,1512114.0,0.0,1.0,73.1,73.94,72.71,73.61,1512114.0
2014-12-01,73.39,73.67,72.31,72.51,1035339.0,0.0,1.0,73.39,73.67,72.31,72.51,1035339.0
2014-11-28,74.44,74.92,73.475,73.74,856469.0,0.0,1.0,74.44,74.92,73.475,73.74,856469.0
2014-11-26,73.11,73.68,73.02,73.4,834200.0,0.0,1.0,73.11,73.68,73.02,73.4,834200.0
2014-11-25,72.82,73.335,72.7,73.04,1002131.0,0.0,1.0,72.82,73.335,72.7,73.04,1002131.0
2014-11-24,72.87,73.05,72.48,72.62,1022205.0,0.0,1.0,72.87,73.05,72.48,72.62,1022205.0
2014-11-21,73.22,73.33,72.66,72.82,1286643.0,0.0,1.0,73.22,73.33,72.66,72.82,1286643.0
2014-11-20,71.4,72.49,71.25,72.29,1792561.0,0.0,1.0,71.4,72.49,71.25,72.29,1792561.0
2014-11-19,72.37,72.6399,71.43,71.48,1439867.0,0.0,1.0,72.37,72.6399,71.43,71.48,1439867.0
2014-11-18,72.63,72.96,72.35,72.54,1147917.0,0.0,1.0,72.63,72.96,72.35,72.54,1147917.0
2014-11-17,72.78,73.1699,72.485,72.515,988122.0,0.0,1.0,72.78,73.1699,72.485,72.515,988122.0
2014-11-14,73.21,73.76,72.81,73.07,1150464.0,0.0,1.0,73.21,73.76,72.81,73.07,1150464.0
2014-11-13,72.275,73.12,72.275,73.105,1126874.0,0.0,1.0,72.275,73.12,72.275,73.105,1126874.0
