Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,68.79,68.94,68.21,68.32,2381013.0,0.0,1.0,68.79,68.94,68.21,68.32,2381013.0
2015-01-14,68.17,68.63,67.84,68.45,2563524.0,0.0,1.0,68.17,68.63,67.84,68.45,2563524.0
2015-01-13,68.7,69.33,68.33,68.73,4427074.0,0.0,1.0,68.7,69.33,68.33,68.73,4427074.0
2015-01-12,68.62,68.96,67.77,68.26,2347992.0,0.0,1.0,68.62,68.96,67.77,68.26,2347992.0
2015-01-08,68.87,69.31,68.68,69.28,2743223.0,0.0,1.0,68.87,69.31,68.68,69.28,2743223.0
2015-01-06,68.77,68.87,67.63,67.81,3436950.0,0.0,1.0,68.77,68.87,67.63,67.81,3436950.0
2015-01-05,68.84,69.4264,68.45,68.53,2946003.0,0.0,1.0,68.84,69.4264,68.45,68.53,2946003.0
2015-01-02,69.0,69.26,68.7,69.04,2522258.0,0.0,1.0,69.0,69.26,68.7,69.04,2522258.0
2014-12-31,70.24,70.41,69.12,69.19,2195639.0,0.0,1.0,70.24,70.41,69.12,69.19,2195639.0
2014-12-30,70.39,70.69,69.85,70.04,2036901.0,0.0,1.0,70.39,70.69,69.85,70.04,2036901.0
2014-12-26,70.41,71.02,70.57,70.88,1297826.0,0.0,1.0,70.41,71.02,70.57,70.88,1297826.0
2014-12-24,70.91,71.31,70.43,70.47,1131072.0,0.0,1.0,70.91,71.31,70.43,70.47,1131072.0
2014-12-23,70.43,71.21,70.3,71.0,2250774.0,0.0,1.0,70.43,71.21,70.3,71.0,2250774.0
2014-12-22,70.14,70.49,69.8,70.26,2547331.0,0.0,1.0,70.14,70.49,69.8,70.26,2547331.0
2014-12-19,69.66,70.31,69.58,69.98,5583987.0,0.0,1.0,69.66,70.31,69.58,69.98,5583987.0
2014-12-18,69.39,69.48,68.6125,69.48,4089701.0,0.0,1.0,69.39,69.48,68.6125,69.48,4089701.0
2014-12-17,67.74,69.02,67.53,68.66,3796052.0,0.0,1.0,67.74,69.02,67.53,68.66,3796052.0
2014-12-16,67.72,68.51,67.25,67.51,4427597.0,0.0,1.0,67.72,68.51,67.25,67.51,4427597.0
2014-12-15,68.64,69.16,67.78,67.95,4433906.0,0.0,1.0,68.64,69.16,67.78,67.95,4433906.0
2014-12-12,68.77,69.6,68.56,68.57,3360140.0,0.0,1.0,68.77,69.6,68.56,68.57,3360140.0
2014-12-10,69.37,69.69,68.82,68.87,2320764.0,0.0,1.0,69.37,69.69,68.82,68.87,2320764.0
2014-12-09,68.93,69.37,68.77,69.33,2781419.0,0.0,1.0,68.93,69.37,68.77,69.33,2781419.0
2014-12-05,69.23,69.38,68.56,69.37,2513259.0,0.0,1.0,69.23,69.38,68.56,69.37,2513259.0
2014-12-04,68.91,69.57,68.83,69.45,3069444.0,0.0,1.0,68.91,69.57,68.83,69.45,3069444.0
2014-12-02,69.52,69.9,69.15,69.86,2365267.0,0.0,1.0,69.52,69.9,69.15,69.86,2365267.0
2014-12-01,68.85,69.8,68.63,69.4,2500656.0,0.0,1.0,68.85,69.8,68.63,69.4,2500656.0
2014-11-28,68.9,69.9,68.83,69.59,1876657.0,0.0,1.0,68.9,69.9,68.83,69.59,1876657.0
2014-11-26,68.46,68.74,68.33,68.69,1886511.0,0.0,1.0,68.46,68.74,68.33,68.69,1886511.0
2014-11-25,67.96,68.45,67.82,68.33,2570562.0,0.0,1.0,67.96,68.45,67.82,68.33,2570562.0
2014-11-24,68.5,68.54,67.91,67.95,2514293.0,0.0,1.0,68.5,68.54,67.91,67.95,2514293.0
2014-11-21,68.63,68.86,68.33,68.34,3142689.0,0.0,1.0,68.63,68.86,68.33,68.34,3142689.0
2014-11-20,68.05,68.4,67.9141,68.06,1654244.0,0.0,1.0,68.05,68.4,67.9141,68.06,1654244.0
2014-11-19,67.88,68.32,67.64,68.29,2129399.0,0.0,1.0,67.88,68.32,67.64,68.29,2129399.0
2014-11-18,68.0,68.11,67.63,67.97,1879210.0,0.0,1.0,68.0,68.11,67.63,67.97,1879210.0
2014-11-17,67.48,67.97,67.34,67.92,1950174.0,0.0,1.0,67.48,67.97,67.34,67.92,1950174.0
2014-11-14,68.2,68.34,67.51,67.56,3054809.0,0.0,1.0,68.2,68.34,67.51,67.56,3054809.0
2014-11-13,68.94,68.99,68.26,68.29,2316723.0,0.0,1.0,68.94,68.99,68.26,68.29,2316723.0
2014-11-12,68.24,68.87,68.13,68.7,2156307.0,0.0,1.0,68.24,68.87,68.13,68.7,2156307.0
2014-11-11,68.51,68.7,68.3,68.47,1509965.0,0.0,1.0,68.51,68.7,68.3,68.47,1509965.0
2014-11-10,67.92,68.56,67.82,68.55,2453755.0,0.0,1.0,67.92,68.56,67.82,68.55,2453755.0
2014-11-07,67.93,68.2,67.55,68.05,1891478.0,0.0,1.0,67.93,68.2,67.55,68.05,1891478.0
2014-11-06,68.12,68.2,67.74,68.11,2506092.0,0.0,1.0,68.12,68.2,67.74,68.11,2506092.0
2014-11-04,67.22,68.15,67.14,68.05,3835757.0,0.0,1.0,67.22,68.15,67.14,68.05,3835757.0
2014-11-03,66.75,67.46,66.71,67.41,2809396.0,0.0,1.0,66.75,67.46,66.71,67.41,2809396.0
2014-10-31,67.01,67.12,66.46,66.88,4338932.0,0.0,1.0,67.01,67.12,66.46,66.88,4338932.0
2014-10-30,65.8,66.66,65.52,66.41,2161444.0,0.0,1.0,65.8,66.66,65.52,66.41,2161444.0
2014-10-29,65.93,66.11,65.32,65.85,2380776.0,0.0,1.0,65.93,66.11,65.32,65.85,2380776.0
2014-10-28,66.55,66.43,65.58,65.79,2834727.0,0.0,1.0,66.55,66.43,65.58,65.79,2834727.0
2014-10-27,65.31,66.32,65.26,66.11,3259693.0,0.0,1.0,65.31,66.32,65.26,66.11,3259693.0
