Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,84.93,85.54,84.45,84.87,1299089.0,0.0,1.0,84.93,85.54,84.45,84.87,1299089.0
2015-01-14,85.39,86.21,84.34,85.01,2355964.0,0.0,1.0,85.39,86.21,84.34,85.01,2355964.0
2015-01-13,88.6,89.2,86.86,87.13,1745252.0,0.0,1.0,88.6,89.2,86.86,87.13,1745252.0
2015-01-12,88.93,89.24,87.42,87.61,1134291.0,0.0,1.0,88.93,89.24,87.42,87.61,1134291.0
2015-01-08,89.26,89.97,88.54,88.71,2001864.0,0.0,1.0,89.26,89.97,88.54,88.71,2001864.0
2015-01-06,89.0,89.205,87.02,87.285,1581868.0,0.0,1.0,89.0,89.205,87.02,87.285,1581868.0
2015-01-05,87.9,89.0401,87.69,88.64,1503382.0,0.0,1.0,87.9,89.0401,87.69,88.64,1503382.0
2015-01-02,89.22,89.38,87.62,88.14,1129621.0,0.0,1.0,89.22,89.38,87.62,88.14,1129621.0
2014-12-31,90.09,90.29,88.64,88.65,862639.0,0.0,1.0,90.09,90.29,88.64,88.65,862639.0
2014-12-30,89.96,90.2,89.68,89.845,782918.0,0.0,1.0,89.96,90.2,89.68,89.845,782918.0
2014-12-26,91.04,91.35,90.32,90.39,716701.0,0.0,1.0,91.04,91.35,90.32,90.39,716701.0
2014-12-24,91.0,91.35,90.1528,90.58,909108.0,0.0,1.0,91.0,91.35,90.1528,90.58,909108.0
2014-12-23,93.2,93.91,92.63,92.72,1443305.0,0.0,1.0,93.2,93.91,92.63,92.72,1443305.0
2014-12-22,92.27,93.04,92.0,92.905,1679277.0,0.0,1.0,92.27,93.04,92.0,92.905,1679277.0
2014-12-19,91.93,93.04,91.93,92.36,2699611.0,0.0,1.0,91.93,93.04,91.93,92.36,2699611.0
2014-12-18,90.06,92.3,90.03,92.28,2180295.0,0.0,1.0,90.06,92.3,90.03,92.28,2180295.0
2014-12-17,87.7,89.99,87.56,89.94,1968552.0,0.0,1.0,87.7,89.99,87.56,89.94,1968552.0
2014-12-16,87.5,88.43,86.82,87.5,1722090.0,0.0,1.0,87.5,88.43,86.82,87.5,1722090.0
2014-12-15,87.67,88.17,87.0,87.94,1752216.0,0.0,1.0,87.67,88.17,87.0,87.94,1752216.0
2014-12-12,87.82,88.38,87.04,87.08,1425752.0,0.0,1.0,87.82,88.38,87.04,87.08,1425752.0
2014-12-10,88.17,89.53,88.0,89.03,2209114.0,0.0,1.0,88.17,89.53,88.0,89.03,2209114.0
2014-12-09,88.04,88.64,86.98,88.58,1084882.0,0.0,1.0,88.04,88.64,86.98,88.58,1084882.0
2014-12-05,87.65,88.875,87.48,88.74,2018119.0,0.0,1.0,87.65,88.875,87.48,88.74,2018119.0
2014-12-04,86.43,87.26,86.24,87.24,1314649.0,0.0,1.0,86.43,87.26,86.24,87.24,1314649.0
2014-12-02,84.65,85.64,84.37,85.61,1706097.0,0.0,1.0,84.65,85.64,84.37,85.61,1706097.0
2014-12-01,84.59,84.83,84.01,84.61,1397469.0,0.0,1.0,84.59,84.83,84.01,84.61,1397469.0
2014-11-28,84.12,84.91,83.85,84.64,1370010.0,0.0,1.0,84.12,84.91,83.85,84.64,1370010.0
2014-11-26,83.6,83.84,83.29,83.69,1093187.0,0.0,1.0,83.6,83.84,83.29,83.69,1093187.0
2014-11-25,83.01,84.0,83.0,83.53,1856926.0,0.0,1.0,83.01,84.0,83.0,83.53,1856926.0
2014-11-24,83.56,84.19,83.03,83.36,998561.0,0.0,1.0,83.56,84.19,83.03,83.36,998561.0
2014-11-21,84.58,84.58,82.83,83.14,1159799.0,0.0,1.0,84.58,84.58,82.83,83.14,1159799.0
2014-11-20,83.19,84.0,82.51,83.585,1300438.0,0.0,1.0,83.19,84.0,82.51,83.585,1300438.0
2014-11-19,83.51,84.02,82.72,83.78,1509917.0,0.0,1.0,83.51,84.02,82.72,83.78,1509917.0
2014-11-18,84.39,84.45,83.34,83.71,1457952.0,0.0,1.0,84.39,84.45,83.34,83.71,1457952.0
2014-11-17,84.61,84.85,83.85,84.09,1327783.0,0.0,1.0,84.61,84.85,83.85,84.09,1327783.0
2014-11-14,85.19,85.51,84.71,84.82,1277315.0,0.0,1.0,85.19,85.51,84.71,84.82,1277315.0
2014-11-13,85.95,86.14,84.87,85.14,1281833.0,0.0,1.0,85.95,86.14,84.87,85.14,1281833.0
2014-11-12,86.07,86.28,85.485,85.6,1062688.0,0.0,1.0,86.07,86.28,85.485,85.6,1062688.0
2014-11-11,86.0,86.39,85.61,86.29,752308.0,0.0,1.0,86.0,86.39,85.61,86.29,752308.0
2014-11-10,85.6,86.04,85.02,85.95,1040276.0,0.0,1.0,85.6,86.04,85.02,85.95,1040276.0
2014-11-07,86.08,86.4,85.07,85.6,938957.0,0.0,1.0,86.08,86.4,85.07,85.6,938957.0
2014-11-06,85.7,86.4,85.49,86.27,967309.0,0.0,1.0,85.7,86.4,85.49,86.27,967309.0
2014-11-04,84.68,85.38,84.59,85.27,1733621.0,0.0,1.0,84.68,85.38,84.59,85.27,1733621.0
2014-11-03,84.11,85.0,83.83,84.79,1830999.0,0.0,1.0,84.11,85.0,83.83,84.79,1830999.0
2014-10-31,82.75,83.88,82.32,83.81,2972101.0,0.0,1.0,82.75,83.88,82.32,83.81,2972101.0
2014-10-30,81.55,82.16,80.61,81.56,1629999.0,0.0,1.0,81.55,82.16,80.61,81.56,1629999.0
2014-10-29,81.14,82.1,80.82,81.83,1514996.0,0.0,1.0,81.14,82.1,80.82,81.83,1514996.0
2014-10-28,82.05,82.43,80.75,81.33,1749742.0,0.0,1.0,82.05,82.43,80.75,81.33,1749742.0
2014-10-27,82.22,82.79,81.73,81.98,1093264.0,0.0,1.0,82.22,82.79,81.73,81.98,1093264.0
2014-10-24,81.06,82.42,81.02,82.31,1053392.0,0.0,1.0,81.06,82.42,81.02,82.31,1053392.0
2014-10-23,80.33,81.67,79.98,81.2,1386114.0,0.0,1.0,80.33,81.67,79.98,81.2,1386114.0
2014-10-22,80.25,80.3,79.29,79.49,1071625.0,0.0,1.0,80.25,80.3,79.29,79.49,1071625.0
2014-10-21,80.02,80.06,79.44,80.04,1096670.0,0.0,1.0,80.02,80.06,79.44,80.04,1096670.0
2014-10-20,78.33,79.65,77.82,79.39,1332607.0,0.0,1.0,78.33,79.65,77.82,79.39,1332607.0
2014-10-17,79.57,80.03,77.78,78.26,2301603.0,0.0,1.0,79.57,80.03,77.78,78.26,2301603.0
2014-10-16,77.99,79.76,77.56,79.13,1822474.0,0.0,1.0,77.99,79.76,77.56,79.13,1822474.0
2014-10-15,79.06,80.57,75.94,79.31,3121162.0,0.0,1.0,79.06,80.57,75.94,79.31,3121162.0
2014-10-14,79.67,80.58,79.52,79.85,1542646.0,0.0,1.0,79.67,80.58,79.52,79.85,1542646.0
2014-10-13,80.82,81.33,78.87,79.01,1970569.0,0.0,1.0,80.82,81.33,78.87,79.01,1970569.0
2014-10-10,81.11,82.62,80.94,81.605,1683160.0,0.0,1.0,81.11,82.62,80.94,81.605,1683160.0
2014-10-09,80.93,81.5,80.37,80.98,1735507.0,0.0,1.0,80.93,81.5,80.37,80.98,1735507.0
2014-10-08,79.92,81.2,79.71,81.16,2991400.0,0.0,1.0,79.92,81.2,79.71,81.16,2991400.0
2014-10-07,80.94,81.31,79.72,79.75,1715357.0,0.0,1.0,80.94,81.31,79.72,79.75,1715357.0
2014-10-06,81.29,81.75,80.91,81.35,1909742.0,0.0,1.0,81.29,81.75,80.91,81.35,1909742.0
2014-10-03,80.94,81.35,79.76,80.95,1679632.0,0.0,1.0,80.94,81.35,79.76,80.95,1679632.0
2014-10-02,79.73,80.94,79.62,80.42,2298250.0,0.0,1.0,79.73,80.94,79.62,80.42,2298250.0
2014-10-01,79.96,80.01,79.23,79.4,1991890.0,0.0,1.0,79.96,80.01,79.23,79.4,1991890.0
2014-09-30,79.57,80.24,79.39,79.955,1980611.0,0.0,1.0,79.57,80.24,79.39,79.955,1980611.0
2014-09-29,79.3,79.92,78.92,79.5,1541058.0,0.0,1.0,79.3,79.92,78.92,79.5,1541058.0
2014-09-26,79.74,80.16,78.72,80.03,1851128.0,0.0,1.0,79.74,80.16,78.72,80.03,1851128.0
2014-09-25,80.96,81.23,78.98,79.2,2118755.0,0.0,1.0,80.96,81.23,78.98,79.2,2118755.0
2014-09-24,81.13,81.59,80.8,81.28,1183552.0,0.0,1.0,81.13,81.59,80.8,81.28,1183552.0
2014-09-23,82.54,83.0,81.11,81.13,1633572.0,0.0,1.0,82.54,83.0,81.11,81.13,1633572.0
2014-09-22,82.67,83.15,82.18,82.57,1519996.0,0.0,1.0,82.67,83.15,82.18,82.57,1519996.0
2014-09-19,83.66,83.66,82.14,82.84,2213012.0,0.0,1.0,83.66,83.66,82.14,82.84,2213012.0
2014-09-18,80.34,83.61,80.11,82.96,3062307.0,0.0,1.0,80.34,83.61,80.11,82.96,3062307.0
2014-09-17,79.75,81.02,79.46,80.69,1930027.0,0.0,1.0,79.75,81.02,79.46,80.69,1930027.0
2014-09-16,79.64,80.42,79.18,79.87,1425834.0,0.0,1.0,79.64,80.42,79.18,79.87,1425834.0
2014-09-15,79.0,80.16,78.88,79.82,1877119.0,0.0,1.0,79.0,80.16,78.88,79.82,1877119.0
2014-09-12,77.53,79.36,77.52,79.33,2306550.0,0.0,1.0,77.53,79.36,77.52,79.33,2306550.0
2014-09-11,75.91,77.6,75.91,77.52,1512778.0,0.0,1.0,75.91,77.6,75.91,77.52,1512778.0
2014-09-10,75.89,76.28,75.3,76.01,1157157.0,0.0,1.0,75.89,76.28,75.3,76.01,1157157.0
2014-09-09,75.92,76.15,75.39,75.68,894319.0,0.0,1.0,75.92,76.15,75.39,75.68,894319.0
