Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,143.52,144.2,141.36,141.52,1732042.0,0.0,1.0,143.52,144.2,141.36,141.52,1732042.0
2015-01-14,139.3,142.45,139.22,142.4,2227699.0,0.0,1.0,139.3,142.45,139.22,142.4,2227699.0
2015-01-13,143.45,144.44,140.25,141.34,1344865.0,0.0,1.0,143.45,144.44,140.25,141.34,1344865.0
2015-01-12,143.23,143.28,141.03,142.56,949996.0,0.0,1.0,143.23,143.28,141.03,142.56,949996.0
2015-01-08,145.24,146.755,144.01,145.82,1555035.0,0.0,1.0,145.24,146.755,144.01,145.82,1555035.0
2015-01-06,141.885,143.62,139.7,142.25,2925894.0,0.0,1.0,141.885,143.62,139.7,142.25,2925894.0
2015-01-05,145.15,145.44,140.87,141.46,2440747.0,0.0,1.0,145.15,145.44,140.87,141.46,2440747.0
2015-01-02,145.22,146.95,143.6,146.42,1248251.0,0.0,1.0,145.22,146.95,143.6,146.42,1248251.0
2014-12-31,146.3,146.82,144.13,144.17,750800.0,0.0,1.0,146.3,146.82,144.13,144.17,750800.0
2014-12-30,146.65,147.21,145.24,146.16,763456.0,0.0,1.0,146.65,147.21,145.24,146.16,763456.0
2014-12-26,146.29,147.21,146.06,146.53,445740.0,0.0,1.0,146.29,147.21,146.06,146.53,445740.0
2014-12-24,146.0,146.28,145.15,145.82,409128.0,0.0,1.0,146.0,146.28,145.15,145.82,409128.0
2014-12-23,146.32,147.23,145.6325,145.73,760834.0,0.0,1.0,146.32,147.23,145.6325,145.73,760834.0
2014-12-22,143.76,145.64,142.61,145.3,1238004.0,0.0,1.0,143.76,145.64,142.61,145.3,1238004.0
2014-12-19,144.6,144.77,143.06,143.06,2123933.0,0.0,1.0,144.6,144.77,143.06,143.06,2123933.0
2014-12-18,143.83,144.04,141.2,144.0,2392596.0,0.0,1.0,143.83,144.04,141.2,144.0,2392596.0
2014-12-17,138.58,140.96,137.97,140.42,2147300.0,0.0,1.0,138.58,140.96,137.97,140.42,2147300.0
2014-12-16,139.15,142.51,138.3799,138.47,1920161.0,0.0,1.0,139.15,142.51,138.3799,138.47,1920161.0
2014-12-15,141.6,142.05,140.165,140.3,1632310.0,0.0,1.0,141.6,142.05,140.165,140.3,1632310.0
2014-12-12,142.71,143.39,140.9,140.9,1535110.0,0.0,1.0,142.71,143.39,140.9,140.9,1535110.0
2014-12-10,148.02,148.4,143.2001,143.97,1635947.0,0.0,1.0,148.02,148.4,143.2001,143.97,1635947.0
2014-12-09,145.5,149.33,145.4901,149.22,1333955.0,0.0,1.0,145.5,149.33,145.4901,149.22,1333955.0
2014-12-05,149.97,150.92,149.43,150.86,1248282.0,0.0,1.0,149.97,150.92,149.43,150.86,1248282.0
2014-12-04,149.95,150.6,149.1,149.96,1240112.0,0.0,1.0,149.95,150.6,149.1,149.96,1240112.0
2014-12-02,145.28,146.33,144.7,146.19,1342391.0,0.0,1.0,145.28,146.33,144.7,146.19,1342391.0
2014-12-01,145.27,146.22,144.37,145.34,1560844.0,0.0,1.0,145.27,146.22,144.37,145.34,1560844.0
2014-11-28,148.0,148.06,145.08,145.62,1106082.0,0.0,1.0,148.0,148.06,145.08,145.62,1106082.0
2014-11-26,148.58,149.4,147.75,148.92,1435671.0,0.0,1.0,148.58,149.4,147.75,148.92,1435671.0
2014-11-25,148.51,149.48,147.75,149.22,1400772.0,0.0,1.0,148.51,149.48,147.75,149.22,1400772.0
2014-11-24,148.3,149.3,147.56,147.99,1481004.0,0.0,1.0,148.3,149.3,147.56,147.99,1481004.0
2014-11-21,146.99,149.71,146.5,148.45,2400525.0,0.0,1.0,146.99,149.71,146.5,148.45,2400525.0
2014-11-20,142.21,144.36,142.0005,143.96,869670.0,0.0,1.0,142.21,144.36,142.0005,143.96,869670.0
