Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,36.04,36.25,35.84,36.18,1751698.0,0.0,1.0,36.04,36.25,35.84,36.18,1751698.0
2015-01-14,35.32,36.01,35.31,35.97,1888803.0,0.0,1.0,35.32,36.01,35.31,35.97,1888803.0
2015-01-13,35.46,36.08,35.32,35.69,3348668.0,0.0,1.0,35.46,36.08,35.32,35.69,3348668.0
2015-01-12,35.33,35.4199,34.94,35.17,1739517.0,0.0,1.0,35.33,35.4199,34.94,35.17,1739517.0
2015-01-08,35.61,35.84,35.56,35.67,1688983.0,0.0,1.0,35.61,35.84,35.56,35.67,1688983.0
2015-01-06,34.94,35.62,34.85,34.91,2579207.0,0.0,1.0,34.94,35.62,34.85,34.91,2579207.0
2015-01-05,35.01,35.25,34.65,34.85,2498212.0,0.0,1.0,35.01,35.25,34.65,34.85,2498212.0
2015-01-02,34.91,35.17,34.74,35.14,2404290.0,0.0,1.0,34.91,35.17,34.74,35.14,2404290.0
2014-12-31,35.45,35.47,34.73,34.75,2368489.0,0.0,1.0,35.45,35.47,34.73,34.75,2368489.0
2014-12-30,36.38,36.34,35.23,35.25,3124960.0,0.0,1.0,36.38,36.34,35.23,35.25,3124960.0
2014-12-26,35.78,36.26,35.77,36.09,1937953.0,0.0,1.0,35.78,36.26,35.77,36.09,1937953.0
2014-12-24,34.97,35.755,34.89,35.69,1135726.0,0.0,1.0,34.97,35.755,34.89,35.69,1135726.0
2014-12-23,34.83,35.04,34.7,34.88,1052084.0,0.0,1.0,34.83,35.04,34.7,34.88,1052084.0
2014-12-22,34.48,34.79,34.34,34.79,1186536.0,0.0,1.0,34.48,34.79,34.34,34.79,1186536.0
2014-12-19,34.66,34.81,34.34,34.49,2950278.0,0.0,1.0,34.66,34.81,34.34,34.49,2950278.0
2014-12-18,33.98,34.55,33.89,34.55,1557118.0,0.0,1.0,33.98,34.55,33.89,34.55,1557118.0
2014-12-17,33.45,34.0356,33.3,33.93,1485575.0,0.0,1.0,33.45,34.0356,33.3,33.93,1485575.0
2014-12-16,33.34,33.77,32.92,33.26,1961907.0,0.0,1.0,33.34,33.77,32.92,33.26,1961907.0
2014-12-15,33.68,33.77,33.03,33.31,3143579.0,0.0,1.0,33.68,33.77,33.03,33.31,3143579.0
2014-12-12,33.59,34.05,33.4,33.55,2690684.0,0.0,1.0,33.59,34.05,33.4,33.55,2690684.0
2014-12-10,33.92,34.15,33.37,33.45,1551810.0,0.0,1.0,33.92,34.15,33.37,33.45,1551810.0
2014-12-09,33.75,34.11,33.55,34.01,2039599.0,0.0,1.0,33.75,34.11,33.55,34.01,2039599.0
2014-12-05,33.39,33.61,33.29,33.49,1929440.0,0.0,1.0,33.39,33.61,33.29,33.49,1929440.0
2014-12-04,33.59,33.82,33.445,33.63,2188600.0,0.0,1.0,33.59,33.82,33.445,33.63,2188600.0
2014-12-02,33.21,33.665,33.03,33.5,2139401.0,0.0,1.0,33.21,33.665,33.03,33.5,2139401.0
2014-12-01,32.91,33.48,32.79,33.25,2420342.0,0.0,1.0,32.91,33.48,32.79,33.25,2420342.0
2014-11-28,32.59,33.29,32.68,33.1,969393.0,0.0,1.0,32.59,33.29,32.68,33.1,969393.0
2014-11-26,32.74,32.85,32.54,32.7,1084312.0,0.0,1.0,32.74,32.85,32.54,32.7,1084312.0
2014-11-25,32.57,32.72,32.4,32.6,1909787.0,0.0,1.0,32.57,32.72,32.4,32.6,1909787.0
2014-11-24,32.78,32.91,32.52,32.58,2096764.0,0.0,1.0,32.78,32.91,32.52,32.58,2096764.0
2014-11-21,32.81,32.86,32.5,32.77,2198171.0,0.0,1.0,32.81,32.86,32.5,32.77,2198171.0
2014-11-20,32.63,32.74,32.45,32.51,1688131.0,0.0,1.0,32.63,32.74,32.45,32.51,1688131.0
2014-11-19,32.69,32.82,32.5,32.68,1401735.0,0.0,1.0,32.69,32.82,32.5,32.68,1401735.0
2014-11-18,32.78,32.97,32.57,32.77,1587441.0,0.0,1.0,32.78,32.97,32.57,32.77,1587441.0
2014-11-17,32.12,32.67,32.05,32.66,1473694.0,0.0,1.0,32.12,32.67,32.05,32.66,1473694.0
2014-11-14,32.23,32.36,32.09,32.15,1947110.0,0.0,1.0,32.23,32.36,32.09,32.15,1947110.0
2014-11-13,32.58,32.69,32.23,32.31,2082462.0,0.0,1.0,32.58,32.69,32.23,32.31,2082462.0
2014-11-12,33.04,33.04,32.445,32.48,2990222.0,0.0,1.0,33.04,33.04,32.445,32.48,2990222.0
2014-11-11,33.2,33.455,33.1,33.26,1960336.0,0.0,1.0,33.2,33.455,33.1,33.26,1960336.0
2014-11-10,32.84,33.27,32.84,33.2,2047006.0,0.0,1.0,32.84,33.27,32.84,33.2,2047006.0
2014-11-07,32.36,32.94,32.27,32.91,2147067.0,0.0,1.0,32.36,32.94,32.27,32.91,2147067.0
2014-11-06,33.17,33.2,32.31,32.37,4351360.0,0.0,1.0,33.17,33.2,32.31,32.37,4351360.0
2014-11-04,32.93,33.27,32.74,32.8,1995505.0,0.0,1.0,32.93,33.27,32.74,32.8,1995505.0
2014-11-03,32.73,33.105,32.73,32.99,1901026.0,0.0,1.0,32.73,33.105,32.73,32.99,1901026.0
2014-10-31,32.85,32.91,32.47,32.67,2718567.0,0.0,1.0,32.85,32.91,32.47,32.67,2718567.0
