Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,30.01,30.1,28.63,28.78,6703906.0,0.0,1.0,30.01,30.1,28.63,28.78,6703906.0
2015-01-14,29.29,29.93,28.84,29.51,8223742.0,0.0,1.0,29.29,29.93,28.84,29.51,8223742.0
2015-01-13,29.62,29.895,28.995,29.66,7741665.0,0.0,1.0,29.62,29.895,28.995,29.66,7741665.0
2015-01-12,29.45,29.84,29.19,29.36,6290640.0,0.0,1.0,29.45,29.84,29.19,29.36,6290640.0
2015-01-08,28.29,28.895,27.87,28.86,6668320.0,0.0,1.0,28.29,28.895,27.87,28.86,6668320.0
2015-01-06,28.34,28.72,27.52,28.05,7968507.0,0.0,1.0,28.34,28.72,27.52,28.05,7968507.0
2015-01-05,29.7,29.92,28.42,28.45,7353613.0,0.0,1.0,29.7,29.92,28.42,28.45,7353613.0
2015-01-02,29.47,30.38,29.4098,30.1,4042981.0,0.0,1.0,29.47,30.38,29.4098,30.1,4042981.0
2014-12-31,29.44,30.0399,29.4,29.61,3841036.0,0.0,1.0,29.44,30.0399,29.4,29.61,3841036.0
2014-12-30,29.62,30.02,29.18,29.77,4082995.0,0.0,1.0,29.62,30.02,29.18,29.77,4082995.0
2014-12-26,30.5,30.74,29.81,29.88,4494333.0,0.0,1.0,30.5,30.74,29.81,29.88,4494333.0
2014-12-24,30.47,30.8499,30.12,30.21,4158137.0,0.0,1.0,30.47,30.8499,30.12,30.21,4158137.0
2014-12-23,30.78,31.12,30.25,30.6,7258620.0,0.0,1.0,30.78,31.12,30.25,30.6,7258620.0
2014-12-22,30.88,31.33,30.1,30.53,7335965.0,0.0,1.0,30.88,31.33,30.1,30.53,7335965.0
2014-12-19,32.62,32.89,30.72,31.78,11750406.0,0.0,1.0,32.62,32.89,30.72,31.78,11750406.0
2014-12-18,32.94,33.08,31.21,32.44,8840343.0,0.0,1.0,32.94,33.08,31.21,32.44,8840343.0
2014-12-17,30.49,32.1,30.35,31.66,8529555.0,0.0,1.0,30.49,32.1,30.35,31.66,8529555.0
2014-12-16,29.36,31.42,29.309,30.22,7668737.0,0.0,1.0,29.36,31.42,29.309,30.22,7668737.0
2014-12-15,30.21,30.66,29.78,29.8,6443342.0,0.0,1.0,30.21,30.66,29.78,29.8,6443342.0
2014-12-12,29.04,30.46,29.04,30.09,7537045.0,0.0,1.0,29.04,30.46,29.04,30.09,7537045.0
2014-12-10,29.85,29.88,29.205,29.51,6985986.0,0.0,1.0,29.85,29.88,29.205,29.51,6985986.0
2014-12-09,29.88,30.81,29.65,30.36,6148423.0,0.0,1.0,29.88,30.81,29.65,30.36,6148423.0
2014-12-05,31.09,31.2465,30.23,30.81,5959316.0,0.0,1.0,31.09,31.2465,30.23,30.81,5959316.0
2014-12-04,31.07,31.68,30.8,31.1,6722892.0,0.0,1.0,31.07,31.68,30.8,31.1,6722892.0
2014-12-02,32.9,33.31,31.31,31.42,11060113.0,0.0,1.0,32.9,33.31,31.31,31.42,11060113.0
2014-12-01,32.67,33.57,32.33,33.2,8666919.0,0.0,1.0,32.67,33.57,32.33,33.2,8666919.0
2014-11-28,32.13,34.0125,31.97,33.04,6153229.0,0.0,1.0,32.13,34.0125,31.97,33.04,6153229.0
2014-11-26,33.96,33.98,33.29,33.42,3832130.0,0.0,1.0,33.96,33.98,33.29,33.42,3832130.0
2014-11-25,34.56,34.85,33.89,34.2,5981151.0,0.0,1.0,34.56,34.85,33.89,34.2,5981151.0
2014-11-24,34.23,34.71,34.02,34.62,5506121.0,0.0,1.0,34.23,34.71,34.02,34.62,5506121.0
2014-11-21,35.23,35.24,34.24,34.44,6444835.0,0.0,1.0,35.23,35.24,34.24,34.44,6444835.0
2014-11-20,34.0,35.04,33.99,34.71,6067503.0,0.0,1.0,34.0,35.04,33.99,34.71,6067503.0
2014-11-19,33.74,34.5,33.45,34.04,5722278.0,0.0,1.0,33.74,34.5,33.45,34.04,5722278.0
2014-11-18,33.36,34.04,33.1,33.27,4168606.0,0.0,1.0,33.36,34.04,33.1,33.27,4168606.0
2014-11-17,33.58,34.11,33.42,33.53,5250185.0,0.0,1.0,33.58,34.11,33.42,33.53,5250185.0
2014-11-14,32.92,33.85,32.76,33.62,5144182.0,0.0,1.0,32.92,33.85,32.76,33.62,5144182.0
2014-11-13,32.97,33.25,32.24,32.7,6147814.0,0.0,1.0,32.97,33.25,32.24,32.7,6147814.0
2014-11-12,33.28,33.81,33.06,33.47,4091631.0,0.0,1.0,33.28,33.81,33.06,33.47,4091631.0
2014-11-11,32.86,33.73,32.86,33.59,3400696.0,0.0,1.0,32.86,33.73,32.86,33.59,3400696.0
2014-11-10,33.8,34.2,32.98,33.2,6427437.0,0.0,1.0,33.8,34.2,32.98,33.2,6427437.0
2014-11-07,32.84,33.8,32.8,33.62,8527519.0,0.0,1.0,32.84,33.8,32.8,33.62,8527519.0
2014-11-06,31.42,32.71,31.36,32.7,5108325.0,0.0,1.0,31.42,32.71,31.36,32.7,5108325.0
2014-11-04,30.33,30.91,29.87,30.73,5091222.0,0.02,1.0,30.33,30.91,29.87,30.73,5091222.0
2014-11-03,31.44,31.75,30.67,30.81,4477661.0,0.0,1.0,31.419551219512,31.729349593496,30.65005203252,30.78996097561,4477661.0
2014-10-31,30.59,31.12,30.125,31.1,6302990.0,0.0,1.0,30.570104065041,31.099759349593,30.105406504065,31.079772357724,6302990.0
2014-10-30,31.44,31.45,30.205,30.39,8407255.0,0.0,1.0,31.419551219512,31.429544715447,30.185354471545,30.370234146341,8407255.0
2014-10-29,32.04,32.38,31.26,31.6,7418346.0,0.0,1.0,32.01916097561,32.358939837398,31.239668292683,31.579447154472,7418346.0
2014-10-28,30.75,31.77,30.3845,31.63,4666572.0,0.0,1.0,30.73,31.749336585366,30.364737723577,31.609427642276,4666572.0
2014-10-27,30.48,30.965,29.96,30.55,5034041.0,0.0,1.0,30.460175609756,30.944860162602,29.940513821138,30.530130081301,5034041.0
2014-10-24,32.02,32.789,30.05,31.23,8462342.0,0.0,1.0,31.99917398374,32.767673821138,30.030455284553,31.209687804878,8462342.0
2014-10-23,30.67,31.73,30.62,31.44,6140341.0,0.0,1.0,30.65005203252,31.709362601626,30.600084552846,31.419551219512,6140341.0
2014-10-22,31.64,31.795,30.44,30.49,6601039.0,0.0,1.0,31.619421138211,31.774320325203,30.420201626016,30.470169105691,6601039.0
2014-10-21,31.38,31.6,30.71,31.48,5864501.0,0.0,1.0,31.359590243902,31.579447154472,30.69002601626,31.459525203252,5864501.0
2014-10-20,30.88,31.47,30.63,30.82,5856610.0,0.0,1.0,30.859915447154,31.449531707317,30.61007804878,30.799954471545,5856610.0
2014-10-17,31.59,31.97,30.38,30.95,8472076.0,0.0,1.0,31.569453658537,31.949206504065,30.360240650407,30.929869918699,8472076.0
2014-10-16,29.67,31.37,29.61,31.18,10155028.0,0.0,1.0,29.650702439024,31.349596747967,29.590741463415,31.159720325203,10155028.0
2014-10-15,27.99,30.462,27.75,30.3,11103625.0,0.0,1.0,27.971795121951,30.442187317073,27.731951219512,30.280292682927,11103625.0
2014-10-14,28.75,29.37,28.15,28.48,7945025.0,0.0,1.0,28.731300813008,29.350897560976,28.131691056911,28.461476422764,7945025.0
2014-10-13,29.22,29.77,28.49,28.53,6948601.0,0.0,1.0,29.200995121951,29.750637398374,28.471469918699,28.511443902439,6948601.0
2014-10-10,29.84,30.16,29.06,29.34,7172511.0,0.0,1.0,29.820591869919,30.140383739837,29.041099186992,29.320917073171,7172511.0
2014-10-09,30.96,31.065,29.7,29.84,7893978.0,0.0,1.0,30.939863414634,31.044795121951,29.680682926829,29.820591869919,7893978.0
2014-10-08,30.88,31.345,30.27,31.32,5970647.0,0.0,1.0,30.859915447154,31.32461300813,30.250312195122,31.299629268293,5970647.0
