Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,37.05,37.2,36.205,36.26,4018321.0,0.0,1.0,37.05,37.2,36.205,36.26,4018321.0
2015-01-14,37.27,37.5,36.515,36.96,4187667.0,0.0,1.0,37.27,37.5,36.515,36.96,4187667.0
2015-01-13,38.77,39.25,37.64,37.88,6292891.0,0.0,1.0,38.77,39.25,37.64,37.88,6292891.0
2015-01-12,37.81,38.63,37.69,38.57,5110526.0,0.0,1.0,37.81,38.63,37.69,38.57,5110526.0
2015-01-08,37.54,38.43,37.52,38.37,6340694.0,0.0,1.0,37.54,38.43,37.52,38.37,6340694.0
2015-01-06,36.98,37.1,36.0,36.3,6220390.0,0.0,1.0,36.98,37.1,36.0,36.3,6220390.0
2015-01-05,37.6,37.63,36.515,36.73,4496196.0,0.0,1.0,37.6,37.63,36.515,36.73,4496196.0
2015-01-02,37.67,37.915,37.01,37.31,2958821.0,0.0,1.0,37.67,37.915,37.01,37.31,2958821.0
2014-12-31,37.9,38.05,37.54,37.56,2532943.0,0.0,1.0,37.9,38.05,37.54,37.56,2532943.0
2014-12-30,37.64,38.13,37.5,37.86,3754869.0,0.0,1.0,37.64,38.13,37.5,37.86,3754869.0
2014-12-26,37.02,37.49,36.99,37.12,1759912.0,0.0,1.0,37.02,37.49,36.99,37.12,1759912.0
2014-12-24,37.18,37.25,36.815,36.97,1359636.0,0.0,1.0,37.18,37.25,36.815,36.97,1359636.0
2014-12-23,36.89,37.55,36.83,37.2,4734562.0,0.0,1.0,36.89,37.55,36.83,37.2,4734562.0
2014-12-22,36.94,37.04,36.36,37.0,3371135.0,0.0,1.0,36.94,37.04,36.36,37.0,3371135.0
2014-12-19,36.59,36.61,36.02,36.49,6420049.0,0.0,1.0,36.59,36.61,36.02,36.49,6420049.0
2014-12-18,36.19,36.62,36.11,36.43,5441842.0,0.0,1.0,36.19,36.62,36.11,36.43,5441842.0
2014-12-17,35.33,35.8701,35.155,35.75,4604877.0,0.0,1.0,35.33,35.8701,35.155,35.75,4604877.0
2014-12-16,35.0,35.73,34.77,34.97,4268255.0,0.0,1.0,35.0,35.73,34.77,34.97,4268255.0
2014-12-15,35.49,36.23,35.0,35.07,7035747.0,0.0,1.0,35.49,36.23,35.0,35.07,7035747.0
2014-12-12,34.26,36.0965,34.25,35.2,7458694.0,0.0,1.0,34.26,36.0965,34.25,35.2,7458694.0
2014-12-10,34.0,34.35,33.48,33.62,4859693.0,0.0,1.0,34.0,34.35,33.48,33.62,4859693.0
2014-12-09,33.61,34.165,33.5,34.04,4363971.0,0.0,1.0,33.61,34.165,33.5,34.04,4363971.0
2014-12-05,34.7,34.88,34.2,34.5,2770930.0,0.0,1.0,34.7,34.88,34.2,34.5,2770930.0
2014-12-04,34.95,35.17,34.58,34.7,2797823.0,0.0,1.0,34.95,35.17,34.58,34.7,2797823.0
2014-12-02,36.0,36.17,34.94,35.19,8236873.0,0.0,1.0,36.0,36.17,34.94,35.19,8236873.0
2014-12-01,36.91,36.95,35.66,36.1,4724329.0,0.0,1.0,36.91,36.95,35.66,36.1,4724329.0
2014-11-28,36.85,37.29,36.76,37.12,2526389.0,0.0,1.0,36.85,37.29,36.76,37.12,2526389.0
2014-11-26,37.07,37.18,36.59,36.66,3290586.0,0.0,1.0,37.07,37.18,36.59,36.66,3290586.0
2014-11-25,37.45,37.59,36.48,37.09,5518308.0,0.0,1.0,37.45,37.59,36.48,37.09,5518308.0
2014-11-24,36.65,37.6,36.58,37.41,6164341.0,0.0,1.0,36.65,37.6,36.58,37.41,6164341.0
2014-11-21,36.6,37.0,36.36,36.46,4231352.0,0.0,1.0,36.6,37.0,36.36,36.46,4231352.0
2014-11-20,35.4,36.45,35.36,36.13,3603082.0,0.0,1.0,35.4,36.45,35.36,36.13,3603082.0
2014-11-19,35.23,35.6,35.13,35.44,2326738.0,0.0,1.0,35.23,35.6,35.13,35.44,2326738.0
2014-11-18,35.01,35.495,34.92,35.3,3694984.0,0.0,1.0,35.01,35.495,34.92,35.3,3694984.0
2014-11-17,35.04,35.4,35.025,35.11,3209353.0,0.0,1.0,35.04,35.4,35.025,35.11,3209353.0
