Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,63.61,63.87,61.38,61.41,9953680.0,0.0,1.0,63.61,63.87,61.38,61.41,9953680.0
2015-01-14,61.82,62.78,60.85,62.62,9952829.0,0.0,1.0,61.82,62.78,60.85,62.62,9952829.0
2015-01-13,63.17,63.83,61.51,62.44,10217117.0,0.0,1.0,63.17,63.83,61.51,62.44,10217117.0
2015-01-12,64.15,64.27,62.61,63.07,8281802.0,0.0,1.0,64.15,64.27,62.61,63.07,8281802.0
2015-01-08,64.725,65.49,63.9,64.93,10316693.0,0.0,1.0,64.725,65.49,63.9,64.93,10316693.0
2015-01-06,65.67,66.6,62.88,62.93,18033578.0,0.0,1.0,65.67,66.6,62.88,62.93,18033578.0
2015-01-05,67.83,67.98,65.43,65.64,10938745.0,0.0,1.0,67.83,67.98,65.43,65.64,10938745.0
2015-01-02,68.37,69.48,68.23,68.92,5690816.0,0.0,1.0,68.37,69.48,68.23,68.92,5690816.0
2014-12-31,69.34,69.75,68.7,69.06,5913469.0,0.0,1.0,69.34,69.75,68.7,69.06,5913469.0
2014-12-30,69.64,70.2,69.27,69.93,4468514.0,0.0,1.0,69.64,70.2,69.27,69.93,4468514.0
2014-12-26,70.57,70.7902,69.52,69.88,3335553.0,0.0,1.0,70.57,70.7902,69.52,69.88,3335553.0
2014-12-24,70.53,70.63,68.9393,70.13,3858100.0,0.0,1.0,70.53,70.63,68.9393,70.13,3858100.0
2014-12-23,70.32,71.37,69.8,71.05,8154471.0,0.0,1.0,70.32,71.37,69.8,71.05,8154471.0
2014-12-22,70.08,70.45,68.49,69.52,9393380.0,0.0,1.0,70.08,70.45,68.49,69.52,9393380.0
2014-12-19,69.86,71.0,68.63,70.98,17765227.0,0.0,1.0,69.86,71.0,68.63,70.98,17765227.0
2014-12-18,68.97,69.84,66.66,69.75,15851852.0,0.0,1.0,68.97,69.84,66.66,69.75,15851852.0
2014-12-17,64.14,67.67,64.01,66.94,15304765.0,0.0,1.0,64.14,67.67,64.01,66.94,15304765.0
2014-12-16,61.49,64.98,60.84,63.22,12940394.0,0.0,1.0,61.49,64.98,60.84,63.22,12940394.0
2014-12-15,63.14,63.5,61.5,61.69,9789479.0,0.0,1.0,63.14,63.5,61.5,61.69,9789479.0
2014-12-12,62.69,63.79,62.31,62.45,8660659.0,0.0,1.0,62.69,63.79,62.31,62.45,8660659.0
2014-12-10,63.91,64.15,62.83,63.54,9815716.0,0.0,1.0,63.91,64.15,62.83,63.54,9815716.0
2014-12-09,64.38,66.25,63.37,64.96,12058281.0,0.0,1.0,64.38,66.25,63.37,64.96,12058281.0
2014-12-05,69.14,69.37,67.465,67.85,9807819.0,0.0,1.0,69.14,69.37,67.465,67.85,9807819.0
2014-12-04,70.16,70.43,68.68,69.31,10648309.0,0.0,1.0,70.16,70.43,68.68,69.31,10648309.0
2014-12-02,67.11,69.58,67.24,69.21,11668510.0,0.0,1.0,67.11,69.58,67.24,69.21,11668510.0
2014-12-01,65.93,67.9,65.4,67.77,13962511.0,0.0,1.0,65.93,67.9,65.4,67.77,13962511.0
2014-11-28,67.64,68.14,65.65,66.07,11777517.0,0.0,1.0,67.64,68.14,65.65,66.07,11777517.0
2014-11-26,71.75,71.75,70.55,70.83,7383105.0,0.0,1.0,71.75,71.75,70.55,70.83,7383105.0
