Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,19.65,19.82,19.41,19.56,2149289.0,0.0,1.0,19.65,19.82,19.41,19.56,2149289.0
2015-01-14,19.79,19.79,19.13,19.6,4289346.0,0.0,1.0,19.79,19.79,19.13,19.6,4289346.0
2015-01-13,19.9,20.29,19.73,20.0,3132040.0,0.0,1.0,19.9,20.29,19.73,20.0,3132040.0
2015-01-12,19.79,19.92,19.44,19.77,2303258.0,0.0,1.0,19.79,19.92,19.44,19.77,2303258.0
2015-01-08,19.64,19.93,19.58,19.76,3934653.0,0.0,1.0,19.64,19.93,19.58,19.76,3934653.0
2015-01-06,19.37,19.48,18.89,19.31,4267067.0,0.0,1.0,19.37,19.48,18.89,19.31,4267067.0
2015-01-05,20.26,20.26,19.205,19.38,6837275.0,0.0,1.0,20.26,20.26,19.205,19.38,6837275.0
2015-01-02,20.75,21.055,20.595,20.76,1923662.0,0.0,1.0,20.75,21.055,20.595,20.76,1923662.0
2014-12-31,21.19,21.275,20.63,20.64,1969940.0,0.0,1.0,21.19,21.275,20.63,20.64,1969940.0
2014-12-30,20.84,21.17,20.76,21.08,3380935.0,0.0,1.0,20.84,21.17,20.76,21.08,3380935.0
2014-12-26,20.76,20.82,20.5,20.72,1609995.0,0.0,1.0,20.76,20.82,20.5,20.72,1609995.0
2014-12-24,20.53,20.78,20.4,20.6,1289881.0,0.0,1.0,20.53,20.78,20.4,20.6,1289881.0
2014-12-23,20.04,20.57,19.93,20.43,3043747.0,0.0,1.0,20.04,20.57,19.93,20.43,3043747.0
2014-12-22,19.52,20.145,19.37,19.84,3486284.0,0.0,1.0,19.52,20.145,19.37,19.84,3486284.0
2014-12-19,20.32,20.36,19.95,20.1,6226391.0,0.0,1.0,20.32,20.36,19.95,20.1,6226391.0
2014-12-18,20.14,20.31,19.955,20.26,2157258.0,0.0,1.0,20.14,20.31,19.955,20.26,2157258.0
2014-12-17,19.41,19.9299,19.32,19.85,3463828.0,0.0,1.0,19.41,19.9299,19.32,19.85,3463828.0
