Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,45.3,45.76,44.91,45.05,8480407.0,0.0,1.0,45.3,45.76,44.91,45.05,8480407.0
2015-01-14,45.84,46.16,44.4701,45.31,12811839.0,0.0,1.0,45.84,46.16,44.4701,45.31,12811839.0
2015-01-13,46.69,47.75,45.955,46.61,12477343.0,0.0,1.0,46.69,47.75,45.955,46.61,12477343.0
2015-01-12,46.72,46.97,45.55,46.06,11528441.0,0.0,1.0,46.72,46.97,45.55,46.06,11528441.0
2015-01-08,47.48,48.32,47.26,48.19,10446489.0,0.0,1.0,47.48,48.32,47.26,48.19,10446489.0
2015-01-06,48.56,48.74,46.25,47.22,12819413.0,0.0,1.0,48.56,48.74,46.25,47.22,12819413.0
2015-01-05,49.42,49.48,47.81,48.36,10518905.0,0.0,1.0,49.42,49.48,47.81,48.36,10518905.0
2015-01-02,49.9,50.01,48.71,49.18,8632840.0,0.0,1.0,49.9,50.01,48.71,49.18,8632840.0
2014-12-31,49.59,50.159,49.1,49.19,7788137.0,0.0,1.0,49.59,50.159,49.1,49.19,7788137.0
2014-12-30,48.83,49.43,48.62,49.23,7318525.0,0.0,1.0,48.83,49.43,48.62,49.23,7318525.0
2014-12-26,48.02,48.6,47.84,48.39,5279386.0,0.0,1.0,48.02,48.6,47.84,48.39,5279386.0
2014-12-24,47.5,48.16,47.27,48.05,4303345.0,0.0,1.0,47.5,48.16,47.27,48.05,4303345.0
2014-12-23,47.69,47.77,46.39,47.13,6605013.0,0.0,1.0,47.69,47.77,46.39,47.13,6605013.0
2014-12-22,47.79,48.68,47.3,47.41,8144168.0,0.0,1.0,47.79,48.68,47.3,47.41,8144168.0
2014-12-19,46.47,47.745,46.45,47.38,12457204.0,0.0,1.0,46.47,47.745,46.45,47.38,12457204.0
2014-12-18,46.42,46.95,45.68,46.77,12550059.0,0.0,1.0,46.42,46.95,45.68,46.77,12550059.0
2014-12-17,45.53,46.41,44.3,46.17,17267194.0,0.0,1.0,45.53,46.41,44.3,46.17,17267194.0
2014-12-16,48.04,48.0,45.34,45.38,19620300.0,0.0,1.0,48.04,48.0,45.34,45.38,19620300.0
2014-12-15,47.75,48.27,46.71,47.8,12303577.0,0.0,1.0,47.75,48.27,46.71,47.8,12303577.0
2014-12-12,49.61,49.62,47.65,47.68,15110200.0,0.0,1.0,49.61,49.62,47.65,47.68,15110200.0
2014-12-10,46.94,47.34,46.07,46.22,15753351.0,0.0,1.0,46.94,47.34,46.07,46.22,15753351.0
2014-12-09,45.93,46.36,45.21,46.33,13996847.0,0.0,1.0,45.93,46.36,45.21,46.33,13996847.0
2014-12-05,46.86,47.628,46.78,47.28,15017730.0,0.0,1.0,46.86,47.628,46.78,47.28,15017730.0
2014-12-04,46.03,46.94,45.55,46.42,14719468.0,0.0,1.0,46.03,46.94,45.55,46.42,14719468.0
2014-12-02,44.94,46.2772,44.0501,44.67,18285761.0,0.0,1.0,44.94,46.2772,44.0501,44.67,18285761.0
2014-12-01,46.56,46.73,44.85,45.62,14586448.0,0.0,1.0,46.56,46.73,44.85,45.62,14586448.0
2014-11-28,46.39,47.19,46.08,46.67,16204556.0,0.0,1.0,46.39,47.19,46.08,46.67,16204556.0
2014-11-26,44.17,44.42,44.04,44.24,8571578.0,0.0,1.0,44.17,44.42,44.04,44.24,8571578.0
2014-11-25,43.6,44.33,43.31,44.08,11304462.0,0.0,1.0,43.6,44.33,43.31,44.08,11304462.0
2014-11-24,43.47,44.07,43.15,43.51,10597510.0,0.0,1.0,43.47,44.07,43.15,43.51,10597510.0
2014-11-21,44.17,44.29,42.91,43.09,14733420.0,0.0,1.0,44.17,44.29,42.91,43.09,14733420.0
2014-11-20,43.99,44.64,43.7,43.96,9075449.0,0.0,1.0,43.99,44.64,43.7,43.96,9075449.0
2014-11-19,44.42,44.949,43.86,44.45,9730187.0,0.0,1.0,44.42,44.949,43.86,44.45,9730187.0
2014-11-18,43.585,45.21,43.53,44.79,12918463.0,0.0,1.0,43.585,45.21,43.53,44.79,12918463.0
2014-11-17,43.66,44.19,43.38,43.43,7964370.0,0.0,1.0,43.66,44.19,43.38,43.43,7964370.0
2014-11-14,43.94,44.135,43.55,43.75,7980840.0,0.0,1.0,43.94,44.135,43.55,43.75,7980840.0
2014-11-13,43.58,44.41,43.46,44.08,11266780.0,0.0,1.0,43.58,44.41,43.46,44.08,11266780.0
2014-11-12,43.4,43.79,42.9,43.4,9503413.0,0.0,1.0,43.4,43.79,42.9,43.4,9503413.0
2014-11-11,43.57,44.28,43.51,43.84,11653690.0,0.0,1.0,43.57,44.28,43.51,43.84,11653690.0
2014-11-10,42.29,43.4,42.01,43.37,11141130.0,0.0,1.0,42.29,43.4,42.01,43.37,11141130.0
2014-11-07,42.9,43.0,42.42,42.69,10191453.0,0.0,1.0,42.9,43.0,42.42,42.69,10191453.0
2014-11-06,42.11,43.61,42.08,42.9,16676728.0,0.0,1.0,42.11,43.61,42.08,42.9,16676728.0
2014-11-04,41.53,42.86,41.5,42.32,19116945.0,0.0,1.0,41.53,42.86,41.5,42.32,19116945.0
2014-11-03,40.29,40.745,40.23,40.61,10754041.0,0.0,1.0,40.29,40.745,40.23,40.61,10754041.0
2014-10-31,39.92,40.4,39.54,40.23,14591742.0,0.0,1.0,39.92,40.4,39.54,40.23,14591742.0
2014-10-30,39.65,39.82,38.83,39.14,14600336.0,0.0,1.0,39.65,39.82,38.83,39.14,14600336.0
2014-10-29,39.75,39.83,38.855,39.58,13163049.0,0.0,1.0,39.75,39.83,38.855,39.58,13163049.0
2014-10-28,40.02,40.15,39.47,39.84,13187055.0,0.0,1.0,40.02,40.15,39.47,39.84,13187055.0
2014-10-27,39.4,40.1,39.2,39.75,18933663.0,0.0,1.0,39.4,40.1,39.2,39.75,18933663.0
2014-10-24,38.01,39.495,37.96,39.44,19496978.0,0.0,1.0,38.01,39.495,37.96,39.44,19496978.0
2014-10-23,37.63,38.96,37.45,37.92,25524651.0,0.0,1.0,37.63,38.96,37.45,37.92,25524651.0
2014-10-22,37.66,37.86,37.25,37.3,16448900.0,0.0,1.0,37.66,37.86,37.25,37.3,16448900.0
2014-10-21,36.77,37.59,36.7,37.48,21351360.0,0.0,1.0,36.77,37.59,36.7,37.48,21351360.0
2014-10-20,35.54,36.13,35.012,36.04,19922216.0,0.0,1.0,35.54,36.13,35.012,36.04,19922216.0
2014-10-17,34.57,35.14,34.15,34.39,21437374.0,0.0,1.0,34.57,35.14,34.15,34.39,21437374.0
