Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,61.24,61.89,60.06,60.1,4482518.0,0.0,1.0,61.24,61.89,60.06,60.1,4482518.0
2015-01-14,61.14,61.815,60.345,61.12,3760855.0,0.0,1.0,61.14,61.815,60.345,61.12,3760855.0
2015-01-13,63.71,64.1,61.92,62.44,3646813.0,0.0,1.0,63.71,64.1,61.92,62.44,3646813.0
2015-01-12,63.5,63.7,62.58,63.02,1733481.0,0.0,1.0,63.5,63.7,62.58,63.02,1733481.0
2015-01-08,63.95,64.7,63.85,64.35,2047972.0,0.0,1.0,63.95,64.7,63.85,64.35,2047972.0
2015-01-06,64.0,64.095,62.25,62.4,2940954.0,0.0,1.0,64.0,64.095,62.25,62.4,2940954.0
2015-01-05,64.82,65.095,63.685,63.9,2172204.0,0.0,1.0,64.82,65.095,63.685,63.9,2172204.0
2015-01-02,65.8,66.0199,64.71,65.36,1647166.0,0.0,1.0,65.8,66.0199,64.71,65.36,1647166.0
2014-12-31,66.54,66.6099,65.46,65.49,1501767.0,0.0,1.0,66.54,66.6099,65.46,65.49,1501767.0
2014-12-30,66.14,66.5,65.96,66.32,1162485.0,0.0,1.0,66.14,66.5,65.96,66.32,1162485.0
2014-12-26,66.085,66.725,66.085,66.27,1122587.0,0.0,1.0,66.085,66.725,66.085,66.27,1122587.0
2014-12-24,66.38,66.49,65.92,65.95,667960.0,0.0,1.0,66.38,66.49,65.92,65.95,667960.0
2014-12-23,66.2,66.58,66.03,66.17,1733809.0,0.0,1.0,66.2,66.58,66.03,66.17,1733809.0
2014-12-22,65.23,65.672,64.65,65.66,3098861.0,0.0,1.0,65.23,65.672,64.65,65.66,3098861.0
2014-12-19,65.25,65.69,64.69,65.09,4450253.0,0.0,1.0,65.25,65.69,64.69,65.09,4450253.0
2014-12-18,63.39,65.06,63.23,65.01,5194141.0,0.0,1.0,63.39,65.06,63.23,65.01,5194141.0
2014-12-17,60.58,62.495,60.44,62.42,3939686.0,0.0,1.0,60.58,62.495,60.44,62.42,3939686.0
2014-12-16,60.75,61.4,60.15,60.42,4312014.0,0.0,1.0,60.75,61.4,60.15,60.42,4312014.0
2014-12-15,62.03,62.4,60.81,61.23,3749558.0,0.0,1.0,62.03,62.4,60.81,61.23,3749558.0
2014-12-12,62.65,63.22,61.79,61.81,2900698.0,0.0,1.0,62.65,63.22,61.79,61.81,2900698.0
2014-12-10,64.43,64.8,63.04,63.14,4127218.0,0.0,1.0,64.43,64.8,63.04,63.14,4127218.0
2014-12-09,64.09,64.8601,64.09,64.66,2626031.0,0.0,1.0,64.09,64.8601,64.09,64.66,2626031.0
2014-12-05,65.13,65.6,64.71,64.85,3290364.0,0.0,1.0,65.13,65.6,64.71,64.85,3290364.0
2014-12-04,65.12,65.27,64.71,64.96,1792058.0,0.0,1.0,65.12,65.27,64.71,64.96,1792058.0
2014-12-02,65.12,65.5,65.01,65.41,1937312.0,0.0,1.0,65.12,65.5,65.01,65.41,1937312.0
2014-12-01,65.48,65.62,65.04,65.25,1758565.0,0.0,1.0,65.48,65.62,65.04,65.25,1758565.0
2014-11-28,65.0,65.64,64.89,65.55,1643553.0,0.0,1.0,65.0,65.64,64.89,65.55,1643553.0
2014-11-26,65.48,65.54,64.7155,64.97,2096233.0,0.0,1.0,65.48,65.54,64.7155,64.97,2096233.0
