Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,68.36,68.58,67.49,67.52,1339311.0,0.0,1.0,68.36,68.58,67.49,67.52,1339311.0
2015-01-14,67.2,68.39,66.88,68.13,1842238.0,0.0,1.0,67.2,68.39,66.88,68.13,1842238.0
2015-01-13,68.8,69.37,67.44,67.92,1113418.0,0.0,1.0,68.8,69.37,67.44,67.92,1113418.0
2015-01-12,68.635,68.7,67.87,68.1,1368178.0,0.0,1.0,68.635,68.7,67.87,68.1,1368178.0
2015-01-08,67.86,69.1,67.77,68.88,1695925.0,0.0,1.0,67.86,69.1,67.77,68.88,1695925.0
2015-01-06,67.38,67.74,66.09,66.27,2043620.0,0.0,1.0,67.38,67.74,66.09,66.27,2043620.0
2015-01-05,68.58,69.25,66.96,67.28,1820057.0,0.0,1.0,68.58,69.25,66.96,67.28,1820057.0
2015-01-02,68.37,69.58,67.78,68.97,2730484.0,0.0,1.0,68.37,69.58,67.78,68.97,2730484.0
2014-12-31,68.08,68.51,67.03,67.06,856111.0,0.0,1.0,68.08,68.51,67.03,67.06,856111.0
2014-12-30,67.81,68.19,67.55,68.08,663177.0,0.0,1.0,67.81,68.19,67.55,68.08,663177.0
2014-12-26,67.76,68.37,67.59,67.78,762954.0,0.0,1.0,67.76,68.37,67.59,67.78,762954.0
2014-12-24,68.35,68.45,67.59,67.94,701195.0,0.0,1.0,68.35,68.45,67.59,67.94,701195.0
2014-12-23,67.67,68.24,66.79,68.1,1501296.0,0.0,1.0,67.67,68.24,66.79,68.1,1501296.0
2014-12-22,66.52,67.57,66.38,67.54,1080457.0,0.0,1.0,66.52,67.57,66.38,67.54,1080457.0
2014-12-19,65.82,66.84,65.51,66.34,1974147.0,0.0,1.0,65.82,66.84,65.51,66.34,1974147.0
2014-12-18,64.23,65.56,63.93,65.56,1292678.0,0.0,1.0,64.23,65.56,63.93,65.56,1292678.0
2014-12-17,63.06,63.895,62.76,63.78,1273952.0,0.0,1.0,63.06,63.895,62.76,63.78,1273952.0
2014-12-16,63.05,64.0,62.88,62.92,1698967.0,0.0,1.0,63.05,64.0,62.88,62.92,1698967.0
2014-12-15,63.82,64.01,63.04,63.21,1239954.0,0.0,1.0,63.82,64.01,63.04,63.21,1239954.0
2014-12-12,64.3,64.76,63.39,63.42,1416612.0,0.0,1.0,64.3,64.76,63.39,63.42,1416612.0
2014-12-10,64.68,64.82,64.19,64.26,1605832.0,0.0,1.0,64.68,64.82,64.19,64.26,1605832.0
2014-12-09,64.29,64.96,64.23,64.85,1006593.0,0.0,1.0,64.29,64.96,64.23,64.85,1006593.0
2014-12-05,64.65,65.25,64.5,65.0,1603957.0,0.0,1.0,64.65,65.25,64.5,65.0,1603957.0
2014-12-04,65.61,65.89,64.16,64.6,2379891.0,0.0,1.0,65.61,65.89,64.16,64.6,2379891.0
2014-12-02,64.95,65.35,64.75,64.99,1128853.0,0.0,1.0,64.95,65.35,64.75,64.99,1128853.0
2014-12-01,65.22,65.67,64.51,64.68,1029849.0,0.0,1.0,65.22,65.67,64.51,64.68,1029849.0
2014-11-28,64.48,65.64,64.27,65.31,613920.0,0.0,1.0,64.48,65.64,64.27,65.31,613920.0
2014-11-26,63.91,64.53,63.78,64.43,717553.0,0.0,1.0,63.91,64.53,63.78,64.43,717553.0
2014-11-25,64.67,65.42,63.75,63.82,1472223.0,0.0,1.0,64.67,65.42,63.75,63.82,1472223.0
2014-11-24,64.72,64.99,64.37,64.67,1376683.0,0.0,1.0,64.72,64.99,64.37,64.67,1376683.0
2014-11-21,64.15,64.85,64.13,64.41,2050985.0,0.0,1.0,64.15,64.85,64.13,64.41,2050985.0
2014-11-20,63.01,63.54,62.95,63.52,618567.0,0.0,1.0,63.01,63.54,62.95,63.52,618567.0
2014-11-19,63.91,64.0399,63.04,63.48,1676013.0,0.0,1.0,63.91,64.0399,63.04,63.48,1676013.0
2014-11-18,63.1,64.239,63.1,64.09,1289674.0,0.0,1.0,63.1,64.239,63.1,64.09,1289674.0
2014-11-17,62.43,63.08,62.1,63.04,1321672.0,0.0,1.0,62.43,63.08,62.1,63.04,1321672.0
2014-11-14,63.69,63.85,62.3,62.41,1294944.0,0.0,1.0,63.69,63.85,62.3,62.41,1294944.0
2014-11-13,63.62,64.65,63.1,63.77,2397519.0,0.0,1.0,63.62,64.65,63.1,63.77,2397519.0
2014-11-12,62.67,63.22,62.35,62.89,942393.0,0.0,1.0,62.67,63.22,62.35,62.89,942393.0
2014-11-11,62.89,63.59,62.71,63.0,1277463.0,0.0,1.0,62.89,63.59,62.71,63.0,1277463.0
2014-11-10,61.79,63.06,61.62,62.69,1385179.0,0.0,1.0,61.79,63.06,61.62,62.69,1385179.0
2014-11-07,62.29,62.72,61.2836,61.69,2183828.0,0.0,1.0,62.29,62.72,61.2836,61.69,2183828.0
2014-11-06,60.5,62.87,60.45,62.76,2629738.0,0.0,1.0,60.5,62.87,60.45,62.76,2629738.0
2014-11-04,61.28,61.72,59.25,61.36,7931096.0,0.0,1.0,61.28,61.72,59.25,61.36,7931096.0
2014-11-03,63.52,63.52,61.61,62.11,3292157.0,0.0,1.0,63.52,63.52,61.61,62.11,3292157.0
2014-10-31,64.14,64.25,63.3,63.46,2786075.0,0.0,1.0,64.14,64.25,63.3,63.46,2786075.0
2014-10-30,63.53,63.7,63.35,63.48,1564302.0,0.0,1.0,63.53,63.7,63.35,63.48,1564302.0
2014-10-29,63.94,64.09,63.09,63.68,1157927.0,0.0,1.0,63.94,64.09,63.09,63.68,1157927.0
2014-10-28,63.3,63.9,62.91,63.74,1747773.0,0.0,1.0,63.3,63.9,62.91,63.74,1747773.0
2014-10-27,63.75,63.75,62.76,62.89,1713067.0,0.0,1.0,63.75,63.75,62.76,62.89,1713067.0
2014-10-24,63.11,63.96,62.82,63.76,1238646.0,0.0,1.0,63.11,63.96,62.82,63.76,1238646.0
2014-10-23,60.84,63.46,59.99,62.88,2085268.0,0.0,1.0,60.84,63.46,59.99,62.88,2085268.0
2014-10-22,60.93,62.07,59.95,61.21,2013955.0,0.0,1.0,60.93,62.07,59.95,61.21,2013955.0
2014-10-21,59.99,61.19,59.63,61.12,1166164.0,0.0,1.0,59.99,61.19,59.63,61.12,1166164.0
2014-10-20,58.585,59.65,58.395,59.65,1543266.0,0.0,1.0,58.585,59.65,58.395,59.65,1543266.0
2014-10-17,58.48,58.99,58.33,58.81,1053175.0,0.0,1.0,58.48,58.99,58.33,58.81,1053175.0
2014-10-16,56.95,58.43,56.9,57.93,1672514.0,0.0,1.0,56.95,58.43,56.9,57.93,1672514.0
2014-10-15,57.3,58.11,56.27,57.71,1486015.0,0.0,1.0,57.3,58.11,56.27,57.71,1486015.0
2014-10-14,58.97,59.35,57.67,57.85,1761164.0,0.0,1.0,58.97,59.35,57.67,57.85,1761164.0
2014-10-13,58.54,59.74,58.43,58.62,1217857.0,0.0,1.0,58.54,59.74,58.43,58.62,1217857.0
2014-10-10,58.41,58.9399,57.91,58.37,3244540.0,0.0,1.0,58.41,58.9399,57.91,58.37,3244540.0
2014-10-09,60.39,60.49,58.31,58.35,1917544.0,0.0,1.0,60.39,60.49,58.31,58.35,1917544.0
2014-10-08,59.43,60.46,59.01,60.31,1559212.0,0.0,1.0,59.43,60.46,59.01,60.31,1559212.0
2014-10-07,60.11,60.29,59.32,59.36,1069065.0,0.0,1.0,60.11,60.29,59.32,59.36,1069065.0
2014-10-06,60.78,61.09,60.06,60.34,1011806.0,0.0,1.0,60.78,61.09,60.06,60.34,1011806.0
2014-10-03,60.71,60.99,60.26,60.6,2869093.0,0.33,1.0,60.71,60.99,60.26,60.6,2869093.0
2014-10-01,60.81,61.16,60.25,60.32,929762.0,0.0,1.0,60.480649926145,60.828754308223,59.92368291482,59.993303791236,929762.0
2014-09-30,61.34,61.52,60.67,60.68,614522.0,0.0,1.0,61.007779419005,61.186804529788,60.341408173314,60.351354012802,614522.0
2014-09-29,60.91,61.62,60.9,61.47,661761.0,0.0,1.0,60.580108321024,61.286262924668,60.570162481536,61.137075332349,661761.0
2014-09-26,61.02,61.43,60.71,61.36,600313.0,0.0,1.0,60.689512555391,61.097291974397,60.381191531265,61.027671097981,600313.0
2014-09-25,62.05,62.14,60.911,60.92,904496.0,0.0,1.0,61.713934022649,61.80344657804,60.581102904973,60.590054160512,904496.0
2014-09-24,61.48,62.4,61.3,62.34,911814.0,0.0,1.0,61.147021171837,62.062038404727,60.967996061054,62.002363367799,911814.0
2014-09-23,62.05,62.492,61.49,61.49,1070171.0,0.0,1.0,61.713934022649,62.153540128016,61.156967011324,61.156967011324,1070171.0
2014-09-22,63.15,63.24,62.06,62.28,1097625.0,0.0,1.0,62.807976366322,62.897488921713,61.723879862137,61.942688330871,1097625.0
2014-09-19,63.38,63.57,63.11,63.4,1031397.0,0.0,1.0,63.036730674545,63.225701624815,62.76819300837,63.05662235352,1031397.0
2014-09-18,63.04,63.29,62.8,63.06,563199.0,0.0,1.0,62.698572131955,62.947218119153,62.459871984244,62.718463810931,563199.0
2014-09-17,63.16,63.418,62.71,62.92,741802.0,0.0,1.0,62.81792220581,63.074524864599,62.370359428853,62.579222058099,741802.0
2014-09-16,62.35,63.69,62.26,63.52,819243.0,0.0,1.0,62.012309207287,63.345051698671,61.922796651896,63.175972427376,819243.0
2014-09-15,62.65,62.95,62.25,62.42,566747.0,0.0,1.0,62.310684391925,62.609059576563,61.912850812408,62.081930083703,566747.0
2014-09-12,63.07,63.14,62.42,62.62,712309.0,0.0,1.0,62.728409650419,62.798030526834,62.081930083703,62.280846873461,712309.0
2014-09-11,62.75,63.18,62.41,63.05,1013821.0,0.0,1.0,62.410142786805,62.837813884786,62.071984244215,62.708517971443,1013821.0
2014-09-10,63.88,64.0,62.66,62.78,1040715.0,0.0,1.0,63.534022648941,63.653372722797,62.320630231413,62.439980305268,1040715.0
2014-09-09,64.035,64.22,63.69,63.83,1061608.0,0.0,1.0,63.688183161004,63.872181191531,63.345051698671,63.484293451502,1061608.0
2014-09-08,63.62,64.16,62.99,64.08,893052.0,0.0,1.0,63.275430822255,63.812506154604,62.648842934515,63.7329394387,893052.0
2014-09-05,63.5,63.88,63.16,63.73,619999.0,0.0,1.0,63.1560807484,63.534022648941,62.81792220581,63.384835056622,619999.0
2014-09-04,63.92,64.18,63.03,63.45,1298638.0,0.0,1.0,63.573806006893,63.83239783358,62.688626292467,63.10635155096,1298638.0
2014-09-03,63.67,64.38,63.62,63.75,1648780.0,0.0,1.0,63.325160019695,64.031314623338,63.275430822255,63.404726735598,1648780.0
2014-09-02,63.25,63.3,62.71,63.09,844107.0,0.0,1.0,62.907434761201,62.957163958641,62.370359428853,62.748301329394,844107.0
2014-08-29,62.18,63.25,62.14,63.21,855984.0,0.0,1.0,61.843229935992,62.907434761201,61.80344657804,62.86765140325,855984.0
2014-08-28,62.42,62.49,61.85,61.95,814185.0,0.0,1.0,62.081930083703,62.151550960118,61.51501723289,61.61447562777,814185.0
2014-08-27,62.46,62.99,62.36,62.41,707227.0,0.0,1.0,62.121713441654,62.648842934515,62.022255046775,62.071984244215,707227.0
2014-08-26,62.79,62.81,62.07,62.71,974764.0,0.0,1.0,62.449926144756,62.469817823732,61.733825701625,62.370359428853,974764.0
2014-08-25,62.3,62.99,62.37,62.74,482732.0,0.0,1.0,61.962580009847,62.648842934515,62.032200886263,62.400196947317,482732.0
2014-08-22,62.77,62.77,62.0,62.33,757375.0,0.0,1.0,62.43003446578,62.43003446578,61.664204825209,61.992417528311,757375.0
2014-08-21,62.66,62.89,62.4301,62.77,636603.0,0.0,1.0,62.320630231413,62.549384539636,62.091975381585,62.43003446578,636603.0
2014-08-20,62.02,62.665,61.91,62.54,577781.0,0.0,1.0,61.684096504185,62.325603151157,61.574692269818,62.201280157558,577781.0
2014-08-19,61.87,62.33,61.65,62.24,622106.0,0.0,1.0,61.534908911866,61.992417528311,61.316100443131,61.90290497292,622106.0
2014-08-18,60.79,61.95,60.78,61.73,980267.0,0.0,1.0,60.460758247169,61.61447562777,60.450812407681,61.395667159035,980267.0
2014-08-15,61.9,61.95,60.29,60.38,1827504.0,0.0,1.0,61.56474643033,61.61447562777,59.963466272772,60.052978828163,1827504.0
2014-08-14,61.38,61.82,61.14,61.75,983837.0,0.0,1.0,61.047562776957,61.485179714426,60.808862629247,61.415558838011,983837.0
2014-08-13,60.86,61.45,60.825,61.15,748970.0,0.0,1.0,60.530379123584,61.117183653373,60.495568685377,60.818808468735,748970.0
2014-08-12,60.89,61.35,60.64,60.67,749696.0,0.0,1.0,60.560216642048,61.017725258493,60.31157065485,60.341408173314,749696.0
2014-08-11,60.59,61.26,60.5925,61.09,988682.0,0.0,1.0,60.26184145741,60.928212703102,60.264327917282,60.759133431807,988682.0
2014-08-08,60.03,60.78,59.87,60.5,1266627.0,0.0,1.0,59.704874446086,60.450812407681,59.545741014279,60.172328902019,1266627.0
2014-08-07,60.58,60.67,59.68,59.9,1567937.0,0.0,1.0,60.251895617922,60.341408173314,59.356770064008,59.575578532742,1567937.0
2014-08-06,60.43,61.2099,60.34,60.41,1868045.0,0.0,1.0,60.102708025603,60.878384047267,60.013195470212,60.082816346627,1868045.0
2014-08-05,61.27,61.73,60.43,60.57,1380409.0,0.0,1.0,60.93815854259,61.395667159035,60.102708025603,60.241949778434,1380409.0
2014-08-04,60.87,61.45,60.58,61.36,2120528.0,0.0,1.0,60.540324963072,61.117183653373,60.251895617922,61.027671097981,2120528.0
2014-08-01,60.86,61.51,60.18,60.97,1568173.0,0.0,1.0,60.530379123584,61.1768586903,59.854062038405,60.639783357952,1568173.0
2014-07-31,62.26,62.48,61.04,61.1,2127852.0,0.0,1.0,61.922796651896,62.14160512063,60.709404234367,60.769079271295,2127852.0
2014-07-30,62.11,62.54,62.03,62.48,1210927.0,0.0,1.0,61.773609059577,62.201280157558,61.694042343673,62.14160512063,1210927.0
2014-07-29,62.06,62.46,62.05,62.24,1262236.0,0.0,1.0,61.723879862137,62.121713441654,61.713934022649,61.90290497292,1262236.0
2014-07-28,61.56,62.23,61.34,62.11,1436430.0,0.0,1.0,61.22658788774,61.892959133432,61.007779419005,61.773609059577,1436430.0
2014-07-25,61.51,62.35,61.25,62.14,1468320.0,0.0,1.0,61.1768586903,62.012309207287,60.918266863614,61.80344657804,1468320.0
2014-07-24,61.76,61.92,60.42,61.43,1947363.0,0.0,1.0,61.425504677499,61.584638109306,60.092762186115,61.097291974397,1947363.0
2014-07-23,61.69,61.52,60.88,61.28,1046049.0,0.0,1.0,61.355883801083,61.186804529788,60.55027080256,60.948104382078,1046049.0
2014-07-22,61.13,61.62,60.98,61.52,1410621.0,0.0,1.0,60.798916789759,61.286262924668,60.64972919744,61.186804529788,1410621.0
2014-07-21,60.22,60.76,59.93,60.75,1153034.0,0.0,1.0,59.893845396356,60.430920728705,59.605416051206,60.420974889217,1153034.0
2014-07-18,60.77,60.89,59.59,60.21,1905509.0,0.0,1.0,60.440866568193,60.560216642048,59.267257508616,59.883899556869,1905509.0
2014-07-17,61.34,61.83,60.62,60.65,1387499.0,0.0,1.0,61.007779419005,61.495125553914,60.291678975874,60.321516494338,1387499.0
2014-07-16,61.24,61.689,60.97,61.49,2084549.0,0.0,1.0,60.908321024126,61.354889217134,60.639783357952,61.156967011324,2084549.0
2014-07-15,60.38,61.28,60.38,60.9,1927608.0,0.0,1.0,60.052978828163,60.948104382078,60.052978828163,60.570162481536,1927608.0
2014-07-14,59.72,60.6,59.63,60.23,1987641.0,0.0,1.0,59.39655342196,60.271787296898,59.307040866568,59.903791235844,1987641.0
2014-07-11,59.05,59.46,58.56,59.4,696171.0,0.0,1.0,58.730182176268,59.137961595273,58.242836041359,59.078286558346,696171.0
2014-07-10,59.0,59.27,58.84,59.04,880479.0,0.0,1.0,58.680452978828,58.948990645002,58.521319547021,58.72023633678,880479.0
2014-07-09,59.41,59.49,58.93,59.35,725747.0,0.0,1.0,59.088232397834,59.167799113737,58.610832102413,59.028557360906,725747.0
2014-07-08,59.46,59.62,59.2,59.28,1215882.0,0.0,1.0,59.137961595273,59.29709502708,58.879369768587,58.95893648449,1215882.0
2014-07-07,59.57,59.92,59.26,59.46,1412680.0,0.33,1.0,59.247365829641,59.595470211718,58.939044805515,59.137961595273,1412680.0
2014-07-03,59.91,60.12,59.41,60.07,853961.0,0.0,1.0,59.256652938164,59.464362788223,58.762105676119,59.414908062018,853961.0
2014-07-02,58.98,59.76,58.89,59.75,1152706.0,0.0,1.0,58.336795030761,59.108288759551,58.247776523593,59.09839781431,1152706.0
2014-07-01,58.91,59.29,58.76,59.09,1051514.0,0.0,1.0,58.267558414075,58.643414333229,58.119194235462,58.445595428411,1051514.0
2014-06-30,58.69,58.99,58.485,58.69,1143425.0,0.0,1.0,58.049957618776,58.346685976002,57.847193241337,58.049957618776,1143425.0
2014-06-27,58.14,58.84,57.88,58.82,1415333.0,0.0,1.0,57.505955630527,58.198321797389,57.248791054264,58.178539906907,1415333.0
2014-06-26,58.44,58.58,57.94,58.32,1351678.0,0.0,1.0,57.802683987753,57.941157221126,57.308136725709,57.683992644863,1351678.0
2014-06-25,59.15,59.59,58.52,58.53,1335711.0,0.0,1.0,58.504941099856,58.940142690455,57.88181154968,57.891702494921,1335711.0
2014-06-24,59.09,59.3185,58.64,58.95,603140.0,0.0,1.0,58.445595428411,58.671603527165,58.000502892571,58.307122195039,603140.0
2014-06-23,59.15,59.57,58.71,59.22,1071976.0,0.0,1.0,58.504941099856,58.920360799974,58.069739509257,58.574177716543,1071976.0
2014-06-20,58.71,59.31,58.47,59.08,1621094.0,0.0,1.0,58.069739509257,58.663196223711,57.832356823476,58.43570448317,1621094.0
2014-06-19,58.53,58.67,58.06,58.64,1229619.0,0.0,1.0,57.891702494921,58.030175728294,57.4268280686,58.000502892571,1229619.0
2014-06-18,58.4,58.64,58.22,58.54,1279790.0,0.0,1.0,57.76312020679,58.000502892571,57.585083192454,57.901593440162,1279790.0
2014-06-17,58.36,58.59,58.26,58.57,1202645.0,0.0,1.0,57.723556425826,57.951048166367,57.624646973417,57.931266275885,1202645.0
2014-06-16,59.2,59.37,58.4,58.55,1340250.0,0.0,1.0,58.554395826061,58.722541895156,57.76312020679,57.911484385403,1340250.0
2014-06-13,59.72,60.1,59.04,59.21,1463987.0,0.0,1.0,59.068724978587,59.444580897741,58.396140702207,58.564286771302,1463987.0
2014-06-12,59.78,60.09,58.66,59.71,2074925.0,0.0,1.0,59.128070650032,59.4346899525,58.020284783053,59.058834033346,2074925.0
2014-06-11,60.76,60.87,59.55,59.62,3514470.0,0.0,1.0,60.097383283639,60.206183681289,58.900578909492,58.969815526178,3514470.0
2014-06-10,61.75,61.95,61.0,61.06,2374282.0,0.0,1.0,61.076586862487,61.274405767305,60.334765969421,60.394111640866,2374282.0
2014-06-09,61.87,61.92,61.51,61.7,1750415.0,0.0,1.0,61.195278205378,61.244732931583,60.839204176706,61.027132136283,1750415.0
2014-06-06,61.71,62.01,61.545,61.75,1589561.0,0.0,1.0,61.037023081524,61.333751438751,60.873822485049,61.076586862487,1589561.0
2014-06-05,61.66,62.08,61.17,61.34,3510977.0,0.0,1.0,60.987568355319,61.402988055437,60.502912038516,60.671058107611,3510977.0
2014-06-04,60.97,62.42,60.885,61.64,3431326.0,0.0,1.0,60.305093133698,61.739280193627,60.221020099151,60.967786464838,3431326.0
2014-06-03,59.96,61.11,59.12,60.93,8723145.0,0.0,1.0,59.306107664368,60.443566367071,58.475268264134,60.265529352735,8723145.0
2014-06-02,59.99,60.68,59.58,60.03,1749183.0,0.0,1.0,59.335780500091,60.018255721712,58.930251745215,59.375344281055,1749183.0
2014-05-30,59.59,59.945,58.9773,59.89,1833199.0,0.0,1.0,58.940142690455,59.291271246507,58.334124475546,59.236871047682,1833199.0
2014-05-29,58.13,59.62,58.03,59.6,2257077.0,0.0,1.0,57.496064685286,58.969815526178,57.397155232877,58.950033635696,2257077.0
2014-05-28,57.83,58.31,57.55,58.07,1380732.0,0.0,1.0,57.199336328059,57.674101699622,56.922389861314,57.43671901384,1380732.0
2014-05-27,57.61,57.9801,57.21,57.72,1249863.0,0.0,1.0,56.98173553276,57.347799416125,56.586097723124,57.090535930409,1249863.0
2014-05-23,57.415,57.52,56.92,57.44,1365877.0,0.0,1.0,56.788862100562,56.892717025592,56.299260311138,56.813589463664,1365877.0
2014-05-22,57.46,57.7,57.34,57.34,1001495.0,0.0,1.0,56.833371354146,57.070754039928,56.714680011256,56.714680011256,1001495.0
2014-05-21,57.19,57.71,57.264,57.42,686321.0,0.0,1.0,56.566315832642,57.080644985168,56.639508827425,56.793807573183,686321.0
2014-05-20,57.58,57.64,57.01,57.21,941300.0,0.0,1.0,56.952062697037,57.011408368482,56.388278818306,56.586097723124,941300.0
2014-05-19,57.87,58.06,57.25,57.4,1320925.0,0.0,1.0,57.238900109023,57.4268280686,56.625661504088,56.774025682701,1320925.0
2014-05-16,57.49,58.08,57.36,57.9,2723366.0,0.0,1.0,56.863044189869,57.446609959081,56.734461901737,57.268572944745,2723366.0
2014-05-15,57.05,57.53,56.532,57.51,1512939.0,0.0,1.0,56.42784259927,56.902607970832,55.915491635792,56.882826080351,1512939.0
2014-05-14,57.12,57.3,56.82,57.14,785805.0,0.0,1.0,56.497079215956,56.675116230292,56.200350858729,56.516861106438,785805.0
2014-05-13,57.15,57.37,56.905,57.27,1697648.0,0.0,1.0,56.526752051679,56.744352846978,56.284423893277,56.645443394569,1697648.0
2014-05-12,57.44,57.635,56.97,57.2,1851298.0,0.0,1.0,56.813589463664,57.006462895862,56.348715037343,56.576206777883,1851298.0
2014-05-09,57.11,57.62,56.75,57.18,2673207.0,0.0,1.0,56.487188270715,56.991626478,56.131114242043,56.556424887401,2673207.0
2014-05-08,56.45,57.99,56.34,57.27,4853979.0,0.0,1.0,55.834385884816,57.357591451913,55.725585487167,56.645443394569,4853979.0
2014-05-07,55.73,56.195,55.56,55.9,3332330.0,0.0,1.0,55.122237827472,55.582166781174,54.954091758377,55.290383896568,3332330.0
2014-05-06,55.37,55.83,55.08,55.57,1256406.0,0.0,1.0,54.7661637988,55.221147279881,54.479326386815,54.963982703618,1256406.0
2014-05-05,55.46,55.63,55.16,55.5,1089777.0,0.0,1.0,54.855182305968,55.023328375064,54.558453948742,54.894746086932,1089777.0
2014-05-02,56.05,56.05,55.51,55.71,1356027.0,0.0,1.0,55.438748075181,55.438748075181,54.904637032173,55.102455936991,1356027.0
2014-05-01,55.98,56.5,55.54,55.97,992924.0,0.0,1.0,55.369511458495,55.883840611021,54.934309867896,55.359620513254,992924.0
2014-04-30,55.51,56.18,55.37,55.93,1744479.0,0.0,1.0,54.904637032173,55.567330363312,54.7661637988,55.32005673229,1744479.0
2014-04-29,55.98,56.56,55.46,55.65,2410461.0,0.0,1.0,55.369511458495,55.943186282466,54.855182305968,55.043110265545,2410461.0
2014-04-28,56.08,56.16,54.9,55.9,2168975.0,0.0,1.0,55.468420910904,55.547548472831,54.301289372479,55.290383896568,2168975.0
2014-04-25,57.6,57.72,55.86,55.88,3788129.0,0.0,1.0,56.971844587519,57.090535930409,55.250820115604,55.270602006086,3788129.0
2014-04-24,58.47,58.63,56.88,57.57,3084570.0,0.0,1.0,57.832356823476,57.99061194733,56.259696530175,56.942171751796,3084570.0
2014-04-23,58.59,58.97,58.25,58.35,1927237.0,0.0,1.0,57.951048166367,58.32690408552,57.614756028176,57.713665480585,1927237.0
2014-04-22,59.57,59.87,58.37,58.4,2388335.0,0.0,1.0,58.920360799974,59.2170891572,57.733447371067,57.76312020679,2388335.0
2014-04-21,59.43,59.84,59.17,59.3,1185730.0,0.0,1.0,58.781887566601,59.187416321478,58.524722990338,58.65330527847,1185730.0
2014-04-17,60.0,60.29,59.12,59.48,1470391.0,0.0,1.0,59.345671445332,59.632508857318,58.475268264134,58.831342292806,1470391.0
2014-04-16,60.78,60.76,59.505,59.98,2218816.0,0.0,1.0,60.117165174121,60.097383283639,58.856069655908,59.32588955485,2218816.0
2014-04-15,60.27,60.6099,59.44,60.08,1734693.0,0.0,1.0,59.612726966836,59.948920195574,58.791778511842,59.424799007259,1734693.0
