Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,67.14,68.01,66.77,67.14,2453818.0,0.0,1.0,67.14,68.01,66.77,67.14,2453818.0
2015-01-14,66.82,67.38,66.55,67.14,3977489.0,0.0,1.0,66.82,67.38,66.55,67.14,3977489.0
2015-01-13,69.54,70.5,66.775,67.65,4095121.0,0.0,1.0,69.54,70.5,66.775,67.65,4095121.0
2015-01-12,70.26,70.33,68.65,68.89,2174521.0,0.0,1.0,70.26,70.33,68.65,68.89,2174521.0
2015-01-08,70.19,71.33,70.05,71.24,2407560.0,0.0,1.0,70.19,71.33,70.05,71.24,2407560.0
2015-01-06,69.46,69.71,68.38,68.98,2004526.0,0.0,1.0,69.46,69.71,68.38,68.98,2004526.0
2015-01-05,71.82,71.9,69.36,69.42,2557633.0,0.0,1.0,71.82,71.9,69.36,69.42,2557633.0
2015-01-02,73.4,73.9,71.77,72.59,1261746.0,0.0,1.0,73.4,73.9,71.77,72.59,1261746.0
2014-12-31,73.76,73.83,72.72,72.72,1024812.0,0.0,1.0,73.76,73.83,72.72,72.72,1024812.0
2014-12-30,73.67,73.94,73.27,73.32,845419.0,0.0,1.0,73.67,73.94,73.27,73.32,845419.0
2014-12-26,73.54,74.02,73.18,73.62,770012.0,0.0,1.0,73.54,74.02,73.18,73.62,770012.0
2014-12-24,73.9,74.02,73.395,73.45,431806.0,0.0,1.0,73.9,74.02,73.395,73.45,431806.0
2014-12-23,74.13,74.88,73.75,73.87,861647.0,0.0,1.0,74.13,74.88,73.75,73.87,861647.0
2014-12-22,73.65,73.905,73.33,73.71,983180.0,0.0,1.0,73.65,73.905,73.33,73.71,983180.0
2014-12-19,72.9,73.94,72.76,73.51,2355509.0,0.0,1.0,72.9,73.94,72.76,73.51,2355509.0
2014-12-18,71.96,72.56,71.23,72.53,1504649.0,0.0,1.0,71.96,72.56,71.23,72.53,1504649.0
2014-12-17,69.56,71.52,69.454,71.0,1362294.0,0.0,1.0,69.56,71.52,69.454,71.0,1362294.0
2014-12-16,69.74,70.85,69.415,69.48,1939490.0,0.0,1.0,69.74,70.85,69.415,69.48,1939490.0
2014-12-15,70.61,71.47,69.61,70.1,2028829.0,0.0,1.0,70.61,71.47,69.61,70.1,2028829.0
2014-12-12,70.51,70.99,69.77,69.77,1571438.0,0.0,1.0,70.51,70.99,69.77,69.77,1571438.0
2014-12-10,72.835,72.77,70.88,70.9,1493328.0,0.0,1.0,72.835,72.77,70.88,70.9,1493328.0
2014-12-09,71.86,72.87,71.73,72.84,1447521.0,0.0,1.0,71.86,72.87,71.73,72.84,1447521.0
2014-12-05,73.415,73.75,73.08,73.39,1280371.0,0.0,1.0,73.415,73.75,73.08,73.39,1280371.0
