Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,115.64,116.48,114.1775,115.27,161588.0,0.0,1.0,115.64,116.48,114.1775,115.27,161588.0
2015-01-14,116.0,116.1,114.69,115.88,163776.0,0.0,1.0,116.0,116.1,114.69,115.88,163776.0
2015-01-13,117.77,119.72,115.61,116.81,225908.0,0.0,1.0,117.77,119.72,115.61,116.81,225908.0
2015-01-12,120.16,120.35,116.26,116.46,230245.0,0.0,1.0,120.16,120.35,116.26,116.46,230245.0
2015-01-08,118.52,119.85,118.29,119.82,365643.0,0.0,1.0,118.52,119.85,118.29,119.82,365643.0
2015-01-06,117.455,118.08,116.34,117.16,341650.0,0.0,1.0,117.455,118.08,116.34,117.16,341650.0
2015-01-05,120.76,121.49,117.0,117.64,356650.0,0.0,1.0,120.76,121.49,117.0,117.64,356650.0
2015-01-02,121.65,122.38,120.4,121.65,404990.0,0.0,1.0,121.65,122.38,120.4,121.65,404990.0
2014-12-31,122.22,122.99,120.86,120.96,179599.0,0.0,1.0,122.22,122.99,120.86,120.96,179599.0
2014-12-30,122.42,122.84,121.6675,122.23,166180.0,0.0,1.0,122.42,122.84,121.6675,122.23,166180.0
2014-12-26,123.4,123.67,122.41,122.54,76279.0,0.0,1.0,123.4,123.67,122.41,122.54,76279.0
2014-12-24,123.5,123.63,122.72,122.87,56600.0,0.0,1.0,123.5,123.63,122.72,122.87,56600.0
2014-12-23,122.73,123.65,122.045,123.08,159133.0,0.0,1.0,122.73,123.65,122.045,123.08,159133.0
2014-12-22,121.45,122.39,120.77,122.06,173037.0,0.0,1.0,121.45,122.39,120.77,122.06,173037.0
2014-12-19,119.98,121.22,119.98,121.0,500047.0,0.0,1.0,119.98,121.22,119.98,121.0,500047.0
2014-12-18,117.64,120.12,117.34,119.93,363186.0,0.0,1.0,117.64,120.12,117.34,119.93,363186.0
2014-12-17,114.66,116.39,114.2,116.12,314879.0,0.0,1.0,114.66,116.39,114.2,116.12,314879.0
2014-12-16,114.37,115.84,114.02,114.54,402753.0,0.0,1.0,114.37,115.84,114.02,114.54,402753.0
2014-12-15,114.45,115.76,113.63,114.93,444888.0,0.0,1.0,114.45,115.76,113.63,114.93,444888.0
2014-12-12,117.06,116.33,113.38,113.78,487608.0,0.0,1.0,117.06,116.33,113.38,113.78,487608.0
2014-12-10,120.61,121.01,117.14,117.35,300414.0,0.0,1.0,120.61,121.01,117.14,117.35,300414.0
2014-12-09,121.38,121.445,118.87,120.66,372009.0,0.0,1.0,121.38,121.445,118.87,120.66,372009.0
2014-12-05,124.08,125.155,123.585,124.12,282915.0,0.0,1.0,124.08,125.155,123.585,124.12,282915.0
2014-12-04,125.45,125.89,123.01,123.84,393509.0,0.0,1.0,125.45,125.89,123.01,123.84,393509.0
2014-12-02,124.91,126.22,124.53,125.66,287804.0,0.0,1.0,124.91,126.22,124.53,125.66,287804.0
2014-12-01,126.57,126.7,124.71,125.07,198450.0,0.0,1.0,126.57,126.7,124.71,125.07,198450.0
2014-11-28,127.07,127.8752,126.385,126.95,105365.0,0.0,1.0,127.07,127.8752,126.385,126.95,105365.0
2014-11-26,127.88,127.88,126.46,126.96,159454.0,0.0,1.0,127.88,127.88,126.46,126.96,159454.0
2014-11-25,127.02,128.03,126.32,127.37,230924.0,0.0,1.0,127.02,128.03,126.32,127.37,230924.0
2014-11-24,125.7,127.05,125.7,126.92,170185.0,0.0,1.0,125.7,127.05,125.7,126.92,170185.0
2014-11-21,126.8,127.49,125.44,125.88,184807.0,0.0,1.0,126.8,127.49,125.44,125.88,184807.0
2014-11-20,124.91,125.91,124.87,125.18,101417.0,0.0,1.0,124.91,125.91,124.87,125.18,101417.0
2014-11-19,126.07,126.44,124.99,125.43,131132.0,0.0,1.0,126.07,126.44,124.99,125.43,131132.0
2014-11-18,125.63,127.13,125.32,126.64,143347.0,0.0,1.0,125.63,127.13,125.32,126.64,143347.0
2014-11-17,124.74,125.59,124.23,125.42,132341.0,0.0,1.0,124.74,125.59,124.23,125.42,132341.0
2014-11-14,124.85,125.39,124.7,125.06,161114.0,0.0,1.0,124.85,125.39,124.7,125.06,161114.0
2014-11-13,125.32,125.88,124.6,125.06,117203.0,0.0,1.0,125.32,125.88,124.6,125.06,117203.0
2014-11-12,122.83,125.16,122.83,125.01,98451.0,0.0,1.0,122.83,125.16,122.83,125.01,98451.0
2014-11-11,124.4,124.43,123.26,123.57,196853.0,0.0,1.0,124.4,124.43,123.26,123.57,196853.0
2014-11-10,123.13,124.4,122.53,124.28,202365.0,0.0,1.0,123.13,124.4,122.53,124.28,202365.0
2014-11-07,121.79,123.53,121.27,123.13,287014.0,0.0,1.0,121.79,123.53,121.27,123.13,287014.0
2014-11-06,122.04,122.37,121.11,122.18,282426.0,0.0,1.0,122.04,122.37,121.11,122.18,282426.0
2014-11-04,122.2,124.02,121.75,122.36,400910.0,0.0,1.0,122.2,124.02,121.75,122.36,400910.0
2014-11-03,122.38,123.92,122.16,123.36,504279.0,0.0,1.0,122.38,123.92,122.16,123.36,504279.0
2014-10-31,123.99,124.534,122.11,122.81,629884.0,0.0,1.0,123.99,124.534,122.11,122.81,629884.0
2014-10-30,120.65,122.7499,120.41,122.57,331110.0,0.0,1.0,120.65,122.7499,120.41,122.57,331110.0
2014-10-29,121.25,121.43,119.345,120.96,283485.0,0.0,1.0,121.25,121.43,119.345,120.96,283485.0
2014-10-28,120.02,121.37,119.78,121.37,259902.0,0.0,1.0,120.02,121.37,119.78,121.37,259902.0
2014-10-27,119.47,120.89,118.89,119.91,238898.0,0.0,1.0,119.47,120.89,118.89,119.91,238898.0
2014-10-24,118.66,119.64,118.09,119.48,131952.0,0.0,1.0,118.66,119.64,118.09,119.48,131952.0
2014-10-23,118.17,119.63,118.12,118.67,176100.0,0.0,1.0,118.17,119.63,118.12,118.67,176100.0
2014-10-22,118.56,118.77,117.29,117.31,164416.0,0.0,1.0,118.56,118.77,117.29,117.31,164416.0
2014-10-21,116.51,118.32,115.83,118.32,311929.0,0.0,1.0,116.51,118.32,115.83,118.32,311929.0
2014-10-20,115.06,116.67,114.196,115.72,372686.0,0.0,1.0,115.06,116.67,114.196,115.72,372686.0
2014-10-17,113.88,115.65,113.645,115.23,173793.0,0.0,1.0,113.88,115.65,113.645,115.23,173793.0
2014-10-16,108.99,113.39,108.86,112.8,626294.0,0.0,1.0,108.99,113.39,108.86,112.8,626294.0
2014-10-15,112.27,111.66,109.72,110.67,1319754.0,0.0,1.0,112.27,111.66,109.72,110.67,1319754.0
2014-10-14,113.4,114.295,112.92,112.99,420774.0,0.0,1.0,113.4,114.295,112.92,112.99,420774.0
2014-10-13,114.58,115.1125,112.77,112.89,343453.0,0.0,1.0,114.58,115.1125,112.77,112.89,343453.0
2014-10-10,117.32,118.64,114.452,114.49,596782.0,0.0,1.0,117.32,118.64,114.452,114.49,596782.0
2014-10-09,119.27,119.41,117.19,117.5,331382.0,0.0,1.0,119.27,119.41,117.19,117.5,331382.0
2014-10-08,118.0,119.9,117.39,119.6,475302.0,0.0,1.0,118.0,119.9,117.39,119.6,475302.0
2014-10-07,118.8,119.3999,117.19,117.59,520597.0,0.0,1.0,118.8,119.3999,117.19,117.59,520597.0
2014-10-06,120.09,120.81,118.89,119.51,199770.0,0.0,1.0,120.09,120.81,118.89,119.51,199770.0
2014-10-03,118.16,119.97,117.4994,119.83,245905.0,0.0,1.0,118.16,119.97,117.4994,119.83,245905.0
2014-10-01,117.46,117.75,117.14,117.26,514859.0,0.0,1.0,117.46,117.75,117.14,117.26,514859.0
2014-09-30,117.64,118.18,117.09,117.47,536529.0,0.0,1.0,117.64,118.18,117.09,117.47,536529.0
2014-09-29,115.52,117.63,115.2,117.49,185586.0,0.0,1.0,115.52,117.63,115.2,117.49,185586.0
2014-09-26,116.0,117.17,115.75,116.91,317751.0,0.0,1.0,116.0,117.17,115.75,116.91,317751.0
2014-09-25,115.92,116.6,115.04,115.45,360312.0,0.0,1.0,115.92,116.6,115.04,115.45,360312.0
2014-09-24,116.33,116.92,115.655,116.61,255305.0,0.0,1.0,116.33,116.92,115.655,116.61,255305.0
2014-09-23,117.74,118.14,116.52,116.54,413117.0,0.0,1.0,117.74,118.14,116.52,116.54,413117.0
2014-09-22,118.07,118.8,117.47,117.89,363807.0,0.0,1.0,118.07,118.8,117.47,117.89,363807.0
