Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,6.93,7.09,6.49,6.53,15288513.0,0.0,1.0,6.93,7.09,6.49,6.53,15288513.0
2015-01-14,6.78,6.84,6.32,6.8,14872042.0,0.0,1.0,6.78,6.84,6.32,6.8,14872042.0
2015-01-13,6.92,7.0,6.7,6.82,9964144.0,0.0,1.0,6.92,7.0,6.7,6.82,9964144.0
2015-01-12,7.12,7.14,6.82,6.89,12552752.0,0.0,1.0,7.12,7.14,6.82,6.89,12552752.0
2015-01-08,6.95,7.31,6.82,7.18,15947043.0,0.0,1.0,6.95,7.31,6.82,7.18,15947043.0
2015-01-06,7.24,7.35,6.96,7.09,11622889.0,0.0,1.0,7.24,7.35,6.96,7.09,11622889.0
2015-01-05,7.77,7.81,7.09,7.3,12671602.0,0.0,1.0,7.77,7.81,7.09,7.3,12671602.0
2015-01-02,8.06,8.12,7.52,7.92,9639775.0,0.0,1.0,8.06,8.12,7.52,7.92,9639775.0
2014-12-31,7.99,8.29,7.78,8.13,7179510.0,0.0,1.0,7.99,8.29,7.78,8.13,7179510.0
2014-12-30,8.19,8.33,8.03,8.16,7324981.0,0.0,1.0,8.19,8.33,8.03,8.16,7324981.0
2014-12-26,8.21,8.3,8.01,8.13,5531312.0,0.0,1.0,8.21,8.3,8.01,8.13,5531312.0
2014-12-24,8.26,8.34,7.98,8.15,4558121.0,0.0,1.0,8.26,8.34,7.98,8.15,4558121.0
2014-12-23,8.2,8.35,8.07,8.33,10761632.0,0.0,1.0,8.2,8.35,8.07,8.33,10761632.0
2014-12-22,8.19,8.27,7.82,8.11,16349922.0,0.0,1.0,8.19,8.27,7.82,8.11,16349922.0
2014-12-19,7.45,8.4,7.38,8.32,25932909.0,0.0,1.0,7.45,8.4,7.38,8.32,25932909.0
2014-12-18,7.85,7.9,6.97,7.32,21247434.0,0.0,1.0,7.85,7.9,6.97,7.32,21247434.0
2014-12-17,6.83,7.4,6.79,7.17,22539005.0,0.0,1.0,6.83,7.4,6.79,7.17,22539005.0
2014-12-16,6.22,6.96,6.04,6.8,23387035.0,0.0,1.0,6.22,6.96,6.04,6.8,23387035.0
2014-12-15,6.6,6.8,6.26,6.34,18849286.0,0.0,1.0,6.6,6.8,6.26,6.34,18849286.0
2014-12-12,6.52,6.79,6.36,6.4,20910195.0,0.0,1.0,6.52,6.79,6.36,6.4,20910195.0
2014-12-10,6.8,6.82,6.31,6.55,20818176.0,0.0,1.0,6.8,6.82,6.31,6.55,20818176.0
2014-12-09,6.635,7.08,6.63,7.0,18979894.0,0.0,1.0,6.635,7.08,6.63,7.0,18979894.0
2014-12-05,7.65,7.7397,7.4,7.43,10278156.0,0.0,1.0,7.65,7.7397,7.4,7.43,10278156.0
2014-12-04,7.65,7.8,7.56,7.67,10713204.0,0.0,1.0,7.65,7.8,7.56,7.67,10713204.0
2014-12-02,7.99,8.23,7.78,7.83,14665042.0,0.0,1.0,7.99,8.23,7.78,7.83,14665042.0
2014-12-01,8.265,8.3,7.49,8.01,17647416.0,0.0,1.0,8.265,8.3,7.49,8.01,17647416.0
2014-11-28,9.08,9.08,8.14,8.26,10562051.0,0.0,1.0,9.08,9.08,8.14,8.26,10562051.0
2014-11-26,9.92,10.06,9.72,9.74,5866793.0,0.0,1.0,9.92,10.06,9.72,9.74,5866793.0
2014-11-25,10.19,10.36,9.89,9.97,9723146.0,0.0,1.0,10.19,10.36,9.89,9.97,9723146.0
2014-11-24,10.07,10.24,9.93,10.08,9154469.0,0.0,1.0,10.07,10.24,9.93,10.08,9154469.0
2014-11-21,9.949,10.19,9.94,10.15,11801010.0,0.0,1.0,9.949,10.19,9.94,10.15,11801010.0
2014-11-20,9.65,9.85,9.59,9.83,11514904.0,0.0,1.0,9.5904729266621,9.7892392049349,9.5308430431803,9.7693625771076,11514904.0
