Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,59.4,59.61,58.65,58.78,1788473.0,0.0,1.0,59.4,59.61,58.65,58.78,1788473.0
2015-01-14,59.32,59.4,58.63,59.28,1471650.0,0.0,1.0,59.32,59.4,58.63,59.28,1471650.0
2015-01-13,60.3,60.5,58.71,59.25,1858430.0,0.0,1.0,60.3,60.5,58.71,59.25,1858430.0
2015-01-12,60.12,60.4,59.57,59.84,1445042.0,0.0,1.0,60.12,60.4,59.57,59.84,1445042.0
2015-01-08,60.83,61.19,60.42,61.14,1795416.0,0.0,1.0,60.83,61.19,60.42,61.14,1795416.0
2015-01-06,58.54,59.27,57.55,58.19,1492974.0,0.0,1.0,58.54,59.27,57.55,58.19,1492974.0
2015-01-05,58.33,58.52,57.7901,57.99,922932.0,0.0,1.0,58.33,58.52,57.7901,57.99,922932.0
2015-01-02,58.91,59.46,58.13,58.42,1038354.0,0.0,1.0,58.91,59.46,58.13,58.42,1038354.0
2014-12-31,59.25,59.59,58.6,58.63,756819.0,0.0,1.0,59.25,59.59,58.6,58.63,756819.0
2014-12-30,58.77,59.25,58.64,58.79,604812.0,0.0,1.0,58.77,59.25,58.64,58.79,604812.0
2014-12-26,58.59,58.9275,58.25,58.4,431733.0,0.0,1.0,58.59,58.9275,58.25,58.4,431733.0
2014-12-24,58.49,58.7899,58.35,58.42,319717.0,0.0,1.0,58.49,58.7899,58.35,58.42,319717.0
2014-12-23,58.92,58.9889,58.45,58.51,607608.0,0.0,1.0,58.92,58.9889,58.45,58.51,607608.0
2014-12-22,57.71,58.73,57.55,58.63,1194859.0,0.0,1.0,57.71,58.73,57.55,58.63,1194859.0
2014-12-19,57.84,57.99,57.29,57.37,2683365.0,0.0,1.0,57.84,57.99,57.29,57.37,2683365.0
2014-12-18,57.5,57.73,57.135,57.72,1920260.0,0.0,1.0,57.5,57.73,57.135,57.72,1920260.0
2014-12-17,57.95,58.34,55.95,57.08,5105082.0,0.0,1.0,57.95,58.34,55.95,57.08,5105082.0
2014-12-16,57.08,57.1,55.82,55.91,2240166.0,0.0,1.0,57.08,57.1,55.82,55.91,2240166.0
2014-12-15,58.15,58.8699,57.08,57.2,2551927.0,0.0,1.0,58.15,58.8699,57.08,57.2,2551927.0
2014-12-12,57.53,58.29,57.18,57.38,1817199.0,0.0,1.0,57.53,58.29,57.18,57.38,1817199.0
2014-12-10,57.71,58.8,57.47,57.5,1262547.0,0.0,1.0,57.71,58.8,57.47,57.5,1262547.0
2014-12-09,58.0,58.2906,57.54,57.9,1278626.0,0.0,1.0,58.0,58.2906,57.54,57.9,1278626.0
2014-12-05,57.97,58.55,57.93,58.52,742665.0,0.0,1.0,57.97,58.55,57.93,58.52,742665.0
2014-12-04,58.08,58.34,57.74,57.85,1044724.0,0.0,1.0,58.08,58.34,57.74,57.85,1044724.0
2014-12-02,57.74,58.25,57.46,57.53,1152085.0,0.0,1.0,57.74,58.25,57.46,57.53,1152085.0
2014-12-01,56.8,57.95,56.8,57.52,1991413.0,0.0,1.0,56.8,57.95,56.8,57.52,1991413.0
2014-11-28,56.23,57.21,56.17,56.99,682838.0,0.0,1.0,56.23,57.21,56.17,56.99,682838.0
2014-11-26,54.76,55.9,54.99,55.86,916155.0,0.0,1.0,54.76,55.9,54.99,55.86,916155.0
2014-11-25,56.4,56.65,54.96,54.99,3017610.0,0.0,1.0,56.4,56.65,54.96,54.99,3017610.0
2014-11-24,56.0,56.405,55.84,56.36,1491325.0,0.0,1.0,56.0,56.405,55.84,56.36,1491325.0
2014-11-21,56.28,56.35,55.81,55.85,1070683.0,0.0,1.0,56.28,56.35,55.81,55.85,1070683.0
2014-11-20,55.36,56.09,55.36,55.79,1193603.0,0.0,1.0,55.36,56.09,55.36,55.79,1193603.0
2014-11-19,55.48,55.9,55.4,55.61,1212383.0,0.0,1.0,55.48,55.9,55.4,55.61,1212383.0
2014-11-18,55.42,55.69,55.3184,55.57,1569175.0,0.0,1.0,55.42,55.69,55.3184,55.57,1569175.0
2014-11-17,55.86,55.97,55.43,55.43,1279528.0,0.0,1.0,55.86,55.97,55.43,55.43,1279528.0
2014-11-14,56.31,56.68,55.83,55.9,1393910.0,0.0,1.0,56.31,56.68,55.83,55.9,1393910.0
2014-11-13,56.52,56.8499,56.024,56.3,1812704.0,0.0,1.0,56.52,56.8499,56.024,56.3,1812704.0
2014-11-12,55.58,56.6598,55.54,56.36,2394014.0,0.0,1.0,55.58,56.6598,55.54,56.36,2394014.0
2014-11-11,54.85,55.84,54.85,55.72,3773417.0,0.0,1.0,54.85,55.84,54.85,55.72,3773417.0
2014-11-10,53.41,54.32,53.23,54.31,1917193.0,0.0,1.0,53.41,54.32,53.23,54.31,1917193.0
2014-11-07,53.4,53.81,53.1,53.5,1495057.0,0.0,1.0,53.4,53.81,53.1,53.5,1495057.0
2014-11-06,52.7,53.23,52.44,53.1,1262563.0,0.0,1.0,52.7,53.23,52.44,53.1,1262563.0
2014-11-04,52.0,52.78,51.99,52.73,1258026.0,0.0,1.0,52.0,52.78,51.99,52.73,1258026.0
