Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,85.84,86.95,85.36,86.76,3884440.0,0.0,1.0,85.84,86.95,85.36,86.76,3884440.0
2015-01-14,85.01,85.78,84.65,85.69,3361829.0,0.0,1.0,85.01,85.78,84.65,85.69,3361829.0
2015-01-13,85.3,86.7799,85.17,85.47,3521232.0,0.0,1.0,85.3,86.7799,85.17,85.47,3521232.0
2015-01-12,85.2,85.49,84.645,85.01,2287048.0,0.0,1.0,85.2,85.49,84.645,85.01,2287048.0
2015-01-08,84.8,85.28,84.57,84.81,2163992.0,0.0,1.0,84.8,85.28,84.57,84.81,2163992.0
2015-01-06,82.95,84.79,82.92,84.2,5287240.0,0.0,1.0,82.95,84.79,82.92,84.2,5287240.0
2015-01-05,83.57,83.91,82.61,82.84,3776368.0,0.0,1.0,83.57,83.91,82.61,82.84,3776368.0
2015-01-02,83.72,84.23,83.09,84.05,2267564.0,0.0,1.0,83.72,84.23,83.09,84.05,2267564.0
2014-12-31,84.9,85.16,83.5,83.54,2804425.0,0.0,1.0,84.9,85.16,83.5,83.54,2804425.0
2014-12-30,86.73,86.83,84.54,84.7,2983936.0,0.0,1.0,86.73,86.83,84.54,84.7,2983936.0
2014-12-26,85.17,86.43,85.1154,85.81,2984065.0,0.0,1.0,85.17,86.43,85.1154,85.81,2984065.0
2014-12-24,83.95,85.22,83.82,84.97,2407396.0,0.0,1.0,83.95,85.22,83.82,84.97,2407396.0
2014-12-23,83.78,84.21,83.49,83.68,2022085.0,0.0,1.0,83.78,84.21,83.49,83.68,2022085.0
2014-12-22,82.95,83.74,82.84,83.61,2687571.0,0.0,1.0,82.95,83.74,82.84,83.61,2687571.0
2014-12-19,83.13,83.6,82.67,82.85,4728604.0,0.0,1.0,83.13,83.6,82.67,82.85,4728604.0
2014-12-18,81.41,83.01,81.2,83.01,4335785.0,0.0,1.0,81.41,83.01,81.2,83.01,4335785.0
2014-12-17,80.89,81.64,80.36,81.37,3382110.0,0.0,1.0,80.89,81.64,80.36,81.37,3382110.0
2014-12-16,81.34,82.03,80.21,80.62,3606605.0,0.0,1.0,81.34,82.03,80.21,80.62,3606605.0
2014-12-15,82.67,82.91,81.08,81.14,4370727.0,0.0,1.0,82.67,82.91,81.08,81.14,4370727.0
2014-12-12,82.41,83.52,82.36,82.69,3331618.0,0.0,1.0,82.41,83.52,82.36,82.69,3331618.0
2014-12-10,82.16,83.17,82.04,82.25,3932158.0,0.0,1.0,82.16,83.17,82.04,82.25,3932158.0
2014-12-09,81.35,82.325,81.18,82.18,3868872.0,0.0,1.0,81.35,82.325,81.18,82.18,3868872.0
2014-12-05,81.45,81.69,80.23,80.73,3575121.0,0.0,1.0,81.45,81.69,80.23,80.73,3575121.0
2014-12-04,82.01,82.48,81.77,82.35,2532266.0,0.0,1.0,82.01,82.48,81.77,82.35,2532266.0
2014-12-02,81.76,82.54,81.37,82.34,3173550.0,0.0,1.0,81.76,82.54,81.37,82.34,3173550.0
2014-12-01,80.38,82.74,80.16,82.0,5079973.0,0.0,1.0,80.38,82.74,80.16,82.0,5079973.0
2014-11-28,79.98,81.59,79.94,80.9,2393251.0,0.0,1.0,79.98,81.59,79.94,80.9,2393251.0
2014-11-26,79.35,79.9299,79.31,79.69,1988642.0,0.0,1.0,79.35,79.9299,79.31,79.69,1988642.0
2014-11-25,79.25,79.29,78.5101,79.15,4188385.0,0.0,1.0,79.25,79.29,78.5101,79.15,4188385.0
2014-11-24,80.06,80.22,79.01,79.03,5065145.0,0.0,1.0,80.06,80.22,79.01,79.03,5065145.0
