Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,67.43,68.54,67.28,68.37,1797821.0,0.0,1.0,67.43,68.54,67.28,68.37,1797821.0
2015-01-14,66.35,67.54,66.2,67.49,2366440.0,0.0,1.0,66.35,67.54,66.2,67.49,2366440.0
2015-01-13,66.95,67.77,66.32,66.77,2530923.0,0.0,1.0,66.95,67.77,66.32,66.77,2530923.0
2015-01-12,67.25,67.38,66.45,66.9,1422652.0,0.0,1.0,67.25,67.38,66.45,66.9,1422652.0
2015-01-08,67.18,67.77,67.07,67.48,2023777.0,0.0,1.0,67.18,67.77,67.07,67.48,2023777.0
2015-01-06,65.81,67.04,65.68,66.08,3199264.0,0.0,1.0,65.81,67.04,65.68,66.08,3199264.0
2015-01-05,66.25,66.46,65.36,65.71,2461893.0,0.0,1.0,66.25,66.46,65.36,65.71,2461893.0
2015-01-02,66.27,66.48,65.48,66.34,1689894.0,0.0,1.0,66.27,66.48,65.48,66.34,1689894.0
2014-12-31,67.0,67.42,65.95,66.01,2058442.0,0.0,1.0,67.0,67.42,65.95,66.01,2058442.0
2014-12-30,68.22,68.4,66.77,66.91,1915688.0,0.0,1.0,68.22,68.4,66.77,66.91,1915688.0
2014-12-26,66.97,68.15,66.92,67.76,2086675.0,0.0,1.0,66.97,68.15,66.92,67.76,2086675.0
2014-12-24,66.13,67.12,66.03,66.91,1236742.0,0.0,1.0,66.13,67.12,66.03,66.91,1236742.0
2014-12-23,66.01,66.29,65.7855,66.01,1589694.0,0.0,1.0,66.01,66.29,65.7855,66.01,1589694.0
2014-12-22,66.05,66.26,65.385,65.94,1635603.0,0.0,1.0,66.05,66.26,65.385,65.94,1635603.0
2014-12-19,65.47,66.06,65.27,65.69,3518670.0,0.0,1.0,65.47,66.06,65.27,65.69,3518670.0
2014-12-18,64.89,65.56,64.55,65.56,2643660.0,0.0,1.0,64.89,65.56,64.55,65.56,2643660.0
2014-12-17,63.97,64.81,63.721,64.78,3114518.0,0.0,1.0,63.97,64.81,63.721,64.78,3114518.0
2014-12-16,64.08,65.05,63.63,64.14,2759294.0,0.0,1.0,64.08,65.05,63.63,64.14,2759294.0
2014-12-15,64.32,64.4,63.59,64.05,2634480.0,0.0,1.0,64.32,64.4,63.59,64.05,2634480.0
2014-12-12,64.05,64.98,64.04,64.11,1981341.0,0.0,1.0,64.05,64.98,64.04,64.11,1981341.0
2014-12-10,63.94,64.48,63.39,63.42,1388738.0,0.0,1.0,63.94,64.48,63.39,63.42,1388738.0
2014-12-09,63.72,64.2,63.5,64.05,1772603.0,0.0,1.0,63.72,64.2,63.5,64.05,1772603.0
2014-12-05,63.685,63.96,62.88,63.26,2249933.0,0.0,1.0,63.685,63.96,62.88,63.26,2249933.0
2014-12-04,63.87,64.3397,63.63,64.07,1631300.0,0.0,1.0,63.87,64.3397,63.63,64.07,1631300.0
2014-12-02,63.82,64.25,63.47,64.18,2432895.0,0.0,1.0,63.82,64.25,63.47,64.18,2432895.0
