Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,71.13,71.4,69.75,69.8,2435161.0,0.0,1.0,71.13,71.4,69.75,69.8,2435161.0
2015-01-14,70.3,70.96,69.19,70.78,2078710.0,0.0,1.0,70.3,70.96,69.19,70.78,2078710.0
2015-01-13,72.99,73.82,70.8,71.74,1909592.0,0.0,1.0,72.99,73.82,70.8,71.74,1909592.0
2015-01-12,74.15,74.39,72.19,72.58,1693180.0,0.0,1.0,74.15,74.39,72.19,72.58,1693180.0
2015-01-08,73.84,75.33,73.51,75.32,2296483.0,0.0,1.0,73.84,75.33,73.51,75.32,2296483.0
2015-01-06,73.68,74.45,72.66,73.53,1494509.0,0.0,1.0,73.68,74.45,72.66,73.53,1494509.0
2015-01-05,75.62,75.75,73.72,73.84,2096964.0,0.0,1.0,75.62,75.75,73.72,73.84,2096964.0
2015-01-02,76.21,76.67,75.63,76.48,1565440.0,0.0,1.0,76.21,76.67,75.63,76.48,1565440.0
2014-12-31,76.73,76.9,75.8,75.86,1019246.0,0.0,1.0,76.73,76.9,75.8,75.86,1019246.0
2014-12-30,76.56,76.89,75.89,76.58,913884.0,0.0,1.0,76.56,76.89,75.89,76.58,913884.0
2014-12-26,76.62,77.345,76.37,76.75,611515.0,0.0,1.0,76.62,77.345,76.37,76.75,611515.0
2014-12-24,76.86,77.12,76.25,76.8,430893.0,0.0,1.0,76.86,77.12,76.25,76.8,430893.0
2014-12-23,76.86,77.34,76.46,76.76,1506364.0,0.0,1.0,76.86,77.34,76.46,76.76,1506364.0
2014-12-22,75.62,76.5,75.2,76.49,1387138.0,0.0,1.0,75.62,76.5,75.2,76.49,1387138.0
2014-12-19,75.21,75.94,74.75,75.61,2411582.0,0.0,1.0,75.21,75.94,74.75,75.61,2411582.0
2014-12-18,73.49,74.81,73.05,74.78,1746452.0,0.0,1.0,73.49,74.81,73.05,74.78,1746452.0
2014-12-17,71.91,73.08,71.7,72.9,3208026.0,0.0,1.0,71.91,73.08,71.7,72.9,3208026.0
2014-12-16,71.57,73.55,71.06,71.57,2390145.0,0.0,1.0,71.57,73.55,71.06,71.57,2390145.0
2014-12-15,73.26,73.85,72.02,72.05,2894102.0,0.0,1.0,73.26,73.85,72.02,72.05,2894102.0
2014-12-12,74.87,74.95,72.38,72.56,2642378.0,0.0,1.0,74.87,74.95,72.38,72.56,2642378.0
2014-12-10,79.13,79.28,75.33,75.86,2224044.0,0.0,1.0,79.13,79.28,75.33,75.86,2224044.0
2014-12-09,78.89,79.54,77.89,79.46,1597499.0,0.0,1.0,78.89,79.54,77.89,79.46,1597499.0
2014-12-05,81.93,82.12,80.13,80.51,2514045.0,0.0,1.0,81.93,82.12,80.13,80.51,2514045.0
2014-12-04,84.0,84.19,82.77,83.22,1552929.0,0.0,1.0,84.0,84.19,82.77,83.22,1552929.0
2014-12-02,82.47,83.8,82.15,83.66,1262966.0,0.0,1.0,82.47,83.8,82.15,83.66,1262966.0
2014-12-01,82.85,82.99,81.37,82.16,1443628.0,0.0,1.0,82.85,82.99,81.37,82.16,1443628.0
2014-11-28,85.67,85.9,82.71,82.92,1212355.0,0.0,1.0,85.67,85.9,82.71,82.92,1212355.0
2014-11-26,86.5,86.81,85.51,86.76,638894.0,0.0,1.0,86.5,86.81,85.51,86.76,638894.0
2014-11-25,87.08,87.61,86.29,86.4,908032.0,0.0,1.0,87.08,87.61,86.29,86.4,908032.0
2014-11-24,87.9,87.95,86.78,87.28,1574022.0,0.0,1.0,87.9,87.95,86.78,87.28,1574022.0
2014-11-21,87.26,88.93,87.26,87.85,1812812.0,0.0,1.0,87.26,88.93,87.26,87.85,1812812.0
2014-11-20,85.09,86.0,84.77,86.0,1219472.0,0.0,1.0,85.09,86.0,84.77,86.0,1219472.0
2014-11-19,85.5,85.54,84.692,85.27,1472229.0,0.0,1.0,85.5,85.54,84.692,85.27,1472229.0
2014-11-18,83.99,85.59,83.7,85.49,950748.0,0.0,1.0,83.99,85.59,83.7,85.49,950748.0
2014-11-17,83.82,84.08,83.61,83.95,650853.0,0.0,1.0,83.82,84.08,83.61,83.95,650853.0
2014-11-14,83.88,84.21,83.45,84.18,723620.0,0.0,1.0,83.88,84.21,83.45,84.18,723620.0
2014-11-13,84.28,84.29,83.07,83.57,737369.0,0.0,1.0,84.28,84.29,83.07,83.57,737369.0
2014-11-12,84.17,84.36,83.4101,84.06,1261549.0,0.0,1.0,84.17,84.36,83.4101,84.06,1261549.0
2014-11-11,83.77,84.59,83.44,84.33,1416902.0,0.0,1.0,83.77,84.59,83.44,84.33,1416902.0
2014-11-10,82.39,83.97,82.3,83.84,2632894.0,0.0,1.0,82.39,83.97,82.3,83.84,2632894.0
2014-11-07,82.26,82.48,81.24,82.47,1807377.0,0.0,1.0,82.26,82.48,81.24,82.47,1807377.0
2014-11-06,82.11,83.65,81.6,82.46,1591162.0,0.0,1.0,82.11,83.65,81.6,82.46,1591162.0
2014-11-04,82.47,82.61,80.0,80.52,2607125.0,0.0,1.0,82.47,82.61,80.0,80.52,2607125.0
2014-11-03,82.51,83.055,81.72,82.03,2475793.0,0.0,1.0,82.51,83.055,81.72,82.03,2475793.0
2014-10-31,78.31,81.64,77.45,80.78,3361506.0,0.0,1.0,78.31,81.64,77.45,80.78,3361506.0
2014-10-30,74.0,76.0,74.0,75.77,1910865.0,0.0,1.0,74.0,76.0,74.0,75.77,1910865.0
2014-10-29,76.94,76.86,74.08,74.52,2796685.0,0.0,1.0,76.94,76.86,74.08,74.52,2796685.0
2014-10-28,75.07,76.55,74.52,76.55,1594493.0,0.0,1.0,75.07,76.55,74.52,76.55,1594493.0
2014-10-27,76.72,77.08,73.7,74.34,2856976.0,0.0,1.0,76.72,77.08,73.7,74.34,2856976.0
2014-10-24,77.64,77.985,76.21,77.56,1562553.0,0.0,1.0,77.64,77.985,76.21,77.56,1562553.0
2014-10-23,78.37,78.88,77.27,78.0,1360502.0,0.0,1.0,78.37,78.88,77.27,78.0,1360502.0
2014-10-22,78.58,79.12,77.59,77.63,1473253.0,0.0,1.0,78.58,79.12,77.59,77.63,1473253.0
2014-10-21,77.18,78.35,75.61,78.1,1093197.0,0.0,1.0,77.18,78.35,75.61,78.1,1093197.0
2014-10-20,74.82,75.89,74.48,75.89,1630447.0,0.0,1.0,74.82,75.89,74.48,75.89,1630447.0
2014-10-17,75.2,76.17,74.8,75.14,1231268.0,0.0,1.0,75.2,76.17,74.8,75.14,1231268.0
2014-10-16,72.03,74.57,72.03,74.34,1342711.0,0.0,1.0,72.03,74.57,72.03,74.34,1342711.0
2014-10-15,71.71,73.72,70.38,73.47,1649709.0,0.0,1.0,71.71,73.72,70.38,73.47,1649709.0
2014-10-14,71.74,74.3,71.75,72.82,2120409.0,0.0,1.0,71.74,74.3,71.75,72.82,2120409.0
2014-10-13,74.59,75.04,71.46,71.49,1862432.0,0.0,1.0,74.59,75.04,71.46,71.49,1862432.0
2014-10-10,75.91,75.98,73.76,74.58,2633511.0,0.0,1.0,75.91,75.98,73.76,74.58,2633511.0
2014-10-09,78.14,78.35,76.05,76.06,1298072.0,0.0,1.0,78.14,78.35,76.05,76.06,1298072.0
2014-10-08,77.48,78.52,76.47,78.36,1501568.0,0.0,1.0,77.48,78.52,76.47,78.36,1501568.0
2014-10-07,78.71,78.89,77.6,77.61,1298411.0,0.0,1.0,78.71,78.89,77.6,77.61,1298411.0
2014-10-06,79.51,79.97,79.18,79.46,1015028.0,0.0,1.0,79.51,79.97,79.18,79.46,1015028.0
2014-10-03,79.08,79.81,78.665,78.91,1876012.0,0.0,1.0,79.08,79.81,78.665,78.91,1876012.0
2014-10-01,80.61,80.69,78.81,78.99,1408045.0,0.0,1.0,80.61,80.69,78.81,78.99,1408045.0
2014-09-30,82.44,82.528,80.73,80.89,1033802.0,0.0,1.0,82.44,82.528,80.73,80.89,1033802.0
2014-09-29,82.03,82.75,81.76,82.38,678070.0,0.0,1.0,82.03,82.75,81.76,82.38,678070.0
2014-09-26,82.34,82.82,82.04,82.67,705932.0,0.0,1.0,82.34,82.82,82.04,82.67,705932.0
2014-09-25,83.6,83.94,82.22,82.22,1027074.0,0.0,1.0,83.6,83.94,82.22,82.22,1027074.0
2014-09-24,83.1,84.23,82.86,84.15,957123.0,0.0,1.0,83.1,84.23,82.86,84.15,957123.0
2014-09-23,83.7,83.88,82.7565,82.78,755796.0,0.0,1.0,83.7,83.88,82.7565,82.78,755796.0
2014-09-22,84.695,84.82,83.76,83.83,1027178.0,0.0,1.0,84.695,84.82,83.76,83.83,1027178.0
2014-09-19,84.9,85.1764,84.4601,84.81,1721084.0,0.0,1.0,84.9,85.1764,84.4601,84.81,1721084.0
2014-09-18,84.12,84.65,83.93,84.63,955780.0,0.0,1.0,84.12,84.65,83.93,84.63,955780.0
2014-09-17,83.25,84.2,83.4,83.56,1228083.0,0.0,1.0,83.25,84.2,83.4,83.56,1228083.0
2014-09-16,83.25,84.05,82.65,83.72,1295764.0,0.0,1.0,83.25,84.05,82.65,83.72,1295764.0
2014-09-15,83.11,83.274,82.36,82.93,1126581.0,0.0,1.0,83.11,83.274,82.36,82.93,1126581.0
2014-09-12,82.63,84.49,82.35,83.05,2240534.0,0.0,1.0,82.63,84.49,82.35,83.05,2240534.0
2014-09-11,83.03,85.21,81.955,82.34,5639446.0,0.35,1.0,83.03,85.21,81.955,82.34,5639446.0
2014-09-10,82.91,83.6,82.6,83.57,1124021.0,0.0,1.0,82.559068811223,83.246148264603,82.250380940863,83.216275244891,1124021.0
2014-09-09,83.17,83.57,82.85,82.96,1079961.0,0.0,1.0,82.817968315395,83.216275244891,82.499322771798,82.60885717741,1079961.0
2014-09-08,83.36,83.95,83.13,83.38,1128147.0,0.0,1.0,83.007164106905,83.594666827911,82.778137622445,83.02707945338,1128147.0
2014-09-05,82.78,83.38,82.5,83.35,754508.0,0.0,1.0,82.429619059137,83.02707945338,82.15080420849,82.997206433668,754508.0
