Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,60.05,60.1,59.22,59.38,6026196.0,0.0,1.0,60.05,60.1,59.22,59.38,6026196.0
2015-01-14,59.33,59.66,58.64,59.62,6688343.0,0.0,1.0,59.33,59.66,58.64,59.62,6688343.0
2015-01-13,60.67,61.16,59.55,60.08,4370558.0,0.0,1.0,60.67,61.16,59.55,60.08,4370558.0
2015-01-12,60.67,60.76,59.6,60.17,5789445.0,0.0,1.0,60.67,60.76,59.6,60.17,5789445.0
2015-01-08,60.75,61.93,60.56,61.87,4891211.0,0.0,1.0,60.75,61.93,60.56,61.87,4891211.0
2015-01-06,60.655,60.86,59.73,60.42,5416999.0,0.0,1.0,60.655,60.86,59.73,60.42,5416999.0
2015-01-05,61.83,62.16,60.45,60.52,7140618.0,0.0,1.0,61.83,62.16,60.45,60.52,7140618.0
2015-01-02,61.95,62.2525,60.99,61.79,3390351.0,0.0,1.0,61.95,62.2525,60.99,61.79,3390351.0
2014-12-31,62.64,62.84,61.67,61.73,2218916.0,0.0,1.0,62.64,62.84,61.67,61.73,2218916.0
2014-12-30,62.52,62.66,62.26,62.37,2033694.0,0.0,1.0,62.52,62.66,62.26,62.37,2033694.0
2014-12-26,63.09,63.15,62.75,62.78,1595431.0,0.0,1.0,63.09,63.15,62.75,62.78,1595431.0
2014-12-24,63.0,63.01,62.58,62.73,1405629.0,0.0,1.0,63.0,63.01,62.58,62.73,1405629.0
2014-12-23,62.83,63.4097,62.73,62.83,2627043.0,0.0,1.0,62.83,63.4097,62.73,62.83,2627043.0
2014-12-22,62.51,62.82,62.12,62.6,2703892.0,0.0,1.0,62.51,62.82,62.12,62.6,2703892.0
2014-12-19,62.02,62.77,61.71,62.33,7310680.0,0.0,1.0,62.02,62.77,61.71,62.33,7310680.0
2014-12-18,60.61,62.0,60.61,62.0,5437242.0,0.0,1.0,60.61,62.0,60.61,62.0,5437242.0
2014-12-17,59.02,59.96,58.3,59.74,7835243.0,0.0,1.0,59.02,59.96,58.3,59.74,7835243.0
2014-12-16,58.26,60.9,58.17,59.21,7724771.0,0.0,1.0,58.26,60.9,58.17,59.21,7724771.0
2014-12-15,58.98,59.52,57.8,58.15,6928284.0,0.0,1.0,58.98,59.52,57.8,58.15,6928284.0
2014-12-12,60.5,60.51,58.27,58.43,8166371.0,0.0,1.0,60.5,60.51,58.27,58.43,8166371.0
2014-12-10,63.64,63.5,61.25,61.45,4413391.0,0.0,1.0,63.64,63.5,61.25,61.45,4413391.0
