Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,74.41,74.53,72.44,72.53,1241167.0,0.0,1.0,74.41,74.53,72.44,72.53,1241167.0
2015-01-14,72.28,73.41,71.3301,73.22,1391493.0,0.0,1.0,72.28,73.41,71.3301,73.22,1391493.0
2015-01-13,72.76,74.01,71.86,72.63,908001.0,0.0,1.0,72.76,74.01,71.86,72.63,908001.0
2015-01-12,74.74,74.94,72.35,72.59,1379384.0,0.0,1.0,74.74,74.94,72.35,72.59,1379384.0
2015-01-08,73.05,75.9,72.46,75.55,1493607.0,0.0,1.0,73.05,75.9,72.46,75.55,1493607.0
2015-01-06,73.37,74.22,72.09,72.54,2026189.0,0.0,1.0,73.37,74.22,72.09,72.54,2026189.0
2015-01-05,77.1,77.52,73.14,73.38,1776102.0,0.0,1.0,77.1,77.52,73.14,73.38,1776102.0
2015-01-02,75.91,78.45,75.27,77.52,2285401.0,0.0,1.0,75.91,78.45,75.27,77.52,2285401.0
2014-12-31,75.27,77.042,74.37,75.7,1004180.0,0.0,1.0,75.27,77.042,74.37,75.7,1004180.0
2014-12-30,76.24,77.79,75.08,75.38,1263419.0,0.0,1.0,76.24,77.79,75.08,75.38,1263419.0
2014-12-26,78.15,78.395,75.36,75.86,1535266.0,0.0,1.0,78.15,78.395,75.36,75.86,1535266.0
2014-12-24,78.25,78.27,76.92,77.44,535446.0,0.0,1.0,78.25,78.27,76.92,77.44,535446.0
2014-12-23,78.07,78.87,77.57,78.41,1389048.0,0.0,1.0,78.07,78.87,77.57,78.41,1389048.0
2014-12-22,79.34,79.36,76.57,77.65,1819603.0,0.0,1.0,79.34,79.36,76.57,77.65,1819603.0
2014-12-19,83.02,83.75,78.01,80.59,3070612.0,0.0,1.0,83.02,83.75,78.01,80.59,3070612.0
2014-12-18,81.77,82.52,79.21,82.5,2055883.0,0.0,1.0,81.77,82.52,79.21,82.5,2055883.0
2014-12-17,78.0,80.87,77.9,79.92,1716378.0,0.0,1.0,78.0,80.87,77.9,79.92,1716378.0
2014-12-16,77.43,81.61,76.52,77.62,1471929.0,0.0,1.0,77.43,81.61,76.52,77.62,1471929.0
2014-12-15,79.87,80.955,77.78,77.96,1606068.0,0.0,1.0,79.87,80.955,77.78,77.96,1606068.0
2014-12-12,78.08,80.3,77.44,79.04,1599133.0,0.0,1.0,78.08,80.3,77.44,79.04,1599133.0
2014-12-10,79.78,80.2,77.265,77.5,1635718.0,0.0,1.0,79.78,80.2,77.265,77.5,1635718.0
2014-12-09,79.81,81.61,78.596,79.74,2199949.0,0.0,1.0,79.81,81.61,78.596,79.74,2199949.0
2014-12-05,87.26,87.84,84.91,87.13,1912519.0,0.0,1.0,87.26,87.84,84.91,87.13,1912519.0
2014-12-04,89.19,89.855,87.09,87.1,1766010.0,0.0,1.0,89.19,89.855,87.09,87.1,1766010.0
2014-12-02,90.44,91.32,89.18,89.25,2127459.0,0.0,1.0,90.44,91.32,89.18,89.25,2127459.0
2014-12-01,90.02,91.68,89.14,91.48,1494398.0,0.0,1.0,90.02,91.68,89.14,91.48,1494398.0
2014-11-28,89.73,93.44,88.16,90.98,1660187.0,0.0,1.0,89.73,93.44,88.16,90.98,1660187.0
2014-11-26,93.03,93.58,92.22,92.45,1195728.0,0.0,1.0,93.03,93.58,92.22,92.45,1195728.0
2014-11-25,94.48,95.19,92.71,93.49,1572295.0,0.0,1.0,94.48,95.19,92.71,93.49,1572295.0
2014-11-24,94.6,95.14,93.38,94.54,1536306.0,0.0,1.0,94.6,95.14,93.38,94.54,1536306.0
2014-11-21,97.72,98.0,94.39,95.02,1780524.0,0.0,1.0,97.72,98.0,94.39,95.02,1780524.0
2014-11-20,95.72,98.18,95.43,96.25,1477276.0,0.0,1.0,95.72,98.18,95.43,96.25,1477276.0
2014-11-19,94.22,96.35,93.57,95.94,2065044.0,0.0,1.0,94.22,96.35,93.57,95.94,2065044.0
2014-11-18,92.51,94.29,91.27,93.58,1930513.0,0.0,1.0,92.51,94.29,91.27,93.58,1930513.0
2014-11-17,92.73,93.93,92.1,93.06,1577846.0,0.0,1.0,92.73,93.93,92.1,93.06,1577846.0
2014-11-14,91.77,93.35,91.32,93.0,1179168.0,0.0,1.0,91.77,93.35,91.32,93.0,1179168.0
2014-11-13,93.75,94.37,90.75,91.58,1999232.0,0.0,1.0,93.75,94.37,90.75,91.58,1999232.0
2014-11-12,94.91,95.84,94.03,94.25,1212477.0,0.0,1.0,94.91,95.84,94.03,94.25,1212477.0
2014-11-11,95.45,96.73,94.62,96.29,1232038.0,0.0,1.0,95.45,96.73,94.62,96.29,1232038.0
2014-11-10,99.01,99.97,95.22,95.79,1836730.0,0.0,1.0,99.01,99.97,95.22,95.79,1836730.0
2014-11-07,99.66,100.65,98.09,98.64,2217781.0,0.0,1.0,99.66,100.65,98.09,98.64,2217781.0
2014-11-06,96.81,99.85,95.95,99.75,2981201.0,0.0,1.0,96.81,99.85,95.95,99.75,2981201.0
2014-11-04,90.61,93.02,89.62,92.96,2076501.0,0.0,1.0,90.61,93.02,89.62,92.96,2076501.0
2014-11-03,94.82,95.4,91.55,91.88,1376637.0,0.0,1.0,94.82,95.4,91.55,91.88,1376637.0
2014-10-31,89.21,94.21,88.35,94.04,2257023.0,0.0,1.0,89.21,94.21,88.35,94.04,2257023.0
2014-10-30,89.72,90.361,88.22,89.09,912817.0,0.0,1.0,89.72,90.361,88.22,89.09,912817.0
2014-10-29,91.78,92.74,89.45,90.07,2194262.0,0.0,1.0,91.78,92.74,89.45,90.07,2194262.0
2014-10-28,87.2,91.0,86.42,90.66,1901895.0,0.0,1.0,87.2,91.0,86.42,90.66,1901895.0
2014-10-27,87.8,87.79,84.97,86.65,1916039.0,0.0,1.0,87.8,87.79,84.97,86.65,1916039.0
2014-10-24,89.01,90.03,86.79,88.9,2139496.0,0.0,1.0,89.01,90.03,86.79,88.9,2139496.0
2014-10-23,83.5,89.036,82.69,87.65,2319633.0,0.0,1.0,83.5,89.036,82.69,87.65,2319633.0
2014-10-22,85.25,86.35,82.76,82.89,1509379.0,0.0,1.0,85.25,86.35,82.76,82.89,1509379.0
2014-10-21,84.25,85.57,83.94,85.26,1658848.0,0.0,1.0,84.25,85.57,83.94,85.26,1658848.0
2014-10-20,82.82,84.41,81.68,83.1,1359979.0,0.0,1.0,82.82,84.41,81.68,83.1,1359979.0
2014-10-17,86.03,87.325,82.28,83.42,2045692.0,0.0,1.0,86.03,87.325,82.28,83.42,2045692.0
2014-10-16,80.02,86.469,80.04,85.27,2708237.0,0.0,1.0,80.02,86.469,80.04,85.27,2708237.0
2014-10-15,77.06,82.24,76.2,82.19,2838544.0,0.0,1.0,77.06,82.24,76.2,82.19,2838544.0
2014-10-14,78.51,80.2,77.53,78.36,2388616.0,0.0,1.0,78.51,80.2,77.53,78.36,2388616.0
2014-10-13,82.22,82.8,77.7,77.81,2535526.0,0.0,1.0,82.22,82.8,77.7,77.81,2535526.0
2014-10-10,84.09,84.82,81.69,82.04,2540113.0,0.0,1.0,84.09,84.82,81.69,82.04,2540113.0
2014-10-09,87.58,88.06,84.29,84.31,2076827.0,0.0,1.0,87.58,88.06,84.29,84.31,2076827.0
2014-10-08,87.46,88.59,85.69,88.49,1793709.0,0.0,1.0,87.46,88.59,85.69,88.49,1793709.0
2014-10-07,88.57,89.9,87.58,87.58,1286951.0,0.0,1.0,88.57,89.9,87.58,87.58,1286951.0
2014-10-06,90.21,90.76,88.93,89.31,911282.0,0.0,1.0,90.21,90.76,88.93,89.31,911282.0
2014-10-03,90.19,90.65,89.11,90.36,800582.0,0.0,1.0,90.19,90.65,89.11,90.36,800582.0
