Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,87.17,88.64,87.0,88.49,1480001.0,0.0,1.0,87.17,88.64,87.0,88.49,1480001.0
2015-01-14,85.77,87.2,85.17,87.15,1508706.0,0.0,1.0,85.77,87.2,85.17,87.15,1508706.0
2015-01-13,87.91,88.63,85.71,86.04,2591584.0,0.0,1.0,87.91,88.63,85.71,86.04,2591584.0
2015-01-12,88.11,88.22,86.55,87.04,1109336.0,0.0,1.0,88.11,88.22,86.55,87.04,1109336.0
2015-01-08,88.07,88.73,87.8,88.29,1017339.0,0.0,1.0,88.07,88.73,87.8,88.29,1017339.0
2015-01-06,87.15,88.75,86.83,86.89,1834715.0,0.0,1.0,87.15,88.75,86.83,86.89,1834715.0
2015-01-05,87.91,88.2597,86.56,87.05,1659302.0,0.0,1.0,87.91,88.2597,86.56,87.05,1659302.0
2015-01-02,87.95,88.1,86.66,87.71,1944505.0,0.0,1.0,87.95,88.1,86.66,87.71,1944505.0
2014-12-31,90.41,90.56,87.4,87.48,1564508.0,0.0,1.0,90.41,90.56,87.4,87.48,1564508.0
2014-12-30,90.9,91.17,89.6801,89.93,1141632.0,0.0,1.0,90.9,91.17,89.6801,89.93,1141632.0
2014-12-26,89.8,91.03,89.77,90.42,850259.0,0.0,1.0,89.8,91.03,89.77,90.42,850259.0
2014-12-24,87.87,89.99,87.87,89.53,1282787.0,0.0,1.0,87.87,89.99,87.87,89.53,1282787.0
2014-12-23,88.63,88.86,87.54,88.07,1374020.0,0.0,1.0,88.63,88.86,87.54,88.07,1374020.0
2014-12-22,87.73,88.65,86.13,88.31,1963115.0,0.0,1.0,87.73,88.65,86.13,88.31,1963115.0
2014-12-19,88.7,89.96,88.56,89.03,3434695.0,0.0,1.0,88.7,89.96,88.56,89.03,3434695.0
2014-12-18,87.34,88.71,87.08,88.7,1620690.0,0.0,1.0,87.34,88.71,87.08,88.7,1620690.0
2014-12-17,85.94,87.76,86.08,87.32,2232072.0,0.0,1.0,85.94,87.76,86.08,87.32,2232072.0
2014-12-16,86.4,87.41,85.86,86.0,2696666.0,0.0,1.0,86.4,87.41,85.86,86.0,2696666.0
2014-12-15,86.47,87.92,85.92,86.37,3047678.0,0.0,1.0,86.47,87.92,85.92,86.37,3047678.0
2014-12-11,83.33,85.21,83.1201,84.9,1640008.0,0.0,1.0,83.33,85.21,83.1201,84.9,1640008.0
2014-12-10,83.82,84.52,83.04,83.09,1202314.0,0.0,1.0,83.82,84.52,83.04,83.09,1202314.0
2014-12-09,84.01,84.79,83.3501,83.98,2124764.0,0.0,1.0,84.01,84.79,83.3501,83.98,2124764.0
2014-12-05,82.65,83.0,82.18,82.72,1634329.0,0.0,1.0,82.65,83.0,82.18,82.72,1634329.0
2014-12-04,83.6,83.99,83.2,83.56,1036612.0,0.0,1.0,83.6,83.99,83.2,83.56,1036612.0
2014-12-02,83.48,84.11,83.27,83.7,1548214.0,0.0,1.0,83.48,84.11,83.27,83.7,1548214.0
2014-12-01,83.86,84.99,82.76,83.83,2009286.0,0.0,1.0,83.86,84.99,82.76,83.83,2009286.0
2014-11-28,82.44,84.01,82.35,83.9,915403.0,0.0,1.0,82.44,84.01,82.35,83.9,915403.0
2014-11-26,81.44,82.49,81.54,82.17,1378328.0,0.0,1.0,81.44,82.49,81.54,82.17,1378328.0
2014-11-25,81.43,81.54,80.965,81.31,1254397.0,0.0,1.0,81.43,81.54,80.965,81.31,1254397.0
2014-11-24,82.56,82.721,81.365,81.47,1233041.0,0.0,1.0,82.56,82.721,81.365,81.47,1233041.0
2014-11-21,82.91,82.98,81.8,82.4,1542018.0,0.0,1.0,82.91,82.98,81.8,82.4,1542018.0
2014-11-20,82.99,83.28,82.04,82.23,1232139.0,0.0,1.0,82.99,83.28,82.04,82.23,1232139.0
2014-11-19,83.77,84.12,83.06,83.34,1443322.0,0.0,1.0,83.77,84.12,83.06,83.34,1443322.0
2014-11-18,83.47,84.44,82.87,83.9,1232774.0,0.0,1.0,83.47,84.44,82.87,83.9,1232774.0
2014-11-17,81.31,83.45,81.16,83.27,1854348.0,0.0,1.0,81.31,83.45,81.16,83.27,1854348.0
2014-11-14,81.51,81.95,81.09,81.45,1633898.0,0.0,1.0,81.51,81.95,81.09,81.45,1633898.0
2014-11-13,81.83,82.8,81.477,81.68,1931013.0,0.0,1.0,81.83,82.8,81.477,81.68,1931013.0
2014-11-12,82.32,82.49,80.58,81.62,2543361.0,0.0,1.0,82.32,82.49,80.58,81.62,2543361.0
2014-11-11,83.48,83.575,82.48,82.96,1629900.0,0.0,1.0,83.48,83.575,82.48,82.96,1629900.0
2014-11-10,82.08,83.32,82.08,83.29,2366733.0,0.0,1.0,82.08,83.32,82.08,83.29,2366733.0
2014-11-07,82.23,82.71,81.51,82.68,2324838.0,0.0,1.0,81.418648359486,81.893912268188,80.705752496434,81.864208273894,2324838.0
2014-11-06,83.55,83.85,81.0,81.96,3656539.0,0.0,1.0,82.725624108417,83.022664051355,80.200784593438,81.151312410842,3656539.0
2014-11-04,80.52,83.75,80.04,82.47,1755197.0,0.0,1.0,79.725520684736,82.923650737042,79.250256776034,81.656280313837,1755197.0
2014-11-03,84.29,84.31,83.48,83.85,2162148.0,0.0,1.0,83.458322634332,83.478125297194,82.656314788398,83.022664051355,2162148.0
2014-10-31,84.41,84.58,83.55,84.02,2161923.0,0.0,1.0,83.577138611507,83.745461245839,82.725624108417,83.190986685687,2161923.0
2014-10-30,82.14,84.26,81.9501,84.24,1420630.0,0.0,1.0,81.329536376605,83.428618640038,81.141510092725,83.408815977175,1420630.0
2014-10-29,81.8,82.88,81.18,82.06,1375401.0,0.0,1.0,80.992891107941,82.06223490252,80.379008559201,81.250325725155,1375401.0
2014-10-28,82.11,82.22,81.1,81.88,1875951.0,0.0,1.0,81.299832382311,81.408747028055,80.299797907751,81.072101759391,1875951.0
2014-10-27,82.1,82.65,81.78,82.11,1634987.0,0.0,1.0,81.28993105088,81.834504279601,80.973088445078,81.299832382311,1634987.0
2014-10-24,81.44,82.19,81.2401,82.14,1085675.0,0.0,1.0,80.636443176415,81.379043033761,80.438515561103,81.329536376605,1085675.0
2014-10-23,81.36,81.96,80.75,81.29,1420668.0,0.0,1.0,80.557232524964,81.151312410842,79.953251307656,80.487923204945,1420668.0
2014-10-22,80.0,81.38,79.96,80.94,1256424.0,0.0,1.0,79.210651450309,80.577035187827,79.171046124584,80.14137660485,1256424.0
