Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,39.73,40.27,39.58,39.93,5353930.0,0.0,1.0,39.73,40.27,39.58,39.93,5353930.0
2015-01-14,38.56,39.605,38.36,39.55,4399290.0,0.0,1.0,38.56,39.605,38.36,39.55,4399290.0
2015-01-13,38.0,39.19,37.93,38.63,3724307.0,0.0,1.0,38.0,39.19,37.93,38.63,3724307.0
2015-01-12,39.04,39.18,38.22,38.46,3067373.0,0.0,1.0,39.04,39.18,38.22,38.46,3067373.0
2015-01-08,38.77,39.17,38.7,39.02,2112252.0,0.0,1.0,38.77,39.17,38.7,39.02,2112252.0
2015-01-06,38.25,38.7555,38.13,38.35,3673695.0,0.0,1.0,38.25,38.7555,38.13,38.35,3673695.0
2015-01-05,39.03,39.07,38.01,38.15,3059473.0,0.0,1.0,39.03,39.07,38.01,38.15,3059473.0
2015-01-02,39.11,39.28,38.64,39.2,2353898.0,0.0,1.0,39.11,39.28,38.64,39.2,2353898.0
2014-12-31,40.21,40.43,38.99,38.99,3080787.0,0.0,1.0,40.21,40.43,38.99,38.99,3080787.0
2014-12-30,40.76,40.76,40.08,40.18,2048764.0,0.0,1.0,40.76,40.76,40.08,40.18,2048764.0
2014-12-26,39.9,40.57,39.8,40.0,2739929.0,0.0,1.0,39.9,40.57,39.8,40.0,2739929.0
2014-12-24,39.12,39.86,39.03,39.74,2370674.0,0.0,1.0,39.12,39.86,39.03,39.74,2370674.0
2014-12-23,38.42,39.1699,38.22,39.01,2340700.0,0.0,1.0,38.42,39.1699,38.22,39.01,2340700.0
2014-12-22,38.08,38.35,37.8,38.22,3589645.0,0.0,1.0,38.08,38.35,37.8,38.22,3589645.0
2014-12-19,38.88,39.18,38.44,38.72,5453397.0,0.0,1.0,38.88,39.18,38.44,38.72,5453397.0
2014-12-18,38.09,38.84,37.99,38.79,2907902.0,0.0,1.0,38.09,38.84,37.99,38.79,2907902.0
2014-12-17,37.28,38.15,37.28,38.06,2760561.0,0.0,1.0,37.28,38.15,37.28,38.06,2760561.0
2014-12-16,37.31,37.85,36.79,37.19,2792726.0,0.0,1.0,37.31,37.85,36.79,37.19,2792726.0
2014-12-15,37.66,37.85,37.252,37.39,3770025.0,0.0,1.0,37.66,37.85,37.252,37.39,3770025.0
2014-12-10,37.71,37.995,37.235,37.25,2794182.0,0.0,1.0,37.71,37.995,37.235,37.25,2794182.0
2014-12-09,37.4,37.83,37.32,37.82,2216726.0,0.0,1.0,37.4,37.83,37.32,37.82,2216726.0
2014-12-05,36.62,37.01,36.55,37.0,2533007.0,0.0,1.0,36.62,37.01,36.55,37.0,2533007.0
2014-12-04,37.05,37.17,36.735,36.95,2617847.0,0.0,1.0,37.05,37.17,36.735,36.95,2617847.0
2014-12-02,36.91,37.21,36.7804,37.08,1697953.0,0.0,1.0,36.91,37.21,36.7804,37.08,1697953.0
2014-12-01,36.72,37.23,36.47,37.04,1969068.0,0.0,1.0,36.72,37.23,36.47,37.04,1969068.0
2014-11-28,36.6,36.99,36.54,36.88,1099865.0,0.0,1.0,36.6,36.99,36.54,36.88,1099865.0
2014-11-26,36.26,36.6,36.18,36.44,1580851.0,0.0,1.0,36.26,36.6,36.18,36.44,1580851.0
2014-11-25,36.28,36.44,36.02,36.24,2416092.0,0.0,1.0,36.28,36.44,36.02,36.24,2416092.0
2014-11-24,37.16,37.22,36.28,36.32,2351324.0,0.0,1.0,37.16,37.22,36.28,36.32,2351324.0
2014-11-21,37.05,37.38,36.78,37.21,2200883.0,0.0,1.0,37.05,37.38,36.78,37.21,2200883.0
2014-11-20,36.8,37.03,36.57,36.73,1638098.0,0.0,1.0,36.8,37.03,36.57,36.73,1638098.0
2014-11-19,36.52,37.14,36.3564,37.04,2426974.0,0.0,1.0,36.52,37.14,36.3564,37.04,2426974.0
2014-11-18,36.39,36.85,36.21,36.69,2447058.0,0.0,1.0,36.39,36.85,36.21,36.69,2447058.0
2014-11-17,35.82,36.43,35.69,36.36,2393351.0,0.0,1.0,35.82,36.43,35.69,36.36,2393351.0
2014-11-14,35.93,36.12,35.8,35.89,3155741.0,0.0,1.0,35.93,36.12,35.8,35.89,3155741.0
2014-11-13,36.45,36.64,36.0303,36.1,2398249.0,0.0,1.0,36.45,36.64,36.0303,36.1,2398249.0
2014-11-12,36.97,36.97,36.1,36.4,3715743.0,0.0,1.0,36.97,36.97,36.1,36.4,3715743.0
2014-11-11,37.22,37.45,37.105,37.29,2179199.0,0.0,1.0,37.22,37.45,37.105,37.29,2179199.0
2014-11-10,37.19,37.37,37.03,37.35,2761353.0,0.0,1.0,37.19,37.37,37.03,37.35,2761353.0
2014-11-07,36.7,37.27,36.58,37.25,3657157.0,0.0,1.0,36.7,37.27,36.58,37.25,3657157.0
2014-11-06,37.01,37.045,36.31,36.64,3598510.0,0.0,1.0,37.01,37.045,36.31,36.64,3598510.0
2014-11-04,37.42,37.72,36.7,36.92,4192430.0,0.0,1.0,37.42,37.72,36.7,36.92,4192430.0
2014-11-03,37.27,37.5,37.19,37.45,2539649.0,0.0,1.0,37.27,37.5,37.19,37.45,2539649.0
2014-10-31,37.63,37.64,37.09,37.34,2887933.0,0.0,1.0,37.63,37.64,37.09,37.34,2887933.0
2014-10-30,36.74,37.55,36.6101,37.51,4064570.0,0.0,1.0,36.74,37.55,36.6101,37.51,4064570.0
2014-10-29,36.71,36.92,36.17,36.58,2356395.0,0.0,1.0,36.71,36.92,36.17,36.58,2356395.0
2014-10-28,36.15,36.77,36.11,36.76,2423242.0,0.0,1.0,36.15,36.77,36.11,36.76,2423242.0
2014-10-27,36.19,36.34,35.88,36.13,3125304.0,0.0,1.0,36.19,36.34,35.88,36.13,3125304.0
2014-10-24,35.57,36.34,35.4,36.27,3251114.0,0.0,1.0,35.57,36.34,35.4,36.27,3251114.0
2014-10-23,35.62,35.7295,35.15,35.4,2808079.0,0.0,1.0,35.62,35.7295,35.15,35.4,2808079.0
2014-10-22,35.23,35.88,35.2,35.52,4257037.0,0.0,1.0,35.23,35.88,35.2,35.52,4257037.0
2014-10-21,35.01,35.41,34.82,35.21,3878306.0,0.0,1.0,35.01,35.41,34.82,35.21,3878306.0
2014-10-20,34.73,35.1201,34.6701,34.94,3330879.0,0.0,1.0,34.73,35.1201,34.6701,34.94,3330879.0
2014-10-17,34.74,34.87,34.31,34.74,2285966.0,0.0,1.0,34.74,34.87,34.31,34.74,2285966.0
2014-10-16,34.65,34.81,34.13,34.66,2899815.0,0.0,1.0,34.65,34.81,34.13,34.66,2899815.0
2014-10-15,35.86,35.99,34.2182,35.13,5014487.0,0.0,1.0,35.86,35.99,34.2182,35.13,5014487.0
2014-10-14,35.1,36.02,35.0,35.56,4934208.0,0.0,1.0,35.1,36.02,35.0,35.56,4934208.0
2014-10-13,34.85,35.55,34.81,35.1,5133934.0,0.0,1.0,34.85,35.55,34.81,35.1,5133934.0
2014-10-10,34.73,35.15,34.64,34.85,3267502.0,0.0,1.0,34.73,35.15,34.64,34.85,3267502.0
2014-10-09,34.6,35.105,34.45,34.55,5541543.0,0.0,1.0,34.6,35.105,34.45,34.55,5541543.0
2014-10-08,33.65,34.7,33.57,34.6,4883811.0,0.0,1.0,33.65,34.7,33.57,34.6,4883811.0
2014-10-07,33.64,33.985,33.57,33.63,3305136.0,0.0,1.0,33.64,33.985,33.57,33.63,3305136.0
2014-10-06,33.57,33.9,33.43,33.74,3097982.0,0.0,1.0,33.57,33.9,33.43,33.74,3097982.0
2014-10-03,33.39,33.59,33.04,33.49,2138640.0,0.0,1.0,33.39,33.59,33.04,33.49,2138640.0
2014-10-01,33.52,33.82,33.19,33.37,2851366.0,0.0,1.0,33.52,33.82,33.19,33.37,2851366.0
2014-09-30,34.0,34.27,33.46,33.57,2964966.0,0.0,1.0,34.0,34.27,33.46,33.57,2964966.0
2014-09-29,33.87,34.0,33.69,33.97,1620258.0,0.0,1.0,33.87,34.0,33.69,33.97,1620258.0
2014-09-26,34.0,34.05,33.66,33.98,3029987.0,0.0,1.0,34.0,34.05,33.66,33.98,3029987.0
2014-09-25,33.88,33.97,33.57,33.87,2862055.0,0.0,1.0,33.88,33.97,33.57,33.87,2862055.0
2014-09-24,34.22,34.32,33.63,33.75,3113249.0,0.0,1.0,34.22,34.32,33.63,33.75,3113249.0
2014-09-23,34.53,34.67,34.21,34.21,2158302.0,0.0,1.0,34.53,34.67,34.21,34.21,2158302.0
2014-09-22,34.52,34.8,34.32,34.64,1865299.0,0.0,1.0,34.52,34.8,34.32,34.64,1865299.0
2014-09-19,34.44,34.73,34.31,34.62,4184145.0,0.0,1.0,34.44,34.73,34.31,34.62,4184145.0
2014-09-18,34.71,34.8,34.17,34.3,2191029.0,0.0,1.0,34.71,34.8,34.17,34.3,2191029.0
2014-09-17,34.9,34.95,34.5069,34.71,2606844.0,0.0,1.0,34.9,34.95,34.5069,34.71,2606844.0
2014-09-16,34.36,34.95,34.22,34.8,3145515.0,0.0,1.0,34.36,34.95,34.22,34.8,3145515.0
2014-09-15,34.26,34.59,34.17,34.36,1626388.0,0.0,1.0,34.26,34.59,34.17,34.36,1626388.0
2014-09-12,34.22,34.38,33.94,34.18,2126743.0,0.0,1.0,34.22,34.38,33.94,34.18,2126743.0
2014-09-11,33.97,34.59,33.95,34.56,3020036.0,0.0,1.0,33.97,34.59,33.95,34.56,3020036.0
2014-09-10,34.05,34.16,33.71,33.96,3329164.0,0.0,1.0,34.05,34.16,33.71,33.96,3329164.0
2014-09-09,34.12,34.33,33.76,34.16,3375718.0,0.0,1.0,34.12,34.33,33.76,34.16,3375718.0
2014-09-08,34.54,34.5497,34.135,34.24,1711289.0,0.0,1.0,34.54,34.5497,34.135,34.24,1711289.0
2014-09-05,34.15,34.595,34.06,34.56,1554162.0,0.0,1.0,34.15,34.595,34.06,34.56,1554162.0
2014-09-04,34.12,34.18,33.82,34.02,1327567.0,0.0,1.0,34.12,34.18,33.82,34.02,1327567.0
2014-09-03,33.82,34.235,33.68,34.18,1679247.0,0.0,1.0,33.82,34.235,33.68,34.18,1679247.0
2014-09-02,34.1,34.25,33.35,33.69,2428171.0,0.0,1.0,34.1,34.25,33.35,33.69,2428171.0
2014-08-29,33.97,34.25,33.92,34.24,1294451.0,0.0,1.0,33.97,34.25,33.92,34.24,1294451.0
2014-08-28,33.7,34.03,33.59,33.99,1329383.0,0.0,1.0,33.7,34.03,33.59,33.99,1329383.0
2014-08-27,33.39,33.81,33.3405,33.8,2468744.0,0.0,1.0,33.39,33.81,33.3405,33.8,2468744.0
2014-08-26,33.53,33.815,33.18,33.22,1980769.0,0.0,1.0,33.53,33.815,33.18,33.22,1980769.0
2014-08-25,33.51,33.825,33.475,33.68,1389487.0,0.0,1.0,33.51,33.825,33.475,33.68,1389487.0
2014-08-22,33.3,33.55,33.2,33.33,2462589.0,0.0,1.0,33.3,33.55,33.2,33.33,2462589.0
2014-08-21,33.27,33.54,33.27,33.46,1599396.0,0.0,1.0,33.27,33.54,33.27,33.46,1599396.0
2014-08-20,33.23,33.35,33.03,33.34,1380343.0,0.0,1.0,33.23,33.35,33.03,33.34,1380343.0
2014-08-19,32.86,33.23,32.8,33.2,1946412.0,0.0,1.0,32.86,33.23,32.8,33.2,1946412.0
2014-08-18,32.96,33.15,32.73,32.84,2029772.0,0.0,1.0,32.96,33.15,32.73,32.84,2029772.0
2014-08-15,32.74,33.11,32.68,32.97,2276997.0,0.0,1.0,32.74,33.11,32.68,32.97,2276997.0
2014-08-14,32.37,32.73,32.37,32.72,1572769.0,0.0,1.0,32.37,32.73,32.37,32.72,1572769.0
2014-08-13,32.4,32.47,32.17,32.41,1719532.0,0.0,1.0,32.4,32.47,32.17,32.41,1719532.0
2014-08-12,32.31,32.54,32.21,32.3,3659928.0,0.0,1.0,32.31,32.54,32.21,32.3,3659928.0
2014-08-11,32.37,32.559,32.31,32.41,3332829.0,0.0,1.0,32.37,32.559,32.31,32.41,3332829.0
2014-08-08,31.6,32.37,31.56,32.35,3419475.0,0.0,1.0,31.6,32.37,31.56,32.35,3419475.0
2014-08-07,31.68,31.9,31.3,31.45,4250737.0,0.0,1.0,31.68,31.9,31.3,31.45,4250737.0
2014-08-06,31.8,31.89,31.28,31.48,6621832.0,0.0,1.0,31.8,31.89,31.28,31.48,6621832.0
2014-08-05,30.18,32.58,29.98,31.93,10789784.0,0.36,1.0,30.18,32.58,29.98,31.93,10789784.0
2014-08-04,31.17,31.25,30.4,31.06,6704085.0,0.0,1.0,30.82248683803,30.901594921028,30.061071539176,30.713713223908,6704085.0
