Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,62.31,62.64,61.87,62.3,748160.0,0.0,1.0,62.31,62.64,61.87,62.3,748160.0
2015-01-14,62.33,62.34,61.55,62.22,581730.0,0.0,1.0,62.33,62.34,61.55,62.22,581730.0
2015-01-13,63.295,63.98,62.21,62.87,943492.0,0.0,1.0,63.295,63.98,62.21,62.87,943492.0
2015-01-12,63.12,63.17,62.42,62.73,661127.0,0.0,1.0,63.12,63.17,62.42,62.73,661127.0
2015-01-08,62.85,63.1875,62.71,63.14,906556.0,0.0,1.0,62.85,63.1875,62.71,63.14,906556.0
2015-01-06,61.37,61.73,60.36,61.25,1186530.0,0.0,1.0,61.37,61.73,60.36,61.25,1186530.0
2015-01-05,61.99,62.24,60.74,61.33,951448.0,0.0,1.0,61.99,62.24,60.74,61.33,951448.0
2015-01-02,62.65,63.03,61.82,62.41,666293.0,0.0,1.0,62.65,63.03,61.82,62.41,666293.0
2014-12-31,63.44,63.46,62.18,62.2,659210.0,0.0,1.0,63.44,63.46,62.18,62.2,659210.0
2014-12-30,63.27,63.45,63.115,63.16,423993.0,0.0,1.0,63.27,63.45,63.115,63.16,423993.0
2014-12-26,63.65,63.92,63.46,63.51,363274.0,0.0,1.0,63.65,63.92,63.46,63.51,363274.0
2014-12-24,63.99,64.15,63.555,63.62,471913.0,0.0,1.0,63.99,64.15,63.555,63.62,471913.0
2014-12-23,63.85,64.15,63.7,64.04,582973.0,0.0,1.0,63.85,64.15,63.7,64.04,582973.0
2014-12-22,63.33,63.76,63.25,63.55,1129181.0,0.0,1.0,63.33,63.76,63.25,63.55,1129181.0
2014-12-19,63.7,64.3,62.92,63.07,2961017.0,0.0,1.0,63.7,64.3,62.92,63.07,2961017.0
2014-12-18,62.15,63.6,61.97,63.59,1358045.0,0.0,1.0,62.15,63.6,61.97,63.59,1358045.0
2014-12-17,60.29,61.51,60.04,61.5,1208277.0,0.0,1.0,60.29,61.51,60.04,61.5,1208277.0
2014-12-16,60.1,61.14,59.95,60.16,1116596.0,0.0,1.0,60.1,61.14,59.95,60.16,1116596.0
2014-12-15,60.34,60.71,59.71,60.45,1444403.0,0.0,1.0,60.34,60.71,59.71,60.45,1444403.0
2014-12-10,61.28,61.27,60.58,60.84,1288388.0,0.0,1.0,61.28,61.27,60.58,60.84,1288388.0
2014-12-09,60.67,61.4,60.5,61.35,698572.0,0.0,1.0,60.67,61.4,60.5,61.35,698572.0
2014-12-05,61.67,61.89,61.41,61.62,624036.0,0.0,1.0,61.67,61.89,61.41,61.62,624036.0
2014-12-04,61.79,61.96,61.4099,61.65,635028.0,0.0,1.0,61.79,61.96,61.4099,61.65,635028.0
2014-12-02,61.46,61.655,61.32,61.42,830772.0,0.0,1.0,61.46,61.655,61.32,61.42,830772.0
2014-12-01,60.81,61.69,60.68,61.43,961214.0,0.0,1.0,60.81,61.69,60.68,61.43,961214.0
2014-11-28,60.805,61.66,60.68,61.19,599227.0,0.0,1.0,60.805,61.66,60.68,61.19,599227.0
2014-11-26,60.45,60.91,60.37,60.76,834332.0,0.0,1.0,60.45,60.91,60.37,60.76,834332.0
2014-11-25,60.34,60.69,60.01,60.46,999104.0,0.0,1.0,60.34,60.69,60.01,60.46,999104.0
2014-11-24,59.95,60.22,59.93,60.11,682375.0,0.0,1.0,59.95,60.22,59.93,60.11,682375.0
2014-11-21,60.15,60.25,59.81,59.9,957243.0,0.0,1.0,60.15,60.25,59.81,59.9,957243.0
