Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,54.73,55.1263,54.36,54.73,435674.0,0.0,1.0,54.73,55.1263,54.36,54.73,435674.0
2015-01-14,53.44,54.55,53.39,54.45,560619.0,0.0,1.0,53.44,54.55,53.39,54.45,560619.0
2015-01-13,53.95,54.67,53.25,53.75,618848.0,0.0,1.0,53.95,54.67,53.25,53.75,618848.0
2015-01-12,53.59,53.65,52.93,53.5,555721.0,0.0,1.0,53.59,53.65,52.93,53.5,555721.0
2015-01-08,54.18,54.35,53.7901,54.07,836042.0,0.0,1.0,54.18,54.35,53.7901,54.07,836042.0
2015-01-06,53.45,54.17,52.84,53.13,1073072.0,0.0,1.0,53.45,54.17,52.84,53.13,1073072.0
2015-01-05,54.52,54.47,53.17,53.45,607712.0,0.0,1.0,54.52,54.47,53.17,53.45,607712.0
2015-01-02,54.7,54.87,54.0,54.63,563336.0,0.0,1.0,54.7,54.87,54.0,54.63,563336.0
2014-12-31,55.72,55.96,54.47,54.51,702380.0,0.0,1.0,55.72,55.96,54.47,54.51,702380.0
2014-12-30,56.29,56.37,55.67,55.69,677662.0,0.0,1.0,56.29,56.37,55.67,55.69,677662.0
2014-12-26,54.18,55.22,53.96,54.95,562517.0,0.0,1.0,54.18,55.22,53.96,54.95,562517.0
2014-12-24,52.87,54.23,52.79,54.01,479133.0,0.0,1.0,52.87,54.23,52.79,54.01,479133.0
2014-12-23,52.59,53.1,52.51,52.72,458478.0,0.0,1.0,52.59,53.1,52.51,52.72,458478.0
2014-12-22,52.41,52.57,51.91,52.5,458157.0,0.0,1.0,52.41,52.57,51.91,52.5,458157.0
2014-12-19,51.9,52.62,52.03,52.19,1314013.0,0.0,1.0,51.9,52.62,52.03,52.19,1314013.0
2014-12-18,51.57,52.25,51.49,52.25,852040.0,0.0,1.0,51.57,52.25,51.49,52.25,852040.0
2014-12-17,50.45,51.34,50.28,51.26,787255.0,0.0,1.0,50.45,51.34,50.28,51.26,787255.0
2014-12-16,50.5,51.01,50.1,50.42,1423043.0,0.0,1.0,50.5,51.01,50.1,50.42,1423043.0
2014-12-15,51.27,51.5,50.53,50.65,1091943.0,0.0,1.0,51.27,51.5,50.53,50.65,1091943.0
2014-12-10,53.25,53.63,52.37,52.39,658661.0,0.0,1.0,53.25,53.63,52.37,52.39,658661.0
2014-12-09,52.92,53.6,52.6,53.58,1399771.0,0.0,1.0,52.92,53.6,52.6,53.58,1399771.0
2014-12-05,53.43,53.56,53.11,53.36,680224.0,0.0,1.0,53.43,53.56,53.11,53.36,680224.0
2014-12-04,53.53,53.78,53.14,53.63,1350666.0,0.0,1.0,53.53,53.78,53.14,53.63,1350666.0
2014-12-02,52.4,53.13,52.21,53.1,2104072.0,0.0,1.0,52.4,53.13,52.21,53.1,2104072.0
2014-12-01,52.38,52.63,51.79,52.38,1152090.0,0.0,1.0,52.38,52.63,51.79,52.38,1152090.0
2014-11-28,52.13,52.665,51.98,52.31,433079.0,0.0,1.0,52.13,52.665,51.98,52.31,433079.0
2014-11-26,52.0,52.31,51.76,52.12,532017.0,0.0,1.0,52.0,52.31,51.76,52.12,532017.0
2014-11-25,51.66,52.0284,51.54,51.92,847203.0,0.0,1.0,51.66,52.0284,51.54,51.92,847203.0
2014-11-24,51.84,52.0,51.425,51.57,718621.0,0.0,1.0,51.84,52.0,51.425,51.57,718621.0
2014-11-21,51.8,52.09,51.645,51.91,1030271.0,0.0,1.0,51.8,52.09,51.645,51.91,1030271.0
2014-11-20,51.26,51.47,51.02,51.37,602881.0,0.0,1.0,51.26,51.47,51.02,51.37,602881.0
2014-11-19,51.71,51.96,51.34,51.4,1366880.0,0.0,1.0,51.71,51.96,51.34,51.4,1366880.0
2014-11-18,52.2,52.34,51.67,51.8,1106154.0,0.0,1.0,52.2,52.34,51.67,51.8,1106154.0
2014-11-17,51.48,52.33,51.32,52.23,1291891.0,0.0,1.0,51.48,52.33,51.32,52.23,1291891.0
2014-11-14,51.54,51.72,51.16,51.45,1433291.0,0.0,1.0,51.54,51.72,51.16,51.45,1433291.0
2014-11-13,52.12,52.47,51.54,51.65,871080.0,0.0,1.0,52.12,52.47,51.54,51.65,871080.0
2014-11-12,52.33,52.33,51.6801,52.12,1439013.0,0.0,1.0,52.33,52.33,51.6801,52.12,1439013.0
2014-11-11,54.18,54.28,53.11,53.27,1002983.0,0.0,1.0,54.18,54.28,53.11,53.27,1002983.0
2014-11-10,54.3,55.41,54.16,54.31,1266661.0,0.0,1.0,54.3,55.41,54.16,54.31,1266661.0
2014-11-07,54.84,55.13,54.55,54.93,694421.0,0.0,1.0,54.84,55.13,54.55,54.93,694421.0
2014-11-06,55.12,55.59,54.25,54.77,809906.0,0.0,1.0,55.12,55.59,54.25,54.77,809906.0
2014-11-04,54.02,54.38,53.645,53.87,631911.0,0.0,1.0,54.02,54.38,53.645,53.87,631911.0
2014-11-03,53.96,54.408,53.84,54.0,788166.0,0.0,1.0,53.96,54.408,53.84,54.0,788166.0
2014-10-31,54.49,54.57,53.61,53.91,1219296.0,0.0,1.0,54.49,54.57,53.61,53.91,1219296.0
2014-10-30,53.99,54.66,53.73,54.5,1182561.0,0.0,1.0,53.99,54.66,53.73,54.5,1182561.0
2014-10-29,54.21,54.89,53.41,54.12,598762.0,0.0,1.0,54.21,54.89,53.41,54.12,598762.0
2014-10-28,53.88,54.42,53.54,54.42,650238.0,0.0,1.0,53.88,54.42,53.54,54.42,650238.0
2014-10-27,53.7,53.99,53.52,53.78,434292.0,0.0,1.0,53.7,53.99,53.52,53.78,434292.0
2014-10-24,54.25,54.52,53.4411,53.82,1094834.0,0.0,1.0,54.25,54.52,53.4411,53.82,1094834.0
2014-10-23,54.78,55.0,54.09,54.14,824228.0,0.0,1.0,54.78,55.0,54.09,54.14,824228.0
2014-10-22,54.03,55.0,53.8175,54.46,697166.0,0.0,1.0,54.03,55.0,53.8175,54.46,697166.0
2014-10-21,52.94,54.01,52.83,53.95,532059.0,0.0,1.0,52.94,54.01,52.83,53.95,532059.0
2014-10-20,52.16,52.85,52.12,52.65,854764.0,0.0,1.0,52.16,52.85,52.12,52.65,854764.0
2014-10-17,52.35,52.5,51.72,52.09,911274.0,0.0,1.0,52.35,52.5,51.72,52.09,911274.0
