Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,30.91,30.96,30.001,30.11,1160934.0,0.0,1.0,30.91,30.96,30.001,30.11,1160934.0
2015-01-14,30.87,31.06,30.35,30.92,1537541.0,0.0,1.0,30.87,31.06,30.35,30.92,1537541.0
2015-01-13,30.78,31.3,30.52,31.26,2878895.0,0.0,1.0,30.78,31.3,30.52,31.26,2878895.0
2015-01-12,30.68,30.69,30.06,30.16,1489931.0,0.0,1.0,30.68,30.69,30.06,30.16,1489931.0
2015-01-08,30.27,30.73,30.13,30.49,3253354.0,0.0,1.0,30.27,30.73,30.13,30.49,3253354.0
2015-01-06,30.09,30.17,29.303,29.62,2664029.0,0.0,1.0,30.09,30.17,29.303,29.62,2664029.0
2015-01-05,30.29,30.36,29.77,30.12,2164158.0,0.0,1.0,30.29,30.36,29.77,30.12,2164158.0
2015-01-02,32.03,32.154,30.41,30.66,2336411.0,0.0,1.0,32.03,32.154,30.41,30.66,2336411.0
2014-12-31,32.36,32.46,31.89,31.93,1066958.0,0.0,1.0,32.36,32.46,31.89,31.93,1066958.0
2014-12-30,32.28,32.43,32.1,32.35,941862.0,0.0,1.0,32.28,32.43,32.1,32.35,941862.0
2014-12-26,31.9,32.0,31.67,31.76,621595.0,0.0,1.0,31.9,32.0,31.67,31.76,621595.0
2014-12-24,31.89,31.864,31.49,31.68,510007.0,0.0,1.0,31.89,31.864,31.49,31.68,510007.0
2014-12-23,31.85,32.22,31.72,31.88,823708.0,0.0,1.0,31.85,32.22,31.72,31.88,823708.0
2014-12-22,31.95,32.06,31.49,31.59,1142386.0,0.0,1.0,31.95,32.06,31.49,31.59,1142386.0
2014-12-19,31.25,32.15,31.08,31.99,2568248.0,0.0,1.0,31.25,32.15,31.08,31.99,2568248.0
2014-12-18,31.03,31.11,30.53,31.11,1189427.0,0.0,1.0,31.03,31.11,30.53,31.11,1189427.0
2014-12-17,29.65,30.49,29.56,30.41,1297736.0,0.0,1.0,29.65,30.49,29.56,30.41,1297736.0
2014-12-16,29.83,30.33,29.51,29.51,1978577.0,0.0,1.0,29.83,30.33,29.51,29.51,1978577.0
2014-12-15,30.81,30.82,29.71,29.82,2546453.0,0.0,1.0,30.81,30.82,29.71,29.82,2546453.0
2014-12-10,32.34,32.55,31.71,31.91,1908188.0,0.0,1.0,32.34,32.55,31.71,31.91,1908188.0
2014-12-09,31.8,32.56,31.65,32.54,1617921.0,0.0,1.0,31.8,32.56,31.65,32.54,1617921.0
2014-12-05,32.96,33.1,32.58,32.69,935550.0,0.0,1.0,32.96,33.1,32.58,32.69,935550.0
2014-12-04,33.51,33.7,32.8,32.9,985133.0,0.0,1.0,33.51,33.7,32.8,32.9,985133.0
2014-12-02,32.81,33.34,32.73,33.08,1075227.0,0.0,1.0,32.81,33.34,32.73,33.08,1075227.0
2014-12-01,32.36,32.84,32.1527,32.65,989675.0,0.0,1.0,32.36,32.84,32.1527,32.65,989675.0
2014-11-28,32.76,32.81,32.45,32.55,443513.0,0.0,1.0,32.76,32.81,32.45,32.55,443513.0
2014-11-26,32.21,32.75,32.18,32.74,690534.0,0.0,1.0,32.21,32.75,32.18,32.74,690534.0
2014-11-25,32.41,32.47,31.94,32.26,848949.0,0.0,1.0,32.41,32.47,31.94,32.26,848949.0
2014-11-24,31.65,32.349,31.625,32.28,1740921.0,0.0,1.0,31.65,32.349,31.625,32.28,1740921.0
2014-11-21,31.94,31.94,31.24,31.45,1098814.0,0.0,1.0,31.94,31.94,31.24,31.45,1098814.0
2014-11-20,31.1,31.71,31.03,31.58,717304.0,0.0,1.0,31.1,31.71,31.03,31.58,717304.0
2014-11-19,31.45,31.51,31.03,31.36,999823.0,0.0,1.0,31.45,31.51,31.03,31.36,999823.0
2014-11-18,31.0,31.58,30.91,31.51,1120843.0,0.0,1.0,31.0,31.58,30.91,31.51,1120843.0
2014-11-17,30.94,31.04,30.71,30.91,919011.0,0.0,1.0,30.94,31.04,30.71,30.91,919011.0
2014-11-14,30.85,31.1,30.76,31.05,1020866.0,0.0,1.0,30.85,31.1,30.76,31.05,1020866.0
2014-11-13,30.97,31.45,30.67,30.88,879460.0,0.0,1.0,30.97,31.45,30.67,30.88,879460.0
2014-11-12,30.58,30.975,30.48,30.87,1007029.0,0.0,1.0,30.58,30.975,30.48,30.87,1007029.0
2014-11-11,30.86,30.96,30.52,30.83,662342.0,0.0,1.0,30.86,30.96,30.52,30.83,662342.0
2014-11-10,30.35,30.835,30.35,30.76,1800098.0,0.0,1.0,30.35,30.835,30.35,30.76,1800098.0
2014-11-07,30.95,30.95,30.2,30.31,1144078.0,0.0,1.0,30.95,30.95,30.2,30.31,1144078.0
2014-11-06,30.76,31.03,30.46,31.02,1279016.0,0.0,1.0,30.76,31.03,30.46,31.02,1279016.0
2014-11-04,31.24,31.16,30.45,30.66,1528283.0,0.0,1.0,31.24,31.16,30.45,30.66,1528283.0
2014-11-03,31.49,31.7104,31.2001,31.32,1661179.0,0.0,1.0,31.49,31.7104,31.2001,31.32,1661179.0
2014-10-31,31.72,31.72,31.16,31.5,1614343.0,0.0,1.0,31.72,31.72,31.16,31.5,1614343.0
2014-10-30,31.95,32.0,30.965,31.16,2639321.0,0.0,1.0,31.95,32.0,30.965,31.16,2639321.0
2014-10-29,31.74,32.095,31.62,32.04,1590077.0,0.0,1.0,31.74,32.095,31.62,32.04,1590077.0
2014-10-28,31.42,31.74,31.38,31.68,1251844.0,0.0,1.0,31.42,31.74,31.38,31.68,1251844.0
2014-10-27,31.27,31.4,30.95,31.35,1113129.0,0.0,1.0,31.27,31.4,30.95,31.35,1113129.0
2014-10-24,31.11,31.45,30.93,31.43,1484910.0,0.0,1.0,31.11,31.45,30.93,31.43,1484910.0
