Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-09-26,699.32,702.2866,697.79,700.0,32790.0,0.0,1.0,699.32,702.2866,697.79,700.0,32790.0
2014-09-25,702.82,703.76,697.92,700.32,52624.0,0.0,1.0,702.82,703.76,697.92,700.32,52624.0
2014-09-24,706.94,706.94,703.75,705.01,32810.0,0.0,1.0,706.94,706.94,703.75,705.01,32810.0
2014-09-23,711.97,717.91,706.94,706.94,59992.0,0.0,1.0,711.97,717.91,706.94,706.94,59992.0
2014-09-22,729.85,735.0699,712.3,712.75,84553.0,0.0,1.0,729.85,735.0699,712.3,712.75,84553.0
2014-09-19,741.725,743.42,729.84,729.84,695558.0,0.0,1.0,741.725,743.42,729.84,729.84,695558.0
2014-09-18,73.35,741.24,730.82,733.01,20175.0,0.0,1.0,73.35,741.24,730.82,733.01,20175.0
2014-09-17,739.0,739.0,731.84,733.34,21711.0,0.0,1.0,739.0,739.0,731.84,733.34,21711.0
2014-09-16,727.81,735.11,724.81,731.14,20260.0,0.0,1.0,727.81,735.11,724.81,731.14,20260.0
2014-09-15,707.98,732.0,708.0,726.24,73396.0,0.0,1.0,707.98,732.0,708.0,726.24,73396.0
2014-09-12,745.0,708.83,700.0,708.83,8828.0,0.0,1.0,745.0,708.83,700.0,708.83,8828.0
2014-09-11,699.63,720.0,699.25,711.54,22026.0,0.0,1.0,699.63,720.0,699.25,711.54,22026.0
2014-09-10,702.68,708.8,702.77,708.8,10668.0,0.0,1.0,702.68,708.8,702.77,708.8,10668.0
2014-09-09,707.02,707.05,701.03,705.35,15789.0,0.0,1.0,707.02,707.05,701.03,705.35,15789.0
2014-09-08,721.35,724.8,705.98,709.0,33827.0,0.0,1.0,721.35,724.8,705.98,709.0,33827.0
2014-09-05,723.02,723.88,711.73,720.86,18677.0,0.0,1.0,723.02,723.88,711.73,720.86,18677.0
2014-09-04,728.03,732.29,723.05,724.87,26704.0,0.0,1.0,728.03,732.29,723.05,724.87,26704.0
2014-09-03,738.52,738.565,726.57,728.53,15686.0,0.0,1.0,738.52,738.565,726.57,728.53,15686.0
2014-09-02,716.26,735.4,716.29,735.4,18085.0,0.0,1.0,716.26,735.4,716.29,735.4,18085.0
2014-08-29,702.56,718.93,700.71,718.8,55556.0,0.0,1.0,702.56,718.93,700.71,718.8,55556.0
2014-08-28,708.38,707.48,699.26,702.51,22400.0,0.0,1.0,708.38,707.48,699.26,702.51,22400.0
2014-08-27,718.68,718.67,700.18,709.61,21157.0,0.0,1.0,718.68,718.67,700.18,709.61,21157.0
2014-08-26,722.14,725.6,716.04,719.7,13229.0,0.0,1.0,722.14,725.6,716.04,719.7,13229.0
2014-08-25,727.02,726.98,721.84,725.0,7527.0,0.0,1.0,727.02,726.98,721.84,725.0,7527.0
2014-08-22,722.22,727.65,720.51,724.83,14850.0,0.0,1.0,722.22,727.65,720.51,724.83,14850.0
2014-08-21,721.02,725.0,716.0,725.0,11099.0,0.0,1.0,721.02,725.0,716.0,725.0,11099.0
2014-08-20,710.0,722.0,712.05,719.95,11259.0,0.0,1.0,710.0,722.0,712.05,719.95,11259.0
2014-08-19,721.6,724.22,717.02,717.09,12002.0,0.0,1.0,721.6,724.22,717.02,717.09,12002.0
