Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,244.35,244.8,237.76,237.92,489436.0,0.0,1.0,244.35,244.8,237.76,237.92,489436.0
2015-01-14,242.05,243.0,240.0,241.9,750664.0,0.0,1.0,242.05,243.0,240.0,241.9,750664.0
2015-01-13,246.54,247.98,241.33,243.44,397946.0,0.0,1.0,246.54,247.98,241.33,243.44,397946.0
2015-01-12,248.78,249.95,244.1,245.15,365636.0,0.0,1.0,248.78,249.95,244.1,245.15,365636.0
2015-01-08,248.74,251.225,247.38,251.14,452668.0,0.0,1.0,248.74,251.225,247.38,251.14,452668.0
2015-01-06,249.0,249.94,242.84,245.45,427054.0,0.0,1.0,249.0,249.94,242.84,245.45,427054.0
2015-01-05,253.23,254.34,248.181,248.98,393400.0,0.0,1.0,253.23,254.34,248.181,248.98,393400.0
2015-01-02,256.03,256.97,253.33,255.22,314821.0,0.0,1.0,256.03,256.97,253.33,255.22,314821.0
2014-12-31,258.35,259.0,254.51,254.89,445316.0,0.0,1.0,258.35,259.0,254.51,254.89,445316.0
2014-12-26,258.04,259.14,256.74,257.09,133181.0,0.0,1.0,258.04,259.14,256.74,257.09,133181.0
2014-12-24,257.05,258.4,256.48,256.98,158887.0,0.0,1.0,257.05,258.4,256.48,256.98,158887.0
2014-12-23,258.24,259.89,257.26,257.8,609405.0,0.0,1.0,258.24,259.89,257.26,257.8,609405.0
2014-12-22,257.9,259.03,256.13,258.22,377214.0,0.0,1.0,257.9,259.03,256.13,258.22,377214.0
2014-12-19,253.5,261.565,252.82,257.81,887288.0,0.0,1.0,253.5,261.565,252.82,257.81,887288.0
2014-12-18,247.48,252.3,246.24,252.23,564297.0,0.0,1.0,247.48,252.3,246.24,252.23,564297.0
2014-12-17,244.47,245.22,242.0,244.02,712199.0,0.0,1.0,244.47,245.22,242.0,244.02,712199.0
2014-12-16,244.11,249.23,242.42,244.23,323069.0,0.0,1.0,244.11,249.23,242.42,244.23,323069.0
2014-12-15,246.23,248.14,242.85,244.17,428761.0,0.0,1.0,246.23,248.14,242.85,244.17,428761.0
2014-12-11,243.06,247.14,241.28,246.16,462674.0,0.0,1.0,243.06,247.14,241.28,246.16,462674.0
2014-12-10,248.11,248.7099,241.08,242.65,517064.0,0.0,1.0,248.11,248.7099,241.08,242.65,517064.0
2014-12-09,248.015,249.65,247.27,249.46,267054.0,0.0,1.0,248.015,249.65,247.27,249.46,267054.0
2014-12-05,249.75,254.49,251.51,252.83,558739.0,0.0,1.0,249.75,254.49,251.51,252.83,558739.0
2014-12-04,247.85,251.1,246.81,250.57,443825.0,0.0,1.0,247.85,251.1,246.81,250.57,443825.0
2014-12-02,241.63,244.26,239.7,244.17,591688.0,0.0,1.0,241.63,244.26,239.7,244.17,591688.0
2014-12-01,244.99,245.31,242.12,242.46,555437.0,0.0,1.0,244.99,245.31,242.12,242.46,555437.0
2014-11-28,248.13,248.84,245.33,245.68,290019.0,0.0,1.0,248.13,248.84,245.33,245.68,290019.0
2014-11-26,249.12,249.31,246.71,247.16,327558.0,0.0,1.0,249.12,249.31,246.71,247.16,327558.0
2014-11-25,250.55,250.6,248.34,249.24,299160.0,0.0,1.0,250.55,250.6,248.34,249.24,299160.0
2014-11-24,249.0,251.04,247.58,250.85,362644.0,0.0,1.0,249.0,251.04,247.58,250.85,362644.0
2014-11-21,246.71,248.95,246.71,248.21,516889.0,0.0,1.0,246.71,248.95,246.71,248.21,516889.0
2014-11-20,242.86,246.425,243.37,244.87,310331.0,0.0,1.0,242.86,246.425,243.37,244.87,310331.0
2014-11-19,243.36,244.84,241.98,244.34,320888.0,0.0,1.0,243.36,244.84,241.98,244.34,320888.0
2014-11-18,245.32,246.2499,242.97,243.33,327801.0,0.0,1.0,245.32,246.2499,242.97,243.33,327801.0
2014-11-17,245.84,245.96,243.92,244.44,284937.0,0.0,1.0,245.84,245.96,243.92,244.44,284937.0
2014-11-14,244.14,247.01,243.65,246.27,234474.0,0.0,1.0,244.14,247.01,243.65,246.27,234474.0
2014-11-13,246.52,246.728,243.95,244.37,405665.0,0.0,1.0,246.52,246.728,243.95,244.37,405665.0
2014-11-12,245.45,248.21,245.12,246.77,803065.0,0.0,1.0,245.45,248.21,245.12,246.77,803065.0
2014-11-11,249.18,249.23,245.34,246.31,492808.0,0.0,1.0,249.18,249.23,245.34,246.31,492808.0
2014-11-10,251.39,252.27,247.33,248.77,584927.0,0.0,1.0,251.39,252.27,247.33,248.77,584927.0
2014-11-07,252.79,254.84,252.23,254.81,313705.0,0.0,1.0,252.79,254.84,252.23,254.81,313705.0
2014-11-06,252.33,255.08,251.1325,254.77,378963.0,1.08,1.0,249.49237248388,255.08,251.1325,254.77,378963.0
2014-11-04,245.81,249.9,247.01,249.43,360600.0,0.0,1.0,244.77238108267,248.84511627907,245.96731561462,248.37710025406,360600.0
2014-11-03,247.81,248.39,245.95,247.6,409509.0,0.0,1.0,246.76393863592,247.34149032636,244.91179011139,246.55482509283,409509.0
2014-10-31,246.41,248.02,245.77,246.8,454890.0,0.0,1.0,245.36984834864,246.97305217901,244.7325499316,245.75820207153,454890.0
2014-10-30,241.28,244.63,240.6,243.86,285561.0,0.0,1.0,240.26150322455,243.59736212625,239.58437365644,242.83061246824,285561.0
2014-10-29,242.88,243.94,240.94,242.19,441047.0,0.0,1.0,241.85474926715,242.91027477037,239.92293844049,241.16766191128,441047.0
2014-10-28,240.38,243.13,239.06,242.63,386175.0,0.0,1.0,239.36530232558,242.10369396131,238.05087434043,241.60580457299,386175.0
2014-10-27,237.05,238.78,235.45,238.42,304335.0,0.0,1.0,236.04935899941,237.77205628298,234.45611295681,237.41357592339,304335.0
2014-10-24,235.79,238.31,234.25,237.78,285672.0,0.0,1.0,234.79467774086,237.30404025796,233.26117842486,236.77627750635,285672.0
2014-10-23,234.88,236.67,233.28,235.38,610834.0,0.0,1.0,233.88851905413,235.6709630643,232.29527301153,234.38640844245,610834.0
2014-10-22,235.02,235.07,231.43,231.54,758557.0,0.0,1.0,234.02792808286,234.07771702169,230.45308227477,230.5626179402,758557.0
2014-10-21,231.32,235.23,231.32,234.5,1208175.0,0.0,1.0,230.34354660934,234.23704162595,230.34354660934,233.51012311902,1208175.0
2014-10-20,230.82,232.26,229.37,230.42,775709.0,0.0,1.0,229.84565722103,231.27957865937,228.40177799492,229.44734571038,775709.0
2014-10-17,232.82,233.81,230.16,231.9,1405478.0,0.0,1.0,231.83721477428,232.82303576314,229.18844322845,230.92109829979,1405478.0
2014-10-16,228.01,237.49,223.92,229.72,1524201.0,0.0,1.0,227.04751885871,236.48750166113,222.9747836623,228.75030056674,1524201.0
2014-10-15,235.56,241.55,232.3,239.16,859241.0,0.0,1.0,234.56564862224,240.53036349423,231.31940981044,238.1504522181,859241.0
2014-10-14,235.57,239.8,234.055,238.69,997916.0,0.0,1.0,234.57560641001,238.78775063514,233.06700156342,237.68243619308,997916.0
2014-10-13,239.95,240.66,233.64,234.2,599010.0,0.0,1.0,238.93711745163,239.64412038304,232.65375337112,233.21138948603,599010.0
2014-10-10,245.35,245.35,239.01,240.69,702429.0,0.0,1.0,244.31432284542,244.31432284542,238.0010854016,239.67399374634,702429.0
2014-10-09,251.31,252.99,245.636,246.15,358896.0,0.0,1.0,250.24916435411,251.92207269885,244.59911557553,245.11094586672,358896.0
2014-10-08,250.3,252.31,247.35,252.19,504299.0,0.0,1.0,249.24342778972,251.24494313074,246.30588039867,251.12544967755,504299.0
2014-10-07,253.19,254.83,249.58,249.75,511164.0,0.0,1.0,252.12122845417,253.75430564784,248.52646707055,248.69574946258,511164.0
2014-10-06,256.48,258.19,254.38,255.54,464581.0,0.0,1.0,255.39734062927,257.10012233731,253.30620519836,254.46130857925,464581.0
2014-10-03,253.99,257.29,252.96,255.27,521558.0,0.0,1.0,252.91785147547,256.20392143834,251.89219933555,254.19244830956,521558.0
2014-10-02,250.47,253.33,250.85,252.8,474484.0,0.0,1.0,249.41271018175,252.2606374829,249.79110611687,251.73287473129,474484.0
2014-10-01,251.16,251.67,249.835,250.63,606619.0,0.0,1.0,250.09979753762,250.6076447137,248.78039065859,249.57203478601,606619.0
2014-09-30,252.72,254.75,251.03,251.65,409746.0,0.0,1.0,251.65321242916,253.67464334571,249.97034629666,250.58772913817,409746.0
2014-09-29,250.73,253.32,249.8,252.02,369401.0,0.0,1.0,249.67161266367,252.25067969513,248.74553840141,250.95616728552,369401.0
2014-09-26,250.74,253.2,250.34,252.02,236216.0,0.0,1.0,249.68157045144,252.13118624194,249.28325894079,250.95616728552,236216.0
2014-09-25,252.55,252.3399,250.13,250.13,425758.0,0.0,1.0,251.48393003713,251.27471691616,249.07414539769,249.07414539769,425758.0
2014-09-24,251.31,254.34,251.2,252.65,336696.0,0.0,1.0,250.24916435411,253.26637404729,250.13962868868,251.58350791479,336696.0
2014-09-23,250.01,252.47,250.1101,251.62,422974.0,0.0,1.0,248.9546519445,251.404267735,249.05432940004,250.55785577487,422974.0
2014-09-22,252.82,253.5,250.63,251.32,297149.0,0.0,1.0,251.75279030682,252.42991987493,249.57203478601,250.25912214188,297149.0
2014-09-19,254.08,254.57,252.17,253.42,415572.0,0.0,1.0,253.00747156537,253.49540316592,251.10553410201,252.3502575728,415572.0
2014-09-18,250.82,253.49,250.14,253.08,317726.0,0.0,1.0,249.76123275357,252.41996208716,249.08410318546,252.01169278874,317726.0
2014-09-17,247.95,251.49,248.92,250.3,494849.0,0.0,1.0,246.90334766465,250.42840453391,247.86925307798,249.24342778972,494849.0
2014-09-16,247.95,249.01,245.82,248.67,444513.0,0.0,1.0,246.90334766465,247.95887316787,244.78233887043,247.62030838382,444513.0
