Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,38.85,39.13,37.27,37.33,19479417.0,0.0,1.0,38.85,39.13,37.27,37.33,19479417.0
2015-01-14,37.94,38.43,37.36,38.34,27951984.0,0.0,1.0,37.94,38.43,37.36,38.34,27951984.0
2015-01-13,38.63,39.45,38.25,38.29,22195533.0,0.0,1.0,38.63,39.45,38.25,38.29,22195533.0
2015-01-12,38.8,38.98,38.28,38.54,25704350.0,0.0,1.0,38.8,38.98,38.28,38.54,25704350.0
2015-01-08,39.76,40.4,39.1,40.21,19965934.0,0.0,1.0,39.76,40.4,39.1,40.21,19965934.0
2015-01-06,38.41,38.73,38.07,38.33,20424192.0,0.0,1.0,38.41,38.73,38.07,38.33,20424192.0
2015-01-05,38.88,38.955,38.22,38.71,19698222.0,0.0,1.0,38.88,38.955,38.22,38.71,19698222.0
2015-01-02,39.07,39.94,38.97,39.49,11558821.0,0.0,1.0,39.07,39.94,38.97,39.49,11558821.0
2014-12-31,39.23,39.85,38.61,39.33,12104837.0,0.0,1.0,39.23,39.85,38.61,39.33,12104837.0
2014-12-30,40.08,40.12,39.53,39.53,12172966.0,0.0,1.0,40.08,40.12,39.53,39.53,12172966.0
2014-12-26,40.13,40.3,39.46,39.73,10759910.0,0.0,1.0,40.13,40.3,39.46,39.73,10759910.0
2014-12-24,39.68,40.05,39.16,39.7,8371001.0,0.0,1.0,39.68,40.05,39.16,39.7,8371001.0
2014-12-23,39.79,40.04,39.23,39.88,15034999.0,0.0,1.0,39.79,40.04,39.23,39.88,15034999.0
2014-12-22,40.32,40.44,39.44,39.68,18999904.0,0.0,1.0,40.32,40.44,39.44,39.68,18999904.0
2014-12-19,39.6,40.57,39.34,40.49,24461038.0,0.0,1.0,39.6,40.57,39.34,40.49,24461038.0
2014-12-18,40.81,40.84,38.5,39.23,30746017.0,0.0,1.0,40.81,40.84,38.5,39.23,30746017.0
2014-12-17,38.24,40.09,37.57,39.44,31819443.0,0.0,1.0,38.24,40.09,37.57,39.44,31819443.0
2014-12-16,37.42,39.7,37.21,38.11,28337255.0,0.0,1.0,37.42,39.7,37.21,38.11,28337255.0
2014-12-15,38.43,38.74,37.745,37.82,25786576.0,0.0,1.0,38.43,38.74,37.745,37.82,25786576.0
2014-12-11,38.03,39.13,38.03,38.23,22625217.0,0.0,1.0,38.03,39.13,38.03,38.23,22625217.0
2014-12-10,38.46,39.2,37.84,38.12,35156619.0,0.0,1.0,38.46,39.2,37.84,38.12,35156619.0
2014-12-09,38.04,39.69,37.87,39.5,33215809.0,0.0,1.0,38.04,39.69,37.87,39.5,33215809.0
2014-12-05,40.81,41.02,40.03,40.37,30026039.0,0.0,1.0,40.81,41.02,40.03,40.37,30026039.0
2014-12-04,40.47,41.28,40.02,40.74,32535947.0,0.0,1.0,40.47,41.28,40.02,40.74,32535947.0
2014-12-02,41.29,41.44,40.2,40.34,39354581.0,0.0,1.0,41.29,41.44,40.2,40.34,39354581.0
2014-12-01,42.0,42.13,40.25,41.21,39876915.0,0.0,1.0,42.0,42.13,40.25,41.21,39876915.0
2014-11-28,44.36,44.37,41.87,42.2,34469632.0,0.0,1.0,44.36,44.37,41.87,42.2,34469632.0
2014-11-26,48.15,48.19,47.124,47.34,22830449.0,0.0,1.0,48.15,48.19,47.124,47.34,22830449.0
2014-11-25,50.29,50.33,48.185,48.26,27148120.0,0.0,1.0,50.29,50.33,48.185,48.26,27148120.0
2014-11-24,50.51,50.98,49.51,49.88,21001660.0,0.0,1.0,50.51,50.98,49.51,49.88,21001660.0
2014-11-21,50.3,51.13,49.8,50.63,30507750.0,0.0,1.0,50.3,51.13,49.8,50.63,30507750.0
2014-11-20,48.74,49.46,48.39,49.21,23253045.0,0.0,1.0,48.74,49.46,48.39,49.21,23253045.0
2014-11-19,48.77,48.94,47.74,48.43,31645932.0,0.0,1.0,48.77,48.94,47.74,48.43,31645932.0
