Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,52.27,52.46,51.77,51.96,1287525.0,0.0,1.0,52.27,52.46,51.77,51.96,1287525.0
2015-01-14,51.72,52.4,51.57,52.2,1467414.0,0.0,1.0,51.72,52.4,51.57,52.2,1467414.0
2015-01-13,52.48,53.18,51.42,51.91,1414099.0,0.0,1.0,52.48,53.18,51.42,51.91,1414099.0
2015-01-12,52.92,53.01,52.3,52.61,1790644.0,0.0,1.0,52.92,53.01,52.3,52.61,1790644.0
2015-01-08,54.94,55.015,53.75,55.0,1788958.0,0.0,1.0,54.94,55.015,53.75,55.0,1788958.0
2015-01-06,55.39,55.58,54.395,54.41,902866.0,0.0,1.0,55.39,55.58,54.395,54.41,902866.0
2015-01-05,54.81,55.3,54.6,55.13,1052142.0,0.0,1.0,54.81,55.3,54.6,55.13,1052142.0
2015-01-02,55.45,55.82,54.57,54.97,841984.0,0.0,1.0,55.45,55.82,54.57,54.97,841984.0
2014-12-31,55.12,55.468,54.92,54.99,872724.0,0.0,1.0,55.12,55.468,54.92,54.99,872724.0
2014-12-30,55.79,55.99,54.98,55.035,1144679.0,0.0,1.0,55.79,55.99,54.98,55.035,1144679.0
2014-12-26,55.2,55.78,55.1,55.54,463749.0,0.0,1.0,55.2,55.78,55.1,55.54,463749.0
2014-12-24,55.49,55.74,55.215,55.25,331817.0,0.0,1.0,55.49,55.74,55.215,55.25,331817.0
2014-12-23,54.63,56.06,54.56,55.21,2177188.0,0.0,1.0,54.63,56.06,54.56,55.21,2177188.0
2014-12-22,54.82,54.985,54.0,54.33,1581981.0,0.0,1.0,54.82,54.985,54.0,54.33,1581981.0
2014-12-19,58.0,58.07,54.42,54.63,5056267.0,0.0,1.0,58.0,58.07,54.42,54.63,5056267.0
2014-12-18,58.06,58.37,57.5801,58.36,1065708.0,0.0,1.0,58.06,58.37,57.5801,58.36,1065708.0
2014-12-17,57.22,57.86,56.81,57.37,1333459.0,0.0,1.0,57.22,57.86,56.81,57.37,1333459.0
2014-12-16,56.05,57.3,56.05,56.9,1855182.0,0.0,1.0,56.05,57.3,56.05,56.9,1855182.0
2014-12-15,56.46,57.04,55.6,56.2,1202551.0,0.0,1.0,56.46,57.04,55.6,56.2,1202551.0
2014-12-11,55.63,56.82,55.63,56.3,670411.0,0.0,1.0,55.63,56.82,55.63,56.3,670411.0
2014-12-10,56.38,56.83,55.49,55.55,1237381.0,0.0,1.0,56.38,56.83,55.49,55.55,1237381.0
2014-12-09,55.98,56.52,55.84,56.37,1493515.0,0.0,1.0,55.98,56.52,55.84,56.37,1493515.0
2014-12-05,56.92,57.58,56.65,57.2,920930.0,0.0,1.0,56.92,57.58,56.65,57.2,920930.0
2014-12-04,56.98,57.2399,56.64,56.75,1715171.0,0.0,1.0,56.98,57.2399,56.64,56.75,1715171.0
2014-12-02,57.43,58.02,57.285,57.46,909897.0,0.0,1.0,57.43,58.02,57.285,57.46,909897.0
2014-12-01,58.62,59.0,57.43,57.46,1414549.0,0.0,1.0,58.62,59.0,57.43,57.46,1414549.0
2014-11-28,58.7,59.42,58.48,59.2,750538.0,0.0,1.0,58.7,59.42,58.48,59.2,750538.0
2014-11-26,57.66,58.31,57.14,58.14,1271446.0,0.0,1.0,57.66,58.31,57.14,58.14,1271446.0
2014-11-25,56.89,57.65,56.7938,57.535,1228656.0,0.0,1.0,56.89,57.65,56.7938,57.535,1228656.0
2014-11-24,57.06,57.23,56.15,56.66,1587627.0,0.0,1.0,57.06,57.23,56.15,56.66,1587627.0
2014-11-21,57.08,57.2,56.45,56.69,1274702.0,0.0,1.0,57.08,57.2,56.45,56.69,1274702.0
2014-11-20,56.0,56.665,55.95,56.51,1076197.0,0.0,1.0,56.0,56.665,55.95,56.51,1076197.0
2014-11-19,56.11,56.45,55.92,56.13,858428.0,0.0,1.0,56.11,56.45,55.92,56.13,858428.0
2014-11-18,56.19,56.65,55.86,56.12,1102613.0,0.0,1.0,56.19,56.65,55.86,56.12,1102613.0
2014-11-17,56.25,57.225,55.92,56.37,2112173.0,0.0,1.0,56.25,57.225,55.92,56.37,2112173.0
2014-11-14,55.5,55.87,53.74,54.02,1868169.0,0.0,1.0,55.5,55.87,53.74,54.02,1868169.0
2014-11-13,56.09,56.1,54.15,54.98,3957182.0,0.0,1.0,56.09,56.1,54.15,54.98,3957182.0
2014-11-12,56.58,57.57,56.51,57.47,1082304.0,0.0,1.0,56.58,57.57,56.51,57.47,1082304.0
2014-11-11,191.81,192.68,190.53,191.88,1620115.0,0.0,1.0,191.81,192.68,190.53,191.88,1620115.0
2014-11-10,190.51,191.87,190.51,191.8,1543900.0,0.0,1.0,190.51,191.87,190.51,191.8,1543900.0
2014-11-07,58.03,58.39,57.72,57.98,853666.0,0.0,1.0,58.03,58.39,57.72,57.98,853666.0
2014-11-06,57.99,58.41,57.64,58.12,1041199.0,0.0,1.0,57.99,58.41,57.64,58.12,1041199.0
2014-11-04,57.56,57.93,57.19,57.36,741159.0,0.0,1.0,57.56,57.93,57.19,57.36,741159.0
2014-11-03,57.69,57.69,57.15,57.64,803878.0,0.0,1.0,57.69,57.69,57.15,57.64,803878.0
2014-10-31,57.5,57.96,57.37,57.53,1107807.0,0.0,1.0,57.5,57.96,57.37,57.53,1107807.0
2014-10-30,56.97,57.52,56.7405,57.18,911410.0,0.43,1.0,56.97,57.52,56.7405,57.18,911410.0
2014-10-29,57.79,57.969,57.31,57.62,678482.0,0.0,1.0,57.358656483249,57.536320430481,56.882239194584,57.189925360181,678482.0
2014-10-28,57.45,57.83,57.16,57.73,916726.0,0.0,1.0,57.021194237112,57.398357923972,56.733358791876,57.299104322166,916726.0
2014-10-27,57.5,57.73,57.17,57.31,1062363.0,0.0,1.0,57.070821038014,57.299104322166,56.743284152057,56.882239194584,1062363.0
2014-10-24,57.49,57.875,57.33,57.605,715083.0,0.0,1.0,57.060895677834,57.443022044784,56.902089914945,57.17503731991,715083.0
2014-10-23,57.43,57.825,57.3,57.48,1173897.0,0.0,1.0,57.001343516751,57.393395243881,56.872313834404,57.050970317653,1173897.0
2014-10-22,57.85,58.06,56.83,56.91,1470544.0,0.0,1.0,57.418208644333,57.626641208124,56.405821905919,56.485224787363,1470544.0
2014-10-21,56.84,58.04,56.46,57.72,2876684.0,0.0,1.0,56.4157472661,57.606790487763,56.03858357924,57.289178961986,2876684.0
2014-10-20,53.89,57.16,53.87,56.51,3102659.0,0.0,1.0,53.487766012845,56.733358791876,53.467915292484,56.088210380142,3102659.0
2014-10-17,54.51,54.8,53.85,53.85,2192156.0,0.0,1.0,54.103138344037,54.390973789273,53.448064572123,53.448064572123,2192156.0
2014-10-16,54.03,54.32,52.74,54.21,1758353.0,0.0,1.0,53.626721055372,53.914556500608,52.346349592085,53.805377538622,1758353.0
2014-10-15,54.18,54.89,53.42,54.33,1978105.0,0.0,1.0,53.77560145808,54.480302030897,53.02127408436,53.924481860788,1978105.0
2014-10-14,54.91,55.5,54.7,54.83,1107441.0,0.0,1.0,54.500152751258,55.085749001909,54.291720187467,54.420749869814,1107441.0
2014-10-13,54.9,55.21,54.58,54.66,1113307.0,0.0,1.0,54.490227391078,54.797913556674,54.172615865301,54.252018746745,1113307.0
2014-10-10,54.97,55.49,54.51,55.0,970745.0,0.0,1.0,54.559704912342,55.075823641729,54.103138344037,54.589480992883,970745.0
2014-10-09,55.51,55.96,54.81,54.85,744082.0,0.0,1.0,55.09567436209,55.542315570214,54.400899149453,54.440600590175,744082.0
2014-10-08,54.8,55.61,54.65,55.52,802270.0,0.0,1.0,54.390973789273,55.194927963895,54.242093386565,55.10559972227,802270.0
2014-10-07,54.91,55.18,54.65,54.755,1257009.0,0.0,1.0,54.500152751258,54.768137476133,54.242093386565,54.34630966846,1257009.0
2014-10-06,55.59,56.09,54.89,55.1,1203821.0,0.0,1.0,55.175077243534,55.67134525256,54.480302030897,54.688734594688,1203821.0
2014-10-03,55.59,56.06,55.39,55.42,932596.0,0.0,1.0,55.175077243534,55.641569172019,54.976570039924,55.006346120465,932596.0
2014-10-02,54.78,55.34,54.535,55.26,739082.0,0.0,1.0,54.371123068912,54.926943239021,54.127951744489,54.847540357577,739082.0
2014-10-01,55.04,55.37,54.57,54.85,1533858.0,0.0,1.0,54.629182433605,54.956719319563,54.162690505121,54.440600590175,1533858.0
2014-09-30,55.05,55.39,54.74,54.995,942651.0,0.0,1.0,54.639107793786,54.976570039924,54.33142162819,54.584518312793,942651.0
2014-09-29,54.8,55.27,54.7,55.05,809543.0,0.0,1.0,54.390973789273,54.857465717757,54.291720187467,54.639107793786,809543.0
2014-09-26,54.83,55.61,54.6,55.33,966067.0,0.0,1.0,54.420749869814,55.194927963895,54.192466585662,54.91701787884,966067.0
2014-09-25,54.92,55.3699,54.32,54.65,986638.0,0.0,1.0,54.510078111439,54.956620065961,53.914556500608,54.242093386565,986638.0
2014-09-24,52.93,55.78,52.86,54.95,2861469.0,0.0,1.0,52.534931435515,55.363659086964,52.465453914251,54.539854191981,2861469.0
2014-09-23,53.32,53.47,52.87,52.94,498262.0,0.0,1.0,52.922020482555,53.070900885263,52.475379274432,52.544856795695,498262.0
2014-09-22,54.12,54.325,53.37,53.41,704297.0,0.0,1.0,53.716049296997,53.919519180698,52.971647283458,53.01134872418,704297.0
2014-09-19,54.16,54.61,53.88,54.12,1284023.0,0.0,1.0,53.755750737719,54.202391945843,53.477840652664,53.716049296997,1284023.0
2014-09-18,53.96,53.99,53.57,53.91,405274.0,0.0,1.0,53.557243534109,53.58701961465,53.170154487068,53.507616733206,405274.0
2014-09-17,53.4,54.03,53.25,53.77,805464.0,0.0,1.0,53.001423363999,53.626721055372,52.852542961291,53.368661690679,805464.0
