Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,9.05,9.28,9.035,9.05,3271610.0,0.0,1.0,9.05,9.28,9.035,9.05,3271610.0
2015-01-14,9.4,9.41,8.99,9.19,5091034.0,0.0,1.0,9.4,9.41,8.99,9.19,5091034.0
2015-01-13,9.5,9.63,9.47,9.51,3576661.0,0.0,1.0,9.5,9.63,9.47,9.51,3576661.0
2015-01-12,9.53,9.54,9.38,9.46,2462691.0,0.0,1.0,9.53,9.54,9.38,9.46,2462691.0
2015-01-08,9.66,9.81,9.56,9.79,2199115.0,0.0,1.0,9.66,9.81,9.56,9.79,2199115.0
2015-01-06,9.74,9.8,9.505,9.56,3265576.0,0.0,1.0,9.74,9.8,9.505,9.56,3265576.0
2015-01-05,10.06,10.07,9.72,9.755,2179764.0,0.0,1.0,10.06,10.07,9.72,9.755,2179764.0
2015-01-02,10.2,10.24,10.03,10.12,1571419.0,0.0,1.0,10.2,10.24,10.03,10.12,1571419.0
2014-12-31,10.28,10.3,10.12,10.12,1469861.0,0.0,1.0,10.28,10.3,10.12,10.12,1469861.0
2014-12-26,10.24,10.25,9.87,10.14,684236.0,0.0,1.0,10.24,10.25,9.87,10.14,684236.0
2014-12-24,10.26,10.27,10.18,10.18,813429.0,0.0,1.0,10.26,10.27,10.18,10.18,813429.0
2014-12-23,10.12,10.26,10.12,10.25,1844674.0,0.0,1.0,10.12,10.26,10.12,10.25,1844674.0
2014-12-22,10.03,10.1,9.95,10.09,1592304.0,0.0,1.0,10.03,10.1,9.95,10.09,1592304.0
2014-12-19,9.93,10.07,9.93,10.01,4591812.0,0.0,1.0,9.93,10.07,9.93,10.01,4591812.0
2014-12-18,9.78,9.95,9.75,9.94,4288660.0,0.0,1.0,9.78,9.95,9.75,9.94,4288660.0
2014-12-17,9.49,9.71,9.45,9.66,4388806.0,0.0,1.0,9.49,9.71,9.45,9.66,4388806.0
2014-12-16,9.44,9.61,9.43,9.45,5423449.0,0.0,1.0,9.44,9.61,9.43,9.45,5423449.0
2014-12-15,9.59,9.66,9.53,9.57,4577074.0,0.0,1.0,9.59,9.66,9.53,9.57,4577074.0
2014-12-11,9.73,9.9,9.73,9.765,2124186.0,0.0,1.0,9.73,9.9,9.73,9.765,2124186.0
2014-12-10,10.03,10.05,9.73,9.74,3034852.0,0.0,1.0,10.03,10.05,9.73,9.74,3034852.0
2014-12-09,9.8,10.05,9.73,10.04,4318152.0,0.0,1.0,9.8,10.05,9.73,10.04,4318152.0
2014-12-05,9.91,10.02,9.89,9.93,2013074.0,0.0,1.0,9.91,10.02,9.89,9.93,2013074.0
2014-12-04,9.89,9.95,9.85,9.89,1467314.0,0.0,1.0,9.89,9.95,9.85,9.89,1467314.0
2014-12-02,9.64,9.81,9.62,9.76,3095320.0,0.0,1.0,9.64,9.81,9.62,9.76,3095320.0
2014-12-01,9.78,9.8,9.64,9.65,6497631.0,0.0,1.0,9.78,9.8,9.64,9.65,6497631.0
2014-11-28,9.83,9.85,9.76,9.79,1020652.0,0.0,1.0,9.83,9.85,9.76,9.79,1020652.0
2014-11-26,9.8,9.86,9.74,9.8,3652797.0,0.0,1.0,9.8,9.86,9.74,9.8,3652797.0
2014-11-25,9.78,9.83,9.74,9.785,2619831.0,0.0,1.0,9.78,9.83,9.74,9.785,2619831.0
2014-11-24,9.66,9.78,9.62,9.77,1201205.0,0.0,1.0,9.66,9.78,9.62,9.77,1201205.0
2014-11-21,9.83,9.83,9.63,9.63,3423085.0,0.0,1.0,9.83,9.83,9.63,9.63,3423085.0
2014-11-20,9.6,9.7875,9.6,9.78,2869938.0,0.0,1.0,9.6,9.7875,9.6,9.78,2869938.0
2014-11-19,9.68,9.73,9.55,9.65,7080216.0,0.0,1.0,9.68,9.73,9.55,9.65,7080216.0
2014-11-18,9.66,9.7501,9.66,9.72,2181917.0,0.0,1.0,9.66,9.7501,9.66,9.72,2181917.0
2014-11-17,9.76,9.805,9.66,9.68,3477160.0,0.0,1.0,9.76,9.805,9.66,9.68,3477160.0
2014-11-14,9.84,9.91,9.79,9.82,1205206.0,0.0,1.0,9.84,9.91,9.79,9.82,1205206.0
2014-11-13,9.91,9.94,9.84,9.87,1690087.0,0.0,1.0,9.91,9.94,9.84,9.87,1690087.0
2014-11-12,9.82,9.92,9.79,9.9,1965223.0,0.0,1.0,9.82,9.92,9.79,9.9,1965223.0
2014-11-11,9.76,9.85,9.76,9.85,2311285.0,0.0,1.0,9.76,9.85,9.76,9.85,2311285.0
2014-11-10,9.76,9.87,9.74,9.75,2239634.0,0.0,1.0,9.76,9.87,9.74,9.75,2239634.0
2014-11-07,9.72,9.83,9.6968,9.8,1993474.0,0.0,1.0,9.72,9.83,9.6968,9.8,1993474.0
2014-11-06,9.69,9.785,9.67,9.76,1927746.0,0.0,1.0,9.69,9.785,9.67,9.76,1927746.0
2014-11-04,9.6,9.62,9.49,9.58,1292764.0,0.0,1.0,9.6,9.62,9.49,9.58,1292764.0
2014-11-03,9.62,9.74,9.57,9.62,1907167.0,0.0,1.0,9.62,9.74,9.57,9.62,1907167.0
2014-10-31,9.51,9.67,9.45,9.65,6114643.0,0.0,1.0,9.51,9.67,9.45,9.65,6114643.0
2014-10-30,9.41,9.48,9.3101,9.42,4217688.0,0.0,1.0,9.41,9.48,9.3101,9.42,4217688.0
2014-10-29,9.34,9.41,9.25,9.41,4396668.0,0.0,1.0,9.34,9.41,9.25,9.41,4396668.0
2014-10-28,9.22,9.33,9.21,9.32,5587669.0,0.0,1.0,9.22,9.33,9.21,9.32,5587669.0
2014-10-27,9.14,9.23,9.06,9.21,2879066.0,0.0,1.0,9.14,9.23,9.06,9.21,2879066.0
2014-10-24,9.08,9.17,9.04,9.14,2204165.0,0.0,1.0,9.08,9.17,9.04,9.14,2204165.0
2014-10-23,8.97,9.07,8.93,9.06,5850871.0,0.0,1.0,8.97,9.07,8.93,9.06,5850871.0
2014-10-22,8.93,9.01,8.87,8.9,4245411.0,0.0,1.0,8.93,9.01,8.87,8.9,4245411.0
2014-10-21,8.88,9.02,8.87,8.9,3525867.0,0.0,1.0,8.88,9.02,8.87,8.9,3525867.0
2014-10-20,8.89,8.9575,8.79,8.85,2778175.0,0.0,1.0,8.89,8.9575,8.79,8.85,2778175.0
2014-10-17,9.1,9.2,8.82,8.88,8217208.0,0.0,1.0,9.1,9.2,8.82,8.88,8217208.0
2014-10-16,8.68,9.12,8.53,9.05,6123669.0,0.0,1.0,8.68,9.12,8.53,9.05,6123669.0
2014-10-15,9.38,9.44,8.83,8.87,8213270.0,0.0,1.0,9.38,9.44,8.83,8.87,8213270.0
2014-10-14,9.34,9.51,9.34,9.42,1764585.0,0.0,1.0,9.34,9.51,9.34,9.42,1764585.0
2014-10-13,9.43,9.52,9.34,9.34,1965010.0,0.0,1.0,9.43,9.52,9.34,9.34,1965010.0
2014-10-10,9.57,9.65,9.44,9.45,4331253.0,0.0,1.0,9.57,9.65,9.44,9.45,4331253.0
2014-10-09,9.76,9.76,9.55,9.55,3908982.0,0.0,1.0,9.76,9.76,9.55,9.55,3908982.0
2014-10-08,9.47,9.76,9.43,9.76,3491037.0,0.0,1.0,9.47,9.76,9.43,9.76,3491037.0
2014-10-07,9.53,9.55,9.44,9.47,5695503.0,0.0,1.0,9.53,9.55,9.44,9.47,5695503.0
2014-10-06,9.77,9.79,9.55,9.55,2257513.0,0.0,1.0,9.77,9.79,9.55,9.55,2257513.0
2014-10-03,9.75,9.83,9.72,9.73,3331586.0,0.0,1.0,9.75,9.83,9.72,9.73,3331586.0
2014-10-01,9.73,9.78,9.66,9.69,3228782.0,0.0,1.0,9.73,9.78,9.66,9.69,3228782.0
2014-09-30,9.82,9.87,9.72,9.72,2692608.0,0.0,1.0,9.82,9.87,9.72,9.72,2692608.0
2014-09-29,9.82,9.88,9.8,9.83,1348882.0,0.0,1.0,9.82,9.88,9.8,9.83,1348882.0
2014-09-26,9.89,9.92,9.801,9.89,1613438.0,0.0,1.0,9.89,9.92,9.801,9.89,1613438.0
