Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,81.96,83.25,81.36,83.17,3079178.0,0.0,1.0,81.96,83.25,81.36,83.17,3079178.0
2015-01-14,80.49,81.94,80.46,81.9,2295506.0,0.0,1.0,80.49,81.94,80.46,81.9,2295506.0
2015-01-13,80.65,81.3334,80.39,80.87,1906919.0,0.0,1.0,80.65,81.3334,80.39,80.87,1906919.0
2015-01-12,79.53,80.83,79.69,80.69,1641127.0,0.0,1.0,79.53,80.83,79.69,80.69,1641127.0
2015-01-08,80.09,80.202,78.54,79.41,2458172.0,0.0,1.0,80.09,80.202,78.54,79.41,2458172.0
2015-01-06,78.01,79.41,75.31,79.01,2896346.0,0.0,1.0,78.01,79.41,75.31,79.01,2896346.0
2015-01-05,76.71,78.1,76.425,77.9,2064827.0,0.0,1.0,76.71,78.1,76.425,77.9,2064827.0
2015-01-02,76.05,77.2,75.99,76.95,1793687.0,0.0,1.0,76.05,77.2,75.99,76.95,1793687.0
2014-12-31,77.21,77.6361,75.56,75.67,1687849.0,0.0,1.0,77.21,77.6361,75.56,75.67,1687849.0
2014-12-26,76.46,77.001,76.29,76.79,1025251.0,0.0,1.0,76.46,77.001,76.29,76.79,1025251.0
2014-12-24,76.685,77.28,76.06,76.1,930659.0,0.0,1.0,76.685,77.28,76.06,76.1,930659.0
2014-12-23,78.02,78.17,76.53,76.68,1810955.0,0.0,1.0,78.02,78.17,76.53,76.68,1810955.0
2014-12-22,76.5,78.115,76.5,77.98,2193983.0,0.0,1.0,76.5,78.115,76.5,77.98,2193983.0
2014-12-19,76.15,76.778,75.65,76.5,4054818.0,0.0,1.0,76.15,76.778,75.65,76.5,4054818.0
2014-12-18,76.77,77.08,75.18,76.26,3532272.0,0.0,1.0,76.77,77.08,75.18,76.26,3532272.0
2014-12-17,74.84,76.8,74.77,76.35,2840007.0,0.0,1.0,74.84,76.8,74.77,76.35,2840007.0
2014-12-16,75.18,75.49,74.42,74.48,2197965.0,0.0,1.0,75.18,75.49,74.42,74.48,2197965.0
2014-12-15,76.3,76.62,74.925,75.14,2412539.0,0.0,1.0,76.3,76.62,74.925,75.14,2412539.0
2014-12-11,76.35,76.88,76.08,76.37,1860807.0,0.0,1.0,76.35,76.88,76.08,76.37,1860807.0
2014-12-10,75.52,76.4,75.36,76.11,2694176.0,0.0,1.0,75.52,76.4,75.36,76.11,2694176.0
2014-12-09,74.46,76.08,74.46,75.55,1922856.0,0.0,1.0,74.46,76.08,74.46,75.55,1922856.0
2014-12-05,74.73,74.76,73.22,73.99,2033750.0,0.0,1.0,74.73,74.76,73.22,73.99,2033750.0
2014-12-04,74.98,75.39,74.525,75.24,1685898.0,0.0,1.0,74.98,75.39,74.525,75.24,1685898.0
2014-12-02,74.31,74.83,73.76,74.77,1612702.0,0.0,1.0,74.31,74.83,73.76,74.77,1612702.0
2014-12-01,73.54,75.0,73.4307,74.51,2039205.0,0.0,1.0,73.54,75.0,73.4307,74.51,2039205.0
2014-11-28,73.23,74.38,72.95,73.66,1243511.0,0.0,1.0,73.23,74.38,72.95,73.66,1243511.0
2014-11-26,72.45,73.1102,72.45,72.97,1609463.0,0.0,1.0,72.45,73.1102,72.45,72.97,1609463.0
2014-11-25,72.42,72.94,72.22,72.43,3173139.0,0.0,1.0,72.42,72.94,72.22,72.43,3173139.0
2014-11-24,72.89,73.07,72.18,72.29,1278759.0,0.0,1.0,72.89,73.07,72.18,72.29,1278759.0
2014-11-21,72.3,72.735,71.86,72.72,1830091.0,0.0,1.0,72.3,72.735,71.86,72.72,1830091.0
2014-11-20,71.69,71.76,70.94,71.68,2168534.0,0.0,1.0,71.69,71.76,70.94,71.68,2168534.0
2014-11-19,72.06,72.37,71.49,71.56,1904978.0,0.0,1.0,72.06,72.37,71.49,71.56,1904978.0
2014-11-18,72.06,72.81,71.77,72.43,1948655.0,0.0,1.0,72.06,72.81,71.77,72.43,1948655.0
2014-11-17,71.41,72.22,71.31,72.17,1645776.0,0.0,1.0,71.41,72.22,71.31,72.17,1645776.0
2014-11-14,70.91,71.5,70.78,71.17,1622160.0,0.0,1.0,70.91,71.5,70.78,71.17,1622160.0
2014-11-13,70.88,71.43,70.72,71.25,1126579.0,0.0,1.0,70.88,71.43,70.72,71.25,1126579.0
2014-11-12,70.95,71.07,70.34,70.72,1237323.0,0.0,1.0,70.95,71.07,70.34,70.72,1237323.0
2014-11-11,71.12,71.24,70.33,70.84,1211593.0,0.0,1.0,71.12,71.24,70.33,70.84,1211593.0
2014-11-10,70.6,71.3,70.49,71.14,2318003.0,0.0,1.0,70.6,71.3,70.49,71.14,2318003.0
2014-11-07,70.24,71.14,69.98,70.62,2663522.0,0.0,1.0,70.24,71.14,69.98,70.62,2663522.0
2014-11-06,70.87,71.215,70.13,70.16,3133537.0,0.795,1.0,71.410826580227,71.638249594814,70.362703121697,70.768109365091,3133537.0
2014-11-04,71.06,72.24,70.83,72.23,2422481.0,0.0,1.0,70.263823550137,71.430602494539,70.036400535551,71.420714537383,2422481.0
2014-11-03,71.31,71.37,70.74,71.3,2731439.0,0.0,1.0,70.511022479036,70.570350221972,69.947408921147,70.50113452188,2731439.0
2014-10-31,69.96,71.15,69.95,71.11,3005479.0,0.0,1.0,69.176148262984,70.352815164541,69.166260305828,70.313263335917,3005479.0
2014-10-30,69.09,70.115,68.9,70.08,1729766.0,0.0,1.0,68.315895990416,69.329411598901,68.128024804454,69.294803748855,1729766.0
2014-10-29,69.44,69.68,68.662,69.21,2062514.0,0.0,1.0,68.661974490874,68.899285462617,67.892691424142,68.434551476288,2062514.0
2014-10-28,69.41,69.71,68.99,69.7,1209068.0,0.0,1.0,68.632310619407,68.928949334085,68.217016418857,68.919061376929,1209068.0
2014-10-27,68.84,69.49,68.48,69.45,1830664.0,0.0,1.0,68.068697061518,68.711414276654,67.712730603904,68.67186244803,1830664.0
2014-10-24,68.82,68.935,68.39,68.86,1141461.0,0.0,1.0,68.048921147206,68.162632654499,67.6237389895,68.08847297583,1141461.0
2014-10-23,68.41,68.88,68.04,68.82,1882941.0,0.0,1.0,67.643514903812,68.108248890142,67.277660489042,68.048921147206,1882941.0
2014-10-22,68.16,68.62,67.78,68.26,1714501.0,0.0,1.0,67.396315974914,67.851162004087,67.020573602988,67.495195546473,1714501.0
2014-10-21,68.01,68.2,67.29,68.19,1946224.0,0.0,1.0,67.247996617575,67.435867803537,66.536063702347,67.425979846382,1946224.0
2014-10-20,66.98,68.06,66.69,68.05,1858694.0,0.0,1.0,66.229537030512,67.297436403354,65.94278627299,67.287548446198,1858694.0
2014-10-17,67.77,67.89,66.2,67.0,2650271.0,0.0,1.0,67.010685645832,67.129341131703,65.458276372349,66.249312944824,2650271.0
2014-10-16,67.23,67.86,67.07,67.55,2598906.0,0.0,1.0,66.476735959411,67.099677260235,66.318528644916,66.793150588401,2598906.0
2014-10-15,67.27,67.89,66.78,67.66,3171622.0,0.0,1.0,66.516287788035,67.129341131703,66.031777887393,66.901918117116,3171622.0
2014-10-14,66.73,67.63,66.61,67.42,3899442.0,0.0,1.0,65.982338101614,66.872254245649,65.863682615742,66.664607145374,3899442.0
2014-10-13,66.69,67.185,66.28,66.58,2402692.0,0.0,1.0,65.94278627299,66.432240152209,65.537380029596,65.834018744275,2402692.0
2014-10-10,65.21,66.93,65.0,66.48,3597832.0,0.0,1.0,64.47936861391,66.180097244733,64.271721513635,65.735139172715,3597832.0
2014-10-09,64.72,65.62,64.51,64.95,2958560.0,0.0,1.0,63.994858713269,64.884774857304,63.787211612994,64.222281727856,2958560.0
2014-10-08,63.76,64.84,63.42,64.83,3081716.0,0.0,1.0,63.045614826298,64.11351419914,62.709424282996,64.103626241984,3081716.0
2014-10-07,63.16,63.9791,63.11,63.49,2418758.0,0.0,1.0,62.452337396942,63.262259967585,62.402897611162,62.778639983088,2418758.0
2014-10-06,62.98,63.53,62.81,63.25,2121256.0,0.0,1.0,62.274354168135,62.818191811712,62.106258896484,62.541329011345,2121256.0
2014-10-03,62.48,62.945,62.13,62.78,2445291.0,0.0,1.0,61.779956310338,62.239746318089,61.43387780988,62.076595025016,2445291.0
2014-10-02,62.63,62.8,62.05,62.3,2676742.0,0.0,1.0,61.928275667677,62.096370939328,61.354774152632,61.601973081531,2676742.0
2014-10-01,62.5,62.89,62.34,62.69,2658777.0,0.0,1.0,61.799732224649,62.185362553731,61.641524910154,61.987603410612,2658777.0
2014-09-30,62.85,63.0354,62.23,62.37,2728516.0,0.0,1.0,62.145810725107,62.329133450779,61.532757381439,61.671188781622,2728516.0
2014-09-29,62.91,63.05,62.4,62.73,1976450.0,0.0,1.0,62.205138468043,62.343569868226,61.70085265309,62.027155239236,1976450.0
2014-09-26,62.65,63.18,62.36,63.11,2349250.0,0.0,1.0,61.948051581989,62.472113311254,61.661300824466,62.402897611162,2349250.0
2014-09-25,62.67,62.87,62.48,62.65,2155789.0,0.0,1.0,61.9678274963,62.165586639419,61.779956310338,61.948051581989,2155789.0
2014-09-24,62.65,63.31,62.31,62.8,2712203.0,0.0,1.0,61.948051581989,62.600656754281,61.611861038686,62.096370939328,2712203.0
2014-09-23,63.1,63.475,62.69,62.71,2055174.0,0.0,1.0,62.393009654006,62.763808047354,61.987603410612,62.007379324924,2055174.0
2014-09-22,63.51,63.71,63.11,63.13,1556468.0,0.0,1.0,62.7984158974,62.996175040519,62.402897611162,62.422673525474,1556468.0
2014-09-19,62.93,63.6,62.63,63.54,4445826.0,0.0,1.0,62.224914382355,62.887407511803,61.928275667677,62.828079768868,4445826.0
2014-09-18,63.91,64.0,62.86,62.89,2174633.0,0.0,1.0,63.193934183638,63.282925798041,62.155698682263,62.185362553731,2174633.0
2014-09-17,64.15,64.43,63.655,63.76,2361454.0,0.0,1.0,63.43124515538,63.708107955747,62.941791276161,63.045614826298,2361454.0
2014-09-16,63.65,64.0,63.34,63.86,2233341.0,0.0,1.0,62.936847297583,63.282925798041,62.630320625749,63.144494397858,2233341.0
2014-09-15,63.32,63.88,63.03,63.59,3104687.0,0.0,1.0,62.610544711437,63.16427031217,62.323793953914,62.877519554647,3104687.0
2014-09-12,64.13,64.59,62.89,63.25,16987511.0,0.0,1.0,63.411469241068,63.866315270242,62.185362553731,62.541329011345,16987511.0
2014-09-11,66.22,66.72,66.03,66.49,1123480.0,0.0,1.0,65.478052286661,65.972450144458,65.290181100698,65.745027129871,1123480.0
