Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,63.74,64.07,62.6,62.64,2573350.0,0.0,1.0,63.74,64.07,62.6,62.64,2573350.0
2015-01-14,63.54,63.75,62.16,63.49,1928625.0,0.0,1.0,63.54,63.75,62.16,63.49,1928625.0
2015-01-13,65.02,65.93,63.725,64.19,1907981.0,0.0,1.0,65.02,65.93,63.725,64.19,1907981.0
2015-01-12,65.07,65.07,64.24,64.66,1568923.0,0.0,1.0,65.07,65.07,64.24,64.66,1568923.0
2015-01-08,65.46,66.223,65.44,66.13,1179773.0,0.0,1.0,65.46,66.223,65.44,66.13,1179773.0
2015-01-06,64.7,64.76,62.78,63.73,1753781.0,0.0,1.0,64.7,64.76,62.78,63.73,1753781.0
2015-01-05,65.22,65.2,64.19,64.5,1512959.0,0.0,1.0,65.22,65.2,64.19,64.5,1512959.0
2015-01-02,66.58,66.58,64.89,65.79,1010069.0,0.0,1.0,66.58,66.58,64.89,65.79,1010069.0
2014-12-31,66.3,66.61,65.83,65.91,990986.0,0.0,1.0,66.3,66.61,65.83,65.91,990986.0
2014-12-30,66.08,66.55,65.95,66.33,652078.0,0.0,1.0,66.08,66.55,65.95,66.33,652078.0
2014-12-26,65.88,66.25,65.64,65.78,597666.0,0.0,1.0,65.88,66.25,65.64,65.78,597666.0
2014-12-24,65.7,65.97,65.36,65.56,311187.0,0.0,1.0,65.7,65.97,65.36,65.56,311187.0
2014-12-23,65.6,66.25,65.42,65.6,1067573.0,0.0,1.0,65.6,66.25,65.42,65.6,1067573.0
2014-12-22,65.19,65.33,64.71,65.31,1103107.0,0.0,1.0,65.19,65.33,64.71,65.31,1103107.0
2014-12-19,64.87,65.28,64.2,64.79,2512788.0,0.0,1.0,64.87,65.28,64.2,64.79,2512788.0
2014-12-18,63.69,64.45,63.08,64.43,1770815.0,0.0,1.0,63.69,64.45,63.08,64.43,1770815.0
2014-12-17,62.98,63.148,61.59,62.98,2626005.0,0.0,1.0,62.98,63.148,61.59,62.98,2626005.0
2014-12-16,64.28,64.84,62.49,62.7,4592325.0,0.0,1.0,64.28,64.84,62.49,62.7,4592325.0
2014-12-15,66.99,67.545,66.17,66.35,1321945.0,0.0,1.0,66.99,67.545,66.17,66.35,1321945.0
2014-12-11,67.76,68.76,67.22,67.39,1392031.0,0.0,1.0,67.76,68.76,67.22,67.39,1392031.0
2014-12-10,68.81,69.15,67.46,67.57,1303517.0,0.0,1.0,68.81,69.15,67.46,67.57,1303517.0
2014-12-09,68.56,69.24,67.83,68.96,1489596.0,0.0,1.0,68.56,69.24,67.83,68.96,1489596.0
2014-12-05,69.71,70.41,69.54,70.15,1191398.0,0.0,1.0,69.71,70.41,69.54,70.15,1191398.0
2014-12-04,68.945,69.69,68.44,69.69,1520437.0,0.0,1.0,68.945,69.69,68.44,69.69,1520437.0
2014-12-02,68.89,69.66,68.71,68.78,838195.0,0.0,1.0,68.89,69.66,68.71,68.78,838195.0
2014-12-01,69.74,69.85,68.67,68.74,1154236.0,0.0,1.0,69.74,69.85,68.67,68.74,1154236.0
2014-11-28,68.2,69.94,68.5,69.68,925522.0,0.0,1.0,68.2,69.94,68.5,69.68,925522.0
2014-11-26,69.32,69.45,68.21,68.29,1319888.0,0.0,1.0,69.32,69.45,68.21,68.29,1319888.0
2014-11-25,69.58,70.05,69.04,69.1,1234508.0,0.0,1.0,69.58,70.05,69.04,69.1,1234508.0
2014-11-24,69.05,69.78,68.95,69.29,1517770.0,0.0,1.0,69.05,69.78,68.95,69.29,1517770.0
2014-11-21,69.94,70.14,68.62,68.66,1795500.0,0.0,1.0,69.94,70.14,68.62,68.66,1795500.0
2014-11-20,68.79,69.92,68.66,69.36,927124.0,0.0,1.0,68.79,69.92,68.66,69.36,927124.0
2014-11-19,68.6,69.36,68.49,69.2,1027053.0,0.0,1.0,68.6,69.36,68.49,69.2,1027053.0
2014-11-18,68.67,68.98,68.29,68.81,1004792.0,0.0,1.0,68.67,68.98,68.29,68.81,1004792.0
2014-11-17,68.25,68.67,68.17,68.64,1099588.0,0.0,1.0,68.25,68.67,68.17,68.64,1099588.0
2014-11-14,69.33,69.38,68.29,68.4,2022833.0,0.0,1.0,69.33,69.38,68.29,68.4,2022833.0
2014-11-13,67.18,67.72,67.07,67.65,1158885.0,0.0,1.0,67.18,67.72,67.07,67.65,1158885.0
2014-11-12,66.44,67.43,66.37,67.11,1095673.0,0.0,1.0,66.44,67.43,66.37,67.11,1095673.0
