Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,74.3,74.86,73.06,73.14,1559880.0,0.0,1.0,74.3,74.86,73.06,73.14,1559880.0
2015-01-14,73.8,74.25,72.57,73.88,2158690.0,0.0,1.0,73.8,74.25,72.57,73.88,2158690.0
2015-01-13,75.13,75.64,73.94,74.03,2672339.0,0.0,1.0,75.13,75.64,73.94,74.03,2672339.0
2015-01-12,74.81,75.0,74.06,74.18,3467626.0,0.0,1.0,74.81,75.0,74.06,74.18,3467626.0
2015-01-08,77.73,78.39,77.34,77.82,2085826.0,0.0,1.0,77.73,78.39,77.34,77.82,2085826.0
2015-01-06,76.87,76.93,75.02,76.03,2954636.0,0.0,1.0,76.87,76.93,75.02,76.03,2954636.0
2015-01-05,79.83,80.06,76.04,76.6,3991582.0,0.0,1.0,79.83,80.06,76.04,76.6,3991582.0
2015-01-02,81.33,81.67,79.66,80.68,1430128.0,0.0,1.0,81.33,81.67,79.66,80.68,1430128.0
2014-12-31,81.38,81.85,81.04,81.07,1677543.0,0.0,1.0,81.38,81.85,81.04,81.07,1677543.0
2014-12-30,81.36,81.89,81.1,81.27,1281574.0,0.0,1.0,81.36,81.89,81.1,81.27,1281574.0
2014-12-26,80.96,81.55,80.74,81.23,833055.0,0.0,1.0,80.96,81.55,80.74,81.23,833055.0
2014-12-24,80.52,81.19,80.32,80.9,1003557.0,0.0,1.0,80.52,81.19,80.32,80.9,1003557.0
2014-12-23,79.84,80.53,79.28,80.38,1984538.0,0.0,1.0,79.84,80.53,79.28,80.38,1984538.0
2014-12-22,79.85,80.31,79.73,80.12,1147101.0,0.0,1.0,79.85,80.31,79.73,80.12,1147101.0
2014-12-19,79.16,80.085,79.06,79.63,2842116.0,0.0,1.0,79.16,80.085,79.06,79.63,2842116.0
2014-12-18,78.39,78.95,77.41,78.93,3115209.0,0.0,1.0,78.39,78.95,77.41,78.93,3115209.0
2014-12-17,76.37,77.155,75.18,76.94,2461298.0,0.0,1.0,76.37,77.155,75.18,76.94,2461298.0
2014-12-16,78.0,78.04,76.13,76.17,3632546.0,0.0,1.0,78.0,78.04,76.13,76.17,3632546.0
2014-12-15,79.65,80.31,77.75,78.34,1883179.0,0.0,1.0,79.65,80.31,77.75,78.34,1883179.0
2014-12-11,79.97,81.1,79.72,80.13,1851925.0,0.0,1.0,79.97,81.1,79.72,80.13,1851925.0
2014-12-10,81.16,81.27,79.61,79.94,1565608.0,0.0,1.0,81.16,81.27,79.61,79.94,1565608.0
2014-12-09,80.6,81.74,80.37,81.39,1557193.0,0.0,1.0,80.6,81.74,80.37,81.39,1557193.0
2014-12-05,79.93,82.16,79.8801,81.56,3404293.0,0.0,1.0,79.93,82.16,79.8801,81.56,3404293.0
2014-12-04,78.62,80.01,78.26,79.82,3355358.0,0.35,1.0,78.62,80.01,78.26,79.82,3355358.0
2014-12-02,77.85,78.2,77.3,77.74,2146562.0,0.0,1.0,77.510128476986,77.858600473993,76.962529624548,77.400608706499,2146562.0
2014-12-01,78.58,78.93,77.4,77.4,1635983.0,0.0,1.0,78.236941499314,78.58541349632,77.062093052264,77.062093052264,1635983.0
2014-11-28,78.37,79.6,78.21,79.0,918209.0,0.0,1.0,78.02785830111,79.252488462018,77.868556816764,78.655107895722,918209.0
2014-11-26,77.49,78.4,77.21,77.86,1471686.0,0.0,1.0,77.151700137208,78.057727329425,76.872922539603,77.520084819758,1471686.0
2014-11-25,78.35,78.55,77.18,77.58,2857714.0,0.0,1.0,78.007945615567,78.207072470999,76.843053511289,77.241307222153,2857714.0
