Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,62.42,62.5,60.12,60.18,2078039.0,0.0,1.0,62.42,62.5,60.12,60.18,2078039.0
2015-01-14,60.36,61.35,59.15,61.23,3175546.0,0.0,1.0,60.36,61.35,59.15,61.23,3175546.0
2015-01-13,59.33,61.42,59.08,61.0,2778758.0,0.0,1.0,59.33,61.42,59.08,61.0,2778758.0
2015-01-12,59.67,59.69,58.19,59.37,2727341.0,0.0,1.0,59.67,59.69,58.19,59.37,2727341.0
2015-01-08,60.1,61.89,59.93,60.8,4402061.0,0.0,1.0,60.1,61.89,59.93,60.8,4402061.0
2015-01-06,65.26,66.29,62.47,63.66,2165262.0,0.0,1.0,65.26,66.29,62.47,63.66,2165262.0
2015-01-05,66.12,66.2,64.5,65.48,1993572.0,0.0,1.0,66.12,66.2,64.5,65.48,1993572.0
2015-01-02,67.04,68.26,65.99,67.34,1312465.0,0.0,1.0,67.04,68.26,65.99,67.34,1312465.0
2014-12-31,66.48,68.67,65.25,67.42,1763835.0,0.0,1.0,66.48,68.67,65.25,67.42,1763835.0
2014-12-30,67.76,68.01,66.56,66.96,1165505.0,0.0,1.0,67.76,68.01,66.56,66.96,1165505.0
2014-12-26,67.85,68.79,66.5,67.19,1201921.0,0.0,1.0,67.85,68.79,66.5,67.19,1201921.0
2014-12-24,67.79,67.89,65.67,67.25,820043.0,0.0,1.0,67.79,67.89,65.67,67.25,820043.0
2014-12-23,70.0,70.41,66.853,67.91,2042001.0,0.0,1.0,70.0,70.41,66.853,67.91,2042001.0
2014-12-22,71.01,71.05,67.9326,69.93,2747137.0,0.0,1.0,71.01,71.05,67.9326,69.93,2747137.0
2014-12-19,67.53,71.91,67.01,71.85,3403890.0,0.0,1.0,67.53,71.91,67.01,71.85,3403890.0
2014-12-18,67.49,68.042,64.75,66.43,2188625.0,0.0,1.0,67.49,68.042,64.75,66.43,2188625.0
2014-12-17,61.3,66.19,61.17,65.02,2591415.0,0.0,1.0,61.3,66.19,61.17,65.02,2591415.0
2014-12-16,59.87,63.53,59.24,60.49,2658714.0,0.0,1.0,59.87,63.53,59.24,60.49,2658714.0
2014-12-15,61.17,62.0,60.09,60.41,1823847.0,0.0,1.0,61.17,62.0,60.09,60.41,1823847.0
2014-12-11,62.23,64.19,61.35,61.67,2520552.0,0.0,1.0,62.23,64.19,61.35,61.67,2520552.0
2014-12-10,63.18,63.18,61.2312,61.98,3932798.0,0.0,1.0,63.18,63.18,61.2312,61.98,3932798.0
2014-12-09,62.35,64.815,61.44,64.53,3433510.0,0.0,1.0,62.35,64.815,61.44,64.53,3433510.0
2014-12-05,68.47,68.99,66.21,67.44,2066347.0,0.0,1.0,68.47,68.99,66.21,67.44,2066347.0
2014-12-04,68.95,70.11,68.3,68.91,1704552.0,0.0,1.0,68.95,70.11,68.3,68.91,1704552.0
2014-12-02,69.02,71.44,68.02,68.83,2571417.0,0.0,1.0,69.02,71.44,68.02,68.83,2571417.0
2014-12-01,68.88,69.77,66.99,69.07,3035651.0,0.0,1.0,68.88,69.77,66.99,69.07,3035651.0
2014-11-28,73.11,73.99,68.79,69.55,2847442.0,0.0,1.0,73.11,73.99,68.79,69.55,2847442.0
2014-11-26,79.64,80.41,77.3,77.73,2008494.0,0.0,1.0,79.64,80.41,77.3,77.73,2008494.0
2014-11-25,80.86,81.41,79.01,79.49,1626331.0,0.0,1.0,80.86,81.41,79.01,79.49,1626331.0
2014-11-24,81.35,82.34,80.03,80.55,1895021.0,0.0,1.0,81.35,82.34,80.03,80.55,1895021.0
2014-11-21,81.95,84.12,80.8,81.81,1918641.0,0.0,1.0,81.95,84.12,80.8,81.81,1918641.0
2014-11-20,77.82,80.59,77.81,80.36,1540200.0,0.0,1.0,77.82,80.59,77.81,80.36,1540200.0
2014-11-19,78.23,78.5,77.04,77.97,1470034.0,0.0,1.0,78.23,78.5,77.04,77.97,1470034.0
2014-11-18,77.45,78.99,76.26,77.9,2325555.0,0.0,1.0,77.45,78.99,76.26,77.9,2325555.0
2014-11-17,78.71,79.16,76.67,78.25,3433094.0,0.0,1.0,78.71,79.16,76.67,78.25,3433094.0
2014-11-14,79.79,81.11,77.77,79.01,2787723.0,0.0,1.0,79.79,81.11,77.77,79.01,2787723.0
2014-11-13,82.08,84.47,77.33,79.79,4410310.0,0.0,1.0,82.08,84.47,77.33,79.79,4410310.0
2014-11-12,84.4,87.42,84.21,85.56,1887891.0,0.0,1.0,84.4,87.42,84.21,85.56,1887891.0
2014-11-11,86.3,86.87,84.62,86.01,1531329.0,0.0,1.0,86.3,86.87,84.62,86.01,1531329.0
2014-11-10,87.86,89.35,85.7422,86.4,1552909.0,0.0,1.0,87.86,89.35,85.7422,86.4,1552909.0
2014-11-07,85.8,87.84,85.44,86.7,1377081.0,0.0,1.0,85.8,87.84,85.44,86.7,1377081.0
