Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,32.65,32.74,32.02,32.06,1289963.0,0.0,1.0,32.65,32.74,32.02,32.06,1289963.0
2015-01-14,32.27,32.59,32.06,32.57,1424792.0,0.0,1.0,32.27,32.59,32.06,32.57,1424792.0
2015-01-13,33.15,33.355,32.36,32.58,1878536.0,0.0,1.0,33.15,33.355,32.36,32.58,1878536.0
2015-01-12,33.37,33.38,32.87,32.94,1221992.0,0.0,1.0,33.37,33.38,32.87,32.94,1221992.0
2015-01-08,32.79,33.49,32.7,33.13,3537949.0,0.0,1.0,32.79,33.49,32.7,33.13,3537949.0
2015-01-06,32.4,32.62,31.98,32.28,2116513.0,0.0,1.0,32.4,32.62,31.98,32.28,2116513.0
2015-01-05,32.9,32.99,32.365,32.48,1650904.0,0.0,1.0,32.9,32.99,32.365,32.48,1650904.0
2015-01-02,33.94,33.91,32.78,33.08,2054159.0,0.0,1.0,33.94,33.91,32.78,33.08,2054159.0
2014-12-31,33.68,33.9,33.64,33.68,1673053.0,0.0,1.0,33.68,33.9,33.64,33.68,1673053.0
2014-12-30,33.58,33.72,33.3,33.66,1125641.0,0.0,1.0,33.58,33.72,33.3,33.66,1125641.0
2014-12-26,33.79,33.99,33.61,33.64,829169.0,0.0,1.0,33.79,33.99,33.61,33.64,829169.0
2014-12-24,33.92,33.89,33.68,33.72,485806.0,0.0,1.0,33.92,33.89,33.68,33.72,485806.0
2014-12-23,33.81,33.97,33.66,33.8,1677660.0,0.0,1.0,33.81,33.97,33.66,33.8,1677660.0
2014-12-22,34.53,34.57,33.63,33.75,3044465.0,0.0,1.0,34.53,34.57,33.63,33.75,3044465.0
2014-12-19,33.73,34.63,33.65,34.49,4316808.0,0.0,1.0,33.73,34.63,33.65,34.49,4316808.0
2014-12-18,33.19,33.53,32.89,33.5,2502359.0,0.0,1.0,33.19,33.53,32.89,33.5,2502359.0
2014-12-17,31.67,33.0,31.57,32.82,3163181.0,0.0,1.0,31.67,33.0,31.57,32.82,3163181.0
2014-12-16,31.99,32.2,31.54,31.6,2769073.0,0.0,1.0,31.99,32.2,31.54,31.6,2769073.0
2014-12-15,32.06,32.41,31.85,32.13,3343872.0,0.0,1.0,32.06,32.41,31.85,32.13,3343872.0
2014-12-11,31.99,32.44,31.67,31.76,2265234.0,0.0,1.0,31.99,32.44,31.67,31.76,2265234.0
2014-12-10,32.37,32.53,31.95,31.98,2966680.0,0.0,1.0,32.37,32.53,31.95,31.98,2966680.0
2014-12-09,32.22,32.8,31.77,32.34,4714714.0,0.0,1.0,32.22,32.8,31.77,32.34,4714714.0
2014-12-05,34.27,34.56,34.14,34.39,3285636.0,0.0,1.0,34.27,34.56,34.14,34.39,3285636.0
