Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,68.84,69.125,67.25,67.31,655569.0,0.0,1.0,68.84,69.125,67.25,67.31,655569.0
2015-01-14,67.95,68.47,67.38,68.42,473241.0,0.0,1.0,67.95,68.47,67.38,68.42,473241.0
2015-01-13,69.45,69.91,67.79,68.43,463166.0,0.0,1.0,69.45,69.91,67.79,68.43,463166.0
2015-01-12,69.84,69.85,68.6,68.88,315403.0,0.0,1.0,69.84,69.85,68.6,68.88,315403.0
2015-01-08,69.12,70.56,69.11,70.04,641712.0,0.0,1.0,69.12,70.56,69.11,70.04,641712.0
2015-01-06,69.89,69.98,68.25,68.29,1020799.0,0.0,1.0,69.89,69.98,68.25,68.29,1020799.0
2015-01-05,71.02,71.09,69.52,69.69,664196.0,0.0,1.0,71.02,71.09,69.52,69.69,664196.0
2015-01-02,72.48,72.57,71.05,71.62,407184.0,0.0,1.0,72.48,72.57,71.05,71.62,407184.0
2014-12-31,72.74,72.97,71.73,71.82,369538.0,0.0,1.0,72.74,72.97,71.73,71.82,369538.0
2014-12-30,73.17,73.2,72.37,72.79,459647.0,0.0,1.0,73.17,73.2,72.37,72.79,459647.0
2014-12-26,73.72,73.94,73.54,73.78,146703.0,0.0,1.0,73.72,73.94,73.54,73.78,146703.0
2014-12-24,73.56,73.93,73.47,73.59,122747.0,0.0,1.0,73.56,73.93,73.47,73.59,122747.0
2014-12-23,73.5,74.27,73.45,73.57,350735.0,0.0,1.0,73.5,74.27,73.45,73.57,350735.0
2014-12-22,73.28,73.98,72.74,73.69,475818.0,0.0,1.0,73.28,73.98,72.74,73.69,475818.0
2014-12-19,71.5,72.95,70.6,72.85,1001635.0,0.0,1.0,71.5,72.95,70.6,72.85,1001635.0
2014-12-18,70.71,71.53,70.65,71.49,742076.0,0.0,1.0,70.71,71.53,70.65,71.49,742076.0
2014-12-17,69.02,70.01,68.38,69.95,562467.0,0.0,1.0,69.02,70.01,68.38,69.95,562467.0
2014-12-16,68.46,70.05,68.31,68.33,653880.0,0.0,1.0,68.46,70.05,68.31,68.33,653880.0
2014-12-15,69.58,69.79,68.41,68.76,510797.0,0.0,1.0,69.58,69.79,68.41,68.76,510797.0
2014-12-11,69.78,71.41,69.83,70.61,560748.0,0.0,1.0,69.78,71.41,69.83,70.61,560748.0
2014-12-10,70.77,71.24,69.64,69.67,813293.0,0.0,1.0,70.77,71.24,69.64,69.67,813293.0
2014-12-09,70.35,70.91,70.16,70.87,897664.0,0.0,1.0,70.35,70.91,70.16,70.87,897664.0
2014-12-05,71.04,71.42,70.78,71.3,802056.0,0.0,1.0,71.04,71.42,70.78,71.3,802056.0
2014-12-04,70.39,70.95,70.08,70.73,1487431.0,0.0,1.0,70.39,70.95,70.08,70.73,1487431.0
2014-12-02,71.6,71.61,70.21,70.57,790118.0,0.0,1.0,71.6,71.61,70.21,70.57,790118.0
2014-12-01,71.43,72.11,71.0,71.72,491586.0,0.0,1.0,71.43,72.11,71.0,71.72,491586.0
2014-11-28,71.8,72.0,71.47,71.67,306367.0,0.0,1.0,71.8,72.0,71.47,71.67,306367.0
2014-11-26,71.82,71.97,71.43,71.57,368918.0,0.0,1.0,71.82,71.97,71.43,71.57,368918.0
2014-11-25,71.12,72.1299,70.94,71.85,582693.0,0.0,1.0,71.12,72.1299,70.94,71.85,582693.0
2014-11-24,71.79,72.0,70.45,71.05,887101.0,0.0,1.0,71.79,72.0,70.45,71.05,887101.0
2014-11-21,71.97,72.06,71.71,71.95,550004.0,0.0,1.0,71.97,72.06,71.71,71.95,550004.0
2014-11-20,70.71,71.78,70.58,71.49,482725.0,0.0,1.0,70.71,71.78,70.58,71.49,482725.0
2014-11-19,70.81,71.01,70.24,70.88,393407.0,0.0,1.0,70.81,71.01,70.24,70.88,393407.0
2014-11-18,69.9,71.34,69.89,70.82,660593.0,0.47,1.0,69.9,71.34,69.89,69.915999438911,660593.0
2014-11-17,70.27,70.51,69.76,70.38,512025.0,0.0,1.0,69.343645456208,69.580481586982,68.840368678313,69.452195349479,512025.0
2014-11-14,70.61,70.73,70.22,70.62,356257.0,0.0,1.0,69.679163308137,69.797581373524,69.29430459563,69.689031480253,356257.0
2014-11-13,71.29,71.53,70.32,70.51,442442.0,0.0,1.0,70.350199011997,70.587035142771,69.392986316786,69.580481586982,442442.0
2014-11-12,70.93,71.37,70.695,71.04,448612.0,0.0,1.0,69.994944815836,70.429144388922,69.76304277112,70.103494709108,448612.0
