Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,107.91,109.11,107.58,108.46,1518908.0,0.0,1.0,107.91,109.11,107.58,108.46,1518908.0
2015-01-14,106.29,107.18,106.14,107.02,1496201.0,0.0,1.0,106.29,107.18,106.14,107.02,1496201.0
2015-01-13,106.42,107.11,106.02,106.67,1413145.0,0.0,1.0,106.42,107.11,106.02,106.67,1413145.0
2015-01-12,106.49,106.72,105.33,105.43,1122110.0,0.0,1.0,106.49,106.72,105.33,105.43,1122110.0
2015-01-08,105.95,107.5,105.505,107.17,1245588.0,0.0,1.0,105.95,107.5,105.505,107.17,1245588.0
2015-01-06,103.14,104.3,102.9,103.32,1239403.0,0.0,1.0,103.14,104.3,102.9,103.32,1239403.0
2015-01-05,103.29,104.0,102.5,102.98,855864.0,0.0,1.0,103.29,104.0,102.5,102.98,855864.0
2015-01-02,104.51,104.59,102.93,103.71,786468.0,0.0,1.0,104.51,104.59,102.93,103.71,786468.0
2014-12-31,105.76,105.87,103.8201,103.93,643636.0,0.0,1.0,105.76,105.87,103.8201,103.93,643636.0
2014-12-30,106.065,106.34,105.37,105.65,578829.0,0.0,1.0,106.065,106.34,105.37,105.65,578829.0
2014-12-26,106.41,106.73,106.13,106.41,515584.0,0.0,1.0,106.41,106.73,106.13,106.41,515584.0
2014-12-24,106.65,106.81,106.05,106.28,537476.0,0.0,1.0,106.65,106.81,106.05,106.28,537476.0
2014-12-23,105.79,107.0,105.15,106.64,1249407.0,0.0,1.0,105.79,107.0,105.15,106.64,1249407.0
2014-12-22,105.3,105.75,104.48,105.01,1074483.0,0.0,1.0,105.3,105.75,104.48,105.01,1074483.0
2014-12-19,103.96,105.68,103.96,105.27,2687772.0,0.0,1.0,103.96,105.68,103.96,105.27,2687772.0
2014-12-18,101.22,103.78,100.8,103.78,1648982.0,0.0,1.0,101.22,103.78,100.8,103.78,1648982.0
2014-12-17,98.26,100.46,98.01,100.33,1052713.0,0.0,1.0,98.26,100.46,98.01,100.33,1052713.0
2014-12-16,98.27,99.42,97.7,97.94,812439.0,0.0,1.0,98.27,99.42,97.7,97.94,812439.0
2014-12-15,99.21,99.3199,98.27,98.53,883714.0,0.0,1.0,99.21,99.3199,98.27,98.53,883714.0
2014-12-11,99.08,100.67,98.7,99.58,1306999.0,0.0,1.0,99.08,100.67,98.7,99.58,1306999.0
2014-12-10,99.0,99.55,98.44,98.58,752085.0,0.0,1.0,99.0,99.55,98.44,98.58,752085.0
2014-12-09,99.03,99.62,98.39,99.0,725928.0,0.0,1.0,99.03,99.62,98.39,99.0,725928.0
2014-12-05,99.35,99.9,99.31,99.8,574285.0,0.0,1.0,99.35,99.9,99.31,99.8,574285.0
2014-12-04,99.92,99.92,98.98,99.62,1028730.0,0.0,1.0,99.92,99.92,98.98,99.62,1028730.0
2014-12-02,100.4,100.65,99.83,100.47,870442.0,0.0,1.0,100.4,100.65,99.83,100.47,870442.0
2014-12-01,100.11,101.1,99.86,100.2,1465187.0,0.0,1.0,100.11,101.1,99.86,100.2,1465187.0
2014-11-28,98.86,100.445,98.51,100.28,931282.0,0.0,1.0,98.86,100.445,98.51,100.28,931282.0
2014-11-26,97.17,98.68,96.99,98.58,1505893.0,0.0,1.0,97.17,98.68,96.99,98.58,1505893.0
2014-11-25,96.36,97.46,96.23,96.93,1771929.0,0.0,1.0,96.36,97.46,96.23,96.93,1771929.0
2014-11-24,96.45,96.64,95.99,96.51,1016190.0,0.0,1.0,96.45,96.64,95.99,96.51,1016190.0
2014-11-21,95.44,96.3,95.27,96.29,1318503.0,0.0,1.0,95.44,96.3,95.27,96.29,1318503.0
2014-11-20,95.75,96.141,95.19,95.29,961127.0,0.0,1.0,95.220939839917,95.609779395817,94.664034082107,94.763481538859,961127.0
2014-11-19,96.29,96.5,95.3,96.04,1310346.0,0.0,1.0,95.757956106377,95.966795765556,94.773426284534,95.509337464498,1310346.0
2014-11-18,96.69,96.81,96.0,96.51,604740.0,0.0,1.0,96.155745933385,96.275082881487,95.469558481797,95.976740511232,604740.0
2014-11-17,96.06,96.8395,96.05,96.7,642286.0,0.0,1.0,95.529226955848,96.304419881229,95.519282210173,96.16569067906,642286.0
2014-11-14,96.63,96.7,95.62,96.06,622325.0,0.0,1.0,96.096077459334,96.16569067906,95.09165814614,95.529226955848,622325.0
2014-11-13,96.65,97.42,96.11,96.64,956503.0,0.0,1.0,96.115966950684,96.881712367674,95.578950684224,96.106022205009,956503.0
2014-11-12,96.07,96.73,95.74,96.6,723021.0,0.0,1.0,95.539171701523,96.195524916086,95.210995094242,96.066243222308,723021.0
2014-11-11,96.58,96.99,96.215,96.47,520446.0,0.0,1.0,96.046353730958,96.454088303641,95.683370513814,95.936961528531,520446.0
2014-11-10,96.5,97.0,96.365,96.58,733009.0,0.0,1.0,95.966795765556,96.464033049316,95.832541698941,96.046353730958,733009.0
2014-11-07,96.44,96.7,96.02,96.43,920904.0,0.0,1.0,95.907127291505,96.16569067906,95.489447973147,95.89718254583,920904.0
2014-11-06,95.87,96.895,95.79,96.82,1101836.0,0.0,1.0,95.34027678802,96.359613219726,95.260718822618,96.285027627162,1101836.0
2014-11-04,96.35,96.47,95.18,95.24,992166.0,0.0,1.0,95.817624580429,95.936961528531,94.654089336432,94.713757810483,992166.0
2014-11-03,95.94,96.68,95.87,96.33,1409930.0,0.0,1.0,95.409890007746,96.14580118771,95.34027678802,95.797735089078,1409930.0
2014-10-31,95.505,96.0,95.2,95.91,1500692.0,0.0,1.0,94.977293570875,95.469558481797,94.673978827782,95.38005577072,1500692.0
2014-10-30,93.64,95.0,92.8967,94.82,993616.0,0.0,1.0,93.122598502453,94.475083914278,92.383405556416,94.296078492125,993616.0
2014-10-29,92.99,94.29,92.05,94.06,2545850.0,0.0,1.0,92.476190033566,93.76900697134,91.541383940098,93.540277820811,2545850.0
2014-10-28,94.7,95.55,94.64,95.53,1162824.0,0.0,1.0,94.176741544023,95.022044926414,94.117073069972,95.002155435063,1162824.0
2014-10-27,94.24,95.1,94.13,94.84,792703.0,0.0,1.0,93.719283242964,94.57453137103,93.609891040537,94.315967983475,792703.0
2014-10-24,94.1,94.37,93.67,94.13,902847.0,0.0,1.0,93.580056803511,93.848564936742,93.152432739478,93.609891040537,902847.0
2014-10-23,94.71,94.95,93.7,93.85,657190.0,0.0,1.0,94.186686289698,94.425360185902,93.182266976504,93.331438161632,657190.0
2014-10-22,94.44,95.32,94.07,94.19,787028.0,0.0,1.0,93.918178156468,94.793315775884,93.550222566486,93.669559514588,787028.0
2014-10-21,93.24,94.48,93.04,94.26,912126.0,0.0,1.0,92.724808675445,93.957957139169,92.525913761942,93.739172734314,912126.0
2014-10-20,91.88,93.37,91.62,93.22,680875.0,0.0,1.0,91.37232326362,92.854090369223,91.113759876065,92.704919184095,680875.0
2014-10-17,91.44,92.35,90.85,92.01,952920.0,0.0,1.0,90.934754453912,91.839726310354,90.348014459076,91.501604957397,952920.0
2014-10-16,91.37,91.45,89.67,91.09,2051267.0,0.0,1.0,90.865141234185,90.944699199587,89.174534469404,90.58668835528,2051267.0
2014-10-15,92.12,92.9,91.0,92.57,1295548.0,0.0,1.0,91.610997159824,92.386687322489,90.497185644203,92.058510715208,1295548.0
2014-10-14,92.53,93.16,92.33,92.63,718759.0,0.0,1.0,92.018731732507,92.645250710044,91.819836819003,92.118179189259,718759.0
2014-10-13,92.94,93.49,92.22,92.24,1025635.0,0.0,1.0,92.42646630519,92.973427317325,91.710444616576,91.730334107927,1025635.0
2014-10-10,93.63,94.39,93.21,93.22,1086222.0,0.0,1.0,93.112653756778,93.868454428092,92.69497443842,92.704919184095,1086222.0
2014-10-09,93.85,94.82,92.99,93.43,904466.0,0.0,1.0,93.331438161632,94.296078492125,92.476190033566,92.913758843274,904466.0
2014-10-08,92.6,94.13,92.54,94.1,880318.0,0.0,1.0,92.088344952233,93.609891040537,92.028676478182,93.580056803511,880318.0
2014-10-07,92.97,93.4,92.55,92.61,891530.0,0.0,1.0,92.456300542215,92.883924606248,92.038621223857,92.098289697909,891530.0
2014-10-06,94.23,94.28,92.8,93.5,908820.0,0.0,1.0,93.709338497289,93.759062225665,92.287239865737,92.983372063,908820.0
2014-10-03,93.97,94.09,93.64,93.69,1321258.0,0.0,1.0,93.450775109734,93.570112057836,93.122598502453,93.172322230829,1321258.0
2014-10-01,95.07,95.39,94.21,94.33,1516329.0,0.0,1.0,94.544697134005,94.862928995611,93.689449005939,93.808785954041,1516329.0
2014-09-30,94.9,95.645,94.5,95.43,1354873.0,0.0,1.0,94.375636457526,95.116520010328,93.977846630519,94.902707978311,1354873.0
2014-09-29,92.94,94.69,92.74,94.5,1167920.0,0.0,1.0,92.42646630519,94.166796798348,92.227571391686,93.977846630519,1167920.0
2014-09-26,92.88,93.26,92.402,93.21,763922.0,0.0,1.0,92.366797831139,92.744698166796,91.891438987865,92.69497443842,763922.0
2014-09-25,93.68,93.8,92.71,92.93,916394.0,0.0,1.0,93.162377485154,93.281714433256,92.19773715466,92.416521559515,916394.0
2014-09-24,92.55,94.31,92.46,94.21,1058806.0,0.0,1.0,92.038621223857,93.78889646269,91.949118512781,93.689449005939,1058806.0
2014-09-23,92.96,93.26,92.34,92.46,654700.0,0.0,1.0,92.44635579654,92.744698166796,91.829781564679,91.949118512781,654700.0
