Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,156.69,156.97,154.16,154.57,4245927.0,0.0,1.0,156.69,156.97,154.16,154.57,4245927.0
2015-01-14,154.89,156.49,153.74,155.8,4669564.0,0.0,1.0,154.89,156.49,153.74,155.8,4669564.0
2015-01-13,157.26,159.97,155.68,156.81,4365391.0,0.0,1.0,157.26,159.97,155.68,156.81,4365391.0
2015-01-12,158.96,159.25,155.76,156.44,4182528.0,0.0,1.0,158.96,159.25,155.76,156.44,4182528.0
2015-01-08,156.23,159.044,155.55,158.42,4235219.0,0.0,1.0,156.23,159.044,155.55,158.42,4235219.0
2015-01-06,159.68,159.96,155.17,156.07,6119315.0,0.0,1.0,159.68,159.96,155.17,156.07,6119315.0
2015-01-05,161.02,161.27,159.19,159.51,4862471.0,0.0,1.0,161.02,161.27,159.19,159.51,4862471.0
2015-01-02,161.3,163.31,161.0,162.06,5518469.0,0.0,1.0,161.3,163.31,161.0,162.06,5518469.0
2014-12-31,160.25,161.5,160.38,160.44,4003105.0,0.0,1.0,160.25,161.5,160.38,160.44,4003105.0
2014-12-30,159.76,160.82,159.79,160.05,2820603.0,0.0,1.0,159.76,160.82,159.79,160.05,2820603.0
2014-12-26,162.22,163.09,162.01,162.34,1912178.0,0.0,1.0,162.22,163.09,162.01,162.34,1912178.0
2014-12-24,162.75,162.99,161.61,161.82,1869577.0,0.0,1.0,162.75,162.99,161.61,161.82,1869577.0
2014-12-23,161.89,162.9,161.61,162.24,4041978.0,0.0,1.0,161.89,162.9,161.61,162.24,4041978.0
2014-12-22,158.59,161.91,158.33,161.44,4655511.0,0.0,1.0,158.59,161.91,158.33,161.44,4655511.0
2014-12-19,157.49,160.41,157.49,158.51,8959897.0,0.0,1.0,157.49,160.41,157.49,158.51,8959897.0
2014-12-18,153.56,157.68,153.3,157.68,7283512.0,0.0,1.0,153.56,157.68,153.3,157.68,7283512.0
2014-12-17,151.63,153.308,151.11,151.93,5131022.0,0.0,1.0,151.63,153.308,151.11,151.93,5131022.0
2014-12-16,151.88,154.89,150.5,151.41,6702484.0,0.0,1.0,151.88,154.89,150.5,151.41,6702484.0
2014-12-15,155.73,156.739,152.84,153.06,6454466.0,0.0,1.0,155.73,156.739,152.84,153.06,6454466.0
2014-12-11,161.09,162.93,160.52,161.07,3984950.0,0.0,1.0,161.09,162.93,160.52,161.07,3984950.0
2014-12-10,163.34,163.33,160.03,160.51,4069092.0,0.0,1.0,163.34,163.33,160.03,160.51,4069092.0
2014-12-09,161.07,163.02,160.8,162.99,3860359.0,0.0,1.0,161.07,163.02,160.8,162.99,3860359.0
2014-12-05,163.65,164.5,162.91,163.27,3010800.0,0.0,1.0,163.65,164.5,162.91,163.27,3010800.0
2014-12-04,164.01,164.5,163.01,164.05,3855709.0,0.0,1.0,164.01,164.5,163.01,164.05,3855709.0
2014-12-02,162.26,162.73,161.64,162.67,3464710.0,0.0,1.0,162.26,162.73,161.64,162.67,3464710.0
2014-12-01,161.78,163.315,161.35,161.54,4160737.0,0.0,1.0,161.78,163.315,161.35,161.54,4160737.0
2014-11-28,162.74,163.37,161.44,162.17,2404987.0,0.0,1.0,162.74,163.37,161.44,162.17,2404987.0
2014-11-26,161.93,162.1,161.01,161.95,3964102.0,0.0,1.0,161.93,162.1,161.01,161.95,3964102.0
2014-11-25,162.71,163.5,161.56,161.76,4062338.0,0.0,1.0,162.71,163.5,161.56,161.76,4062338.0
2014-11-24,161.54,163.86,161.06,162.15,6615896.0,0.0,1.0,161.54,163.86,161.06,162.15,6615896.0
2014-11-21,161.83,161.95,160.75,160.92,4076193.0,0.0,1.0,161.83,161.95,160.75,160.92,4076193.0
2014-11-20,160.95,161.5,159.8,160.64,4181339.0,0.0,1.0,160.95,161.5,159.8,160.64,4181339.0
2014-11-19,161.85,162.1,160.96,161.43,3798681.0,0.0,1.0,161.85,162.1,160.96,161.43,3798681.0
2014-11-18,164.65,164.75,161.89,161.89,5404101.0,0.0,1.0,164.65,164.75,161.89,161.89,5404101.0
2014-11-17,164.16,164.97,163.72,164.16,4795042.0,0.0,1.0,164.16,164.97,163.72,164.16,4795042.0
2014-11-14,162.1,164.49,161.69,164.16,4974605.0,0.0,1.0,162.1,164.49,161.69,164.16,4974605.0
2014-11-13,162.0,162.8,161.8,162.79,3239343.0,0.0,1.0,162.0,162.8,161.8,162.79,3239343.0
2014-11-12,162.28,163.0,161.76,161.92,3377542.0,0.0,1.0,162.28,163.0,161.76,161.92,3377542.0
2014-11-11,163.7,163.9,162.6,163.3,3534400.0,0.0,1.0,163.7,163.9,162.6,163.3,3534400.0
2014-11-10,161.9,164.47,161.61,163.49,4956409.0,0.0,1.0,161.9,164.47,161.61,163.49,4956409.0
2014-11-07,161.41,162.2069,160.85,162.07,3491630.0,0.0,1.0,161.41,162.2069,160.85,162.07,3491630.0
2014-11-06,161.14,161.53,160.05,161.46,4064840.0,1.1,1.0,161.14,161.53,160.05,161.46,4064840.0
