Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,208.35,209.27,205.53,205.68,1163744.0,0.0,1.0,208.35,209.27,205.53,205.68,1163744.0
2015-01-14,207.32,210.24,206.12,208.0,1278268.0,0.0,1.0,207.32,210.24,206.12,208.0,1278268.0
2015-01-13,217.23,219.54,208.76,209.5,1774563.0,0.0,1.0,217.23,219.54,208.76,209.5,1774563.0
2015-01-12,222.2,222.14,214.98,215.83,817839.0,0.0,1.0,222.2,222.14,214.98,215.83,817839.0
2015-01-08,220.4,223.64,219.75,221.5,846213.0,0.0,1.0,220.4,223.64,219.75,221.5,846213.0
2015-01-06,219.93,220.78,213.55,215.7,1377893.0,0.0,1.0,219.93,220.78,213.55,215.7,1377893.0
2015-01-05,216.48,220.84,216.15,218.83,1052737.0,0.0,1.0,216.48,220.84,216.15,218.83,1052737.0
2015-01-02,220.7,220.76,215.8,217.64,573637.0,0.0,1.0,220.7,220.76,215.8,217.64,573637.0
2014-12-31,222.55,222.76,219.29,219.29,347627.0,0.0,1.0,222.55,222.76,219.29,219.29,347627.0
2014-12-30,223.06,223.09,221.4,221.79,423598.0,0.0,1.0,223.06,223.09,221.4,221.79,423598.0
2014-12-26,222.26,223.96,220.21,221.88,453048.0,0.0,1.0,222.26,223.96,220.21,221.88,453048.0
2014-12-24,223.79,225.44,221.52,221.73,292049.0,0.0,1.0,223.79,225.44,221.52,221.73,292049.0
2014-12-23,225.95,227.69,223.23,223.43,760626.0,0.0,1.0,225.95,227.69,223.23,223.43,760626.0
2014-12-22,222.29,225.73,221.48,225.09,847443.0,0.0,1.0,222.29,225.73,221.48,225.09,847443.0
2014-12-19,223.21,226.68,219.77,221.62,1557279.0,0.0,1.0,223.21,226.68,219.77,221.62,1557279.0
2014-12-18,223.25,224.01,221.68,223.99,640878.0,0.0,1.0,223.25,224.01,221.68,223.99,640878.0
2014-12-17,215.19,222.18,215.12,221.59,884504.0,0.0,1.0,215.19,222.18,215.12,221.59,884504.0
2014-12-16,219.13,219.25,214.7,214.97,1052399.0,0.0,1.0,219.13,219.25,214.7,214.97,1052399.0
2014-12-15,218.61,221.92,218.38,219.48,744471.0,0.0,1.0,218.61,221.92,218.38,219.48,744471.0
2014-12-11,224.0,226.75,223.97,225.45,1185585.0,0.0,1.0,224.0,226.75,223.97,225.45,1185585.0
2014-12-10,224.14,225.34,222.955,223.05,740864.0,0.0,1.0,224.14,225.34,222.955,223.05,740864.0
2014-12-09,224.72,225.22,222.27,224.47,891275.0,0.0,1.0,224.72,225.22,222.27,224.47,891275.0
2014-12-05,225.47,228.79,223.85,224.77,788171.0,0.0,1.0,225.47,228.79,223.85,224.77,788171.0
2014-12-04,226.31,227.71,225.25,227.05,563480.0,0.0,1.0,226.31,227.71,225.25,227.05,563480.0
2014-12-02,225.01,225.87,223.48,224.73,559107.0,0.0,1.0,225.01,225.87,223.48,224.73,559107.0
2014-12-01,226.16,226.1,223.23,223.82,538297.0,0.0,1.0,226.16,226.1,223.23,223.82,538297.0
2014-11-28,220.755,226.66,220.365,225.99,543958.0,0.0,1.0,220.755,226.66,220.365,225.99,543958.0
2014-11-26,220.41,221.1,219.16,220.82,556690.0,0.0,1.0,220.41,221.1,219.16,220.82,556690.0
2014-11-25,221.25,222.39,219.55,221.08,566100.0,0.0,1.0,221.25,222.39,219.55,221.08,566100.0
2014-11-24,220.83,223.19,219.4,221.72,789677.0,0.0,1.0,220.83,223.19,219.4,221.72,789677.0
2014-11-21,221.25,222.235,219.38,220.29,670791.0,0.0,1.0,221.25,222.235,219.38,220.29,670791.0
2014-11-20,219.38,220.92,219.0,219.85,527131.0,0.0,1.0,219.38,220.92,219.0,219.85,527131.0
2014-11-19,221.2,221.24,219.1,220.72,486340.0,0.0,1.0,221.2,221.24,219.1,220.72,486340.0
2014-11-18,221.93,223.51,219.83,219.95,663443.0,0.0,1.0,221.93,223.51,219.83,219.95,663443.0
2014-11-17,221.56,224.24,221.12,222.2,452400.0,0.0,1.0,221.56,224.24,221.12,222.2,452400.0
2014-11-14,222.65,223.36,221.32,222.56,692741.0,0.0,1.0,222.65,223.36,221.32,222.56,692741.0
2014-11-13,221.85,223.55,220.55,223.21,798443.0,0.0,1.0,221.85,223.55,220.55,223.21,798443.0
2014-11-12,221.16,222.0,220.39,221.2,843574.0,0.0,1.0,221.16,222.0,220.39,221.2,843574.0
2014-11-11,219.23,221.45,219.08,221.24,638004.0,0.0,1.0,219.23,221.45,219.08,221.24,638004.0
2014-11-10,218.0,219.45,214.35,219.33,781249.0,0.0,1.0,218.0,219.45,214.35,219.33,781249.0
2014-11-07,219.49,220.46,218.25,218.54,739897.0,0.0,1.0,219.49,220.46,218.25,218.54,739897.0
2014-11-06,216.26,220.25,216.19,219.92,888515.0,0.0,1.0,216.26,220.25,216.19,219.92,888515.0
2014-11-04,210.16,217.72,208.445,217.52,1557920.0,0.0,1.0,210.16,217.72,208.445,217.52,1557920.0
2014-11-03,208.92,211.15,208.45,209.79,1125964.0,0.0,1.0,208.92,211.15,208.45,209.79,1125964.0
2014-10-31,205.78,208.3,204.57,208.29,710361.0,0.0,1.0,205.78,208.3,204.57,208.29,710361.0
2014-10-30,205.2,206.1,202.6,203.73,585907.0,0.0,1.0,205.2,206.1,202.6,203.73,585907.0
2014-10-29,204.98,206.27,203.1,205.93,473965.0,0.0,1.0,204.98,206.27,203.1,205.93,473965.0
2014-10-28,205.87,206.6,203.6796,205.41,457429.0,0.0,1.0,205.87,206.6,203.6796,205.41,457429.0
2014-10-27,205.8,207.19,203.93,205.67,423507.0,0.0,1.0,205.8,207.19,203.93,205.67,423507.0
2014-10-24,204.78,206.73,203.25,206.59,701270.0,0.0,1.0,204.78,206.73,203.25,206.59,701270.0
2014-10-23,200.43,203.39,199.46,203.14,665353.0,0.0,1.0,200.43,203.39,199.46,203.14,665353.0
2014-10-22,198.88,200.17,196.865,198.73,503838.0,0.0,1.0,198.88,200.17,196.865,198.73,503838.0
2014-10-21,200.8,201.1894,197.69,199.5,946866.0,0.0,1.0,200.8,201.1894,197.69,199.5,946866.0
2014-10-20,197.58,200.22,196.25,199.88,631291.0,0.0,1.0,197.58,200.22,196.25,199.88,631291.0
2014-10-17,199.18,199.86,195.15,196.61,1077118.0,0.0,1.0,199.18,199.86,195.15,196.61,1077118.0
2014-10-16,199.02,202.8,197.25,197.68,1100499.0,0.0,1.0,199.02,202.8,197.25,197.68,1100499.0
2014-10-15,199.05,203.78,196.25,202.88,1183844.0,0.0,1.0,199.05,203.78,196.25,202.88,1183844.0
2014-10-14,198.69,202.44,198.42,201.07,932789.0,0.0,1.0,198.69,202.44,198.42,201.07,932789.0
2014-10-13,202.99,204.35,198.58,198.66,1486778.0,0.0,1.0,202.99,204.35,198.58,198.66,1486778.0
2014-10-10,203.58,208.2,201.77,203.6,1511997.0,0.0,1.0,203.58,208.2,201.77,203.6,1511997.0
2014-10-09,201.45,203.7993,200.81,203.01,1684866.0,0.0,1.0,201.45,203.7993,200.81,203.01,1684866.0
2014-10-08,196.5,201.4,197.25,201.34,789744.0,0.0,1.0,196.5,201.4,197.25,201.34,789744.0
2014-10-07,199.85,199.94,196.36,196.36,590671.0,0.0,1.0,199.85,199.94,196.36,196.36,590671.0
2014-10-06,199.32,201.88,198.91,199.1,956609.0,0.0,1.0,199.32,201.88,198.91,199.1,956609.0
2014-10-03,199.0,200.0,197.0,198.42,742598.0,0.0,1.0,199.0,200.0,197.0,198.42,742598.0
2014-10-01,195.32,195.33,193.415,194.08,688143.0,0.0,1.0,195.32,195.33,193.415,194.08,688143.0
2014-09-30,195.86,196.1924,194.1,195.05,540389.0,0.0,1.0,195.86,196.1924,194.1,195.05,540389.0
2014-09-29,194.88,195.77,194.31,195.2,637412.0,0.0,1.0,194.88,195.77,194.31,195.2,637412.0
2014-09-26,195.72,196.995,194.45,196.47,554348.0,0.0,1.0,195.72,196.995,194.45,196.47,554348.0
2014-09-25,198.9,199.24,195.14,195.63,642893.0,0.0,1.0,198.9,199.24,195.14,195.63,642893.0
2014-09-24,199.31,200.145,198.21,199.05,783397.0,0.0,1.0,199.31,200.145,198.21,199.05,783397.0
2014-09-23,200.61,201.57,198.94,199.51,555546.0,0.0,1.0,200.61,201.57,198.94,199.51,555546.0
2014-09-22,203.26,203.78,199.88,200.76,720415.0,0.0,1.0,203.26,203.78,199.88,200.76,720415.0
2014-09-19,204.52,205.04,202.31,203.8,869033.0,0.0,1.0,204.52,205.04,202.31,203.8,869033.0
2014-09-18,202.01,205.13,202.03,204.05,1373630.0,0.0,1.0,202.01,205.13,202.03,204.05,1373630.0
2014-09-17,197.25,202.12,196.83,201.83,1500221.0,0.0,1.0,197.25,202.12,196.83,201.83,1500221.0
2014-09-16,194.68,197.69,193.33,196.81,823510.0,0.0,1.0,194.68,197.69,193.33,196.81,823510.0
2014-09-15,194.44,196.0,193.54,195.56,1227391.0,0.0,1.0,194.44,196.0,193.54,195.56,1227391.0
2014-09-12,190.06,197.05,189.37,194.68,1363981.0,0.65,1.0,190.06,197.05,189.37,194.68,1363981.0
2014-09-11,189.22,190.46,188.5575,190.34,747744.0,0.0,1.0,188.59033225823,189.82620590795,187.9300368607,189.70660523217,747744.0
2014-09-10,188.21,190.69,187.53,190.25,925926.0,0.0,1.0,187.58369323709,190.05544053653,186.90595607434,189.61690472534,925926.0
2014-09-09,187.44,189.61,186.64,187.16,836915.0,0.0,1.0,186.8162555675,188.97903445451,186.01891772897,186.53718732402,836915.0
2014-09-08,186.13,188.16,186.0,187.44,646387.0,0.0,1.0,185.51061485691,187.53385962218,185.38104745815,186.8162555675,646387.0
2014-09-05,185.37,186.79,184.27,186.67,866064.0,0.0,1.0,184.75314391031,186.1684185737,183.65680438233,186.04881789792,866064.0
2014-09-04,185.21,187.35,184.61,185.62,659799.0,0.0,1.0,184.5936763426,186.72655506067,183.9956729637,185.00231198485,659799.0
