Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,27.39,27.57,27.15,27.28,3525091.0,0.0,1.0,27.39,27.57,27.15,27.28,3525091.0
2015-01-14,26.65,27.3,26.62,27.27,3517297.0,0.0,1.0,26.65,27.3,26.62,27.27,3517297.0
2015-01-13,26.72,26.95,26.63,26.82,3451385.0,0.0,1.0,26.72,26.95,26.63,26.82,3451385.0
2015-01-12,26.57,26.79,26.57,26.7,2688755.0,0.0,1.0,26.57,26.79,26.57,26.7,2688755.0
2015-01-08,26.64,26.755,26.43,26.6,4183141.0,0.0,1.0,26.64,26.755,26.43,26.6,4183141.0
2015-01-06,25.83,26.02,25.71,25.84,4954221.0,0.0,1.0,25.83,26.02,25.71,25.84,4954221.0
2015-01-05,25.47,25.9,25.41,25.69,4103349.0,0.0,1.0,25.47,25.9,25.41,25.69,4103349.0
2015-01-02,25.27,25.51,25.2,25.46,2715868.0,0.0,1.0,25.27,25.51,25.2,25.46,2715868.0
2014-12-31,25.73,25.92,25.09,25.14,3338171.0,0.0,1.0,25.73,25.92,25.09,25.14,3338171.0
2014-12-30,25.83,25.9,25.62,25.65,2438253.0,0.24,1.0,25.83,25.9,25.62,25.65,2438253.0
2014-12-26,25.94,25.72,25.77,1784814.0,1784814.0,1.0,25.53111239861,25.699536500579377,25.481575898030126,25.5311123986095,1768268.7949015063,1784814.0
2014-12-24,26.04,25.75,25.78,1279023.0,50096.642090284884,1.0,25.679721900348,1.0104767330326772,0.999223343916722,1.0003874876183725,49632.21899053971,1279023.0
2014-12-23,26.04,25.82,25.84,2253687.0,3437.4274896863867,1.0,25.749073001159,0.039349177803270234,0.03901673467282786,0.039046956775595346,3405.5580059876606,2253687.0
2014-12-22,25.91,25.6,25.91,3414804.0,202.2758939429044,1.0,25.36268829664,0.001520548594536973,0.001502356002321363,0.001520548594536973,200.40044086527342,3414804.0
2014-12-19,25.63,25.45,25.58,5620249.0,13.126188007486261,1.0,25.342873696408,5.9304286584305095e-05,5.8887791399553835e-05,5.918859347742975e-05,13.00448136446173,5620249.0
2014-12-18,25.53,25.2,25.5,5770096.0,0.5317533603114795,1.0,25.263615295481,2.3309467808381373e-06,2.3008170339647886e-06,2.32820771294056e-06,0.5268228239846068,5770096.0
2014-12-17,25.37,24.9,25.33,6696442.0,0.02442731970016991,1.0,24.778157589803,9.168671982167467e-08,8.998814834685452e-08,9.154216054722188e-08,0.024200819923377796,6696442.0
2014-12-16,25.35,24.84,24.93,4457956.0,0.0006562940572315639,1.0,24.926767091541,3.6973865458459374e-09,3.6230012543910486e-09,3.6361280705301465e-09,0.0006502085418687642,4457956.0
2014-12-15,25.45,24.9907,25.06,2822164.0,1.6667827066592226e-05,1.0,25.174449594438,1.4891506190183645e-10,1.4622756925226815e-10,1.4663306291787904e-10,1.6513270206567166e-05,2822164.0
2014-12-11,25.55,25.34,25.39,3851071.0,9.034794519102657e-07,1.0,25.204171494786,5.938566255918817e-12,5.8897561223085255e-12,5.901377582691928e-12,8.95101381203426e-07,3851071.0
