Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,116.53,116.94,115.89,116.23,1093981.0,0.0,1.0,116.53,116.94,115.89,116.23,1093981.0
2015-01-14,115.48,116.24,114.91,116.23,1421172.0,0.0,1.0,115.48,116.24,114.91,116.23,1421172.0
2015-01-13,116.36,117.4,115.44,116.08,1292662.0,0.0,1.0,116.36,117.4,115.44,116.08,1292662.0
2015-01-12,116.04,116.47,115.14,115.76,1175224.0,0.0,1.0,116.04,116.47,115.14,115.76,1175224.0
2015-01-08,115.03,116.99,115.07,116.99,2103176.0,0.0,1.0,115.03,116.99,115.07,116.99,2103176.0
2015-01-06,114.95,115.48,113.58,113.78,1753904.0,0.0,1.0,114.95,115.48,113.58,113.78,1753904.0
2015-01-05,115.42,116.58,114.75,114.89,1602084.0,0.0,1.0,115.42,116.58,114.75,114.89,1602084.0
2015-01-02,115.42,115.97,115.0,115.55,1284300.0,0.0,1.0,115.42,115.97,115.0,115.55,1284300.0
2014-12-31,117.21,117.4399,115.36,115.54,1471799.0,0.0,1.0,117.21,117.4399,115.36,115.54,1471799.0
2014-12-30,117.51,118.09,117.0,117.35,1357059.0,0.0,1.0,117.51,118.09,117.0,117.35,1357059.0
2014-12-26,118.02,118.83,117.82,118.28,990312.0,0.0,1.0,118.02,118.83,117.82,118.28,990312.0
2014-12-24,118.21,118.67,117.77,117.77,1002125.0,0.0,1.0,118.21,118.67,117.77,117.77,1002125.0
2014-12-23,116.72,118.565,116.64,117.98,2016660.0,0.0,1.0,116.72,118.565,116.64,117.98,2016660.0
2014-12-22,116.18,116.7,115.53,116.45,1508872.0,0.0,1.0,116.18,116.7,115.53,116.45,1508872.0
2014-12-19,115.24,116.37,114.85,115.84,3048558.0,0.0,1.0,115.24,116.37,114.85,115.84,3048558.0
2014-12-18,114.77,115.41,113.94,115.41,2317327.0,0.0,1.0,114.77,115.41,113.94,115.41,2317327.0
2014-12-17,112.73,114.23,112.26,113.86,1861528.0,0.0,1.0,112.73,114.23,112.26,113.86,1861528.0
2014-12-16,112.38,114.28,111.86,112.4,1812127.0,0.0,1.0,112.38,114.28,111.86,112.4,1812127.0
2014-12-15,112.9,113.9,111.93,112.35,1711410.0,0.0,1.0,112.9,113.9,111.93,112.35,1711410.0
2014-12-11,113.42,114.73,113.14,114.04,1414768.0,0.0,1.0,113.42,114.73,113.14,114.04,1414768.0
2014-12-10,113.97,114.51,113.07,113.17,1479708.0,0.0,1.0,113.97,114.51,113.07,113.17,1479708.0
