Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,41.56,41.71,40.6,40.77,10366616.0,0.0,1.0,41.56,41.71,40.6,40.77,10366616.0
2015-01-14,40.43,41.28,40.2174,41.22,13329071.0,0.0,1.0,40.43,41.28,40.2174,41.22,13329071.0
2015-01-13,41.61,41.9243,40.57,40.89,14140386.0,0.0,1.0,41.61,41.9243,40.57,40.89,14140386.0
2015-01-12,41.64,42.0,41.15,41.61,12504112.0,0.0,1.0,41.64,42.0,41.15,41.61,12504112.0
2015-01-08,41.6,42.6,41.47,42.34,15435538.0,0.0,1.0,41.6,42.6,41.47,42.34,15435538.0
2015-01-06,41.25,41.55,40.22,40.83,20012082.0,0.0,1.0,41.25,41.55,40.22,40.83,20012082.0
2015-01-05,42.32,42.69,41.42,41.65,15781647.0,0.0,1.0,42.32,42.69,41.42,41.65,15781647.0
2015-01-02,42.36,42.87,42.27,42.81,8650054.0,0.0,1.0,42.36,42.87,42.27,42.81,8650054.0
2014-12-31,42.49,42.88,42.21,42.31,8247023.0,0.0,1.0,42.49,42.88,42.21,42.31,8247023.0
2014-12-30,43.01,43.1789,42.435,42.5,10105603.0,0.0,1.0,43.01,43.1789,42.435,42.5,10105603.0
2014-12-26,42.05,42.805,42.0401,42.7,11262480.0,0.0,1.0,42.05,42.805,42.0401,42.7,11262480.0
2014-12-24,41.87,42.09,41.67,42.01,5083674.0,0.0,1.0,41.87,42.09,41.67,42.01,5083674.0
2014-12-23,41.9,41.97,41.62,41.91,12493228.0,0.0,1.0,41.9,41.97,41.62,41.91,12493228.0
2014-12-22,40.62,41.575,40.5,41.55,16212854.0,0.0,1.0,40.62,41.575,40.5,41.55,16212854.0
2014-12-19,40.87,41.75,40.69,41.63,52038027.0,0.0,1.0,40.87,41.75,40.69,41.63,52038027.0
2014-12-18,40.57,40.75,39.56,40.56,21670960.0,0.0,1.0,40.57,40.75,39.56,40.56,21670960.0
2014-12-17,38.39,39.99,38.36,39.89,22979422.0,0.0,1.0,38.39,39.99,38.36,39.89,22979422.0
2014-12-16,37.86,39.09,37.06,38.07,27558915.0,0.0,1.0,37.86,39.09,37.06,38.07,27558915.0
2014-12-15,39.37,39.85,38.1,38.28,24681668.0,0.0,1.0,39.37,39.85,38.1,38.28,24681668.0
2014-12-11,39.6,40.22,39.52,39.88,24176133.0,0.0,1.0,39.6,40.22,39.52,39.88,24176133.0
2014-12-10,40.22,40.23,39.215,39.44,27646826.0,0.0,1.0,40.22,40.23,39.215,39.44,27646826.0
2014-12-09,39.54,40.79,39.42,40.65,27638772.0,0.0,1.0,39.54,40.79,39.42,40.65,27638772.0
2014-12-05,41.85,41.91,41.08,41.12,37484356.0,0.0,1.0,41.85,41.91,41.08,41.12,37484356.0
2014-12-04,41.56,41.8,41.0101,41.46,39117392.0,0.0,1.0,41.56,41.8,41.0101,41.46,39117392.0
2014-12-02,40.8,41.8,40.54,41.62,32258839.0,0.0,1.0,40.8,41.8,40.54,41.62,32258839.0
2014-12-01,41.11,41.35,39.91,40.94,63447431.0,0.0,1.0,41.11,41.35,39.91,40.94,63447431.0
2014-11-28,41.41,42.35,41.01,41.35,38714200.0,0.0,1.0,41.41,42.35,41.01,41.35,38714200.0
2014-11-26,40.86,42.41,40.66,42.32,250476821.0,0.0,1.0,40.86,42.41,40.66,42.32,250476821.0
2014-11-25,41.28,41.74,40.74,40.75,36325225.0,0.0,1.0,41.28,41.74,40.74,40.75,36325225.0
2014-11-24,40.08,41.01,39.99,40.79,29886570.0,0.0,1.0,40.08,41.01,39.99,40.79,29886570.0
2014-11-21,40.08,40.42,39.44,39.75,58600480.0,0.0,1.0,40.08,40.42,39.44,39.75,58600480.0
2014-11-20,40.68,41.45,39.91,39.92,52545791.0,0.0,1.0,40.68,41.45,39.91,39.92,52545791.0
2014-11-19,40.31,41.0,40.23,40.94,22295784.0,0.0,1.0,40.31,41.0,40.23,40.94,22295784.0
2014-11-18,40.26,40.86,40.17,40.41,20698161.0,0.0,1.0,40.26,40.86,40.17,40.41,20698161.0
2014-11-17,39.34,40.46,39.23,40.25,21587480.0,0.0,1.0,39.34,40.46,39.23,40.25,21587480.0
2014-11-14,38.42,39.56,38.35,39.37,19614560.0,0.0,1.0,38.42,39.56,38.35,39.37,19614560.0
2014-11-13,38.44,38.84,38.17,38.38,22025080.0,0.0,1.0,38.44,38.84,38.17,38.38,22025080.0
2014-11-12,38.41,38.79,38.35,38.53,16220380.0,0.0,1.0,38.41,38.79,38.35,38.53,16220380.0
2014-11-11,38.58,38.85,38.29,38.54,12002160.0,0.0,1.0,38.58,38.85,38.29,38.54,12002160.0
2014-11-10,38.88,38.98,38.3534,38.5,14236360.0,0.0,1.0,38.88,38.98,38.3534,38.5,14236360.0
2014-11-07,38.5,39.0,38.42,38.75,15998864.0,0.0,1.0,38.5,39.0,38.42,38.75,15998864.0
2014-11-06,38.1,38.61,37.72,38.53,19665073.0,0.0,1.0,38.1,38.61,37.72,38.53,19665073.0
2014-11-04,38.23,38.28,37.275,37.46,11511359.0,0.0,1.0,38.23,38.28,37.275,37.46,11511359.0
2014-11-03,38.7,38.92,38.38,38.5,13355446.0,0.0,1.0,38.7,38.92,38.38,38.5,13355446.0
2014-10-31,38.78,38.93,38.4,38.7,14096192.0,0.0,1.0,38.78,38.93,38.4,38.7,14096192.0
2014-10-30,38.17,38.81,38.08,38.54,9884147.0,0.0,1.0,38.17,38.81,38.08,38.54,9884147.0
2014-10-29,38.93,39.08,37.84,38.33,9922444.0,0.44,1.0,38.93,39.08,37.84,38.33,9922444.0
2014-10-28,39.18,39.26,38.75,39.17,10577307.0,0.0,1.0,38.73534691772,38.814438999226,38.310226979623,38.725460407532,10577307.0
2014-10-27,38.91,39.08,38.5,38.93,9963581.0,0.0,1.0,38.468411142636,38.636481815837,38.063064224916,38.488184163013,9963581.0
2014-10-24,38.7,39.105,38.26,39.03,11021320.0,0.0,1.0,38.260794428682,38.661198091308,37.825787980397,38.587049264896,11021320.0
2014-10-23,38.58,39.21,38.41,38.68,14326938.0,0.0,1.0,38.142156306422,38.765006448285,37.974085633222,38.241021408305,14326938.0
