Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,66.19,66.895,65.81,66.61,4685610.0,0.0,1.0,66.19,66.895,65.81,66.61,4685610.0
2015-01-14,65.64,65.95,65.37,65.75,3555563.0,0.0,1.0,65.64,65.95,65.37,65.75,3555563.0
2015-01-13,66.46,66.69,65.46,66.0,3289431.0,0.0,1.0,66.46,66.69,65.46,66.0,3289431.0
2015-01-12,65.95,66.34,65.3,66.0,5697234.0,0.0,1.0,65.95,66.34,65.3,66.0,5697234.0
2015-01-08,65.35,66.24,65.26,66.2,5684621.0,0.0,1.0,65.35,66.24,65.26,66.2,5684621.0
2015-01-06,63.3,63.42,62.38,63.08,5310772.0,0.0,1.0,63.3,63.42,62.38,63.08,5310772.0
2015-01-05,63.43,63.62,62.87,63.08,3410204.0,0.0,1.0,63.43,63.62,62.87,63.08,3410204.0
2015-01-02,64.17,64.7,63.23,63.53,3869824.0,0.0,1.0,64.17,64.7,63.23,63.53,3869824.0
2014-12-31,64.57,64.9797,64.13,64.21,2427110.0,0.0,1.0,64.57,64.9797,64.13,64.21,2427110.0
2014-12-30,64.36,64.83,64.35,64.51,1866304.0,0.0,1.0,64.36,64.83,64.35,64.51,1866304.0
2014-12-26,64.25,64.57,64.24,64.29,955794.0,0.0,1.0,64.25,64.57,64.24,64.29,955794.0
2014-12-24,64.36,64.58,64.05,64.05,978731.0,0.0,1.0,64.36,64.58,64.05,64.05,978731.0
2014-12-23,64.56,64.6199,63.75,64.28,2215398.0,0.0,1.0,64.56,64.6199,63.75,64.28,2215398.0
2014-12-22,63.69,64.665,63.69,64.22,3476735.0,0.0,1.0,63.69,64.665,63.69,64.22,3476735.0
2014-12-19,63.92,64.13,63.4,63.55,5297798.0,0.0,1.0,63.92,64.13,63.4,63.55,5297798.0
2014-12-18,63.05,63.65,62.8,63.64,3128639.0,0.0,1.0,63.05,63.65,62.8,63.64,3128639.0
2014-12-17,61.76,62.57,61.38,62.46,3487314.0,0.0,1.0,61.76,62.57,61.38,62.46,3487314.0
2014-12-16,61.505,62.65,61.47,61.5,3729451.0,0.0,1.0,61.505,62.65,61.47,61.5,3729451.0
2014-12-15,61.65,62.35,61.35,61.53,4323835.0,0.0,1.0,61.65,62.35,61.35,61.53,4323835.0
2014-12-11,61.48,62.19,61.4,61.89,2528893.0,0.0,1.0,61.48,62.19,61.4,61.89,2528893.0
2014-12-10,61.92,62.39,61.32,61.36,5019352.0,0.0,1.0,61.92,62.39,61.32,61.36,5019352.0
2014-12-09,60.99,61.5,60.48,61.49,2666809.0,0.0,1.0,60.99,61.5,60.48,61.49,2666809.0
2014-12-05,60.96,61.33,60.73,60.98,3209126.0,0.0,1.0,60.96,61.33,60.73,60.98,3209126.0
2014-12-04,60.54,61.16,59.6101,60.76,6275181.0,0.0,1.0,60.54,61.16,59.6101,60.76,6275181.0
2014-12-02,59.93,60.19,59.235,59.49,3525661.0,0.0,1.0,59.93,60.19,59.235,59.49,3525661.0
2014-12-01,59.93,60.32,59.67,59.82,3773436.0,0.0,1.0,59.93,60.32,59.67,59.82,3773436.0
2014-11-28,59.56,60.38,59.56,59.84,2054091.0,0.0,1.0,59.56,60.38,59.56,59.84,2054091.0
2014-11-26,58.84,59.27,58.58,59.22,2326071.0,0.0,1.0,58.84,59.27,58.58,59.22,2326071.0
2014-11-25,58.53,59.38,58.23,58.82,5457662.0,0.0,1.0,58.53,59.38,58.23,58.82,5457662.0
2014-11-24,58.55,58.785,58.44,58.51,2685573.0,0.0,1.0,58.55,58.785,58.44,58.51,2685573.0
2014-11-21,58.79,58.98,58.27,58.37,2430526.0,0.0,1.0,58.79,58.98,58.27,58.37,2430526.0
2014-11-20,58.32,58.8268,58.05,58.22,2336461.0,0.0,1.0,58.32,58.8268,58.05,58.22,2336461.0
2014-11-19,58.675,58.75,58.36,58.49,2236106.0,0.0,1.0,58.675,58.75,58.36,58.49,2236106.0
2014-11-18,58.26,58.7,58.1,58.52,4273607.0,0.0,1.0,58.26,58.7,58.1,58.52,4273607.0
2014-11-17,57.73,58.38,57.7,58.29,2471787.0,0.0,1.0,57.73,58.38,57.7,58.29,2471787.0
2014-11-14,58.4,58.41,57.62,57.71,2463711.0,0.0,1.0,58.4,58.41,57.62,57.71,2463711.0
2014-11-13,58.5,58.65,58.01,58.39,2104094.0,0.0,1.0,58.5,58.65,58.01,58.39,2104094.0
2014-11-12,58.09,58.49,57.27,58.38,2419240.0,0.0,1.0,58.09,58.49,57.27,58.38,2419240.0
2014-11-11,58.74,58.82,58.04,58.28,2415743.0,0.0,1.0,58.74,58.82,58.04,58.28,2415743.0
2014-11-10,57.84,58.57,57.75,58.56,1506090.0,0.0,1.0,57.84,58.57,57.75,58.56,1506090.0
2014-11-07,57.69,58.07,57.46,57.8,2359237.0,0.0,1.0,57.69,58.07,57.46,57.8,2359237.0
2014-11-06,57.8,58.08,57.3803,57.76,2457405.0,0.0,1.0,57.8,58.08,57.3803,57.76,2457405.0
2014-11-04,56.45,57.12,56.448,57.08,3611422.0,0.0,1.0,56.45,57.12,56.448,57.08,3611422.0
2014-11-03,55.75,56.53,55.7,56.44,2785085.0,0.0,1.0,55.75,56.53,55.7,56.44,2785085.0
2014-10-31,55.52,56.11,55.52,55.71,3399417.0,0.0,1.0,55.52,56.11,55.52,55.71,3399417.0
2014-10-30,54.43,55.12,54.3,55.06,2397822.0,0.0,1.0,54.43,55.12,54.3,55.06,2397822.0
2014-10-29,54.68,55.0,54.17,54.55,2596196.0,0.0,1.0,54.68,55.0,54.17,54.55,2596196.0
2014-10-28,54.63,54.69,54.3664,54.63,3291179.0,0.0,1.0,54.63,54.69,54.3664,54.63,3291179.0
2014-10-27,54.18,54.73,54.17,54.57,2261309.0,0.0,1.0,54.18,54.73,54.17,54.57,2261309.0
2014-10-24,54.33,54.43,53.941,54.19,2487553.0,0.0,1.0,54.33,54.43,53.941,54.19,2487553.0
2014-10-23,54.41,54.85,54.2,54.29,2292584.0,0.0,1.0,54.41,54.85,54.2,54.29,2292584.0
2014-10-22,53.92,54.83,53.92,54.09,3392359.0,0.0,1.0,53.92,54.83,53.92,54.09,3392359.0
