Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,45.65,45.83,44.4,44.46,1688208.0,0.0,1.0,45.65,45.83,44.4,44.46,1688208.0
2015-01-14,43.72,45.17,43.56,45.01,3071463.0,0.0,1.0,43.72,45.17,43.56,45.01,3071463.0
2015-01-13,44.89,45.52,43.65,43.98,2262449.0,0.0,1.0,44.89,45.52,43.65,43.98,2262449.0
2015-01-12,44.24,44.44,43.57,44.03,1060547.0,0.0,1.0,44.24,44.44,43.57,44.03,1060547.0
2015-01-08,43.52,44.65,43.49,44.64,1518821.0,0.0,1.0,43.52,44.65,43.49,44.64,1518821.0
2015-01-06,43.76,44.04,42.79,43.02,1404354.0,0.0,1.0,43.76,44.04,42.79,43.02,1404354.0
2015-01-05,44.66,44.78,43.84,43.87,988619.0,0.0,1.0,44.66,44.78,43.84,43.87,988619.0
2015-01-02,45.36,45.6,44.415,44.87,990522.0,0.0,1.0,45.36,45.6,44.415,44.87,990522.0
2014-12-31,45.5,45.79,45.09,45.11,1122910.0,0.0,1.0,45.5,45.79,45.09,45.11,1122910.0
2014-12-30,45.29,45.56,45.185,45.22,1211207.0,0.0,1.0,45.29,45.56,45.185,45.22,1211207.0
2014-12-26,45.86,46.08,45.68,45.71,482457.0,0.0,1.0,45.86,46.08,45.68,45.71,482457.0
2014-12-24,45.97,46.201,45.62,45.84,552068.0,0.0,1.0,45.97,46.201,45.62,45.84,552068.0
2014-12-23,46.07,46.53,45.74,45.79,1735362.0,0.0,1.0,46.07,46.53,45.74,45.79,1735362.0
2014-12-22,45.45,45.83,45.06,45.64,1215409.0,0.0,1.0,45.45,45.83,45.06,45.64,1215409.0
2014-12-19,45.21,45.49,44.73,45.28,2720270.0,0.0,1.0,45.21,45.49,44.73,45.28,2720270.0
2014-12-18,44.67,45.42,44.12,45.16,2225288.0,0.0,1.0,44.67,45.42,44.12,45.16,2225288.0
2014-12-17,43.21,43.78,42.68,43.71,2433161.0,0.0,1.0,43.21,43.78,42.68,43.71,2433161.0
2014-12-16,43.1,44.27,42.98,43.1,1828501.0,0.0,1.0,43.1,44.27,42.98,43.1,1828501.0
2014-12-15,44.07,44.86,43.1,43.13,2161871.0,0.0,1.0,44.07,44.86,43.1,43.13,2161871.0
2014-12-11,44.62,46.03,44.6,44.69,1351496.0,0.0,1.0,44.62,46.03,44.6,44.69,1351496.0
2014-12-10,45.39,45.46,44.2612,44.48,2223886.0,0.0,1.0,45.39,45.46,44.2612,44.48,2223886.0
2014-12-09,44.98,45.54,44.8,45.41,4877806.0,0.0,1.0,44.98,45.54,44.8,45.41,4877806.0
2014-12-05,46.07,46.33,45.86,46.29,1206804.0,0.0,1.0,46.07,46.33,45.86,46.29,1206804.0
2014-12-04,46.62,46.62,45.84,46.02,1581862.0,0.0,1.0,46.62,46.62,45.84,46.02,1581862.0
2014-12-02,44.68,44.71,44.02,44.65,2444458.0,0.0,1.0,44.68,44.71,44.02,44.65,2444458.0
2014-12-01,45.05,45.57,44.65,44.73,1782795.0,0.0,1.0,45.05,45.57,44.65,44.73,1782795.0
2014-11-28,45.2,45.28,44.71,45.15,750901.0,0.0,1.0,45.2,45.28,44.71,45.15,750901.0
2014-11-26,44.06,45.09,44.06,45.05,1436260.0,0.0,1.0,44.06,45.09,44.06,45.05,1436260.0
2014-11-25,44.29,44.397,43.91,44.12,1663232.0,0.0,1.0,44.29,44.397,43.91,44.12,1663232.0
2014-11-24,44.0,44.25,43.61,44.06,1711401.0,0.0,1.0,44.0,44.25,43.61,44.06,1711401.0
2014-11-21,43.91,43.99,43.28,43.78,1485462.0,0.0,1.0,43.91,43.99,43.28,43.78,1485462.0
2014-11-20,43.03,43.57,42.8,43.24,1304210.0,0.0,1.0,43.03,43.57,42.8,43.24,1304210.0
2014-11-19,43.6,43.81,43.03,43.15,1479366.0,0.356,1.0,43.6,43.81,43.03,43.15,1479366.0
2014-11-18,43.59,44.22,43.5,44.025,3811880.0,0.0,1.0,43.233312646532,43.858157495518,43.144049096676,43.664753137498,3811880.0
2014-11-17,43.33,43.66,43.0118,43.655,1636265.0,0.0,1.0,42.975440169172,43.302739851974,42.659843929573,43.297780765871,1636265.0
2014-11-14,42.8,43.38,42.6054,43.36,1432598.0,0.0,1.0,42.449777042247,43.025031030203,42.256769411116,43.00519468579,1432598.0
2014-11-13,43.55,43.73,42.83,42.89,1637805.0,0.0,1.0,43.193639957707,43.372167057417,42.479531558865,42.539040592102,1637805.0
2014-11-12,43.26,43.57,43.01,43.38,3757110.0,0.0,1.0,42.906012963729,43.213476302119,42.658058658576,43.025031030203,3757110.0
2014-11-11,43.61,43.66,43.215,43.38,1159668.0,0.0,1.0,43.253148990944,43.302739851974,42.861381188802,43.025031030203,1159668.0
2014-11-10,43.22,43.64,43.02,43.49,1322620.0,0.0,1.0,42.866340274905,43.282903507562,42.667976830782,43.13413092447,1322620.0
2014-11-07,43.54,43.58,42.71,43.14,2089253.0,0.0,1.0,43.183721785501,43.223394474325,42.360513492392,42.786994897256,2089253.0
2014-11-06,43.7,43.99,43.16,43.51,1863655.0,0.0,1.0,43.342412540799,43.630039534777,42.806831241668,43.153967268882,1863655.0
2014-11-04,43.18,43.48,42.6,42.88,1556404.0,0.0,1.0,42.82666758608,43.124212752264,42.251413598124,42.529122419896,1556404.0
2014-11-03,43.1,43.7,42.93,43.21,2201568.0,0.0,1.0,42.747322208431,43.342412540799,42.578713280927,42.856422102698,2201568.0
2014-10-31,45.14,45.14,42.54,43.11,7429117.0,0.0,1.0,44.770629338482,44.770629338482,42.191904564888,42.757240380637,7429117.0
2014-10-30,41.88,41.88,40.4601,41.09,3569001.0,0.0,1.0,41.537305199283,41.537305199283,40.129023927734,40.753769594998,3569001.0
2014-10-29,41.7,42.27,41.21,42.22,4376735.0,0.0,1.0,41.358778099572,41.924113915322,40.872787661472,41.874523054291,4376735.0
2014-10-28,41.27,41.9,41.03,41.88,1874314.0,0.0,1.0,40.932296694709,41.557141543695,40.694260561762,41.537305199283,1874314.0
2014-10-27,40.95,41.255,40.53,41.17,3168598.0,0.0,1.0,40.614915184113,40.9174194364,40.198351951455,40.833114972647,3168598.0
2014-10-24,40.29,41.16,40.29,41.04,1753811.0,0.0,1.0,39.960315818508,40.823196800441,39.960315818508,40.704178733968,1753811.0
2014-10-23,40.21,40.85,40.18,40.34,1928391.0,0.0,1.0,39.880970440859,40.515733462051,39.85121592424,40.009906679538,1928391.0
2014-10-22,40.75,40.83,39.96,39.97,2139417.0,0.0,1.0,40.41655173999,40.495897117639,39.633016135705,39.642934307912,2139417.0
2014-10-21,39.59,40.655,39.47,40.59,3960801.0,0.0,1.0,39.266043764079,40.322329104032,39.147025697605,40.257860984692,3960801.0
2014-10-20,38.23,39.15,38.0,39.12,3643946.0,0.0,1.0,37.917172344044,38.829644187009,37.689054383303,38.79988967039,3643946.0
2014-10-17,39.64,40.02,38.32,38.39,3621343.0,0.0,1.0,39.315634625109,39.692525168942,38.0064358939,38.075863099343,3621343.0
2014-10-16,36.97,39.84,36.92,39.19,6193972.0,0.0,1.0,36.667482646072,39.513998069232,36.617891785041,38.869316875833,6193972.0
