Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-15,49.19,49.43,47.68,47.98,10378342.0,0.0,1.0,49.19,49.43,47.68,47.98,10378342.0
2015-01-14,49.01,49.44,48.08,48.94,11126084.0,0.0,1.0,49.01,49.44,48.08,48.94,11126084.0
2015-01-13,50.84,51.23,49.24,49.81,13383792.0,0.0,1.0,50.84,51.23,49.24,49.81,13383792.0
2015-01-12,51.11,51.2,50.02,50.43,7276149.0,0.0,1.0,51.11,51.2,50.02,50.43,7276149.0
2015-01-08,51.46,52.26,51.39,51.98,8011120.0,0.0,1.0,51.46,52.26,51.39,51.98,8011120.0
2015-01-06,52.14,52.25,50.28,50.53,12027401.0,0.0,1.0,52.14,52.25,50.28,50.53,12027401.0
2015-01-05,53.42,53.63,51.88,52.11,6374069.0,0.0,1.0,53.42,53.63,51.88,52.11,6374069.0
2015-01-02,54.48,54.7599,53.63,53.91,3864822.0,0.0,1.0,54.48,54.7599,53.63,53.91,3864822.0
2014-12-31,55.18,55.21,54.07,54.09,3039773.0,0.0,1.0,55.18,55.21,54.07,54.09,3039773.0
2014-12-30,54.58,55.25,54.46,54.9,2766293.0,0.0,1.0,54.58,55.25,54.46,54.9,2766293.0
2014-12-26,54.9,55.31,54.84,54.87,2235508.0,0.0,1.0,54.9,55.31,54.84,54.87,2235508.0
2014-12-24,55.21,55.34,54.69,54.86,2414459.0,0.0,1.0,55.21,55.34,54.69,54.86,2414459.0
2014-12-23,54.23,55.445,54.23,55.01,6278765.0,0.0,1.0,54.23,55.445,54.23,55.01,6278765.0
2014-12-22,53.96,54.06,53.51,54.04,4939468.0,0.0,1.0,53.96,54.06,53.51,54.04,4939468.0
2014-12-19,53.51,54.21,53.21,53.82,11822185.0,0.0,1.0,53.51,54.21,53.21,53.82,11822185.0
2014-12-18,52.52,54.03,52.49,54.03,9835514.0,0.0,1.0,52.52,54.03,52.49,54.03,9835514.0
2014-12-17,51.15,51.97,50.92,51.79,8642376.0,0.0,1.0,51.15,51.97,50.92,51.79,8642376.0
2014-12-16,51.32,52.05,50.63,50.65,10346376.0,0.0,1.0,51.32,52.05,50.63,50.65,10346376.0
2014-12-15,53.32,53.36,51.415,51.68,8685766.0,0.0,1.0,53.32,53.36,51.415,51.68,8685766.0
2014-12-11,55.13,55.94,55.08,55.21,7464541.0,0.0,1.0,55.13,55.94,55.08,55.21,7464541.0
2014-12-10,56.07,56.3,54.94,54.96,7293292.0,0.0,1.0,56.07,56.3,54.94,54.96,7293292.0
2014-12-09,55.77,56.28,55.15,56.21,4698473.0,0.0,1.0,55.77,56.28,55.15,56.21,4698473.0
2014-12-05,55.54,57.01,55.54,56.35,8253431.0,0.0,1.0,55.54,57.01,55.54,56.35,8253431.0
2014-12-04,55.29,55.3,54.66,55.18,4220172.0,0.0,1.0,55.29,55.3,54.66,55.18,4220172.0
2014-12-02,54.69,55.19,54.65,55.08,3595366.0,0.0,1.0,54.69,55.19,54.65,55.08,3595366.0
2014-12-01,55.23,55.27,54.16,54.4,6935781.0,0.0,1.0,55.23,55.27,54.16,54.4,6935781.0
2014-11-28,55.96,56.25,55.49,55.61,2031646.0,0.0,1.0,55.96,56.25,55.49,55.61,2031646.0
2014-11-26,55.98,56.0395,55.55,55.87,2763300.0,0.0,1.0,55.98,56.0395,55.55,55.87,2763300.0
2014-11-25,56.49,56.6,55.68,55.8,6057771.0,0.0,1.0,56.49,56.6,55.68,55.8,6057771.0
2014-11-24,56.0,56.33,55.89,56.28,4914155.0,0.0,1.0,56.0,56.33,55.89,56.28,4914155.0
2014-11-21,55.57,56.0,55.38,55.81,8200055.0,0.0,1.0,55.57,56.0,55.38,55.81,8200055.0
2014-11-20,54.16,54.86,53.96,54.8,4765170.0,0.0,1.0,54.16,54.86,53.96,54.8,4765170.0
2014-11-19,54.61,54.93,54.45,54.82,3556232.0,0.0,1.0,54.61,54.93,54.45,54.82,3556232.0
2014-11-18,54.62,55.05,54.5,54.78,3728263.0,0.0,1.0,54.62,55.05,54.5,54.78,3728263.0
2014-11-17,54.5,54.75,54.19,54.49,5667260.0,0.0,1.0,54.5,54.75,54.19,54.49,5667260.0
2014-11-14,54.36,54.88,54.36,54.53,5444610.0,0.0,1.0,54.36,54.88,54.36,54.53,5444610.0
2014-11-13,55.2,55.2,54.22,54.55,7365838.0,0.0,1.0,55.2,55.2,54.22,54.55,7365838.0
2014-11-12,54.66,55.16,54.63,55.11,3653056.0,0.0,1.0,54.66,55.16,54.63,55.11,3653056.0
2014-11-11,54.74,55.185,54.66,55.16,3846637.0,0.0,1.0,54.74,55.185,54.66,55.16,3846637.0
2014-11-10,54.52,54.91,54.38,54.87,4816095.0,0.0,1.0,54.52,54.91,54.38,54.87,4816095.0
2014-11-07,54.2,54.63,53.91,54.61,4832265.0,0.0,1.0,54.2,54.63,53.91,54.61,4832265.0
2014-11-06,54.24,54.45,53.62,54.2,5904142.0,0.0,1.0,54.24,54.45,53.62,54.2,5904142.0
2014-11-04,53.95,54.46,53.51,54.16,4673319.0,0.0,1.0,53.95,54.46,53.51,54.16,4673319.0
2014-11-03,54.41,54.575,54.07,54.3,5173196.0,0.0,1.0,54.41,54.575,54.07,54.3,5173196.0
2014-10-31,54.0,54.305,53.58,54.24,6788297.0,0.0,1.0,54.0,54.305,53.58,54.24,6788297.0
2014-10-30,53.05,53.22,52.29,53.01,5452939.0,0.0,1.0,53.05,53.22,52.29,53.01,5452939.0
2014-10-29,52.24,52.57,51.81,52.31,6343517.0,0.0,1.0,52.24,52.57,51.81,52.31,6343517.0
2014-10-28,51.96,52.24,51.57,52.14,5761437.0,0.0,1.0,51.96,52.24,51.57,52.14,5761437.0
2014-10-27,50.55,51.63,50.28,51.48,7226281.0,0.0,1.0,50.55,51.63,50.28,51.48,7226281.0
2014-10-24,50.48,50.88,50.205,50.79,6312824.0,0.0,1.0,50.48,50.88,50.205,50.79,6312824.0
2014-10-23,50.69,51.05,50.3,50.41,5620925.0,0.0,1.0,50.69,51.05,50.3,50.41,5620925.0
2014-10-22,50.41,50.69,49.93,49.95,5490663.0,0.0,1.0,50.41,50.69,49.93,49.95,5490663.0
2014-10-21,49.67,50.54,49.63,50.46,7229645.0,0.0,1.0,49.67,50.54,49.63,50.46,7229645.0
2014-10-20,48.68,49.225,48.39,49.15,4930541.0,0.0,1.0,48.68,49.225,48.39,49.15,4930541.0
2014-10-17,48.53,49.14,48.3,48.86,8031111.0,0.0,1.0,48.53,49.14,48.3,48.86,8031111.0
2014-10-16,47.57,48.475,46.92,47.86,15760064.0,0.0,1.0,47.57,48.475,46.92,47.86,15760064.0
2014-10-15,48.02,48.02,46.15,47.71,19084280.0,0.0,1.0,48.02,48.02,46.15,47.71,19084280.0
2014-10-14,49.11,49.57,48.74,48.89,10052747.0,0.0,1.0,49.11,49.57,48.74,48.89,10052747.0
2014-10-13,49.76,50.17,48.89,48.97,8887772.0,0.0,1.0,49.76,50.17,48.89,48.97,8887772.0
2014-10-10,50.26,50.48,49.72,49.73,9158827.0,0.0,1.0,50.26,50.48,49.72,49.73,9158827.0
2014-10-09,51.95,51.97,50.16,50.35,10048967.0,0.0,1.0,51.95,51.97,50.16,50.35,10048967.0
2014-10-08,51.16,51.985,50.82,51.97,8577669.0,0.0,1.0,51.16,51.985,50.82,51.97,8577669.0
2014-10-07,52.59,52.78,51.44,51.47,5524021.0,0.0,1.0,52.59,52.78,51.44,51.47,5524021.0
2014-10-06,53.59,53.68,52.77,52.99,4309679.0,0.0,1.0,53.59,53.68,52.77,52.99,4309679.0
2014-10-03,53.09,53.62,52.93,53.34,4535594.0,0.0,1.0,53.09,53.62,52.93,53.34,4535594.0
2014-10-02,52.36,52.83,51.88,52.55,5223753.0,0.0,1.0,52.36,52.83,51.88,52.55,5223753.0
2014-10-01,53.53,53.54,52.09,52.22,6891296.0,0.0,1.0,53.53,53.54,52.09,52.22,6891296.0
2014-09-30,54.0,54.49,53.69,53.72,5188076.0,0.0,1.0,54.0,54.49,53.69,53.72,5188076.0
2014-09-29,53.55,54.25,53.07,53.91,5184810.0,0.0,1.0,53.55,54.25,53.07,53.91,5184810.0
2014-09-26,54.18,54.5,53.86,54.2,4844998.0,0.0,1.0,54.18,54.5,53.86,54.2,4844998.0
2014-09-25,55.3,55.3,54.08,54.1,5099303.0,0.0,1.0,55.3,55.3,54.08,54.1,5099303.0
2014-09-24,54.77,55.52,54.655,55.45,3499971.0,0.0,1.0,54.77,55.52,54.655,55.45,3499971.0
2014-09-23,55.07,55.51,54.6114,54.75,4685720.0,0.0,1.0,55.07,55.51,54.6114,54.75,4685720.0
2014-09-22,55.77,55.9,55.2,55.22,3835537.0,0.0,1.0,55.77,55.9,55.2,55.22,3835537.0
2014-09-19,56.21,56.59,55.73,55.97,6579760.0,0.0,1.0,56.21,56.59,55.73,55.97,6579760.0
2014-09-18,55.61,56.3499,55.54,55.89,7168875.0,0.0,1.0,55.61,56.3499,55.54,55.89,7168875.0
2014-09-17,55.42,55.685,54.83,55.28,4544154.0,0.0,1.0,55.42,55.685,54.83,55.28,4544154.0
2014-09-16,54.93,55.53,54.73,55.25,3259378.0,0.0,1.0,54.93,55.53,54.73,55.25,3259378.0
2014-09-15,55.32,55.45,54.78,55.06,3945320.0,0.0,1.0,55.32,55.45,54.78,55.06,3945320.0
